Charge Code,Description,Dept,Revenue Code,Proc Code,Modifier 1,Modifier 2,Rate,Zero Charge Explanation
3170001,SEMI PVT BED ACUITY LVL 1,NUR,121,,,,"3,093.10",
3170002,SEMI PVT BED ACUITY LVL 2,NUR,121,,,,"4,639.65",
3510000,SWING BED CHARGE,SWB,120,,,,674.10,
3510075,SWB BED HOLD / LOA,SWB,180,,,,674.10,
3580000,SKILLED NURSING BED CHG,SNF,120,,,,371.54,
3580075,SNF BED HOLD / LOA,SNF,180,,,,371.54,
4070000,NO CHARGE,CL,965,,,,0.00,"This is for when the patient is seen for no charge. For example, when the patient needs to have sutures removed, which are not chargable, but we need to track the productivity by the nurse/MA/provider and this is done in our EHR through charge reports. "
4070001,NO SHOW CHARGE,CL,965,,,,40.00,
4070367,DMV 2ND VISIT CASH ON DOS,CLMD,983,,,,75.00,
4070368,DMV PHYSICAL CASH ON DOS,CL,521,,,,150.00,
4070369,INSURANCE EXAM,CL,521,,,,248.35,
4077000,VACCINE SCHOOL SPECIAL,CL,983,,,,28.15,
4080000,Medicare RHC AIR,CLMD,521,,,,0.00,This is the Medicare AIR (modifier CG) applied to qualified Medicare RHC Visits
4089900,PRE-EMPLOYMENT PHYSICAL CONTRACTED,CLMD,983,,,,150.00,
4089901,RESPIRATORY FIT TEST NURSE ONLY,CL,521,,,,76.00,
4470044,"SOL- IV, D5, 100ML",MM,258,,,,14.70,
4470047,"SOL- IV, 9% NACL, 100ML",MM,258,,,,30.00,
4470065,"CATH-FOLEY, 16FR, 05CC",MM,270,,,,73.10,
4470066,CATH FOLEY 14F 05CC,MM,270,,,,73.10,
4470167,PLEUR- EVAC,MM,272,,,,730.30,
4470213,"CAST- SANDAL, SM",MM,271,,,,96.71,
4470230,BANDG-TUBULAR GZ SZ2 /YD,MM,270,,,,4.55,
4470231,BANDG-TUBULAR GZ SZ 1/YD,MM,270,,,,10.20,
4470302,"SPLNT-COLLES,LARGE,R",MM,271,,,,89.90,
4470303,"SPLNT-COLLES,SMALL,L",MM,271,,,,89.90,
4470304,"SPLNT-COLLES,SMALL,R",MM,271,,,,89.90,
4470305,"SPLNT-COLLES,MEDIUM,R",MM,271,,,,89.90,
4470306,"SPLNT-COLLES,MEDIUM,L",MM,271,,,,89.90,
4470384,"BANDG-ROLL GAUZE 4"" STL",MM,270,,,,20.30,
4470387,"BANDG-CONFORM 4"" PER YARD",MM,270,,,,10.20,
4470388,"BANDG-CONFORM 3"" PER YARD",MM,270,,,,10.20,
4470397,"DRESS- TELFA 3""X8""",MM,272,,,,7.90,
4470398,DRESS-TELFA 3X4,MM,272,,,,20.30,
4470399,"DRESS- TELFA 2""X3""",MM,270,,,,7.90,
4470401,DRESS- XSPAN SIZE 4/YD,MM,272,,,,7.90,
4470411,DRESS-TRANSPARENT 2X3,MM,272,,,,20.30,
4470412,"DRESS-NONADHERING 3""X16""",MM,272,,,,10.20,
4470413,"DRESS-NONADHERING 3""X3""",MM,272,,,,7.90,
4470414,"DRESS-NONADHEARING 3""X8""",MM,272,,,,12.40,
4470788,BANDG-TUBULAR GZ SZ3/YD,MM,270,,,,12.40,
4470800,STOCKINETTE,MM,270,,,,12.40,
4470810,PLASTER SPLINT,MM,271,,,,25.95,
4470830,DRESSING-XPAND,MM,270,,,,7.90,
4470840,DRESSING-TELFA,MM,272,,,,20.30,
4470881,BANGAGE-TUBULAR GZ,MM,270,,,,12.40,
4470890,DRESSING-NONADHEARING,MM,272,,,,20.30,
4471021,OCULAR IRRIG LENS MORGAN,MM,270,,,,176.40,
4471121,DRESSING-ALLEVYN SAC 5X5,MM,271,,,,35.00,
4471126,NACL FLUSH 10ML,MM,258,,,,6.00,
4471596,UNIVERSAL STIRRUP ANKLE BRACE,MM,271,,,,45.80,
4473060,cv plus catheter stablilization device,MM,772,,,,74.00,
4473070,SOL-IV D10W 250ML,MM,258,,,,7.90,
4476430,ARM SLING LG,MM,274,,,,20.56,
4476440,ARM SLING MD,MM,278,,,,19.25,
4477160,SOL-IRRIGATION NACL 500ML,MM,258,,,,23.00,
4477570,TEGADERM DRESSING I.V ADVANCE,MM,264,,,,16.05,
4477775,WALKING BOOT LG,MM,271,,,,125.00,
4477778,WALKING BOOT SM,MM,271,,,,125.00,
4477779,WALKING BOOT MED,MM,271,,,,125.00,
4479874,PARACENTESIS KIT,MM,271,,,,100.00,
4500999,NO CHARGE,LAB,300,,,,0.00,This is only used when we have to re-do a lab test that we did not process correctly
4501111,KIT DRAW FROM PATIENT,LAB,300,,,,56.00,
4501112,KIT DRAW FROM EMPLOYEE,LAB,300,,,,0.00,This is a charge for tracking purposes - employee lab kits
4508928,CHP BLOOD DRAW,LAB,300,,,,35.00,
4509398,Semen Count Not Billable / Q,LAB,306,,,,0.00,Not billable/payable because it doesn’t have a billable CPT code. This is a code assigned by our outside LAB Company - Quest.
4637081,POST PROCEDURE PLACEMENT XRAY,XR,320,,,,0.00,"Productivity. Not chargable, but we need to track employee productivity/work through the EHR charge report"
4657081,POST PROCEDURE PLACEMENT XRAY PRO FEE,XRMD,972,,,,0.00,"Productivity. Not chargable, but we need to track employee productivity/work through the EHR charge report"
4710008,CALCIUM 500 MG TAB,PHAR,250,,,,4.30,
4710011,AMIODARONE HCL 200MG TAB,PHAR,250,,,,5.40,
4710040,ACETAMINOPHEM 120MG SUPP,PHAR,250,,,,4.30,
4710041,ERYTHROMYCIN SULF 2-600MG,PHAR,250,,,,83.50,
4710107,PROTONIX 40MG IV,PHAR,250,,,,29.00,
4710113,ONDANSETRON HCL TAB 4MG,PHAR,250,,,,6.00,
4710199,AMIODARONE HCL 30MG INJ,PHAR,636,,,,4.30,
4710201,ACETAMINOPHEN 300MG SUPP,PHAR,250,,,,7.50,
4710221,ALCAINE O/S 4 DROPS,PHAR,250,,,,6.50,
4710223,SPIRONOLCTN/ADLACTONE TB,PHAR,250,,,,4.30,
4710243,AMOXICILLIN 250MG CAP,PHAR,250,,,,4.30,
4710244,AMOXICILIN 125MG/5CC SUS,PHAR,250,,,,18.00,
4710245,AMOXICILLIN 250MG/5CC SUS,PHAR,250,,,,16.00,
4710246,AMOXICILLIN 500MG CAP,PHAR,250,,,,4.30,
4710270,CEPHALEXIN 250MG/100ML PO,PHAR,250,,,,18.00,
4710271,CEPHALEXIN 250MG/5ML PO,PHAR,250,,,,3.30,
4710290,ASA SUPPOSITOR 600 MG,PHAR,259,,,,9.70,
4710292,ASCORBIC ACID,PHAR,250,,,,4.30,
4710300,ASA 325MG TAB,PHAR,250,,,,4.30,
4710354,CALCIUM CHLR 10%<10ML INJ,PHAR,250,,,,20.40,
4710360,CAPTOPRIL 25MG TAB,PHAR,250,,,,15.00,
4710370,CLONIDINE HCL/CAP .1MG TB,PHAR,250,,,,4.30,
4710419,BENZTROPINE 1 MG TAB,PHAR,250,,,,5.00,
4710430,PROCHLORPRZN/COMPZ SUP 25,PHAR,250,,,,16.10,
4710439,CORTISPORIN 1 SQUIRT,PHAR,250,,,,6.50,
4710460,DEXAMETH/DECRON 4 MG TAB,PHAR,636,,,,4.30,
4710479,VALPROIC ACID/DEPKN 250MG,PHAR,250,,,,4.30,
4710490,TRAZODONE HCL 50MG,PHAR,250,,,,6.00,
4710529,DONNATAL ELIXIR 5CC,PHAR,250,,,,32.00,
4710536,DOXAZOSIN 4MG TAB,PHAR,250,,,,6.50,
4710538,BISACODYL 10MG SUPP,PHAR,250,,,,8.00,
4710547,AMITRIPYLINE HCI,PHAR,250,,,,4.30,
4710572,FERROUS SULFT/FE SUF 325M,PHAR,250,,,,5.00,
4710578,METRONIDAZOLE 500 MG,PHAR,250,,,,66.40,
4710586,FOLIC ACID 1MG TAB,PHAR,250,,,,3.00,
4710615,GLUCOTROL 10 MG,PHAR,250,,,,4.30,
4710664,INDERAL 10MG TAB,PHAR,250,,,,9.00,
4710666,INDOCIN 25MG CAP,PHAR,250,,,,4.30,
4710688,SODIUM POLY SULF 15GM SUS,PHAR,250,,,,26.80,
4710712,LACTULOSE 30CC LIQUID,PHAR,250,,,,7.50,
4710721,LASIX 40MG TAB,PHAR,250,,,,5.00,
4710744,LOMOTIL 2.5MG TAB,PHAR,250,,,,4.30,
4710745,METOPROLOL TARTRATE TAB,PHAR,250,,,,4.00,
4710756,MAALOX 30CC LIQUID,PHAR,250,,,,5.00,
4710767,BUPIVICAINE .5% 1CC INJ,PHAR,250,,,,25.00,
4710813,EPINEPHRINE .4 UD INH SOL,PHAR,250,,,,7.50,
4710848,MYLANTA <30CC,PHAR,250,,,,4.30,
4710860,NAPROSYN 250MG TAB,PHAR,250,,,,5.00,
4710879,NEOSPORIN OPTH SOL,PHAR,250,,,,147.00,
4710892,NITROGLYCERIN 50MG INJ,PHAR,250,,,,49.30,
4710895,NITROGLYCERIN 2% OINTMENT,PHAR,250,,,,19.00,
4710915,OPTHAINE OPTHAMALIC 15ML,PHAR,250,,,,97.00,
4710948,PEN VK 500MG TAB,PHAR,250,,,,4.30,
4710949,PEN VK 250MG,PHAR,636,,,,5.00,
4711000,PREDNISONE 10MG TAB,PHAR,250,,,,4.30,
4711001,PREDNISONE 5MG TAB,PHAR,250,,,,4.00,
4711012,PROCARDIA 30MG TAB,PHAR,250,,,,12.00,
4711020,VECURONIUM BROMIDE IV,PHAR,250,,,,56.80,
4711021,NORVASC 5MG TAB,PHAR,250,,,,6.00,
4711024,ALBUTERAL/IPRATROPIUM INH,PHAR,250,,,,5.00,
4711034,PYRIDIUM 100MG TAB,PHAR,250,,,,4.30,
4711035,PYRIDIUM 200MG TAB,PHAR,250,,,,5.00,
4711047,REGLAN 10MG TAB,PHAR,250,,,,4.30,
4711060,ETOMIDATE 2MG >10ML,PHAR,250,,,,53.50,
4711086,SULF/TRIM 400/80MG TAB,PHAR,250,,,,5.00,
4711150,ATENOLOL 50MG TAB,PHAR,250,,,,3.00,
4711190,CLINDAMYCIN 150MG PO,PHAR,250,,,,5.00,
4711213,TYLENOL 325MG TAB,PHAR,250,,,,4.30,
4711295,XYLOCAINE 2% W/EPI 1CC IN,PHAR,250,,,,22.00,
4711317,CHARCOAL ACIVT 50GM 8OZ,PHAR,250,,,,27.90,
4711322,CORTISPORIN OINTMENT 15GM,PHAR,250,,,,55.70,
4711327,CIPROFLOXACIN 500MG TAB,PHAR,250,,,,11.80,
4711354,BACITRACIN TOPICAL,PHAR,259,,,,4.30,
4711366,AUGMENTIN 500MG TAB,PHAR,250,,,,7.00,
4711370,OTIC SOL/AURALGAN GTTS,PHAR,250,,,,4.30,
4711399,AUGMENTIN 200MG SUSP,PHAR,250,,,,77.10,
4711413,PREDNISONE 30 CC ELIX,PHAR,250,,,,5.40,
4711415,LOTENSION 10MG TAB,PHAR,250,,,,9.00,
4711446,AZITHROMYCIN 250MG TAB,PHAR,250,,,,8.00,
4711479,NYSTATIN CREAM 1M,PHAR,250,,,,24.70,
4711485,BACLOFEN 10MG TAB,PHAR,250,,,,6.00,
4711516,ASA 81MG TAB,PHAR,250,,,,6.00,
