Kaweah Delta Health Care District,,
CDM Listing as of June 2018,,
,,
,,
ITEM NUMBER,DESCRIPTION, UNIT PRICE 
1200004,Room Rate - Med Surg," $1,761.25 "
1200014,Room Rate - Intermediate Critical Care," $4,336.00 "
1200078,Room Rate - Bed Hold, $731.75 
1200080,Room Rate - SNF Semi Private, $784.00 
1204010,Room Rate - Sub Acute Ventilator," $2,420.25 "
1204011,Room Rate - Sub Acute Non-Ventilator," $1,715.50 "
1204065,Same Day Surgery (Stat), $-   
1220009,Room Rate - Obstetrics," $1,784.00 "
1230016,Room Rate - Pediatrics," $1,797.75 "
1242012,Room Rate - Psych Semi Private," $1,970.75 "
1280076,Room Rate - Rehabilitation Semi Private," $2,181.75 "
1710012,Room Rate - Nursery Newborn Level I," $1,243.25 "
1720017,Room Rate - Nursery Newborn Level II," $2,273.25 "
1740011,Room Rate - Nursery Newborn Level III," $4,045.25 "
1740015,Room Rate - Nursery Newborn Level IV," $4,777.75 "
1800001,Room Rate - Leave Of Absence, $-   
2000001,Room Rate - Intensive Care," $5,028.50 "
2080027,Room Rate - Intensive Care Trauma," $6,535.50 "
2500013,Non-Formulary $0 - $49, $-   
2500022,Non Formulary $800 - $899, $-   
2500120,Epinephrine Inj 1:1000, $6.98 
2500121,Epinephrine Nasal Sol 30, $-   
2500124,Adsorbonac 5Pc Ophth Sol (Stat), $-   
2500127,Afrin Ped Nose Drops 20Ml, $-   
2500130,Albumin 25% 50Ml, $269.70 
2500131,Albumin 25% 100Ml, $269.70 
2500132,Albumin 5% 250Ml, $269.70 
2500133,Albumin 5% 500Ml, $291.18 
2500134,Alcohol Dehydrated Inj, $175.59 
2500138,Methyldopate Hcl 250Mg/5M, $101.38 
2500150,Metoproterneol Aer With I, $-   
2500154,Aminocaproic Acid 5Gm Inj, $35.60 
2500158,Amikacin Up To 500Mg I, $13.01 
2500162,Aminophyllin 250Mg Inj, $55.70 
2500163,Aminophyllin 500Mg Inj, $34.20 
2500174,Cefazolin Up To 1Gm Inj, $13.03 
2500175,Cefazolin Up To 500Mg Inj, $19.80 
2500177,Succinyl Choline Inj 20Mg, $14.28 
2500181,Antilirium 1Mg/2Ml, $188.40 
2500183,Antivenin Latro Mact, $386.60 
2500184,Antivenin Polyvalent Comb," $11,388.00 "
2500233,Lorazapam 2Mg Tubex, $23.00 
2500235,Atropine 1% Oph Sol 5Ml (Stat), $-   
2500236,Atropine Sul Inj 20Ml, $0.24 
2500239,Atropine Inj 1Mg/1Ml, $0.39 
2500240,Atropine 1% Oph Oint (Stat), $-   
2500241,Auralgan Otic 15Ml, $-   
2500255,Bacitracin Opl Oint 3.75G (Stat), $-   
2500256,Bacitracin Inj 50Mu, $61.90 
2500261,Dimercaprol 100Mg Inj, $271.55 
2500269,Diphenhydramine 50Mg/Ml, $18.65 
2500288,Penicillin G Benz Inj, $54.25 
2500293,Blephamide Oph Sol 10Ml (Stat), $-   
2500297,Brethine Inj 1Mg, $100.40 
2500300,Bretylium 500Mg/10Ml, $181.79 
2500306,Bss Opth Sol 15Ml (Stat), $-   
2500310,Bumetamide 0.25 Mg Inj, $24.08 
2500316,Caff W/Sod Benzoate Inj, $101.75 
2500322,Calcium Chloride Abboj, $50.25 
2500326,Cal Gluc Inj 10Ml, $40.10 
2500333,Carbocaine 1% 50Ml Inj, $9.81 
2500334,Carbocaine 1.5% 30Ml, $10.41 
2500351,Celestone 5Ml Mdv 1Pt Use, $18.60 
2500352,Cepacol Loz (Stat), $-   
2500355,Cerumenex Otic, $-   
2500358,Ascorbic Acid 500Mg Inj, $504.90 
2500364,Chloraseptic Spray 180Ml (Stat), $-   
2500370,Chloromycetin 1000 Mg Inj, $217.20 
2500381,Cefotaxime Up To 1Gm Inj, $12.60 
2500382,Cefotaxime Up To 2Gm Inj, $16.95 
2500385,Clindamycin Up To 600Mg I, $19.70 
2500400,Cogentin 2Mg Inj, $153.45 
2500409,Colymycin M Inj 150Mg, $156.20 
2500410,Colymycin S Otic 5Ml (Stat), $-   
2500427,Cortisporin Oph Oint (Stat), $-   
2500428,Cortisporin Oph Susp 5Ml (Stat), $-   
2500429,Cortisporin Otic Sol 10Ml (Stat), $-   
2500430,Cortisporin Otic Susp 10M (Stat), $-   
2500433,Cortrosyn 0.25 Mg Inj, $594.75 
2500443,Cyanide Anti Vial, $37.30 
2500444,Cyanocobalamin 1Mg Inj, $49.40 
2500445,Cyclogyl 2% Oph 2Ml (Stat), $-   
2500446,Cyclogyl 1% Oph 2Ml (Stat), $-   
2500448,Cyclomydril Oph 2Ml (Stat), $-   
2500460,Dhe 45 1Mg Inj, $732.95 
2500461,Eye Stream Oph 30Ml (Stat), $-   
2500469,Dantrium Iv 20Mg, $494.65 
2500481,Ddavp 0.1% 5Ml (Stat), $-   
2500483,Debrox Otic 15Ml (Stat), $-   
2500488,Decadron Oph Sol .1% 5Ml (Stat), $-   
2500495,Delestrogen 40Mg Inj, $86.59 
2500497,Meperidine 50 Mg Inj, $20.70 
2500498,Demerol 75Mg Inj, $19.90 
2500499,Meperidine 100Mg Inj, $43.44 
2500502,Depo-Estradiol 5Mg Inj, $93.45 
2500503,Depo-Medrol 80Mg Inj, $80.20 
2500510,Desferal 500Mg Inj, $172.70 
2500514,Dexamethasone 4Mg Inj 1Ml, $3.74 
2500515,Dexamethasone 4Mg/1Ml Inj, $1.79 
2500518,Dextrose 50Prc Abboject, $54.05 
2500519,Dextrose 50Ml Inj, $14.70 
2500533,Dextrose 5%-1/4 Normal Saline (Stat), $-   
2500546,Diamox 500Mg Inj, $231.60 
2500557,Dilaudid 1Mg Inj, $10.95 
2500559,Dilaudid 2Mg Inj, $9.80 
2500560,Dilaudid 4Mg Inj, $14.25 
2500572,Dobutamine Iv 250Mg, $30.20 
2500581,Domeboro Otic 60Ml (Stat), $-   
2500587,Dopram 20Ml Inj, $234.40 
2500629,Ephedrine 50Mg Inj, $263.90 
2500633,Epifrin Opht 1% 15Ml, $-   
2500634,Epifrin Opht .5% 15Ml, $-   
2500637,Epineph Abboj 1Mg/10Ml, $3.10 
2500659,Evac Cont 500Ml (Stat), $-   
2500673,Metronidazole 500Mg/100Ml, $14.90 
2500678,Influenza Vaccine, $88.33 
2500679,Fluor-I-Strip (Stat), $-   
2500685,Fml Liquifilm Oph 5Ml (Stat), $-   
2500686,Folvite 5Mg Inj 10Ml, $251.80 
2500691,Amphotericin B 50Mg Inj, $212.05 
2500700,Gentamicin Up To 80Mg I, $21.90 
2500702,Garamycin Oph Sol 5Ml (Stat), $-   
2500703,Garamycin Oph Oint 3.5Gm (Stat), $-   
2500704,Gentamicin Inj Ped 20Mg, $26.75 
2500716,Glucagon 1Mg Inj, $957.55 
2500722,Clotrimazole 1% Vag Cr (Stat), $-   
2500728,Haloperidol 5Mg Inj, $40.65 
2500732,Healon .4Ml Oph Syr, $644.50 
2500734,Hep-Lock 100 U 30Ml, $0.97 
2500735,Heparin 1000 U Beef 10Ml, $38.89 
2500736,Heparin 1000U 10Ml, $2.01 
2500739,Pyridoxine Hcl 100Mg Inj, $84.85 
2500746,Insulin Humulin N, $3.49 
2500747,Insulin Humulin R, $3.49 
2500770,Hydroxyzine 100Mg Inj, $22.98 
2500781,Lente U-100 10Ml, $228.93 
2500786,Lente Pork U-100 10Ml, $373.80 
2500796,Erythromycin Opht Oint 3. (Stat), $-   
2500797,Erythromycin Opht Oint U- (Stat), $-   
2500798,Iron Dextran 2Cc, $67.13 
2500802,Propranolol 1Mg Inj, $46.50 
2500808,Indigo Carmine Inj 5Ml, $767.25 
2500822,Verapamil 5Mg Inj 2Ml, $170.30 
2500824,Atropine 1% Opth Sln 5Ml, $-   
2500825,Isopto Carbachol 3% 15Ml, $-   
2500830,Isopto Carpine 1% 15Ml (Stat), $-   
2500831,Isopto Carpine 2% 15Ml (Stat), $-   
2500833,Isopto Carpine 4% 15Ml (Stat), $-   
2500835,Homatropine Hbr 2% Drp (Stat), $-   
2500836,Homatropine Hbr 5% Drp (Stat), $-   
2500838,Artifical Tears (Stat), $-   
2500845,Isuprel .2Mg Inj 5Ml," $7,127.90 "
2500852,Kanamycin 500Mg/2Cc, $32.69 
2500875,Kenalog In Orabase 5Gm (Stat), $-   
2500876,Kenalog-40 Inj 1Ml, $13.19 
2500879,Ketalar 50Ml Inj 10Ml, $24.40 
2500880,Ketalar 100Mg Inj 5Ml, $55.20 
2500882,Phytonadione 0.1Mg Inj, $31.60 
2500891,Digoxin .5Mg Inj 2Ml, $37.30 
2500892,Digoxin Ped Inj 1Ml, $334.25 
2500906,Furosemide 20Mg/2Ml Inj, $16.45 
2500907,Furosemide 40Mg/4Ml Inj, $10.85 
2500908,Furosemide 100Mg/10Ml Inj, $1.94 
2500912,Leucovorin Inj 50Mg, $330.63 
