Proc Code Description,Modifier,Price
1 25 DIHYDROXY INCLUDES FRACTIONS IF PERFORMED,,$774.00 
17-HYDROXYPREGNENOLONE,,$432.00 
1ST HOSP/BIRTHING CENTER CARE PER DAY NML NB,,"$1,020.00 "
25 HYDROXY INCLUDES FRACTIONS IF PERFORMED,,$564.00 
3-D RADIOTHERAPY PLAN DOSE-VOLUME HISTOGRAMS,TC,"$7,071.00 "
3D RENDERING W/INTERP & POSTPROCESS SUPERVISION,TC,$300.00 
3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,TC,$465.00 
ABDOM PARACENTESIS DX/THER W/IMAGING GUIDANCE,,"$2,550.00 "
ABDOM PARACENTESIS DX/THER W/O IMAGING GUIDANCE,,"$2,400.00 "
ABLTJ 1/> LVR TUM PRQ RF,,"$13,186.50 "
ABLTJ 1/> RENAL TUMOR PRQ UNI RADIOFREQUENCY,,"$17,850.00 "
ACOUSTIC REFLEX THRESHOLD,,$183.00 
ACTH STIMJ PANEL 3 BETA-HYDROXYDEHYD DEFNCY,,"$1,288.50 "
ACTH STIMULATION PANEL 21 HYDROXYLASE DEFICIENCY,,"$1,431.00 "
ACTH STIMULATION PANEL ADRENAL INSUFFICIENCY,,$537.00 
ACTIGRAPHY TESTING RECORDING ANALYSIS I&R,TC,$463.50 
ACTIVATED PROTEIN C APC RESISTANCE ASSAY,,$277.50 
ACUTE GASTROINTESTINAL BLOOD LOSS IMAGING,TC,"$1,870.50 "
ACUTE HEPATITIS PANEL,,$798.00 
ACYLCARNITINES QUALITATIVE EACH SPECIMEN,,$228.00 
ACYLCARNITINES QUANTIATIVE EACH SPECIMEN,,$319.50 
ADENOIDECTOMY PRIMARY <AGE 12,,"$8,223.00 "
ADENOIDECTOMY PRIMARY AGE 12/>,,"$8,223.00 "
ADENOSINE 5-MONOPHOSPHATE CYCLIC,,$424.50 
ADJACENT TISSUE TRANSFER/REARGMT TRUNK 10 SQCM/<,,"$6,069.00 "
ADJNT TIS TRANSFR/REARRANGE TRUNK 10.1-30.0 SQCM,,"$6,069.00 "
ADJNT TIS TRNSFR/REARGMT ANY AREA 30.1-60 SQ CM,,"$9,475.50 "
ADJT TIS REARGMT EYE/NOSE/EAR/LIP 10.1-30.0 SQCM,,"$6,069.00 "
ADJT TIS TRNS/REARGMT F/C/C/M/N/A/G/H/F 10SQCM/<,,"$4,248.00 "
ADJT TIS TRNSFR/REARGMT DEFEC EA ADDL 30 SQCM/<,,"$1,894.50 "
ADJT TIS TRNSFR/REARGMT SCALP/ARM/LEG 10 SQ CM/<,,"$6,069.00 "
ADJT TIS TRNSFR/REARRGMT E/N/E/L DFCT 10 SQ CM/<,,"$6,069.00 "
ADJT/REARGMT F/C/C/M/N/AX/G/H/F 10.1-30.0 SQ CM,,"$6,069.00 "
ADJT/REARRGMT SCALP/ARM/LEG 10.1-30.0 SQ CM,,"$6,069.00 "
ADMIN HEPATITIS B VACCINE,,$168.00 
ADMIN INFLUENZA VIRUS VAC,,$168.00 
ADMIN PNEUMOCOCCAL VACCINE,,$168.00 
ADRENAL IMAGING CORTEX &/MEDULLA,TC,"$5,809.50 "
ADRENOCORTICOTROPIC HORMONE ACTH,,$730.50 
AFP-L3 FRACTION ISOFORM & TOTAL AFP W/RATIO,,"$1,219.50 "
AGGLUTININS FEBRILE EACH ANTIGEN,,$109.50 
AIRWAY RESISTANCE BY IMPULSE OSCILLOMETRY,TC,$774.00 
"ALBUMIN (HUMAN), 25%, 50ML",,$454.50 
"ALBUMIN (HUMAN), 5%, 250 ML",,$363.00 
ALBUMIN ISCHEMIA MODIFIED,,$418.50 
ALBUMIN SERUM PLASMA/WHOLE BLOOD,,$64.50 
ALDOSTERONE SUPPRESSION EVALUATION PANEL,,"$2,065.50 "
ALL POTASSIUM HYDROXIDE PREPARATIONS,,$57.00 
ALLERGEN SPEC IGE CRUDE ALLERGEN EXTRACT EACH,,$111.00 
ALLERGEN SPEC IGE QUAL MULTIALLERGEN SCREEN,,$27.00 
ALLERGEN SPEC IGE RECOMBINANT/PURIFIED COMPNT EA,,$265.50 
ALLERGEN SPECIFIC IGG QUAN/SEMIQUAN EA ALLERGEN,,$129.00 
ALLOGRAFT FOR SPINE SURGERY ONLY MORSELIZED,,"$1,692.00 "
ALPHA-1-ANTITRYPSIN PHENOTYPE,,$274.50 
ALPHA-1-ANTITRYPSIN TOTAL,,$255.00 
ALPHA-FETOPROTEIN AMNIOTIC FLUID,,$318.00 
ALPHA-FETOPROTEIN SERUM,,$268.50 
AMINES VAGINAL FLUID QUALITATIVE,,$61.50 
AMINO ACIDS 1 QUALITATIVE EACH SPECIMEN,,$228.00 
AMINO ACIDS 1 QUANTITATIVE EACH SPECIMEN,,$319.50 
AMINO ACIDS 2-5 AMINO ACIDS QUANTITATIVE EA SPEC,,$277.50 
AMINO ACIDS 6/> AMINO ACIDS QUANTITATIVE EA SPE,,$319.50 
AMINO ACIDS MULTIPLE QUALITATIVE EACH SPECIMEN,,$262.50 
AMINOLEVULINIC ACID DELTA,,$312.00 
AMNIOCENTESIS DIAGNOSIC,,"$2,830.50 "
AMNIOTIC FLU SCAN,,$130.50 
AMP F/TH 1/2 JT/PHALANX W/NEURECT LOCAL FLAP,,"$10,365.00 "
AMP F/TH 1/2 JT/PHALANX W/NEURECT W/DIR CLSR,,"$10,365.00 "
AMP LEG THRU TIBIA&FIBULA SEC CLOSURE/SCAR REV,,"$9,225.00 "
