As of January 2019,
1/2 NORMAL SALINE WITH 20MEQ K,$9.54 
1/2NS  1000ML,$3.41 
12X12IN SINGLE CONTACT LAYER,$787.50 
1ST ORD ARTER THOR/BRACHCEPH,$850.00 
1ST ORD ARTER THOR/BRACHCEPH,"$2,600.00 "
2ND ORD ARTER THOR/BRACHCEPH,"$2,800.00 "
3D MAPPING,"$4,800.00 "
3D RENDERING W/POSTPROCESS,"$1,200.00 "
3RD ORD ART ABD/PEL/L EXTREM,"$5,000.00 "
3RD ORD ARTER THOR/BRACHCEPH,"$3,100.00 "
5 HYDROXYINDOLACETIC ACID,$25.00 
A+D OINTMENT 4 OZ,$9.30 
AB ELUTION EA ELUTION,$190.00 
AB ID LEUKOCYTE,$30.00 
AB ID PLATELET,$31.00 
AB SCREEN RBC EA SERUM,$250.00 
ABACA/DOLUT/LAMIVU TRIUMEQ TAB,$354.03 
ABACAVIR SULFATE 20MG/ML SOL,$1.99 
ABACAVIR SULFATE 300MG TAB,$6.94 
ABACAVIR TAB 300 MG,$6.94 
ABACAVIR/LAMIV 600/300MG TAB,$15.63 
ABACAVIR/LAMIVUD 600/300MG TAB,$15.63 
ABBOTT INTRODUCER,$6.30 
ABDOMEN SURGERY UNLISTED PROC,"$3,900.00 "
ABLATE HEART AV DYSRHYT FOCUS,"$9,000.00 "
ABLATION BONE TUMORS PERQUTAN,"$8,500.00 "
ABORTED CASE BEFORE ANES ADMIS,$600.00 
ABORTED CASE BEFORE ANES ADMIS,"$1,400.00 "
ABORTION MULTIFETAL PREG REDU,$900.00 
ABREVA CREAM 10% 2G TUBE,$66.71 
ABSCESS CATHETER CHANGE,"$2,700.00 "
ABSCESS CATHETER CHECK,"$1,200.00 "
ABSCESS LOCAL WHOLE BODY,"$3,100.00 "
ABSCESS LOCALIZATION LTD AREA,"$2,800.00 "
ABSCESS LOCALIZATION SPECT,"$1,500.00 "
ABSOLUTE PROVASC STENT SYS,"$2,012.50 "
ABTMNT DNTL TTNM H3 MM OD5 MM,$136.50 
ABUTMENT 12MM TI CONICL VARSZ,$132.30 
ABUTMENT 3.5 MLTUNT CONICAL,$420.00 
ACAMPROSATE 333MG DR TAB,$3.13 
ACAMPROSATE 333MG TABLET UD,$3.13 
ACARBOSE (PRECOSE) 25MG TAB,$0.61 
ACARBOSE (PRECOSE) 50MG TAB,$0.41 
ACARBOSE TAB 25 MG,$0.61 
ACCESS PLATFORM GELPNT PATH,"$2,537.50 "
ACCOLADE EL DR PACEMAKER,"$14,798.00 "
ACCOLADE SR PACEMAKER,"$9,625.00 "
ACETAMIN ELIX 325MG/10.15ML,$5.36 
ACETAMINO 160MG/5ML 118ML BOT,$3.78 
ACETAMINOPH 325MG/10.15ML SOL,$5.36 
ACETAMINOPH ELIXIR 160MG/5ML,$0.65 
ACETAMINOPHEN 1 OR 2,$84.00 
ACETAMINOPHEN 1000/100 BU10MG,$1.22 
ACETAMINOPHEN 1000MG/100ML SDV,$1.22 
ACETAMINOPHEN 120MG SUPP,$0.69 
ACETAMINOPHEN 160MG/5ML SOL,$0.65 
ACETAMINOPHEN 160MG/5ML SUSP,$0.65 
ACETAMINOPHEN 325MG CAPLET,$0.25 
ACETAMINOPHEN 325MG SUPP,$2.60 
ACETAMINOPHEN 325MG TAB,$0.25 
ACETAMINOPHEN 650MG SUPP,$0.73 
ACETAMINOPHEN 80MG SUPP,$2.60 
ACETAMINOPHEN CAFFEINE AND B,$1.30 
ACETAMINOPHEN ELIXIR 650MG/20,$6.09 
ACETAMINOPHEN EXTRA STR 500MG,$0.37 
ACETAZOLAMIDE 250MG TAB,$5.03 
ACETAZOLAMIDE 500MG VIAL,$47.42 
ACETAZOLAMIDE 50MG/ML 10ML SDV,$47.42 
ACETIC ACID 0.25% IRRIG.,$5.16 
ACETIC ACID 2% 15ML EAR SOL,$53.39 
ACETIC ACID 3% IRRIG,$60.53 
ACETYLCYSTEINE 10% 4ML SDV,$19.69 
ACETYLCYSTEINE 10% VIAL,$19.69 
ACETYLCYSTEINE 20%  10 ML VIA,$23.14 
ACETYLCYSTEINE 20% 30 ML VIAL,$22.65 
ACETYLCYSTEINE 20% 4 ML U/D,$23.71 
ACETYLCYSTEINE 20% 4ML INH,$23.71 
ACETYLCYSTEINE 200MG/ML 30ML V,$4.06 
ACETYLCYSTEINE 3000MG/30ML SDV,$29.60 
ACETYLCYSTEINE 3GM INH BU 1GM,$22.74 
ACETYLCYSTEINE INHAL SOL 20%,$21.76 
ACETYLCYSTEINE INJ 200MG/ML 30,$4.06 
ACHIEVE MAPPING CATH,"$3,150.00 "
ACL GRAFT KNIFE 10MM,$313.95 
ACNE SURGERY,$400.00 
ACTH,$180.00 
ACTICOAT FLEX 7 SILVER PATCH,$30.41 
ACTIVATED CHARCOAL USP,$90.66 
ACTIVATED PROTEIN C RESISTANCE,$270.00 
ACUITY PRO CS GUIDE CATH,$858.00 
ACUITY PRO CS GUIDE CATH,"$1,733.00 "
ACUITY WHISPER GUIDE WIRE,$490.00 
ACUTE GI BLOOD LOSS IMAGING,"$1,300.00 "
ACUTE HEPATITIS PANEL,$280.00 
ACYCLOVIR 200MG CAP,$0.37 
ACYCLOVIR 200MG CAP UD,$0.41 
ACYCLOVIR 400MG TAB,$0.24 
ACYCLOVIR 400MG TAB,$0.25 
ACYCLOVIR 800MG TAB,$0.45 
ACYCLOVIR 800MG TAB UD,$2.03 
ACYCLOVIR SOD 200MG/100ML IVPB,$0.20 
ACYCLOVIR SOD 500 MG VIAL,$0.12 
ACYCLOVIR SODIUM 1GM VIAL,$0.12 
ACYCLOVIR SODIUM 50MG/BU 5 MG,$0.12 
ADALIMUMAB 40MG/0.8ML SD PEN,"$4,618.25 "
ADAPTA DR PACEMAKER VAR SIZE,"$12,600.00 "
ADAPTER BIPOLAR FORCETRIAD,$87.22 
ADAPTER CHUCK UNIVERSAL,"$2,985.50 "
ADAPTER SIGMA FEMORAL 5DEG,"$7,415.10 "
ADAPTER SIGMA FEMORAL BOLT,"$1,039.50 "
ADAPTOR APEX PIN SHORT,$834.75 
ADAPTOR HUMER CUP TRL REUNION,$918.05 
ADAPTR 15CM PRECISION SPECTRA,"$3,118.50 "
ADD ABDOM/PELV/LOW EXTRM ART,"$4,000.00 "
ADDL ARTER THOR/BRACHIOCEPH,"$1,000.00 "
ADDL ICC ABLAT L/R TX ATR FIB,"$8,000.00 "
ADENOSINE 3 MG/ML 4ML IV,$1.58 
ADENOSINE 3MG/ML 2ML SYR,$1.46 
ADENOSINE 3MG/ML 30ML SDV,$3.21 
ADENOSINE 3MG/ML 4ML SYR,$1.58 
ADENOSINE INJ 6MG THERAPEUT,$1.46 
ADENOSINE INJ DX BU 1MG,$1.38 
ADENOSINE IV 6MG/2ML VIAL,$1.46 
ADENOVIRUS AB,$34.00 
ADHESIVE SYRINGE 10ML BIOGLUE,"$2,590.00 "
ADJUSTMENT INSTRUMENT,"$1,212.75 "
ADMIN HEPATITIS B VACCINE,$17.85 
ADMIN HEPATITIS B VACCINE,$80.00 
ADMIN INFLUENZA VIRUS VACCINE,$17.85 
ADMIN INFLUENZA VIRUS VACCINE,$80.00 
ADMIN PNEUMOCOCCAL VACCINE,$17.85 
ADMIN PNEUMOCOCCAL VACCINE,$80.00 
ADMINISTRATION PART D VACCINE,$120.00 
ADROIT GUDING CATHETER,$161.00 
ADVANCE14LP PTA BALL CATHETER,"$1,443.75 "
ADVISA DR PACEMAKER VAR SIZE,"$16,100.00 "
ADVISA SR MRI PACEMAKER,"$15,575.00 "
ADVNCD CARE PLAN 30 MIN,$275.00 
AEROSOL INHAL TRMT PENTAMINE,$650.00 
AFLURIA VAC 3YR>IM SYR 0.5ML,$64.84 
AFTER CATARACT LASER SURGERY,"$1,200.00 "
AFTER HOURS SERVICE,$95.00 
AG DETECT NOS EIA SNGL STEP EA,$45.00 
AGILIS NXT INTRODUCER VAR SIZE,"$3,497.00 "
AHG (COOMBS) TEST DIRECT,$400.00 
AIGISRX MESH ENVELOPE MED,"$3,483.00 "
AL/MG HYDROX SIMETH ORAL SUSP,$6.90 
ALBENDAZOLE 200MG TAB,$736.81 
ALBUMIN HUMAN 25% 50ML,$148.72 
ALBUMIN HUMAN 5% 250 ML,$130.41 
ALBUMIN HUMAN 5% 500ML IV,$167.48 
ALBUMIN NORMAL SERUM 25% 100ML,$148.72 
ALBUMIN NORMAL SERUM 25% 50ML,$148.72 
ALBUMIN NORMAL SERUM 5% 50ML,$129.92 
ALBUMIN NORMAL SERUM 5%SOL 250,$141.94 
ALBUMIN NORMAL SERUM 5%SOL 500,$167.48 
ALBUMIN OTHER SOURCE,$51.00 
ALBUMIN SERUM,$40.00 
ALBUTEROL & IPRATROPIUM,$1.14 
ALBUTEROL 0.63MG/3ML NEBUL,$2.07 
ALBUTEROL 0.83% 2.5MG/3ML SOL,$0.53 
ALBUTEROL 1.25 MG/3 ML SOL,$2.19 
ALBUTEROL 1.25MG/3ML NS SOLUT,$2.19 
ALBUTEROL 2.5MG/ NSS 3ML,$0.70 
ALBUTEROL HFA 90MCG INH 200 DS,$203.93 
ALBUTEROL HFA 90MCG INH 60 DS,$206.82 
ALBUTEROL SULFATE 0.5% SOL.,$1.30 
ALC/DRUG BRF INTVN WO SCN GT30,$150.00 
ALC/DRUG BRF INTVN WO SCN15 30,$150.00 
ALCOHOL DETOX WARD,"$2,750.00 "
ALCOHOL ETHANOL EXC BREATH,$40.00 
ALCOHOL ETHANOL EXC BREATH SC,$153.00 
ALCOHOL REHAB SEMIPRIVATE ROOM,"$4,900.00 "
ALCOHOL/DRUG GROUP COUNSELING,$220.00 
ALDOLASE,$67.00 
ALDOSTERONE,$68.00 
ALENDRONATE 70MG TAB,$7.61 
ALFENTANIL 0.5MG/ML 2ML,$10.10 
ALFUZOSIN ER 10MG TABLET,$0.28 
ALFUZOSIN EXT REL 10MG TAB UD,$0.28 
ALLERGEN SPECIFIC IGE EA QNT,$35.00 
ALLGORAFT WEDGE EVANS VARSZ,"$4,200.00 "
ALLGRFT  FILLER 10 FRZ DRIED,$351.58 
ALLGRFT SIZER TROCHLEAR VARSZ,"$1,575.00 "
ALLLURE RF PACEMAKER,"$19,933.00 "
ALLODERM RTM THIN 4CMX7CM,$101.00 
ALLODERM RTU PERF THICK 164SQ,$114.55 
ALLODERM SELECT TIS 10X16CM,$111.30 
ALLODERM SELECT TIS 10X16CM,$123.45 
ALLOGRAFT BONE CHIPS   30CC,"$1,106.18 "
ALLOGRAFT CERV 5X7MM FROZEN,"$4,331.25 "
ALLOGRAFT CERV 6X8MM FROZEN,"$4,090.63 "
ALLOGRAFT CERV 7X9MM FROZEN,"$4,090.63 "
ALLOGRAFT CERV CORNER 8X11MM,"$2,616.25 "
ALLOGRAFT CERV PARA VAR SIZES,"$3,876.43 "
ALLOGRAFT CHIPS CANC  15CC,$38.50 
ALLOGRAFT CHIPS CANC 15CC,$643.13 
ALLOGRAFT CHIPS CANC 30CC,"$1,735.76 "
ALLOGRAFT CORNER 8X14X11,$113.72 
ALLOGRAFT COT/ BLOCK 6X11MM,"$2,616.25 "
ALLOGRAFT DBM GRAFTON .5 ML,$289.80 
ALLOGRAFT DELIVERY SYS LT BIO,"$1,662.50 "
ALLOGRAFT GRACILIS TENDON,"$3,821.30 "
ALLOGRAFT MAGNIFUSE DBM 1.75,"$9,800.00 "
ALLOGRAFT MAGNIFUSE DBM 1X5CM,"$3,858.75 "
ALLOGRAFT MAGNIFUSE DBM1X10CM,"$6,370.00 "
ALLOGRAFT MAGNIFUSE DBM1X20CM,"$9,432.50 "
ALLOGRAFT OSTEO CARTIFORM 20,"$29,750.00 "
ALLOGRAFT TENDON W/CALC,"$5,461.05 "
ALLOPURINOL 100MG TAB,$0.37 
ALLOPURINOL 100MG TAB UD,$0.37 
ALLOPURINOL 300MG TAB,$0.28 
ALLOPURINOL 300MG TAB UD,$0.28 
ALPHA 1 ANTITRYPSIN TOTAL,$40.00 
ALPHAFETOPROTEIN SERUM,$150.00 
ALPHA-FETOPROTEIN/AFP-L3,$207.00 
ALPRAZOLAM 0.25MG TAB,$0.25 
ALPRAZOLAM 0.25MG TAB UD,$0.25 
ALPRAZOLAM 0.5MG TAB,$0.25 
ALPRAZOLAM 1MG TAB,$0.25 
ALPRAZOLAM 1MG TAB UD,$0.25 
ALS MILEAGE FROM HOME,$50.00 
ALS MILEAGE FROM SCENE,$50.00 
ALS2 AMBULANCE FROM HOME,"$2,400.00 "
ALS2 AMBULANCE FROM SCENE,"$2,400.00 "
ALTEPLASE 100MG VIAL/BU 1 MG,$333.69 
ALTEPLASE 100MG/100ML VIAL,$333.69 
ALTEPLASE 2MG VIAL/BU 1 MG,$290.21 
ALTEPLASE 50 MG IV/BU 1 MG,$333.69 
ALTEPLASE 50MG/50ML VIAL,$333.69 
ALTEPLASE INJ 2 MG (CATH FLO),$290.21 
ALUMINUM SULFATE AND CALCIUM A,$2.60 
ALVIMOPAN 12MG CAP,$638.92 
ALVIMOPAN ENTEREG CAP 12MG,$638.92 
AMANTADINE 100MG CAP,$0.89 
AMANTADINE 50MG/5ML SYRP  10M,$5.80 
AMANTADINE 50MG/5ML SYRUP BLK,$1.54 
