,Procedures Listing,,,,,
,,,,,,
,,2017/2018,,2018/2019,,
OPCS,Description,Day Case (£),In Patient ,Day Case (£),In Patient ,
A52,Therapeutic epidural injection,829.21,,£847,,
A54,Therapeutic spinal puncture,555,,£566,,
A55,Diagnostic spinal puncture,678,,£692,,
A57,Operations on spinal nerve root,865,,£883,,
A60,Destruction of peripheral nerve,836,,£853,,
A61,Extirpation of lesion of peripheral nerve,1599,,"£1,632",,
A64,Other repair of peripheral nerve,,"3,165",,"£3,232",
A65,Release of entrapment of peripheral nerve at wrist,1274,"3,138","£1,301","£3,204",
A67,Release of entrapment of peripheral nerve at other site,1418,"2,191","£1,448","£2,237",
A81,Other operations on sympathetic nerve,864,"1,844",£882,"£1,883",
B08,Excision of thyroid gland,2237,"3,739","£2,284","£3,818",
B10,Operations on thyroglossal tissue,,"2,571",,"£2,625",
B12,Other operations on thyroid gland,,"2,414",,"£2,465",
B14,Excision of parathyroid gland,,"2,717",,"£2,774",
B16,Other operations on parathyroid gland,1612,"2,133","£1,646","£2,178",
B27,Total excision of breast,5473,"7,411","£5,588","£7,566",
B28,Other excision of breast,2989,"4,754","£3,052","£4,854",
B29,Reconstruction of breast,,"14,161",,"£14,459",
B31,,,"3,484",,"£3,557",
B34,Operations on duct of breast,2929,"3,262","£2,990","£3,331",
B35,Operations on nipple,2875,,"£2,935",,
B36,Reconstruction of nipple and areola,2749,"5,031","£2,807","£5,137",
C01,Excision of eye,1054,,"£1,076",,
C06,Incision of orbit,,"2,485",,"£2,537",
C09,Replacement of canthal tendon,2009,,"£2,051",,
C10,Operations on eyebrow,1048,"2,702","£1,070","£2,759",
C11,Operations on canthus,969,"4,180",£990,"£4,268",
C12,Extirpation of lesion of eyelid,897,"2,804",£915,"£2,863",
C13,Excision of redundant skin of eyelid,1523,,"£1,555",,
C14,Reconstruction of eyelid,1543,,"£1,575",,
C15,Correction of deformity of eyelid,1393,"2,759","£1,422","£2,817",
C16,Other plastic repair of eyelid,1251,,"£1,277",,
C17,Other repair of eyelid,1659,,"£1,693",,
C18,Correction of ptosis of eyelid,1497,,"£1,528",,
C19,Incision of eyelid,679,,£693,,
C20,Protective suture of eyelid,1608,,"£1,642",,
C22,Other operations on eyelid,832,,£850,,
C25,Connection between lacrimal apparatus and nose,1560,"2,677","£1,592","£2,733",
C26,Other operations on lacrimal sac,1065,,"£1,088",,
C27,Operations on nasolacrimal duct,1093,"2,316","£1,116","£2,364",
C29,Other operations on lacrimal apparatus,950,,£970,,
C31,Combined operations on muscles of eye,1172,,"£1,197",,
C32,Recession of muscle of eye,1658,,"£1,692",,
C33,Resection of muscle of eye,2001,,"£2,043",,
C37,Other operations on muscle of eye,1004,,"£1,025",,
C39,Extirpation of lesion of conjunctiva,1256,,"£1,283",,
C43,Other operations on conjunctiva,584,,£596,,
C45,Extirpation of lesion of cornea,667,,£681,,
C46,Plastic operations on cornea,784,,£800,,
C47,Closure of cornea,1008,,"£1,029",,
C51,Other operations on cornea,,"3,551",,"£3,626",
C53,Extirpation of lesion of sclera,819,,£836,,
C54,Buckling operations for attachment of retina,1420,,"£1,450",,
C57,Other operations on sclera,2441,,"£2,492",,
C60,Filtering operations on iris,1038,,"£1,059",,
C61,Other operations on trabecular meshwork of eye,1018,,"£1,039",,
C64,Other operations on iris,1226,,"£1,252",,
C65,Operations following glaucoma surgery,636,,£649,,
C66,Extirpation of ciliary body,1616,,"£1,649",,
