Sharp HealthCare Fiscal Year 2018 Average DRG Charges,,
,"In accordance with Centers for Medicare and Medicaid Fiscal Year 2019 Inpatient Prospective Payment System Final Rule, 83 Federal Reg. 41144 (Aug. 17, 2018). Sharp HealthCare publishes their standard charges for each diagnosis-related group (DRG) established under section 1886(d)(4) of the Social Security Act.  These charges were calculated from discharge data for Fiscal Year 2018 (October 1st, 2017 through September 30th, 2018).  Each calculation is the average charge for that DRG within the first standard deviation and are in order from highest occurrence to lowest.  Please be aware this is only an average calculation and that every visit is different.  Please note that standard charges are not always reflective of the price you will pay for the services provided. You can obtain a price estimate by calling our centralized price estimate line at 858-499-5901.",
DRG,DRG Description, Avg Charges 
775,Vaginal delivery w/o complicating diagnoses," $19,430.86 "
871,Septicemia or severe sepsis w/o MV >96 hours w MCC," $76,577.34 "
766,Cesarean section w/o CC/MCC," $38,759.73 "
470,Major hip and knee joint replacement or reattachment of lower extremity w/o MCC," $100,263.52 "
765,Cesarean section w CC/MCC," $47,127.28 "
291,Heart failure & shock w MCC," $56,438.82 "
872,Septicemia or severe sepsis w/o MV >96 hours w/o MCC," $50,948.97 "
794,Neonate w other significant problems," $13,230.25 "
392,"Esophagitis, gastroent & misc digest disorders w/o MCC"," $36,049.20 "
795,Normal newborn," $8,277.71 "
774,Vaginal delivery w complicating diagnoses," $23,374.13 "
189,Pulmonary edema & respiratory failure," $59,733.55 "
603,Cellulitis w/o MCC," $33,295.12 "
194,Simple pneumonia & pleurisy w CC," $43,127.14 "
193,Simple pneumonia & pleurisy w MCC," $60,016.11 "
853,Infectious & parasitic diseases w O.R. procedure w MCC," $224,220.87 "
190,Chronic obstructive pulmonary disease w MCC," $54,086.36 "
690,Kidney & urinary tract infections w/o MCC," $41,145.25 "
65,Intracranial hemorrhage or cerebral infarction w CC or tPA in 24 hrs," $55,114.47 "
641,"Misc disorders of nutrition,metabolism,fluids/electrolytes w/o MCC"," $38,392.45 "
247,Perc cardiovasc proc w drug-eluting stent w/o MCC," $132,976.90 "
64,Intracranial hemorrhage or cerebral infarction w MCC," $87,715.01 "
793,Full term neonate w major problems," $39,573.21 "
683,Renal failure w CC," $41,213.40 "
292,Heart failure & shock w CC," $44,159.37 "
308,Cardiac arrhythmia & conduction disorders w MCC," $58,979.30 "
682,Renal failure w MCC," $59,109.54 "
309,Cardiac arrhythmia & conduction disorders w CC," $41,790.87 "
781,Other antepartum diagnoses w medical complications," $29,893.23 "
378,G.I. hemorrhage w CC," $48,884.34 "
330,Major small & large bowel procedures w CC," $140,956.97 "
689,Kidney & urinary tract infections w MCC," $51,803.18 "
638,Diabetes w CC," $44,012.43 "
481,Hip & femur procedures except major joint w CC," $105,801.98 "
313,Chest pain," $37,617.56 "
