Hospital Name:  St Elizabeth Community Hospital,,,,,,,
OSHPD Facility No: 106521041,,,,,,,
"Effective Date of Charges: June 1, 2018",,,,,,,
,,,,,,,
"CDM
Number",Billing Description (25 char), 999 Price  (Default) ,Zero Price Indicator,,,,
0001602,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0002204,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0002402,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0002600,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0011007,ROOM ICU TRAUMA          ," 9,010.00 ",,,,,
0011205,ROOM ICU TRAUMA          ," 9,010.00 ",,,,,
0011403,ROOM ICU TRAUMA          ," 9,010.00 ",,,,,
0012807,NEWBORN I ON PEDS        ," 2,347.00 ",,,,,
0013003,NEWBORN LEVEL I          ," 2,347.00 ",,,,,
0021006,ROOM CCU GENERAL         ," 9,010.00 ",,,,,
0021204,ROOM CCU GENERAL         ," 9,010.00 ",,,,,
0021402,ROOM CCU GENERAL         ," 9,010.00 ",,,,,
0021808,ROOM CCU GENERAL         ," 9,010.00 ",,,,,
0022806,NEWBORN II ON PEDS       ," 8,085.00 ",,,,,
0023002,NEWBORN II ON NURSY      ," 8,085.00 ",,,,,
0023010,NEWBORN II COUPLET       ," 8,085.00 ",,,,,
0031906,ROOM INTER CCU/TELE      ," 5,244.00 ",,,,,
0031914,ROOM INTER CCU/TELE      ," 5,244.00 ",,,,,
0032805,NEWBORN NICU III         ," 9,010.00 ",,,,,
0033506,NEWBORN NICU III         ," 9,010.00 ",,,,,
0039008,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0042804,ROOM SEMI PVT PED        ," 3,437.00 ",,,,,
0043505,NEWBORN NICU IV          ," 10,812.00 ",,,,,
0049007,ROOM SEMI PVT PED        ," 3,437.00 ",,,,,
0050021,OUTPT IN A BED NC        , -   ,1,,,,
0051110,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0051128,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0051201,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0051409,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0051508,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0051607,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0051805,ROOM SEMI M/S/GYN        ," 3,437.00 ",,,,,
0051904,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0051912,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0052001,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0052209,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0052407,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0052605,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0052803,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0054007,ROOM SEMI M/S/G OB       ," 3,781.00 ",,,,,
0059006,ROOM SEMI M/S/GYN        ," 3,781.00 ",,,,,
0061002,ROOM ICU GENERAL         ," 9,010.00 ",,,,,
