Hospital Name:  St Joseph's Medical Center Stockton,,,,,
OSHPD Facility No: 106391042,,,,,
"Effective Date of Charges: July 1, 2018",,,,,
,,,,,
"CDM
Number",Billing Description (25 char),999 Price  (Default),Zero Price Indicator,,
0012450,NEWBORN LEVEL I          ," 4,924.00 ",,,
0013409,NEWBORN LEVEL I          ," 4,924.00 ",,,
0013417,NEWBORN LEVEL I          ," 4,924.00 ",,,
0013425,NEWBORN LEVEL I          ," 4,924.00 ",,,
0013433,NEWBORN LEVEL I          ," 4,924.00 ",,,
0014449,NEWBORN LEVEL I          ," 4,924.00 ",,,
0022459,NEWBORN II COUPLET       ," 5,682.00 ",,,
0023408,NEWBORN II ON NURSY      ," 5,682.00 ",,,
0023416,NEWBORN II COUPLET       ," 5,463.00 ",,,
0023432,ROOM SEMI M/S/GYN        ," 5,957.00 ",,,
0024448,NEWBORN II ON NICU       ," 11,838.00 ",,,
0034447,NEWBORN NICU III         ," 14,050.00 ",,,
0041400,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0042408,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0042416,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0042424,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0042432,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0042440,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0042457,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0042465,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0042473,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0042481,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0042499,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0043414,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0043422,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0043430,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0044404,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0044412,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0044420,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0044438,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0044446,NEWBORN NICU IV          ," 14,050.00 ",,,
0044453,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0045401,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0045419,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0045435,ROOM SEMI PVT PED        ," 6,367.00 ",,,
0051409,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0052407,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0052415,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0052423,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0052431,ROOM SEMI M/S/GYN        ," 6,195.00 ",,,
0052449,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0052456,ROOM SEMI M/S/GYN        ," 6,195.00 ",,,
0052464,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0052472,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0052480,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0052498,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0053413,ROOM SEMI M/S/G OB       ," 6,195.00 ",,,
