Hospital Name:  St. Jude Medical Center,,
OSHPD Facility No: 106301342,,
"Effective Date of Charges: June 1, 2018",,
,,
"In response to requests from hospitals and the public, OSHPD has developed this form to assist hospitals in collecting and submitting the average charge for 25 common outpatient procedures performed by hospitals, as required by AB 1045 (Chapter 532, Statutes of 2005).  Use of the OSHPD form is voluntary, but highly encouraged, as it allows hospitals to report and the public to compare uniform information regarding common outpatient procedures.",,
Evaluation & Management Services (CPT Codes 99201-99499),2018 CPT Code,Average Charge
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,$962.00
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$1,478.00"
"Emergency Room Visit, Level 4 (high severity)",99284,"$2,309.00"
"Outpatient Visit, established patient, 15 minutes",99213,
Laboratory & Pathology Services (CPT Codes 80047-89398),2018 CPT Code,Average Charge
Basic Metabolic Panel,80048,$190.00
"Blood Gas Analysis, including 02 saturation",82805,
"Complete Blood Count, automated",85027,$140.00
"Complete Blood Count, with differential WBC, automated",85025,$249.00
Comprehensive Metabolic Panel,80053,$330.00
"Creatine Kinase (CK), (CPK), Total",82550,$139.00
Lipid Panel,80061,$280.00
Partial Thromboplastin Time,85730,$152.00
Prothrombin Time,85610,$143.00
Thyroid Stimulating Hormone,84443,$171.00
"Troponin, Quantitative",84484,$283.00
"Urinalysis, without microscopy",81002 or 81003,
"Urinalysis, with microscopy",81000 or 81001,
Radiology Services  (CPT Codes 70010-79999),2018 CPT Code,Average Charge
"CT Scan, Abdomen, with contrast",74160,"$3,122.00"
"CT Scan, Head or Brain, without contrast",70450,"$2,433.00"
"CT Scan, Pelvis, with contrast",72193,
"Mammography, Screening, Bilateral",77067,
"MRI, Head or Brain, without contrast, followed by contrast",70553,
"Ultrasound, Abdomen, Complete",76700,$722.00
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,
"X-Ray, Lower Back, four views",72110,$482.00
"X-Ray, Chest, two views",71046,$290.00
Medicine Services  (CPT Codes 90281-99607),2018 CPT Code,Average Charge
"Cardiac Catheterization, Left Heart, percutaneous ",93452,
"Echocardiography, Transthoracic, complete",93307,
"Electrocardiogram, routine, with interpretation and report",93000,
"Inhalation Treatment, pressurized or nonpressurized",94640,
"Physical Therapy, Evaluation",97161-97163,$482.00
"Physical Therapy, Gait Training",97116,$123.00
"Physical Therapy, Therapeutic Exercise",97110,
Surgery Services  (CPT Codes 10021-69990),2018 CPT Code,Average Charge
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
"Arthroscopy, Shoulder, with partial acromioplasty",29826,
Carpal Tunnel Surgery,64721,"$7,226.00"
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,"$13,530.00"
"Colonoscopy, diagnostic",45378,"$5,284.00"
"Colonoscopy, with biopsy",45380,
"Colonoscopy, with lesion removal, by snare technique",45385,"$7,339.00"
"Discission, secondary membranous cataract, laser surgery",66821,"$2,812.00"
"Endoscopy, Upper GI, with biopsy",43239,
"Endoscopy, Upper GI, diagnostic",43235,
"Excision, Breast Lesion, without preoperative radiological marker",19120,
"Hernia Repair, Inguinal, 5 years and older",49505,
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,
"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
Laparoscopic Cholecystectomy,47562,
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
Other Common Outpatient Procedures (list as needed),2018 CPT Code,Average Charge
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Count of Reported Procedures (minimum 25 required),,25
Instructions for Completing AB 1045 Common Outpatient Procedure Form,,
"1. Enter Hospital Name and OSHPD Facility Number.  Revise Effective Date of Charges, if necessary.",,
2. Enter Average Charge for at least 25 commonly performed outpatient procedures.  For Evaluation & Management,,
"    Services, do not include related ancillary charges.  For all other procedures, include related ancillary charges.",,
    NOTE:  The CPT codes are included on this form to help identify the listed procedures based on the frequencies,,
   across hospital-based ambulatory surgery data.  The average charge for all related services and procedures,,
"    (e.g., supplies, drugs, lab, use of operating room, etc.) should be included in the average charge for that procedure.",,
"3. Do not change procedure descriptions or CPT code references.  Use ""Other Common Outpatient Procedures"" ",,
    (rows 62-71) if you are unable to select procedures from list.,,
"4. Submit completed form as Excel (.xls) file, along with chargemaster and percent change in gross revenue",,
"    calculation, by e-mail to chargemaster@oshpd.ca.gov or by standard mail on CD.",,
