Hospital Name:   Tahoe Forest Hospital District,,,
OSHPD Facility No:   291053,,,
"Effective Date of Charges: June 1, 2017",,,
Charge Code,Description,Primary Price,Zero Charge
100000019,HCHG BONE MARROW BX NDL/TROCAR,1654.00,
100000028,HCHG MEAS POST VOID BLADDR RESID SCAN,139.00,
100000033,HCHG FETAL CONTRACTION STRESS TEST,376.00,
100000034,HCHG FETAL NON STRESS TEST,376.00,
100001003,HCHG SPIROMETRY W/WO MAX VOLUNTARY VNT,395.00,
100001005,HCHG BRONCHODIAL PRE AND POST W MVV,365.00,
100001007,HCHG VITAL CAPACITY TOTAL,122.00,
100001018,HCHG AIRWAY OBSTRUCTION SPUTUM INDUCT,503.00,
100001021,HCHG DEMO/EVAL OF PT USE AEROSOL,503.00,
100001022,HCHG CHEST WALL MANIPULATION INITIAL,966.00,
100001023,HCHG CHEST WALL MANIPULATION SUBQ,129.00,
100001024,HCHG O2 UPTAKE EXP GAS ANALYSIS W CO2,340.00,
100001031,HCHG CO2 EXP GAS DETERM IR DAILY,188.00,
100001035,HCHG CHEMO SQ/IM NON-HORMON ANTI-NEO,132.00,
100001036,HCHG CHEMO SQ/IM HORMONAL ANTI-NEO,244.00,
100001039,HCHG CHEMO IV PUSH SINGLE/INITIAL,462.00,
100001040,HCHG CHEMO IV PUSH EA ADDL DRUG,462.00,
100001041,HCHG CHEMO IV INFUSION SGL/INIT<1HR,827.00,
100001042,HCHG CHEMO IV INFUSION EA ADDL HR,244.00,
100001043,HCHG CHEMO IV INFUSION>8HRS VIA PUMP,827.00,
100001048,HCHG CHEMO ADMIN INTRATHCAL W/SPINAL,1534.00,
100001049,HCHG REFILL/MAINT IMPLANTABLE PUMP,384.00,
100001058,HCHG ATTEND DELIVERY/STABILIZATION NB,188.00,
100001074,HCHG IMMUN ADMIN INFLUENZA VACCINE,32.00,
100001084,HCHG METER DOSE INHALER,503.00,
100001085,HCHG IPV INTRAPULMONARY PERCUSSIVE VENT,605.00,
100001086,HCHG IPV INTRAPULMONARY PERCUSSIVE VENT SUB,170.00,
100001087,HCHG PEP THERAPY INITIAL,311.00,
100001088,HCHG PEP THERAPY SUBSEQ,170.00,
100001092,HCHG APNEA MONITOR STATISTICAL CHARGE,0.00,Tracking Utilization
100001093,HCHG BRONCH ASSIST STATISTICAL CHARGE 30 MIN,0.00,Tracking Utilization
100001097,HCHG RT ET TUBE STAT CHARGE 15 MIN,0.00,Tracking Utilization
100001099,HCHG RT NASAL WASH STAT CHARGE,0.00,Tracking Utilization
100001101,HCHG RT OB RESPONSE STAT CHARGE,0.00,Tracking Utilization
100001102,HCHG RT OXYGEN TRANSPORT STAT 15 MIN,0.00,Tracking Utilization
100001104,HCHG RT PROCEDURAL SEDATION ASSIST STAT CHG 15 MIN,0.00,Tracking Utilization
100001105,HCHG RT EDUCATION 15 MIN STAT CHG,0.00,Tracking Utilization
100001107,HCHG RT THERAPEUTIC ASSIST/INTERVENTION STAT 15 MI,0.00,Tracking Utilization
100001109,HCHG OXYGEN DAILY,524.00,
100001112,HCHG INITIAL ADULT VENT DAY CHARGE,2807.00,
100001113,HCHG ADULT VENT SUBSEQ DAY CHG,967.00,
100001124,HCHG RT INTUBATION TRAY-A STAT 30 MIN,0.00,Tracking Utilization
100001128,HCHG RT PERC TRACH 30MIN STAT,0.00,Tracking Utilization
100001129,HCHG RT TRAUMA RESPONSE 15MIN STAT,0.00,Tracking Utilization
100001256,"HCHG IV INFUSION,TX,PROPH,DX INIT UP TO 1 HR",461.00,
100001257,HCHG TRACH TUBE CHANGE,554.00,
100001261,HCHG I/D ABSCESS SIMPLE,475.00,
100001271,HCHG AVULSION NAIL PLATE SINGLE,166.00,
100001273,HCHG EXC NAIL/MATRIX PERM REM,526.00,
100001278,HCHG DESTRUCT BENIGN LES 1ST LES,112.00,
100001279,HCHG DESTRUCTION 2 THRU 14 LESIONS,7.00,
100001280,HCHG CHEMICAL CAUTERY WOUND,142.00,
100001281,HCHG APPL CAST SHORT ARM,137.00,
100001282,HCHG APPL CAST HAND AND FOREARM,85.00,
100001284,HCHG APPL CAST LONG LEG,105.00,
100001287,HCHG CAST REM FULL LEG/ARM,685.00,
100001288,HCHG INTUBATION ENDOTRACHEAL EMERG,604.00,
100001289,HCHG LARYNGOSCOPY FLEX DX,122.00,
100001297,HCHG UMBILIC VEIN CATH NWBRN,283.00,
100001298,HCHG FLEX EGD W PLACEMENT PERC GASTRO TUBE,2702.00,
100001303,HCHG I/D VULVA/PERINEAL ABSCESS,3.00,
100001317,HCHG OP VISIT LEVEL I EST PATIENT,20.00,
100001350,HCHG INS BLADDER CATH NON INDWELL,90.00,
100001351,HCHG INS BLADDER CATH INDWELL SIMP,75.00,
100001352,HCHG INS BLADDER CATH INDWELL COMP,395.00,
100001354,HCHG PUNCTURE SPINAL/LUMBAR DX,1203.00,
100001361,HCHG INJECTION SUBQ/IM,165.00,
100001370,HCHG OP VISIT LEVEL II EST PT,42.00,
100001371,HCHG OP VISIT LEVEL III EST PT,69.00,
100001372,HCHG OP VISIT LEVEL IV EST PT,102.00,
100001373,HCHG OP VISIT LEVEL V EST PT,137.00,
100001397,HCHG BLADDER IRRIGATION SMPL LAVAGE,53.00,
100001401,HCHG ALLERGY SINGLE INJECTION,108.00,
100001402,HCHG ALLERGY MULTIPLE INJECTION,108.00,
100001420,HCHG INJECTION SQ/IM,165.00,
100001421,HCHG INJECTION INTRA ARTERIAL,111.00,
100001422,"HCHG INJ IVP,INITIAL DRUGS/SUB",181.00,
100001435,HCHG RESPIRATORY FLOW VOL LOOP PF,132.00,
100001451,HCHG INHALATION/NEBULIZER TREATMENT,503.00,
100001454,HCHG CPAP INITIATION AND MANAGEMENT,966.00,
100001460,HCHG O2 PULSE OXIMETRY SINGLE DETERM,23.00,
100001467,HCHG CPR STAT ONLY,0.00,Tracking Utilization
100001469,HCHG INHALATION/NEBULIZER TREATMENT INITIAL,503.00,
100001471,HCHG AMNIOINFUSION,472.00,
100001472,HCHG IUPC APPLICATION,472.00,
100001475,HCHG AMNIOCENTESIS DIAGNOSTIC,838.00,
100001477,"HCHG IV INFUSION, HYDRATION INIT UP TO 1HR",277.00,
100001478,"HCHG IV INFUSION, ADDL SEQ UP TO 1 HR",170.00,
100001480,"HCHG IV INFUSION, CONCURRENT UP TO 1 HR",117.00,
100001482,HCHG APPLICATION OF SHORT LEG SPLINT,141.00,
100001484,HCHG COLLECT BLOOD IMPLANT VEN ACC DEV,131.00,
100001487,HCHG CATHETERIZATION UMBILICAL ARTERY,170.00,
100001488,HCHG INCISION OF LINGUAL FRENUM,3220.00,
100001491,HCHG CIRCUMCISION CLAMP OTH DEV W BLOCK,547.00,
100001493,HCHG INJ IVP EA ADDL SEQ NEW DRUG,181.00,
100001495,HCHG CHEMO ADMIN EA ADD SEQ INFSN 1 HR,305.00,
100001506,HCHG CPAP PER DAY,503.00,
100001510,HCHG RESPIRATORY ASSESSMENT NC,0.00,Tracking Utilization
100001514,HCHG INCENTIVE SPIROMETRY TX,0.00,Tracking Utilization
100001515,HCHG SUCTION,395.00,
100001518,HCHG IV INFUSION EA ADDL HOUR,117.00,
100001521,HCHG CARE HIGH RISK ANTENATAL OR POSTPARTAL,3669.00,
100001529,HCHG CPR,769.00,
100001535,HCHG INHALATION/NEBULIZER TREATMENT REPEAT,503.00,
100001536,HCHG METER DOSE INHALER REPEAT,503.00,
100001538,HCHG RT O2 PULSE OXIMETRY MULTI DETERM,134.00,
100001539,HCHG RT O2 PULSE OXIMETRY SINGLE DETERM,105.00,
100001540,HCHG RT O2 PULSE OX CONTINUOUS OVERNIGHT,287.00,
100001541,HCHG INJ IVP ADDL SAME DRUG/SUB AFTER 30MIN,30.00,
100001542,HCHG ADMIN PNEUMONIA VACCINE,93.00,
100001548,HCHG IMM ADMIN VAC/TOXOID X1,93.00,
100001549,HCHG IMM ADMIN VAC/TOXOID EA ADDL,80.00,
100001552,HCHG ADMIN HEPATITIS B VACCINE,93.00,
100001560,HCHG PHOTOTHERAPY DAILY,600.00,
100001561,HCHG OXYGEN < 1 HOUR,25.00,
100001564,HCHG HIGH RISK ATTEND/STABILIZATION,248.00,
100001566,HCHG CAREGIVER TRAINING/INSTRUCTION >1HR,220.00,
