CDM NO,DISPENSED DESCRIPTION,PRICE,TYPE,NOTE
34800227,STAT CHARGE ONLY - PER VISIT,,2,Statistical Charge 
38000501,COMPONENT FEM CR LT 4N,"8,071.00",0,
38000543,INSERT 1-2 9MM PS HI FLX GEN2,"10,886.00",0,
38000568,COMPONENT FEM LT 9 BCS,"8,421.00",0,
38000824,SHEATH URETER NAV HD 11/13FX36,396.00,0,
38000832,SHEATH URETER NAV HD 11/13FX46,434.00,0,
38000840,MATRIX CELL BONE 15CC VIVIGEN,"18,001.00",0,
38000899,ELECTRODE EMBLEM S-ICD 3401,"15,791.00",0,
38001038,PLATE ANKLE FUSION LATERAL TT,"7,282.00",0,
38001509,SCREW VARI S TAP 3.5X12MM,434.00,0,
38001574,SCREW OSTEOPENIC 4X40MM,80.00,0,
38001822,NAIL 130D CANN TFNA 11X235MM,"7,575.00",0,
38002119,IMPLANT BREAST SRX 750CC,"3,230.00",0,
38002127,IMPLANT BREAST SRX 800CC,"3,230.00",0,
38002135,IMPLANT BREAST SRX 770CC,"3,230.00",0,
38002218,CAGE 11X25MM BATTALION PS,"6,936.00",0,
38002226,CAGE 10.25MM BATTALION PS,"6,972.00",0,
38002234,SHELL ACET G7 PPS LTD 60 G,"2,984.00",0,
38002317,BANDAGE PREVENA KIT 13CM,"1,738.00",0,
38002382,INSERT EVOL MP CS 6 LT CS 17MM,"3,323.00",0,
38002994,SCREW SPINE T THD 5.5MM SET TI,383.00,0,
38003554,CAGE PS 12X25MM BATTALION,"7,777.00",0,
38003562,CAGE PS 13X25MM BATTALION,"9,144.00",0,
38003604,NAIL 130D 12X340MM RT CANN,"8,332.00",0,
38004313,SHEATH NAV HD 13/15FR 36CM,396.00,0,
38004321,SHEATH NAV HD 12/14FR  28CM,396.00,0,
38004446,NAIL 130D 10X400MM RT CANN,"5,833.00",0,
38004719,CAGE 9X25MM BATTALION PS,"6,972.00",0,
38004834,SCREW FOOT PLATE 10MM,"1,316.00",0,
38005039,POST SURFACE 10MM LT 6-9 G-H,"3,146.00",0,
38005096,BREAST IMPLANT STYLE FX 560CC,"4,528.00",0,
38005104,BREAST IMPLANT STYLE FX 615CC,"4,528.00",0,
38005112,BREAST IMPLANT STYLE FX 520CC,"4,860.00",0,
38005120,BREAST IMPLANT STYLE FX 550CC,"4,528.00",0,
38005138,BREAST IMPLANT STYLE FX 620CC,"4,528.00",0,
38005914,CAGE 8X25MM BATTALION PS,"8,554.00",0,
38005997,COMPONENT BIPOL MOD 53MM,"1,430.00",0,
38006003,COMPONENT BIPOL MOD 53X28MM,"1,430.00",0,
38006235,HEAD FEM 36MM LONG,"1,922.00",0,
38006375,SCREW SPINE 7.5X55MM,"2,395.00",0,
38006417,MRDH BANDAGE 2X2IN,"2,580.00",0,
38006425,CATH RELIEVA SPIN SYSTEM,"6,843.00",0,
38006607,SCREW CORT 7X45MM,"3,075.00",0,
38006664,STEM ASCEND FLEX STD PTC 1B,"10,010.00",0,
38006698,DRESSING NPWT VAC VERAFLO MED,721.00,0,
38006748,CATH ANGIOPLSTY 3X8 FLASH MINI,"3,880.00",0,
38006813,BANDAGE MRDH  4IN X 4IN,"10,460.00",0,
38006938,PLATE PMO RT 27MM,"7,692.00",0,
38006953,FEMUR PRO 2 FEM STEM S23,"6,290.00",0,
38007027,SCREW CORT LOCK 3.5X22MM,"1,249.00",0,
38007118,ZENAPRO HYBRID HERNIA 20X30,"14,356.00",0,
38007233,STENT DES SYNEGY2 MONO 2.25X12,"4,387.00",0,
38007266,STENT DES SYNEGY2 MONO 2.25X24,"4,387.00",0,
38007274,STENT DES SYNEGY2 MONO 2.25X28,"4,387.00",0,
38007282,STENT DES SYNEGY2 MONO 2.25X32,"3,146.00",0,
38007308,STENT DES SYNERGY2 MONO 2.5X8,"4,387.00",0,
38007316,STENT DES SYNERGY2 MONO 2.5X12,"4,825.00",0,
38007332,STENT DES SYNERGY2 MONO 2.5X20,"4,825.00",0,
38007340,STENT DES SYNERGY2 MONO 2.5X24,"4,387.00",0,
38007357,STENT DES SYNERGY2 MONO 2.5X28,"4,387.00",0,
38007365,STENT DES SYNERGY2 MONO 2.5X32,"4,387.00",0,
38007373,STENT DES SYNERGY2 MONO 2.5X38,"4,387.00",0,
38007399,STENT DES SYNEGY2 MONO 2.75X12,"4,825.00",0,
38007407,STENT DES SYNEGY2 MONO 2.75X16,"4,825.00",0,
38007449,STENT DES SYNEGY2 MONO 2.75X32,"4,387.00",0,
38007464,STENT DES SYNERGY2 MONO 3X8MM,"4,387.00",0,
38007472,STENT DES SYNERGY2 MONO 3X12MM,"4,825.00",0,
38007480,STENT DES SYNERGY2 MONO 3X16MM,"4,825.00",0,
38007514,STENT DES SYNERGY2 MONO 3X28MM,"4,387.00",0,
38007522,STENT DES SYNERGY2 MONO 3X32MM,"4,387.00",0,
38007530,STENT DES SYNERGY2 MONO 3X38MM,"4,387.00",0,
38007548,STENT DES SYNERGY2 MONO 3.5X8,"3,146.00",0,
38007555,STENT DES SYNERGY2 MONO 3.5X12,"4,825.00",0,
38007571,STENT DES SYNERGY2 MONO 3.5X20,"4,825.00",0,
38007589,STENT DES SYNERGY2 MONO 3.5X24,"4,387.00",0,
38007597,STENT DES SYNERGY2 MONO 3.5X28,"4,387.00",0,
38007605,STENT DES SYNERGY2 MONO 3.5X32,"4,387.00",0,
38007613,STENT DES SYNERGY2 MONO 3.5X38,"4,387.00",0,
38007621,STENT DES SYNERGY2 MONO 4X8MM,"3,146.00",0,
38007639,STENT DES SYNERGY2 MONO 4X12MM,"4,825.00",0,
38007647,STENT DES SYNERGY2 MONO 4X16MM,"4,825.00",0,
38007654,STENT DES SYNERGY2 MONO 4X20MM,"4,825.00",0,
38007662,STENT DES SYNERGY2 MONO 4X24MM,"4,387.00",0,
38007670,STENT DES SYNERGY2 MONO 4X28MM,"4,387.00",0,
38007688,STENT DES SYNERGY2 MONO 4X32MM,"4,387.00",0,
38007696,STENT DES SYNERGY2 MONO 4X38MM,"4,387.00",0,
38008397,CATH ENSNARE 27-45MMX120CM,"1,545.00",0,
38008918,CATH TURNPIKE GOLD 5FR 5621,"2,217.00",0,
38008934,CATH TURNPIKE SPIRAL 5FRX135CM,"2,217.00",0,
38009528,SUTURE BTB TIGHTROPE,"1,562.00",0,
38010658,GRAFT FLEX HD PLIABLE 8X16CM,"22,626.00",0,
38011383,COLLAR BOA CAP ENHANCED,"3,602.00",0,
38011714,KNEE IMMOBILIZER 3PANEL 16IN,72.00,0,
38011722,KNEE IMMOBILIZER 3PANEL 19IN,56.00,0,
38011748,KNEE IMMOBILIZER 3PANEL 24IN,58.00,0,
38012464,BREAST 410 STYLE 195CC MOD HI,"4,650.00",0,
38012795,SURFACE PRLONG 0.5 LT 11MM,"2,632.00",0,
38013249,STENT DES SYNERGY MONO 2.75X28,"4,387.00",0,
38013256,BREAST STYLE 410 225CC MOD HI,"4,650.00",0,
38013264,BREAST STYLE 410 255CC MOD HI,"4,650.00",0,
38013371,CATH BAL ATTAIN CLARTY 6225,321.00,0,
38013496,ROD 5.5X40MM LORD RELINE-O TI,878.00,0,
38013520,SCREW 6.5X45MM 2S POLYAXIAL,"2,983.00",0,
38013538,SCREW 6.5X50MM 2S POLYAXIAL,"2,983.00",0,
38013546,SCREW 6.5X55MM 2S POLYAXIAL,"2,983.00",0,
38013678,STRATTICE PLIABLE TM 8X15,"7,763.00",0,
38013918,TUBE VENT SHAH FLUORO BLUE,632.00,0,
38014221,SCREW TFNA 80MM STERILE,"2,462.00",0,
38014262,COMPONENT KN GSF FEM 0 LT,"7,007.00",0,
38014569,NAIL 130D RT CANN TFNA 10X420,"8,332.00",0,
38014718,NECK MOD KINECTIV 12/14 NECK,"1,755.00",0,
38014916,CATH RELIEVA SPIN 6X16,"6,843.00",0,
38015061,KNEE PERSNA 10MM PLY R 7-12 GH,"2,074.00",0,
38015160,LINER G7 NEU E1 INFUSED 36MM G,"9,054.00",0,
38016580,KWIRE 1.1 MM,161.00,0,
38017216,SCREW S TAP 4X13MM,"1,640.00",0,
38018214,CATH ULTRAVERSE 035X7X60X75,439.00,0,
38018495,GWIRE 014X335CM VIPERWIRE ADV,"3,158.00",0,
38018636,SCREW 4.5X13MM,"1,906.00",0,
38018966,AICD INVENTRA DX,"43,100.00",0,
38018974,AICD IPERIA DR-T DF-4,"52,636.00",0,
38018982,AICD IPERIA DR-T DF-1,"40,755.00",0,
38018990,AICD IPERIA DX,"51,759.00",0,
38019121,SCREW MULTILOC 4.5X52MM TI,774.00,0,
38019360,SCREW SPINE S TAP 3.5MM,"1,640.00",0,
38019949,SCREW HEX LO PRO 4.3X36MM,513.00,0,
38019956,SCREW NL LO PRO HEX 3.5X20MM,357.00,0,
38020038,SLEEVE CER OPTION 12/14 +7,783.00,0,
38020046,COMPONENT G7 MULTIH 56MM F,"9,798.00",0,
38020277,INSERT EVOLTN MP CS 4 10MM LT,"3,411.00",0,
38020285,INSERT CR RT SZ3 10 MM,"3,411.00",0,
38020335,CAP END T1 FOR TFNA 0MM,642.00,0,
38020368,SCREW POLYAX T1 9X40MM,"2,983.00",0,
