Hospital Name:  ValleyCare Health System,,,,,
OSHPD Facility No:   106014050,,,,,
"Effective Date of Charges:  June 1, 2018",,,,,
,,,,,
"In response to requests from hospitals and the public, OSHPD has developed this form to assist hospitals in collecting and submitting the average charge for 25 common outpatient procedures performed by hospitals, as required by AB 1045 (Chapter 532, Statutes of 2005).  Use of the OSHPD form is voluntary, but highly encouraged, as it allows hospitals to report and the public to compare uniform information regarding common outpatient procedures.",,,,,
Evaluation & Management Services (CPT Codes 99201-99499),2018 CPT Code,Average Charge,,,
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,"$1,046.00",,,
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$1,967.00",,,
"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,"$3,920.00",,,
"Emergency Room Visit, Level 5 (high severity with significant threat)",99285,"$6,398.00",,,
"Outpatient Visit, established patient, 15 minutes",99213,"$1,142.00",,,
Laboratory & Pathology Services (CPT Codes 80047-89398),2018 CPT Code,Average Charge,,,
Basic Metabolic Panel,80048,$250.00,,,
"Complete Blood Count, automated",85027,$129.00,,,
"Complete Blood Count, with differential WBC, automated",85025,$151.00,,,
Comprehensive Metabolic Panel,80053,$280.00,,,
Lipid Panel,80061,$221.00,,,
Partial Thromboplastin Time,85730,$159.00,,,
Prothrombin Time,85610,$159.00,,,
Thyroid Stimulating Hormone,84443,$256.00,,,
"Troponin, Quantitative",84484,$188.00,,,
"Urinalysis, without microscopy",81002 or 81003,$54.00,,,
"Urinalysis, with microscopy",81000 or 81001,$114.00,,,
Radiology Services  (CPT Codes 70010-79999),2018 CPT Code,Average Charge,,,
"CT Scan, Head or Brain, without contrast",70450,"$2,525.00",,,
"Mammography, Screening, Bilateral",77067,$553.00,,,
"Ultrasound, Abdomen, Complete",76700,"$1,585.00",,,
"X-Ray, Lower Back, minimum four views",72110,$852.00,,,
"X-Ray, Chest, two views",71046,$702.00,,,
Medicine Services  (CPT Codes 90281-99607),2018 CPT Code,Average Charge,,,
"Physical Therapy, Evaluation",97161-97163,$360.00,,,
"Physical Therapy, Gait Training",97116,$189.00,,,
Surgery Services  (CPT Codes 10021-69990),2018 CPT Code,Average Charge,,,
"Colonoscopy, with biopsy",45380,"$7,706.34",,,
"Endoscopy, Upper GI, with biopsy",43239,"$9,239.05",,,
Count of Reported Procedures (minimum 25 required),,25,,,
Instructions for Completing AB 1045 Common Outpatient Procedure Form,,,,,
"1. Enter Hospital Name and OSHPD Facility Number.  Revise Effective Date of Charges, if necessary.",,,,,
2. Enter Average Charge for at least 25 commonly performed outpatient procedures.  For Evaluation & Management,,,,,
"    Services, do not include related ancillary charges.  For all other procedures, include related ancillary charges.",,,,,
    NOTE:  The CPT codes are included on this form to help identify the listed procedures based on the frequencies,,,,,
   across hospital-based ambulatory surgery data.  The average charge for all related services and procedures,,,,,
"    (e.g., supplies, drugs, lab, use of operating room, etc.) should be included in the average charge for that procedure.",,,,,
"3. Do not change procedure descriptions or CPT code references.  Use ""Other Common Outpatient Procedures"" ",,,,,
    (rows 62-71) if you are unable to select procedures from list.,,,,,
"4. Submit completed form as Excel (.xls) file, along with chargemaster and percent change in gross revenue",,,,,
"    calculation, by e-mail to chargemaster@oshpd.ca.gov or by standard mail on CD.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
