Ventura County Medical Center (106560481),,
Charge Description Master,,
,,
Description,FY -17 Facility Rate,FY-17 Professional Rate
4004F Tobacco use and received counseling,,statistical only
"70498 CT angiography, neck with contrast",3143,
71250 CT Thorax w/o contrast,2540,
71260 CT Thorax with contrast,2979,
71270 CT Thorax w/wo contrast,3643,
71275 CTangiography chest w/contrast,3612,
"73565 Radiologic examination knee; both knees, standing, anteroposterior",131,
73590 Radiologic exam tibia & fibula 2 vws,336,
74000 Radiologic exam abdomen A/P,339,
87624 HPV high-risk types,35,
99406 Smoking and tobacco use cessation counseling visit; intermediate greater than 3 min up to 10 min,,76
Antiglobulin Technique,58,
Concentration,19,
"Exchange tranfusion, blood; newborn",337,
"FQHC visit, new patient",,517
"FQHC visit, established patient",,385
"FQHC visit, IPPE or AWV",,517
"FQHC visit, mental health, new patient",,517
"FQHC visit, mental health, established patient",,385
Flu A&B PCR,109,
G0436 Smoking & tobacco cessation counseling visit for asymptomatic patient; Intermediate greater than 3 min,,statistical only
G0437 Smoking & tobacco cessation counseling visit for the asymptomatic patient; intensive greater than 10 min,,statistical only
Incubation Technique,29,
Mechanical chest wall oscillation,172,
Mycobacteriology smear,19,
Rh Typing,70,
"Splitting of blood or blood products, each unit",107,
Stain,43,
Z7500,309,
Z7500 Public Health,60,
0296T Ext ECG Recording (Hook-up Component),152,
0298T Ext ECG Physician Review (Interpretation),,152
10021 *Fine needle aspiration; without image guidance,,437
10022 *Fine needle aspiration; with image guidance,,403
"10030 Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele,",,1002
"10035 Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radio",,3051
"10036 Placement of soft tissue localization device(s)(eg, cllip, metallic pellet, wire/needle, radio",,2672
10040 *Acne Surgery or removal of multiple milia,,545
10060 *Incision and drainage of skin Abscess; simple,,640
10061 *Incision and drainage of skin Abscess; complicated,,1174
10080 *Incision and drainage of pilonidal cyst; simple,,803
10081 *Drainage of pilonidal cyst; complicated,,1395
"10120 *Removal of foreign body, subcutaneous; simple",,723
10121 *Removal of foreign body subcutaneous; complicated,,1307
10140 *Incision and drainage of hematoma/seroma/fluid collection,,748
10160 Puncture aspiration of abscess/hematoma/cyst/bulla,,568
"10180 Incision & drainage, complex, postoperative wound infection",,1163
11000 Debridement of extensive eczematous or infected skin,,299
11001 Debridement of extensive eczematous or infx skin;each addl 10%,,89
"11004 Debridement skin,subq tissue,musc,fascia,infx;external genitalia,perineum",,4913
"11005 Debridement skin, subq tissue,musc,fascia,infx;abd wall w/wo fascial closure",,4741
"11006 Debridement skin,subq tissue,musc,fascia,infx;external genitalia,perineum,abd.wall w/wo fascia",,4290
11008 Remove mesh abdominal wall,,2514
11010 Debridement including removal of foreign material at site of open fracture,,2694
"11011 Debridement skin/muscle, open Fx",,3219
"11012 Debridement skin/muscle/bone, open Fx",,4580
11042 Debridement subq tissue; first 20sq cm or less,,554
11043 Debridement muscle/fascia;1st<20 sq cm,,1480
"11044 Debridement,bone;first 20 sq cm or less",,1450
11045 Debridement subq tissue; each addl 20 sq cm,,123
"11046 Debridement muscle/fascia, each addl 20sq cm",,259
"11047 Debridement,bone;each addl 20 sq cm",,608
11055 Paring or cutting corn or callus; 1,,98
11056 Paring or cutting corn/callus; 2-4 lesions,,141
11057 Pairing or cutting corn/callus; > 4 lesions,,183
11100 Biopsy of skin lesion; single lesion,,410
"11101 Biopsy skin lesion, each addl lesion",,216
