Service Area|Px Code|Generic Name|CPT(R)/HCPCS Code|NDC|Unit Price|Override Bill Code|Override Price
WS SERVICE AREA|6370001|montelukast 5 mg chewable tablet||00781555592|32.81||
WS SERVICE AREA|6370001|busPIRone 7.5 mg tablet||64380078706|7.64||
WS SERVICE AREA|6370001|amoxicillin 200 mg-potassium clavulanate 28.5 mg chewable tablet||00093227034|20.50||
WS SERVICE AREA|6370001|clonazePAM 1 mg disintegrating tablet||49884030902|4.40||
WS SERVICE AREA|6370001|clonazePAM 2 mg disintegrating tablet||49884031002|4.40||
WS SERVICE AREA|6370001|emtricitabine 200 mg-rilpivirine 25 mg-tenofovir alafenam 25 mg tablet||61958210101|679.60||
"WS SERVICE AREA|6370001|ascorbic acid (vitamin C) 1,000 mg tablet||00904501360|4.40||"
WS SERVICE AREA|6370001|acetaminophen 80 mg chewable tablet||00904525646|0.55||
WS SERVICE AREA|6370001|acetaminophen 80 mg chewable tablet||00536101407|0.55||
"WS SERVICE AREA|25010077|rho(D) immune globulin 1,500 unit (300 mcg)/2 mL injection syringe|J2791|44206030090|1,055.30||"
WS SERVICE AREA|25010029|aminophylline 250 mg/10 mL intravenous solution|J0280|00409592101|91.76||
WS SERVICE AREA|25010034|gadobenate dimeglumine 529 mg/mL(0.1 mmol/0.2 mL) intravenous solution|A9577|00270516415|126.00||
WS SERVICE AREA|25010044|DOBUTamine 500 mg/40 mL (12.5 mg/mL) intravenous solution|J1250|00409202554|95.23||
WS SERVICE AREA|25010045|regadenoson 0.4 mg/5 mL intravenous syringe|J2785|00469650189|923.40|J2785|
WS SERVICE AREA|25010050|iohexol 300 mg iodine/mL intravenous solution|Q9967|00407141310|155.00||
WS SERVICE AREA|25010050|iopamidol 76 % intravenous solution|Q9967|00270131698|155.00||
WS SERVICE AREA|34010048||A9541|00000005113|250.70||
"WS SERVICE AREA|25010076|sipuleucel-T in lactated ringers 50 million cell/250 mL IV suspension|Q2043|30237890006|127,850.00||"
WS SERVICE AREA|25010065|famotidine 10 mg/mL intravenous solution||63323073820|17.80||
"WS SERVICE AREA|25010065|EPINEPHrine 0.3 mg/0.3 mL injection, auto-injector||49502010202|987.00||"
"WS SERVICE AREA|25010065|EPINEPHrine 0.3 mg/0.3 mL injection, auto-injector||49502050001|2,002.33||"
WS SERVICE AREA|25010065|fluorescein 500 mg/5 mL (10 %) intravenous solution||00065009265|375.90||
WS SERVICE AREA|25010065|fluorescein 0.25 %-proparacaine 0.5 % eye drops||54799050721|4.40||
WS SERVICE AREA|25010065|flurbiprofen 0.03 % eye drops||69292072225|5.22||
WS SERVICE AREA|25010065|flurbiprofen 0.03 % eye drops||24208031425|63.29||
WS SERVICE AREA|25010065|indocyanine green 25 mg solution for injection||25431042402|51.32||
WS SERVICE AREA|25010065|indocyanine green 25 mg solution for injection||17478070125|66.20||
WS SERVICE AREA|25010065|indocyanine green 25 mg solution for injection||17238042406|47.92||
WS SERVICE AREA|25010065|indocyanine green 25 mg solution for injection||17238042425|47.92||
"WS SERVICE AREA|25010065|indomethacin 1 mg intravenous solution||63323065903|3,480.43||"
"WS SERVICE AREA|25010065|indomethacin 1 mg intravenous solution||63323065909|2,605.68||"
WS SERVICE AREA|25010065|labetalol 5 mg/mL intravenous solution||00409226720|27.44||
WS SERVICE AREA|25010065|labetalol 5 mg/mL intravenous solution||00409226725|17.80||
WS SERVICE AREA|25010065|labetalol 5 mg/mL intravenous solution||00143962201|56.49||
WS SERVICE AREA|25010065|lidocaine (PF) 10 mg/mL (1 %) injection solution||00409471332|17.80||
WS SERVICE AREA|25010065|lidocaine (PF) 10 mg/mL (1 %) injection solution||55150016102|24.82||
WS SERVICE AREA|25010065|lidocaine (PF) 10 mg/mL (1 %) injection solution||00409471342|17.80||
WS SERVICE AREA|25010065|lidocaine (PF) 20 mg/mL (2 %) injection solution||00409206605|19.77||
WS SERVICE AREA|25010065|lidocaine (PF) 20 mg/mL (2 %) injection solution||63323049697|48.66||
WS SERVICE AREA|25010065|lidocaine (PF) 20 mg/mL (2 %) injection solution||63323049507|23.00||
"WS SERVICE AREA|25010065|lidocaine 1 %-epinephrine 1:100,000 injection solution||00409317801|17.80||"
"WS SERVICE AREA|25010065|lidocaine 1 %-epinephrine 1:100,000 injection solution||00409317802|40.91||"
"WS SERVICE AREA|25010065|lidocaine 1 %-epinephrine 1:100,000 injection solution||00409317803|17.80||"
"WS SERVICE AREA|25010065|lidocaine 1 %-epinephrine 1:100,000 injection solution||63323048257|17.80||"
"WS SERVICE AREA|25010065|lidocaine 1 %-epinephrine 1:100,000 injection solution||63323048217|17.80||"
"WS SERVICE AREA|25010065|lidocaine 1 %-epinephrine 1:100,000 injection solution||63323048227|17.80||"
"WS SERVICE AREA|25010065|lidocaine 1 %-epinephrine 1:100,000 injection solution||63323048203|17.80||"
"WS SERVICE AREA|25010065|lidocaine 20 mg/mL (2 %)-epinephrine 1:100,000 injection solution||00409318201|17.80||"
