Wheeling ,,
Item Description,CPT/HCPC ,Price
INITIAL OBSERVATION R+B, ,$216.03 
OBSERVATION R+B ADDL HRS,G0378,$38.46 
OBSERVATION R&B ADDL HRS,G0378,$35.94 
IMU Observation Initial Hour, ,$327.54 
IMU Observation ADDL HRS,G0378,$54.50 
IMU OBSERVATION ADDL HRS ,G0378,$50.93 
GLUCOMETER-IMU,82962,$19.92 
DEFIBRILLATION-IMU, ,$29.00 
DINAMAP - IMU, ,$39.25 
EXTERNAL PACER IMU, ,$115.50 
PULSE OXIMETER,94760,$39.98 
TELEMETRY-IMU, ,$42.25 
PVR SCAN,51798,$157.14 
COLLECT BLOOD IMPL DEVICE,36591,$85.95 
COLLECT BLOOD FROM PICC,36592,$104.95 
COLLECTION FEE,36415,$22.48 
I&D OF ABSCESS,10060,$216.44 
ASP/INJECT MAJOR JT,20610,$637.71 
ABG NURSE DRAW ,36600,$229.04 
IM OR S/Q INJECTION,96372,$94.55 
"IV PUSH SINGLE, INITIAL",96374,$208.01 
IV PUSH ADD DEQ DIFF DRUG,96375,$103.42 
HYDRATION IV FIRST HOUR,96360,$264.07 
"HYDRAT IV EACH ADD, HOUR",96361,$118.94 
IV THER PROPHYL DX 1ST HR,96365,$301.81 
IV THER PROPH DX EA ADD H,96366,$100.51 
IV THER PROPH DX SEQL DRU,96367,$124.68 
IV THER PROPH DX CONCURRT,96368,$65.78 
IV PUSH ADDL SAME DRUG,96376,$89.93 
PNEUMOVAX ADMIN,G0009,$35.29 
FLU VACCINE ADMIN,G0008,$35.02 
IMMUN ADMIN,90471,$40.00 
IMMUN ADMIN EA ADDL,90472,$40.00 
CV-IMU INITIAL OBSERVATIO, ,$448.38 
CV-IMU OBSERVATION ADD HR,G0378,$74.70 
CV-IMU OBSERVATION ADD HR,G0378,$74.70 
5E INITIAL OBSERVATION, ,$231.15 
5E OBSERVATION ADDL HRS,G0378,$38.46 
5E OBSERVATION ADDL HRS,G0378,$35.94 
I & D ABSCESS COMP O/P,10061,$292.46 
I&D HEMATOMA - O/P,10140,"$1,999.59 "
GLUCOMETER-5 EAST,82962,$19.92 
"BLOOD, OCCULT FECES (O/P)",82272,$15.00 
THORACOSTOMY TUBE (O/P),32551,$172.54 
PVR SCAN,51798,$157.14 
SPINAL PUNCTURE  (O/P),62270,$679.50 
I&D OF ABSCESS,10060,$216.44 
THORACENTEIS (O/P),32554,$893.29 
ABD PARACENTESIS (O/P),49082,$899.95 
NOSEBLEED POSTERIOR-OP,30905,$497.40 
LARYNGOSCOPY,31575,$343.55 
DEBRIDEMENT 20CM OR <,97597,$276.38 
ASP/INJECT MAJOR JT O/P,20610,$637.71 
UNLISTED DENTAL PROCEDURE,41899,$280.00 
BX SKIN SUBQ MUC MEB O/P,11100,$488.49 
DEBRIDE NAILS 6+,11721,$45.00 
IM OR S/Q INJECTION,96372,$94.55 
"IV PUSH SINGLE, INITIAL",96374,$208.01 
IV PUSH ADD SEQ DIFF DRUG,96375,$103.42 
HYDRATION IV FIRST HOUR,96360,$264.07 
HYDRAT IV EACH ADD HOUR,96361,$118.94 
IV THER PROPHYL DX 1ST HR,96365,$301.81 
IV THER PROPH DX EA ADD H,96366,$100.51 
