Hospital Name:  AHMC WHITTIER HOSPITAL MEDICAL CENTER,,,
OSHPD Facility No: 106190883,,,
"Effective Date of Charges: June 1, 2018",,,
,,,
,,,
CDM,CHARGE DESCRIPTION, PRICE ,
 1000000,ICU/CCU,$6665.00,
 1000001,DOU P,$4536.00,
 1000002,DOU SP,$4304.00,
 1000003,MED/SURG PRIVATE,$2753.00,
 1000004,MED/SURG SEMI,$2424.00,
 1000005,ACUTE REHAB PRIVATE,$0.00,
 1000006,ACUTE REHAB SEMI PVT,$0.00,
 1000007,OB PRIVATE,$2139.00,
 1000008,OB SEMI PVT,$1889.00,
 1000009,LABOR ROOM,$1682.00,
 1000010,NURSERY,$1082.00,
 1000011,NURSERY BOARDER,$1082.00,
 1000012,NURSERY NB LVL 2,$0.00,
 1000013,NICU,$0.00,
 1000014,PEDS PRIVATE,$0.00,
 1000015,PEDS SEMI PVT,$0.00,
 1000016,PEDS SUB ACUTE NON VENT,$1957.00,
 1000017,PEDS SUB ACUTE BEDHOLD,$1292.00,
 1000018,OBSERVATION,$0.00,
 1000019,PEDS SUB ACUTE VENT,$1957.00,
 1000020,ADMINISTRATIVE DAYS,$1292.00,
 1000021,ADMINISTRATIVE DAYS LV2,$1292.00,
1120001,ER TRIAGE W/O MD SCREEN,$0.00,
1120010,ER VISIT LEVEL II,$608.00,
1120012,ER VISIT LEVEL I,$367.00,
1120013,ER CRITICAL CARE 1ST 30-74MI,$1823.00,
1120018,ER VISIT LEVEL III,$1097.00,
1120024,ER VISIT LEVEL V,$2240.00,
1120026,ER VISIT LEVEL IV,$1712.00,
1120034,ER CRITICAL CARE EA ADD 30MI,$1646.00,
1120052,BLOOD TRANSFUSION ER,$1200.00,
1120053,ER TRIAGE W/MD SCREEN,$151.00,
1120055,INJECTION IV PUSH SAME DRUG,$263.00,
1120131,ER OB TRIAGE,$0.00,
1120151,SURGICAL PROCEDURE SINGLE/MINOR,$491.00,
1120157,SURGICAL PROCEDURE EXTENSIVE/COMPLEX,$1963.00,
1120159,SURGICAL PROCEDURE MULTIPLE/INTERMEDIATE,$985.00,
1120412,IV INFUSION HYDRATION INITIAL 31MIN/1HR,$301.00,
1120420,IV INFUSION HYDRATION EA ADD HOUR,$99.00,
1120438,IV INFUSION INITIAL UPTO 1HR,$368.00,
1120446,IV INFUSION EA  ADD HOUR,$108.00,
1120479,IV INFUSION SEQUENTIAL UPTO 1HR,$151.00,
1120487,IV INFUSION CONCURRENT W/OTHR INFUSION,$151.00,
1120495,INJECTION INTRAMUSCULAR/SUBCUTANEOUS,$92.00,
1120578,INJECTION IV PUSH INITIAL,$263.00,
1120842,INJECTION IV PUSH NEW DRUG,$263.00,
1120909,IMMUNIZATION ADMIN 1 VACCINE,$83.00,
1120925,IMMUNIZATION ADMIN ADDL VAC/TOX,$83.00,
1120941,IMM ADM NASAL/ORAL 1 VACC,$35.00,
1125150,ER PSYCH DIAGNOSTIC EVAL W/MED SRVCS,$0.00,
1129992,ER LWBS NO CHARGE,$0.00,
1321255,OR MINOR ADDL 30 MIN,$1045.00,
1322025,OR ABORTED PROCEDURE,$1502.00,
1322120,OR MAJOR ADDL 30 MIN,$5003.00,
