Hospital Service Code,Service Description,Hospital Charge
05000005,CONTAINER NDL CLEAR LID 2 GL,28.00
05000013,BRIEF DISPO L & d #2 TYPE,16.00
05000021,POWDER STOMAHESIVE PROTECTIVE,30.00
05000039,DRSG WOUND AQUACEL AG 3/4 X 18,85.00
05000047,DRSG WOUND AQUACEL AG 4 X 4,71.00
05000054,DRSG WOUND AQUACEL AG 2 X 2,46.00
05000062,DRSG WOUND AQUACEL AG 6 X 6,148.00
05000070,DRSG WOUND AQUACEL AG 8 X 12,211.00
05000088,MASK ISOLATION DISPO,15.00
05000096,BATH READY,23.00
05000104,TRACH TIE ADULT,16.00
05000112,TRACH TIE PEDI,16.00
05000120,SHIELD WIN SPLASH ONLY,17.00
05000138,SEAL EAKIN COHESIVE SM 2,384.00
05000146,WAFER DURAHESIVE 57MM 5 X 5,30.00
05000153,POUCH COLSTOMY 57MM - TRANSPA,82.00
05000161,POUCH UROSTOMY 57MM - TRANSPA,119.00
05000179,CLEANSER PERINEAL SPRAY,17.00
05000187,CREAM BARRIER PROTECTIVE,38.00
05000195,DRSG WOUND SECONDARY 4 X 4,69.00
05000203,DRSG WOUND SECONDARY 8 X 6,47.00
05000211,GEL HYDROACTIVE WOUND MOISTURE,47.00
05000229,HOLDER NG STATLOCK,17.00
05000237,FORCEP PLASTIC SPONGE,19.00
05000245,RINSE HAND ANTIMICROBIAL 4 OZ,23.00
05000252,KIT BLACK PU DRESSING SMALL,242.00
05000260,KIT BLACK PU DRESSING MEDIUM,325.00
05000278,KIT BLACK PU DRESSING LARGE,319.00
05000286,GLOVE EXAM X-LG PACU SPEC.,38.00
05000294,GLOVE EXAM ALOE NITRILE SMALL,53.00
05000302,GLOVE EXAM ALOE NITRILE MEDIUM,53.00
05000310,GLOVE EXAM ALOE NITRILE LARGE,53.00
05000328,GLOVE EXAM CHEMO NITRILE SMALL,49.00
05000336,GLOVE EXAM CHEMO NITRILE MEDIU,49.00
05000344,GLOVE EXAM CHEMO NITRILE LARGE,49.00
05000351,GLOVE EXAM CHEMO NITRILE X-LAR,54.00
05000369,MASK RESPIRATOR PFR 95 SMALL,16.00
05000377,MASK RESPIRATOR N95 SMALL,16.00
05000385,PAD ASPEN REPLACE ADULT UNIV,64.00
05000393,PAD ASPEN REPLACE CHIN,103.00
05000401,COLLAR ASPEN ADULT SHORT SET,261.00
05000419,COLLAR ASPEN ADULT REGULAR SET,261.00
05000427,COLLAR ASPEN ADULT TALL SET,196.00
05000435,PURELL/HAND SANITIZER 4.25 OZ,21.00
05000443,DRSG TRI-ANGLE SIGNAL 8 X 9,80.00
05000450,DRSG DUODERM 5.5 X 5.5,45.00
05000468,DRSG SIGNAL 4 X 4,32.00
05000476,DRSG SIGNAL 6 X 7,36.00
05000484,TRAY FOLEY PREC 400 16 FR,78.00
05000492,TRAY FOLEY 100% SILICONE MONO,117.00
05000500,SET DRAIN MONOFLO 100% SILICON,101.00
05000518,WALKER ADULT WHEELS 2-BUTTON,356.00
05000526,BENCH BATH NO BACK ASSEMBLED,110.00
05000534,TRAY FOLEY CATH BARD,101.00
05000542,PACK NAIL ROUTINE,465.00
05000559,NAIL PROCEDURE KIT,173.00
05000567,TUBE TRACH XLT PROX UC SZ 5,369.00
05000575,TUBE TRACH XLT PROX UC SZ 6,369.00
05000583,CANNULA INNER TRACH XLT SZ 5,39.00
05000591,TUBE TRACH XLING DIST CUFF SZ,369.00
05000609,TUBE TRACH XLING PROX CUFF SZ,369.00
05000617,SHIELD EYE METAL ADULT,21.00
05000625,WIPE GERMICIDAL CLOTH,50.00
05000633,WHEELCHAIR,703.00
05000641,SOLUTION PREP EXIDINE,45.00
05000658,COLLAR TRACH PA SMALL 10-13 31,107.00
05000666,COLLAR TRACH PA SMALL 10-13 41,94.00
05000674,COLLAR TRACH PA MED 14-15 31/4,94.00
05000682,COLLAR TRACH PA MED 14-15 41/4,99.00
05000690,TUBE TRACH DISTAL NOCUFF SZ 6,369.00
05000708,CANNULA INNER TRACH XLT SZ 6,39.00
05000716,CANNULA INNER TRACH XLING SZ 6,39.00
05000724,"SET EXTEND MINIBORE NONDEHP 4""",16.00
05000732,DUAL LUMEN UMB VESSEL CATH 3.5,211.00
05000740,DUAL LUMEN UMB VESSEL CATH 5 F,227.00
05000757,"ANTI IV FEEDING TUBE 5FR 15""",95.00
05000765,"ANTI IV FEEDING TUBE 6FR 15""",95.00
05000773,"ANTI IV FEEDING TUBE 8FR 15""",95.00
05000781,SYR PREFILLED NS 3ML,16.00
05000799,20ML ORAL SYRINGES,17.00
05000807,30 ML ORAL SYRINGES,19.00
05000815,BOTTLE CLEFT LIP,53.00
06000012,ANOSCOPE DISPOSABLE,32.00
06000038,BAG URINARY DRAINAGE,25.00
06000046,CATH FOLEY STER 14FR,23.00
06000053,CATH FOLEY STER 16FR,15.00
06000061,CATH FOLEY STER 18FR,36.00
06000079,CATH IV PROTECTIVE 18,17.00
06000087,CATH IV PROTECTIVE 20,17.00
06000095,CATH IV PROTECTIVE 22,21.00
06000103,CATH SUCT W/GLV STER,14.00
06000129,DRSG ALLGZ SPNG STR 8,12.00
06000137,DRSG FILL SPNG STER 8,14.00
06000145,DRSG FILL SPNG UNSTR,59.00
06000152,DRSG GAUZE ROLL KERLI,14.00
06000160,DRSG IV TRANSPARENT M,14.00
06000178,CATH EXTERNAL MALE ST,17.00
06000186,CATH EXTERNAL MALE ME,17.00
