Description,Unit Charge,,,,,,,,
ABDOMEN AP/DECUB/ERECT/CHEST, $500.50 ,,,,,,,,
ABDOMEN AP/OBLIQUE/CONE, $371.50 ,,,,,,,,
ABLATOR VULCAN TAC-S EFLEX," $5,456.23 ",,,,,,,,
ABUTMENT BA300 9MM," $5,676.49 ",,,,,,,,
ABUTMENT BA300 BAHA 3X6MM," $8,402.16 ",,,,,,,,
ABUTMENT BA300 BAHA 4X6MM," $8,402.16 ",,,,,,,,
ABUTMENT BA300 BAHA 6MM," $5,676.49 ",,,,,,,,
ABUTMENT BAHA SNAP COUPLING," $4,817.71 ",,,,,,,,
ABUTMENT BI300 BAHA 3X6MM," $4,904.83 ",,,,,,,,
ABUTMENT BI300 BAHA 4X6MM," $4,904.83 ",,,,,,,,
ABUTMENT DERMALOCK 10MM," $6,199.22 ",,,,,,,,
ABUTMENT DERMALOCK 12MM," $6,199.22 ",,,,,,,,
ABUTMENT DERMALOCK 14MM," $6,199.22 ",,,,,,,,
ABUTMENT DERMALOCK 6MM," $6,199.22 ",,,,,,,,
ABUTMENT DERMALOCK 8MM," $6,199.22 ",,,,,,,,
ABUTMENT PONTO 14MM," $5,871.05 ",,,,,,,,
ABUTMENT PONTO 4MM," $6,422.23 ",,,,,,,,
ABUTMENT PONTO 6MM," $5,871.05 ",,,,,,,,
ABUTMENT PONTO 9MM," $5,871.05 ",,,,,,,,
ABUTMENT PONTO WIDE 2MM," $5,871.05 ",,,,,,,,
AC JOINTS BILATERAL, $397.50 ,,,,,,,,
ACTIVATOR DIRECT DRV ZURICH II," $1,595.09 ",,,,,,,,
ACTIVATOR REMOTE RIGD 53MM," $2,835.28 ",,,,,,,,
ACTIVATOR REMOTE RIGID 33MM," $2,971.30 ",,,,,,,,
ACTUATOR LIMB 10.7 X 65MM," $33,121.43 ",,,,,,,,
ACTUATOR LIMB 12.5 X 65MM," $38,897.19 ",,,,,,,,
ADAPTER LEAD F/PACEMAKER," $1,159.64 ",,,,,,,,
ADAPTER PLATE SBF, $681.58 ,,,,,,,,
ADAPTER RAIL END MAC XS," $1,816.50 ",,,,,,,,
ADAPTER RAIL ROTATIONAL EBI SM," $4,076.19 ",,,,,,,,
ADAPTER RING UNIVERSAL," $5,357.34 ",,,,,,,,
ADAPTER SAFESHEATH SEALING, $735.42 ,,,,,,,,
ADAPTER STACK DIAPHYS OSS TI," $1,351.70 ",,,,,,,,
ADAPTER T CLAMP," $3,048.22 ",,,,,,,,
ADAPTER TAP MOSAIC CPS SM," $5,603.35 ",,,,,,,,
ADAPTER TAPER OSS 5CM," $5,203.31 ",,,,,,,,
ADAPTOR ADULT RAIL END," $8,593.43 ",,,,,,,,
ADAPTOR DFS ROTATIONAL," $5,921.63 ",,,,,,,,
ADAPTOR ROTATN RAIL RING ADULT," $8,432.83 ",,,,,,,,
ADAPTOR VEPTR TITANIUM," $7,771.71 ",,,,,,,,
ADH TISSUE LIQUIBAND FLOW TINT, $211.34 ,,,,,,,,
ADHES SKIN HISTO TOPICAL BLUE, $561.30 ,,,,,,,,
