Standard Hospital Charge, Unit Price 
A.ELBOW EXT PWER-MYOELECTRO," $17,622.00 "
A.ELBOW INT LCK ELBOW  FORE," $5,291.00 "
A4466 ABDOMINAL/ OSTOMY BINDER IP, $110.00 
"A4466 KNEE ORTHOSIS (KO) ELASTIC/STAYS, PREFABRICATED", $94.00 
"A4500 SURGICAL STOCKINGS, BK, EACH", $23.00 
A4565 ARMSLING, $64.00 
A4565 SWATHE AND SLING, $57.00 
"A6530 GRADIENT COMPRESSION STOCKING, BK, 18-30 MMHG EACH", $58.00 
"A6531 GRADIENT COMPRESSION STOCKING, BK, 30-40 MMHG EACH", $58.00 
"A6532 GRADIENT COMPRESSION STOCKING, BK, 40-50 MMHG EACH", $89.00 
"A6533 GRADIENT COMPRESSION STOCKING, THIGH HI, 18-30 MMHG EACH", $67.00 
"A6534 GRADIENT COMPRESSION STOCKING, THIGH HI, 30-40 MMHG EACH", $67.00 
"A6535 GRADIENT COMPRESSION STOCKING, THIGH HI, 40-50 MMHG EACH", $72.00 
"A6539 GRADIENT COMPRESSION STOCKING, WAIST LNGTH, 18-30 MMHG EACH", $160.00 
"A6540 GRADIENT COMPRESSION STOCKING, WAIST LNGTH, 30-40 MMHG OPEN TOE EACH", $160.00 
"A6545 GRADIENT COMP WRAP, NONELASTIC 30-40 MMHG", $428.00 
A6549 LYMPHADEMA GLOVE W/ THUMB STUB ONLY OTS, $50.00 
A6549 LYMPHEDEMA GLOVE W/ THUMB AND FINGER STUB OTS, $180.00 
"A8000 CRANIAL ORTHOSIS (HELMET), NONMOLDED-SOFT SHELL", $644.00 
"A8001 CRANIAL ORTHOSIS (HELMET), NONMOLDED-HARD SHELL", $752.00 
AAA LIMB EXTENSION," $13,143.00 "
ABDOMINAL BINDER 4 PANEL, $62.00 
ABDOMINAL PARACENTESIS DIAGNOSTIC/THERA W IMAGING GUIDANCE," $1,838.00 "
ABDOMINAL PARACENTESIS DIAGNOSTIC/THERA W/O IMAGING GUIDANCE," $1,068.00 "
ABLATE L/R ATRIAL FIBRIL W/ ISOLATED PULM VEIN," $1,973.00 "
ABLATE PULM TUMOR PERQ CRYBL," $4,489.00 "
ABLATION BONE TUMOR(S) PERQ CRYOABLATION," $6,891.00 "
