Facility,Service,Price,,
Northwestern Medicine Central DuPage Hospital,XRAY EYE SOCKETS COMPLETE; MINIMUM OF 4 VIEWS,$997.75,,
Northwestern Medicine Central DuPage Hospital,CATH 2LUMEN 7FR X 10CM 4IN,$997.50,,
Northwestern Medicine Central DuPage Hospital,XRAY SINUSES COMPLETE; MINIMUM OF 3 VIEWS,$995.50,,
Northwestern Medicine Central DuPage Hospital,CUSTOM EWHO STATIC,$994.75,,
Northwestern Medicine Central DuPage Hospital,DRY SUCTION DUAL COLLECTION,$994.50,,
Northwestern Medicine Central DuPage Hospital,PLEUR DRAIN KT PLEUR 1000ML,$993.00,,
Northwestern Medicine Central DuPage Hospital,SURGICAL PATHOLOGY PROCEDURE,$991.25,,
Northwestern Medicine Central DuPage Hospital,X-RAY EXAM NECK SPINE 4/5VWS,$990.50,,
Northwestern Medicine Central DuPage Hospital,RESP VIRUS 12-25 TARGETS,$990.38,,
Northwestern Medicine Central DuPage Hospital,INFUSION SET POWER LOCK MAX 20G X 1.5,$99.50,,
Northwestern Medicine Central DuPage Hospital,ANES BAIR HUGGR-WARMING-PED,$99.25,,
Northwestern Medicine Central DuPage Hospital,BAIR HUGGER UPPER BDY 42268,$99.25,,
Northwestern Medicine Central DuPage Hospital,BINDER 3 PANEL 20-42 9IN,$99.25,,
Northwestern Medicine Central DuPage Hospital,CLOTH CVRS BENDYBUMPER,$99.25,,
Northwestern Medicine Central DuPage Hospital,HCPF N BLOCK- OTHER PERIPHERAL,$99.00,,
Northwestern Medicine Central DuPage Hospital,"THERAPEUTIC STRENGTH/ENDURANCE RESPIRATORY MUSCLE, INDIVIDUAL; EACH 15 MINUTES",$99.00,,
Northwestern Medicine Central DuPage Hospital,HCPF ESTABLISHED PATIENT LEVEL 3,$99.00,,
Northwestern Medicine Central DuPage Hospital,HCPF CHANGE URETER STEN PERCUT,$988.00,,
Northwestern Medicine Central DuPage Hospital,"FRACTURE METACARPAL, SINGLE; WITH MANIPULATION, EACH BONE",$985.75,,
Northwestern Medicine Central DuPage Hospital,HCPF REMOVE FB EYE CONJUNC,$98.75,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF PROGESTERONE 17-D,$98.50,,
Northwestern Medicine Central DuPage Hospital,BAG INFUS PRSS 500ML DISP,$98.00,,
Northwestern Medicine Central DuPage Hospital,HEPATITIS DELTA AGENT ANTBDY,$98.00,,
Northwestern Medicine Central DuPage Hospital,ANTIDEPRESSANTS CLASS 1 OR 2,$98.00,,
Northwestern Medicine Central DuPage Hospital,HCPF NEW PATIENT LEVEL 2,$98.00,,
Northwestern Medicine Central DuPage Hospital,OR 250,$979.31,,
Northwestern Medicine Central DuPage Hospital,X-RAY EXAM RIBS/CHEST4/> VWS,$976.50,,
Northwestern Medicine Central DuPage Hospital,INJECTION OF SINUS TRACT; DIAGNOSTIC/SINOGRAM,$974.25,,
Northwestern Medicine Central DuPage Hospital,FRACTURE RADIUS SHAFT; WITH MANIPULATION,$972.75,,
Northwestern Medicine Central DuPage Hospital,GENOTYPE DNA HIV REVERSE T,$972.25,,
Northwestern Medicine Central DuPage Hospital,WASHED RED BLOOD CELLS UNIT,$970.88,,
Northwestern Medicine Central DuPage Hospital,"STOCKINET TUBE 3""",$97.88,,
Northwestern Medicine Central DuPage Hospital,IV TUBING MINI-GTT W/Y,$97.63,,
Northwestern Medicine Central DuPage Hospital,IMMUNODIFFUSION OUCHTERLONY,$97.50,,
Northwestern Medicine Central DuPage Hospital,HISTOPLASMA ANTIBODY,$97.50,,
Northwestern Medicine Central DuPage Hospital,HEPATITIS BE AG IA,$97.50,,
Northwestern Medicine Central DuPage Hospital,PROTHROMBIN TIME,$97.38,,
Northwestern Medicine Central DuPage Hospital,8 CM ROSIDAL BANDAGE RL,$97.25,,
Northwestern Medicine Central DuPage Hospital,HCPF APPL LOWER LEG SPLINT,$97.25,,
Northwestern Medicine Central DuPage Hospital,ANTI-REFLUX VALVE,$97.00,,
Northwestern Medicine Central DuPage Hospital,PINWORM EXAM,$97.00,,
Northwestern Medicine Central DuPage Hospital,FUNCTIONAL BRAIN MAPPING,$968.00,,
Northwestern Medicine Central DuPage Hospital,ELECTRD NDL NEURO LOW IMPED,$966.75,,
Northwestern Medicine Central DuPage Hospital,ELECTROMYOGRAPHY (EMG); 3 LIMBS; WITH OR WITHOUT RELATED PARASPINAL AREAS,$966.75,,
Northwestern Medicine Central DuPage Hospital,INTMD RPR S/A/T/EXT 2.6-7.5,$961.75,,
Northwestern Medicine Central DuPage Hospital,LIGATION OF HEMORRHOID(S),$961.75,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF NOS VITAMIN,$96.50,,
Northwestern Medicine Central DuPage Hospital,VITAL CAPACITY TEST,$96.50,,
