IDENTIFIER,DESCRIPTION,CATEGORY OF SERVICE,CHARGE AMOUNT,
2025997,HC BONE MARROW HARVEST ALLOGEN,Allogeneic Stem Cell Acquisition/Donor Services,"$3,876.66",
2025996,HC LOCAL CELL DONOR SEARCH MANAGEMENT,Allogeneic Stem Cell Acquisition/Donor Services,"$2,120.00",
2025995,HC NMDP CELL DONOR SEARCH MANAGEMENT,Allogeneic Stem Cell Acquisition/Donor Services,"$52,500.00",
2026003,HC RBC DEPLETION OF HARVEST,Allogeneic Stem Cell Acquisition/Donor Services,"$1,251.00",
2025999,HC THAW PRESERVED STEM CELLS,Allogeneic Stem Cell Acquisition/Donor Services,"$1,251.00",
2026005,HC VOLUME DEPLETE OF HARVEST,Allogeneic Stem Cell Acquisition/Donor Services,"$1,251.00",
2026000,HC WASH HARVEST STEM CELLS,Allogeneic Stem Cell Acquisition/Donor Services,"$1,251.00",
2025763,HC ALS 2,Ambulance,"$4,025.00",
2025455,HC ALS1-EMERGENCY,Ambulance,"$2,875.00",
2025456,HC BLS - EMERGENCY,Ambulance,"$1,725.00",
2025454,HC GROUND MILEAGE PER STATUTE MILE,Ambulance,$51.75,
2025765,"HC COMPUTER ASSISTED DEVICE, INTELLIJOINT",Ambulatory Surgery,"$6,085.80",
2010000,HC OPERATING ROOM FLAT FEE,Ambulatory Surgery,"$4,303.53",
2010001,HC OPERATING ROOM PER MINUTE,Ambulatory Surgery,$143.45,
2022663,HC TERMINATED PROCEDURE,Ambulatory Surgery,"$4,620.96",
2022677,HC TERMINATED PROCEDURE,Ambulatory Surgery,"$4,620.96",
2022680,HC USE OF ROBOTIC,Ambulatory Surgery,"$43,175.54",
2026244,HC USE OF ROBOTIC - DAVINCI SINGLE PORT,Ambulatory Surgery,"$43,175.54",
2022685,HC ANESTHESIA BASE FEE,Anesthesia,$521.05,
2022686,HC ANESTHESIA PER MINUTE,Anesthesia,$4.83,
2026163,HC MOD SED SAME PHYS/QHP 5/>YRS,Anesthesia,$254.34,
2022467,HC SWAN GANZ MONITORING,Anesthesia,$130.34,
2021990,HC EVOKED AUDITORY TEST,Audiology,$315.13,
2023067,HC NASOPHARYNGOSCOPY W ENDOSCOPE,Audiology,"$3,313.38",
2021989,"HC AUDITOR EVOKE POTENT, COMPRE",Audiology: Diagnostic,$856.12,
2022922,HC BASIC VESTIBULAR EVAL,Audiology: Diagnostic,$315.13,
2025549,HC CALORIC VSTBLR TEST W/REC BITHERMAL,Audiology: Diagnostic,$798.22,
2021987,HC COMPREHENSIVE HEARING TEST,Audiology: Diagnostic,$305.50,
2022989,HC SCREEN TONE AIR ONLY,Audiology: Diagnostic,$231.58,
