ST ROSE HOSPITAL CHARGE MASTER 2019,,,
Charge Code,Charge Description,Hospital name,Charge amount 
0100024,ROOM-BOARD MED SURG,ST ROSE HOSPITAL,"$5,796.00 "
0100025,ROOM-BOARD ISOLATION,ST ROSE HOSPITAL,"$6,042.24 "
0100040,ROOM-BOARD FBC,ST ROSE HOSPITAL,"$5,796.00 "
0100045,ROOM-BOARD FBC LABOR-DELIVERY,ST ROSE HOSPITAL,"$5,796.00 "
0100057,ROOM-BOARD NURSERY LEVEL 1,ST ROSE HOSPITAL,"$2,884.00 "
0100068,ROOM-BOARD NURSERY LEVEL III-SICK BABY,ST ROSE HOSPITAL,"$5,768.00 "
0100081,ROOM-BOARD ICU 4TH FLOOR,ST ROSE HOSPITAL,"$13,298.00 "
0100083,ROOM-BOAD TELE/ISOLATION,ST ROSE HOSPITAL,"$11,640.24 "
0100085,ROOM-BOARD ICU/ISOLATION,ST ROSE HOSPITAL,"$12,740.24 "
0100087,ROOM-BOARD TELE,ST ROSE HOSPITAL,"$10,773.00 "
0100088,ROOM-BOARD MED/SURG TELE,ST ROSE HOSPITAL,"$10,773.00 "
0100099,ROOM-BOARD MED/SURG TELE-ISOLATION,ST ROSE HOSPITAL,"$11,640.24 "
0100115,ROOM-BOARD CCU,ST ROSE HOSPITAL,"$13,298.00 "
0200154,DELIVERY I,ST ROSE HOSPITAL,"$1,874.00 "
0200162,INSERTION CATHETER ARTERY,ST ROSE HOSPITAL,$153.00 
0200171,CIRCUMCISION ASSIST,ST ROSE HOSPITAL,"$1,103.76 "
0200182,NEWBORN RESUSCITATION,ST ROSE HOSPITAL,"$2,351.60 "
0200193,GLUCOSE BLOOD TEST,ST ROSE HOSPITAL,$184.57 
0200214,ROOM-BOARD NURSERY LEVEL II,ST ROSE HOSPITAL,"$2,899.50 "
0200225,DELIVERY II HIGH RISK,ST ROSE HOSPITAL,"$3,212.89 "
0200226,MISC FBC,ST ROSE HOSPITAL,$419.90 
0200236,RECOVERY ROOM EA ADD'L 15 MIN,ST ROSE HOSPITAL,$179.42 
0200247,ANESTHESIA BASE HR,ST ROSE HOSPITAL,$594.92 
0200258,ANESTHESIA ADMIN EA ADD'L 15 MIN,ST ROSE HOSPITAL,$138.81 
0200269,MINOR PROCEDURE,ST ROSE HOSPITAL,"$1,103.76 "
0200281,IV INFUS THPY/PRO/DX 1ST HR,ST ROSE HOSPITAL,$142.89 
0200345,OB CHECK LEVEL 1 - EST,ST ROSE HOSPITAL,$220.74 
0200356,OB CHECK LEVEL 2 - EST,ST ROSE HOSPITAL,$295.95 
0200390,CAR SEAT/BED TEST 60 MIN,ST ROSE HOSPITAL,$187.32 
0200401,CAR SEAT/BED TEST + 30 MIN,ST ROSE HOSPITAL,$187.32 
0200469,NEWBORN HEARING SCREENING EXAM,ST ROSE HOSPITAL,$161.00 
0204503,RECOVERY -VAGINAL ADD'L HOURS,ST ROSE HOSPITAL,"$1,287.00 "
0280255,INSERTION OF CHEST TUBE,ST ROSE HOSPITAL,"$2,445.80 "
0281402,"BELT, DISPOSABLE LEG",ST ROSE HOSPITAL,$38.00 
0281451,RECOVERY -VAGINAL 2 HOURS,ST ROSE HOSPITAL,"$1,287.00 "
0281550,MITY VAC,ST ROSE HOSPITAL,$299.00 
0281758,SILASTIC VACUUM EXT (EGNELL),ST ROSE HOSPITAL,$115.00 
0282806,RECOVERY ROOM ONE HOUR,ST ROSE HOSPITAL,"$1,256.00 "
0288712,EPIDURAL TRAY,ST ROSE HOSPITAL,$150.00 
0288969,C-SECTION EPIDURAL OR SPINAL,ST ROSE HOSPITAL,$763.00 
0289017,C-SECTION GENERAL ANESTHESIA,ST ROSE HOSPITAL,$807.00 
0289058,NST 0-2 HOURS,ST ROSE HOSPITAL,$607.00 
0289069,NST 2-4 HOURS,ST ROSE HOSPITAL,$454.68 
0289074,OB VISIT LEVEL 1,ST ROSE HOSPITAL,$682.00 
0289090,OB VISIT LEVEL 2,ST ROSE HOSPITAL,"$1,133.00 "
0289116,OB VISIT LEVEL 3,ST ROSE HOSPITAL,"$1,650.00 "
0289132,OB VISIT LEVEL 4,ST ROSE HOSPITAL,"$2,611.00 "
0289157,OB VISIT LEVEL 5,ST ROSE HOSPITAL,"$4,040.00 "
0289165,C-SEC LEVEL 3 1ST HOUR,ST ROSE HOSPITAL,"$15,597.00 "
0289173,LUMBAR PUNCTURE ASSIST,ST ROSE HOSPITAL,"$1,863.10 "
0289174,C-SEC ADD 15MIN,ST ROSE HOSPITAL,"$1,946.00 "
0289175,IV INFUSION ADD'L SEQ 1 HR,ST ROSE HOSPITAL,$195.65 
0289176,IV INFUSION CONCURRENT,ST ROSE HOSPITAL,$89.80 
0289177,POST VOID RESID BY US CPT,ST ROSE HOSPITAL,$248.20 
0289178,IV INFUSION HYDRATION ADD'L HR,ST ROSE HOSPITAL,$135.05 
0289179,IV INFUSION THX/PX/DX FIRST HR,ST ROSE HOSPITAL,$731.20 
0289180,IV INFUSION THX/PX/DX ADDL HR,ST ROSE HOSPITAL,$731.20 
0289181,INJ VACCINE INITIAL,ST ROSE HOSPITAL,$195.65 
0289182,INJ VACCINE EACH ADDITIONAL,ST ROSE HOSPITAL,$135.05 
0289183,THER/PROPH/DIAG INJ IV PUSH (INITIAL),ST ROSE HOSPITAL,$541.00 
0289184,TX/PRO/DX INJ NEW DRUG ADDON,ST ROSE HOSPITAL,$195.65 
0289185,TX/PRO/DX INJ SAME DRUG ADDON,ST ROSE HOSPITAL,$258.80 
0289186,FETAL MONITOR W/REPORT (INTERNAL),ST ROSE HOSPITAL,$150.00 
0289187,OXYGEN DAILY (PER VISIT),ST ROSE HOSPITAL,$79.35 
0289188,FETAL MONITOR EXTERNAL W/REPORT,ST ROSE HOSPITAL,$592.80 
0289200, SETUP EPIDURAL & ADMIN EPIDURAL OR SPIN,ST ROSE HOSPITAL,$625.00 
