Hospital,Description,Std Price
UPMC McKeesport,#36FR ANG CHEST TUBES CLOT ST,82.50
UPMC McKeesport,#36FR ST CHEST TUBES CLOT STOP,66.25
UPMC McKeesport,11 DEOXYCORTISOL SERUM,204.00
UPMC McKeesport,14FR RIGHT ANGL CANNU MEDT,449.00
UPMC McKeesport,17 ALPHA HYDROXY PROGESTERONE,223.00
UPMC McKeesport,17-HYDROXYCORTICOSTROIDS P1552,180.00
UPMC McKeesport,18 HYDROXYCORTICOSTERONE,251.00
UPMC McKeesport,22.5ML STERILE10%W/V POVIDONE,7.50
UPMC McKeesport,24HR URINE HOMOVANI ACID P1998,126.00
UPMC McKeesport,25-HYDROXY-VITAMIN-D,311.00
UPMC McKeesport,25-OH VITAMIN D3 P3433,311.00
UPMC McKeesport,2D ECHO EXER STRESS W CONT,3077.00
UPMC McKeesport,2D ECHO EXER STRESS WO CONT,3196.00
UPMC McKeesport,2D ECHO LIMITED M-MODE WO CONT,632.00
UPMC McKeesport,2D ECHO LTD M-MODE W CONT,632.00
UPMC McKeesport,2D ECHO M-MODE W CONT COMP,1275.00
UPMC McKeesport,2D ECHO M-MODE WO CONT COMP,1275.00
UPMC McKeesport,2HR GLUCOSE,54.50
UPMC McKeesport,3 ADDITIONAL MARKERS,223.00
UPMC McKeesport,3 WAY KELLY IRRIGATION,85.00
UPMC McKeesport,3-D RADIOTHERAPY PLAN,6989.00
UPMC McKeesport,3D RENDER W POSTPROCESS,1448.00
UPMC McKeesport,4HR GLUCOSE,54.50
UPMC McKeesport,5 NUCLEOTIDASE/SERUM,124.00
UPMC McKeesport,5-HIAA - 24HR URINE,105.00
UPMC McKeesport,5HR GLUCOSE,54.50
UPMC McKeesport,6F DEFL QUADRAPOLAR CATH 10MM,1498.00
UPMC McKeesport,6F DEFLECT DECAPOLAR CATH,2493.00
UPMC McKeesport,74C4 BILE ACID SYNTHESIS,147.00
UPMC McKeesport,8 / 11G MAMMOMARK BX SITE ID,504.00
UPMC McKeesport,8/11G BLD MAMTME EX PRB W TUBE,1449.00
UPMC McKeesport,A FUMIGATUS IGG,59.25
UPMC McKeesport,A FUMIGATUS M3 IGE P0218,73.75
UPMC McKeesport,A LACTOALBUMIN ALLERGEN P 5416,73.75
UPMC McKeesport,A-1-ANTITRYPSIN,158.00
UPMC McKeesport,A1-ANTITRYPSIN/RANDOM FECES,158.00
UPMC McKeesport,ABATACEPT INJ 250MG VIAL,4684.00
UPMC McKeesport,ABCESS EAR LOBE COMPLICATED,1982.00
UPMC McKeesport,ABD PARACNT DX/THR W IMG GUID,3970.00
UPMC McKeesport,ABD PARACNT DX/THR WO IMG GUID,3458.00
UPMC McKeesport,ABDOMEN 1 VIEW,497.00
UPMC McKeesport,ABDOMEN 2 VIEWS,497.00
UPMC McKeesport,ABEMACICLIB 100 MG TAB,616.00
UPMC McKeesport,ABG W/DIR MEAS O2 SAT,363.00
UPMC McKeesport,ABLATION CARDIOBLATE XL MEDT,8958.00
UPMC McKeesport,ABLATION DEV UTERINE HOLOG,3354.00
UPMC McKeesport,ABLATION DEVICE L/P MEDTR,10105.00
UPMC McKeesport,ABLATOR ASPIR APOLLO RF90 ARTH,603.00
UPMC McKeesport,ABO FORWARD GROUPING,32.75
UPMC McKeesport,ABO REVERSE GROUPING,32.75
UPMC McKeesport,ABS FIX DEVICE W-30 TACKS COVI,1766.00
UPMC McKeesport,ABS/FISTULA/SINUS TRACT STUDY,2624.00
UPMC McKeesport,ABSOLUTE CD19 PNL 2859,222.00
UPMC McKeesport,ABSOLUTE CD3 PNL 2851,561.00
UPMC McKeesport,ABSOLUTE CD3 PNL 2859,561.00
UPMC McKeesport,ABSOLUTE CD3/16/56 PNL 2859,222.00
UPMC McKeesport,ABSOLUTE CD4 & CD8 COUNT P1360,737.00
UPMC McKeesport,ABSOLUTE CD4 PNL 2851,737.00
UPMC McKeesport,ABSOLUTE CD4 PNL 2856,378.00
UPMC McKeesport,ABSOLUTE CD4 PNL 2859,737.00
UPMC McKeesport,ABSORPTION,73.75
UPMC McKeesport,ABSORPTION OF PT SERUM STROML,73.75
UPMC McKeesport,ACALABRUTINIB 100MG CAP,753.00
UPMC McKeesport,ACAMPROSATE 333MG TABLET,1.00
UPMC McKeesport,ACARBOSE 25MG TABLET,2.00
UPMC McKeesport,ACCUSTICK SET,383.00
UPMC McKeesport,ACEBUTOLOL HCL 200MG CAP,12.00
UPMC McKeesport,ACETABULAR ZIMMER VARS,7090.00
UPMC McKeesport,ACETAMIN 160 MG/5 ML NODYE UD,3.75
UPMC McKeesport,ACETAMIN 325MG/HYDROCODON 10MG,4.75
UPMC McKeesport,ACETAMINOPHEN,261.00
UPMC McKeesport,ACETAMINOPHEN 160MG/5ML UD,1.25
UPMC McKeesport,ACETAMINOPHEN 325MG TAB 26PK,1.50
UPMC McKeesport,ACETAMINOPHEN LEVEL,261.00
UPMC McKeesport,ACETAMINOPHEN LEVEL OPTICAL,261.00
UPMC McKeesport,ACETAZOLAMIDE 250MG TAB,8.25
UPMC McKeesport,ACETAZOLAMIDE 500MG INJ,265.00
UPMC McKeesport,ACETAZOLAMIDE 500MG SA CAP,23.00
UPMC McKeesport,ACETIC ACID 0.25% SOLN IRR,4.75
UPMC McKeesport,ACETIC ACID 2%/HC 1% OTIC SOL,273.00
UPMC McKeesport,ACETONE,73.75
UPMC McKeesport,ACETONE QUANTATVE KETOACIDS,78.50
UPMC McKeesport,ACETULABAR INSERT STRYKER VAR,1087.00
UPMC McKeesport,ACETYLCHOLINE RECEPTOR ANTIBDY,505.00
UPMC McKeesport,ACETYLCHOLINE RECEPTOR P1335,505.00
UPMC McKeesport,ACETYLCHOLINE RECPT BLOCK AB,505.00
UPMC McKeesport,ACETYLCHOLINE RECPTR MOD AB,505.00
UPMC McKeesport,ACETYLCYSTEINE 20% 4ML VIAL IN,175.00
UPMC McKeesport,ACETYLCYSTEINE 20% 6GM/30ML,566.00
UPMC McKeesport,ACETYLCYSTEINE INJ 6G/30ML,1144.00
UPMC McKeesport,ACETYLSTEINE 10% VIAL 4ML INJ,84.25
UPMC McKeesport,ACH RECEPTOR BINDING AB,358.00
UPMC McKeesport,ACID HEMOLYSIS TEST HAMS TEST,98.75
UPMC McKeesport,ACLIDINIUM 400MCG INH SLN,243.00
UPMC McKeesport,ACROMIOCLAVICULAR JOINTS BI,497.00
UPMC McKeesport,ACTH ADRENOCORTICOTROPIC HORMN,288.00
UPMC McKeesport,ACTH PLASMA 2 SPECIMENS,288.00
UPMC McKeesport,ACTIN (SMOOTH MUSC) AB IGG,118.00
UPMC McKeesport,ACTIVATED CLOTTING TIME ACT,52.25
UPMC McKeesport,ACTIVATED PROTEIN C P9418,245.00
UPMC McKeesport,ACTIVATED PTT,280.00
UPMC McKeesport,ACUITY LEVEL 1,306.00
UPMC McKeesport,ACUITY LEVEL 1 NON EMERGENT,306.00
UPMC McKeesport,ACUITY LEVEL 2,452.00
UPMC McKeesport,ACUITY LEVEL 2 NON EMERGENT,452.00
UPMC McKeesport,ACUITY LEVEL 3,629.00
UPMC McKeesport,ACUITY LEVEL 4,828.00
UPMC McKeesport,ACUITY LEVEL 5,1353.00
UPMC McKeesport,ACUTE ABDOMEN W/ 1 VW CXR,837.00
UPMC McKeesport,ACUTE BOWEL IMAG INTEST-MECKEL,918.00
UPMC McKeesport,ACUTE HEPATITIS PANEL,538.00
UPMC McKeesport,ACYCLOVIR 200MG CAP,1.00
UPMC McKeesport,ACYCLOVIR 400MG TABLET,1.00
UPMC McKeesport,ACYCLOVIR 400MG/10ML SUS,25.50
UPMC McKeesport,ACYCLOVIR 500MG INJ,736.00
UPMC McKeesport,ACYLCARNITINE/PLASMA,205.00
UPMC McKeesport,ADALAT 10MG CAP,4.50
UPMC McKeesport,ADALIMUMAB 40MG .8ML INJ,4150.00
UPMC McKeesport,ADALIMUMAB ANTIBODY,117.00
UPMC McKeesport,ADALIMUMAB W/REFLEX TO AB,181.00
UPMC McKeesport,ADAPTER FEM HEAD INS BIO VARZ,993.00
UPMC McKeesport,ADAPTER HEAD FEM TPRD 42MM BIO,1040.00
UPMC McKeesport,ADAPTER HEAD FEMORAL 42MM BIOM,993.00
UPMC McKeesport,ADAPTER HEAD FEMRL COBLT ZIMMR,1365.00
UPMC McKeesport,ADAPTER HEMI PROSTH TORN VARSZ,11437.00
UPMC McKeesport,ADAPTER METAPHYSIS TORNIER,1746.00
UPMC McKeesport,ADAPTER METASUL ZIMMER,795.00
UPMC McKeesport,ADAPTER SIDE ARM ROTATE,1329.00
UPMC McKeesport,ADAPTOR ROTATION EBIMED,2278.00
UPMC McKeesport,ADDERALL 5MG TAB,1.00
UPMC McKeesport,ADDERALL IMMED REL 15MG,15.75
UPMC McKeesport,ADENOSINE 6MG/2ML INJ,177.00
UPMC McKeesport,ADENOSINE DEAMIN PLEURAL FLUID,314.00
UPMC McKeesport,ADENOVIRUS ANTIBODY,243.00
UPMC McKeesport,ADENOVIRUS P0786,243.00
UPMC McKeesport,ADJ TISS XFER HFH 10-30CM,4772.00
UPMC McKeesport,ADO-TRASTUZUMAB PER 1MG,125.00
