Charge Code Description,"Rev
Code","Proc
 Code","Rate 
Exception",,,,,,,,,
0500FR,INITIAL PRENATAL CARE VISIT - RWC,RWC,A,960,0500F,,,,,342,N,Y
0503FR,PP VISIT - RWC,RWC,A,960,0503F,,,,,168,N,Y
10021FL,FNA W/O IMAGE (MC FACIL)-GS,HCGS,A,510,10021,,,,,336,N,N
10021PL,FNA W/O IMAGE (MC PRO)-GS,HCGS,A,960,10021,,,,,225,N,Y
10021TL,FNA W/O IMAGE-GS,HCGS,A,960,10021,,,,,561,N,N
10060F,I&D ABSCESS SIMPLE/SINGLE (MC FACIL)-FMC,FMC,A,510,10060,,,,,300,N,N
10060FL,I&D ABSCESS SIMPLE/SINGLE (MC FACIL)-GS,HCGS,A,510,10060,,,,,231,N,N
10060P,I&D ABSCESS SIMPLE/SINGLE (MC PRO)-FMC,FMC,A,960,10060,,,,,200,N,Y
10060PL,I&D ABSCESS SIMPLE/SINGLE (MC PRO)-GS,HCGS,A,960,10060,,,,,153,N,Y
10060T,I&D ABSCESS SIMPLE/SINGLE-FMC,FMC,A,960,10060,,,,,500,N,N
10060TL,I&D ABSCESS SIMPLE/SINGLE-GS,HCGS,A,960,10060,,,,,384,N,N
10060WF,I & D ABSCESS SINGLE,WND,A,761,10060,,,,,279,N,N
10060WP,I & D ABSCESS SINGLE,WND,A,960,10060,,,,,186,N,Y
10060WT,I & D ABSCESS SINGLE,WND,A,960,10060,,,,,465,N,N
10061F,I&D ABSCESS COMPLICATED (MC FACIL)-FMC,FMC,A,510,10061,,,,,436,N,N
10061FL,I&D ABSCESS COMPLICATED (MC FACIL)-GS,HCGS,A,510,10061,,,,,436,N,N
10061P,I&D ABSCESS COMPLICATED (MC PRO)-FMC,FMC,A,960,10061,,,,,290,N,Y
10061PL,I&D ABSCESS COMPLICATED (MC PRO)-GS,HCGS,A,960,10061,,,,,290,N,Y
10061T,I&D ABSCESS COMPLICATED-FMC,FMC,A,960,10061,,,,,726,N,N
10061TL,I&D ABSCESS COMPLICATED-GS,HCGS,A,960,10061,,,,,726,N,N
10061WF,I & D ABSCESS MULTIPLE FAC,WND,A,761,10061,,,,,527,N,N
10061WP,I & D ABSCESS MULTIPLE PROF,WND,A,960,10061,,,,,352,N,Y
10061WT,I & D ABSCESS MULTIPLE,WND,A,960,10061,,,,,879,N,N
10080F,I&D PILONIDAL CYST;SIMPLE (MC FACIL)-FMC,FMC,A,510,10080,,,,,601,N,N
10080FL,I&D PILONIDAL CYST;SIMPLE (MC FACIL)-GS,HCGS,A,510,10080,,,,,593,N,N
10080P,I&D PILONIDAL CYST;SIMPLE (MC PRO)-FMC,FMC,A,960,10080,,,,,401,N,Y
10080PL,I&D PILONIDAL CYST;SIMPLE (MC PRO)-GS,HCGS,A,960,10080,,,,,396,N,Y
10080T,I&D PILONIDAL CYST; SIMPL-FMC,FMC,A,960,10080,,,,,"1,002.00",N,N
10080TL,I&D PILONIDAL CYST; SIMPL-GS,HCGS,A,960,10080,,,,,989,N,N
10120F,I&R FB SUBQ TISS;SIMPLE (MC FACIL)-FMC,FMC,A,510,10120,,,,,372,N,N
10120FL,I&R FB SUBQ TISS;SIMPLE (MC FACIL)-GS,HCGS,A,510,10120,,,,,366,N,N
10120P,I&R FB SUBQ TISS;SIMPLE (MC PRO)-FMC,FMC,A,960,10120,,,,,248,N,Y
10120PA,INCIS + REMOVAL OF FOREIGN BODY SUBQ SIM,SCS,A,960,10120,,,,,179,N,N
10120PL,I&R FB SUBQ TISS;SIMPLE (MC PRO)-GS,HCGS,A,960,10120,,,,,243,N,Y
10120T,I&R FB SUBQ TISS; SIMPLE-FMC,FMC,A,960,10120,,,,,620,N,N
10120TL,I&R FB SUBQ TISS; SIMPLE-GS,HCGS,A,960,10120,,,,,609,N,N
10121F,I&R FB SUBQ TISS;COMPLICA (MC FACIL)-FMC,FMC,A,510,10121,,,,,"1,350.00",N,N
10121FL,I&R FB SUBQ TISS;COMPLICA (MC FACIL)-GS,HCGS,A,510,10121,,,,,"1,380.00",N,N
10121P,I&R FB SUBQ TISS;COMPLICA (MC PRO)-FMC,FMC,A,960,10121,,,,,900,N,Y
10121PL,I&R FB SUBQ TISS;COMPLICA (MC PRO)-GS,HCGS,A,960,10121,,,,,920,N,Y
10121T,I&R FB SUBQ TISS; COMPLIC-FMC,FMC,A,960,10121,,,,,"2,250.00",N,N
10121TL,I&R FB SUBQ TISS; COMPLIC-GS,HCGS,A,960,10121,,,,,"2,300.00",N,N
10140F,I&D HEMATOMA SEROMA/FL CO (MC FACIL)-FMC,FMC,A,510,10140,,,,,"1,500.00",N,N
10140FL,I&D HEMATOMA SEROMA/FL CO (MC FACIL)-GS,HCGS,A,510,10140,,,,,"1,380.00",N,N
10140P,I&D HEMATOMA SEROMA/FL CO (MC PRO)-FMC,FMC,A,960,10140,,,,,"1,000.00",N,Y
10140PL,I&D HEMATOMA SEROMA/FL CO (MC PRO)-GS,HCGS,A,960,10140,,,,,920,N,Y
10140T,I&D HEMATOMA SEROMA/FL CO-FMC,FMC,A,960,10140,,,,,"2,500.00",N,N
10140TL,I&D HEMATOMA SEROMA/FL CO-GS,HCGS,A,960,10140,,,,,"2,300.00",N,N
10160FL,PUNCT ASP-ABSC HEMAT CYST (MC FACIL)-GS,HCGS,A,510,10160,,,,,359,N,N
10160PA,"PUNCTURE ASPIRATION OF HEMATOMA, ETC",SCS,A,960,10160,,,,,170,N,N
10160PL,PUNCT ASP-ABSC HEMAT CYST (MC PRO)-GS,HCGS,A,960,10160,,,,,239,N,Y
10160TL,PUNCT ASP-ABSC HEMAT CYST-GS,HCGS,A,960,10160,,,,,598,N,N
10160WF,"PUNCTURE ASPI ABSCESS, HEMA, BULLA/CYST",WND,A,761,10160,,,,,448,N,N
10160WP,"PUNCTURE ASPIR ABSCESS, HEMA,BULLA/CYST",WND,A,960,10160,,,,,299,N,Y
10160WT,"PUNCTURE ASPIR ABSCESS, HEMA, BULLA/CYST",WND,A,960,10160,,,,,747,N,N
10180R,I&D COMP POST OP WOUND INFECTION,RWC,A,960,10180,,,,,621,N,Y
11000TL,DEBRI OF INFECT SKIN TO 10% BODY SURFACE,HCGS,A,960,11000,,,,,53,N,Y
11042FL,DEB SUBQ TISS 20SQCM/< (MC FACIL)-GS,HCGS,A,510,11042,,,,,329,N,N
11042PA,"DEBRIDE, SUBC TISSUE; FIRST 20SQ CM <",SCS,A,960,11042,,,,,109,N,N
11042PL,DEB SUBQ TISS 20SQCM/< (MC PRO)-GS,HCGS,A,960,11042,,,,,218,N,Y
11042R,"DEBRIDEMENT, SUBCUTANEOUS TISSUE",RWC,A,960,11042,,,,,490,N,Y
11042TL,DEB SUBQ TISS 20SQCM/<-GS,HCGS,A,960,11042,,,,,547,N,N
11042WF,DEB SUBQ 1ST 20 SQ CM OR <  FAC,WND,A,761,11042,,,,,398,N,N
11042WP,DEB SUBQ 1ST 20 SQ CM OR < PROF,WND,A,960,11042,,,,,265,N,Y
11042WT,DEB SUBQ 1ST 20 SQ CM OR < TOT,WND,A,960,11042,,,,,663,N,N
11043PA,DEBRIDEMENT MUSCLE/FASCIA 1ST 20SQ CM,SCS,A,960,11043,,,,,406,N,N
11043WF,DEB MUSC/FSCIA 1ST 20 SQ CM OR < FAC,WND,A,761,11043,,,,,684,N,N
11043WP,DEB MUSC/FSCIA 1ST 20 SQ CM OR < PROF,WND,A,960,11043,,,,,456,N,Y
11043WT,DEB MUSC/FSCIA 1ST 20 SQ CM OR < TOT,WND,A,960,11043,,,,,"1,140.00",N,N
11044WF,DEB BONE 1ST 20 SQ CM OR < FAC,WND,A,761,11044,,,,,"1,650.00",N,N
11044WP,DEB BONE 1ST 20 SQ CM OR < PROF,WND,A,960,11044,,,,,"1,100.00",N,Y
11044WT,DEB BONE 1ST 20 SQ CM OR < TOT,WND,A,960,11044,,,,,"2,750.00",N,N
11045WF,DEB SUBQ TISSUE EACH ADDL FAC,WND,A,761,11045,,,,,346,N,N
11045WP,DEB SUBQ TISSUE EACH ADDL PROF,WND,A,960,11045,,,,,231,N,Y
11045WT,DEB SUBQ TISSUE EACH ADDL TOT,WND,A,960,11045,,,,,577,N,N
11046PA,DEBRIDEMENT MUSCLE/FASCIA EA ADDL 20SQCM,SCS,A,960,11046,,,,,131,N,N
11046WF,DEB MUSC/FASCIA EACH ADDL FAC,WND,A,761,11046,,,,,328,N,N
11046WP,DEB MUSC/FASCIA EACH ADDL PROF,WND,A,960,11046,,,,,218,N,Y
11046WT,DEB MUSC/FASCIA EACH ADDL TOT,WND,A,960,11046,,,,,546,N,N
11047WF,DEB BONE EACH ADDL FAC,WND,A,761,11047,,,,,458,N,N
11047WP,DEB BONE EACH ADDL PROF,WND,A,960,11047,,,,,305,N,Y
11047WT,DEB BONE EACH ADDL TOT,WND,A,960,11047,,,,,763,N,N
11055F,"1LES,PAR/CUT BEN LESION (MC FACIL)-FMC",FMC,A,510,11055,,,,,177,N,N
11055FL,"1LES,PAR/CUT BEN LESION (MC FACIL)-GS",HCGS,A,510,11055,,,,,173,N,N
11055IF,PARING/CUTTING BENIGN LESION;SGL MCFAC,HCIM,A,510,11055,,,,,195,N,N
11055IP,PARING/CUTTING BENIGN LESION;SINGLE MCPR,HCIM,A,960,11055,,,,,130,N,Y
11055IT,PARING/CUTTING BENIGN LESION;SINGLE HCIM,HCIM,A,960,11055,,,,,325,N,Y
11055P,"1LES,PAR/CUT BEN LESION (MC PRO)-FMC",FMC,A,960,11055,,,,,118,N,Y
11055PL,"1LES,PAR/CUT BEN LESION (MC PRO)-GS",HCGS,A,960,11055,,,,,115,N,Y
11055T,"1LES,PAR/CUT BEN LESION-FMC",FMC,A,960,11055,,,,,295,N,N
11055TL,"1LES,PAR/CUT BEN LESION-GS",HCGS,A,960,11055,,,,,288,N,N
11055WF,PAR/CUT OF BEN HYPERKERATOTIC LESION FAC,WND,A,761,11055,,,,,185,N,N
11055WP,PAR/CUT BEN HYPERKERATOTIC LESION PROF,WND,A,960,11055,,,,,124,N,Y
11055WT,PAR/CUT BEN HYPERKERATOTIC LESION TOTAL,WND,A,960,11055,,,,,309,N,N
11056F,"2-4LES,PAR/CUT BEN LESION (MC FACIL)-FMC",FMC,A,510,11056,,,,,177,N,N
11056FL,"2-4LES,PAR/CUT BEN LESION (MC FACIL)-GS",HCGS,A,510,11056,,,,,173,N,N
11056P,"2-4LES,PAR/CUT BEN LESION (MC PRO)-FMC",FMC,A,960,11056,,,,,118,N,Y
11056PL,"2-4LES,PAR/CUT BEN LESION (MC PRO)-GS",HCGS,A,960,11056,,,,,115,N,Y
11056T,"2-4LES,PAR/CUT BEN LESION-FMC",FMC,A,960,11056,,,,,295,N,N
11056TL,"2-4LES,PAR/CUT BEN LESION-GS",HCGS,A,960,11056,,,,,288,N,N
11057F,">4LES,PAR/CUT BEN LESION (MC FACIL)-FMC",FMC,A,510,11057,,,,,170,N,N
11057FL,">4LES,PAR/CUT BEN LESION (MC FACIL)-GS",HCGS,A,510,11057,,,,,173,N,N
11057P,">4LES,PAR/CUT BEN LESION (MC PRO)-FMC",FMC,A,960,11057,,,,,113,N,Y
11057PL,">4LES,PAR/CUT BEN LESION (MC PRO)-GS",HCGS,A,960,11057,,,,,115,N,Y
11057T,">4LES,PAR/CUT BEN LESION-FMC",FMC,A,960,11057,,,,,283,N,N
11057TL,">4LES,PAR/CUT BEN LESION-GS",HCGS,A,960,11057,,,,,288,N,N
11102F,"TANGENTIAL BX OF SKIN, SINGLE LESION FAC",FMC,A,510,11102,,,,,227,N,N
11102FL,"TANGENTIAL BX OF SKIN, SINGLE LESION FAC",HCGS,A,510,11102,,,,,227,N,N
11102P,"TANGENTIAL BX SKIN, SINGLE LESION PRO",FMC,A,960,11102,,,,,152,N,Y
11102PL,"TANGENTIAL BX OF SKIN, SINGLE LESION PRO",HCGS,A,960,11102,,,,,152,N,N
11102R,"TANGENTIAL BX OF SKIN, SINGLE LESION",RWC,A,960,11102,,,,,166,N,Y
11102T,"TANGENTIAL BX SKIN, SINGLE LESION",FMC,A,960,11102,,,,,379,N,N
11102TL,"TANGENTIAL BX OF SKIN, SINGLE LESION",HCGS,A,960,11102,,,,,379,N,N
11103F,TANGENTIAL BX SKIN-EA SEP/ADDL LES MCFAC,FMC,A,510,11103,,,,,40,N,N
11103FL,TANGENTIAL BX SKIN-EA SEP/ADDL LESION,HCGS,A,510,11103,,,,,40,N,N
11103P,TANGENTIAL BX SKIN-EA SEP/ADDL LES MCPRO,FMC,A,960,11103,,,,,26,N,Y
11103R,"TANGENTIAL BX OF SKIN,EA ADD LESION",RWC,A,960,11103,,,,,90,N,Y
