"Item Number,Description,Rev Code,CPT Code,Price,Assoc Item 1,Assoc Item 2,Assoc Item 3,Assoc Item 4,Assoc Item 5,Assoc Item 6,Assoc Item 7,Assoc Item 8,Assoc Item 9,Assoc Item 10"
"  200018,INJECTION-SQ/IM DONE IN M/S,260,96372, 82.50 ,,,,,,,,,,"
"  200116,ACCUCHECK IN M/S,300,82962, 9.75 ,,,,,,,,,,"
"  200118,ANTIBIOTIC SHOT IM DONE IN M/S,260,96372, 123.00 ,,,,,,,,,,"
"  200120,""IV PUSH, MED BY IV PUSH DONE M/S OR OR"",260,96374, 131.00 ,,,,,,,,,,"
"  200124,""CATHETER, FOLEY INSERTION IN M/S"",940,51702, 137.25 ,,,,,,,,,,"
"  200150,IV HYDRATION INITIAL HOUR-M/S,260,96360, 143.50 ,,,,,,,,,,"
"  200151,IV HYDRATION ADDT'L HOUR-M/S,260,96361, 46.00 ,,,,,,,,,,"
"  200152,IV INFUSION INITIAL HOUR-M/S,260,96365, 175.50 ,,,,,,,,,,"
"  200153,IV INFUSION ADDT'L HOUR-M/S,260,96366, 60.00 ,,,,,,,,,,"
"  200154,IV INFUS ADDT'L SEQ INF UP TO 1 HR-M/S,260,96367, 97.75 ,,,,,,,,,,"
"  200155,IV INFUSION CONCURRENT-M/S,260,96368, 97.75 ,,,,,,,,,,"
"  200156,INTRA-ARTERIAL-M/S,260,96373, 45.25 ,,,,,,,,,,"
"  200157,IV PUSH EACH ADDT'L-M/S OR OR,260,96375, 61.50 ,,,,,,,,,,"
"  200158,UNLISTED INJ/INF-M/S,260,96379, 58.50 ,,,,,,,,,,"
"  251701,""CATHETER, STRAIT INSERTION IN M/S"",940,51701, 116.50 ,,,,,,,,,,"
"  305225,CHLOROPREP 26ML OR,272,, 21.00 ,,,,,,,,,,"
"  486568,.NEEDLESTICK PROFILE,300,86703, 46.25 ,,,,,,,,,,"
" 2004020,OBSERVATION BED/DIRECT,762,G0379, 116.75 ,,,,,,,,,,"
" 2100018,INJECTION-SQ/IM DONE IN ICU,260,96372, 82.50 ,,,,,,,,,,"
" 2100116,ACCUCHECK IN ICU,300,82962, 9.75 ,,,,,,,,,,"
" 2100118,ANTIBIOTIC SHOT IM DONE IN ICU,260,96372, 123.00 ,,,,,,,,,,"
" 2100120,""IV PUSH, MEDICATION BY IV PUSH DONE ICU"",260,96374, 131.00 ,,,,,,,,,,"
" 2100124,""CATHETER, FOLEY INSERTION IN ICU"",940,51702, 137.25 ,,,,,,,,,,"
" 2100150,IV HYDRATION INITIAL HOUR-ICU,260,96360, 143.50 ,,,,,,,,,,"
" 2100151,IV HYDRATION ADDT'L HOUR-ICU,260,96361, 46.00 ,,,,,,,,,,"
" 2100152,IV INFUSION INITIAL HOUR-ICU,260,96365, 175.50 ,,,,,,,,,,"
" 2100153,IV INFUSION ADDT'L HOUR-ICU,260,96366, 60.00 ,,,,,,,,,,"
" 2100154,IV INFUS ADDT'L SEQ INF UP TO 1 HR-ICU,260,96367, 97.75 ,,,,,,,,,,"
" 2100155,IV INFUSION CONCURRENT-ICU,260,96368, 97.75 ,,,,,,,,,,"
" 2100156,INTRA-ARTERIAL-ICU,260,96373, 45.25 ,,,,,,,,,,"
" 2100157,IV PUSH EACH ADDT'L-ICU,260,96375, 61.50 ,,,,,,,,,,"
" 2100158,UNLISTED INJ/INF-ICU,260,96379, 58.50 ,,,,,,,,,,"
" 2151701,""CATHETER, STRAIT INSERTION IN ICU"",940,51701, 116.50 ,,,,,,,,,,"
" 2620007,EPIDURAL,370,, 582.25 ,,,,,,,,,,"
" 2620011,LUMBAR PUNCTURE,720,, 349.00 ,,,,,,,,,,"
" 2620022,FETAL NON-STRESS TEST,729,59025, 116.75 ,,,,,,,,,,"
" 2620032,INTRATHECAL INJ,720,, 369.50 ,,,,,,,,,,"
" 2620034,DELIVERY OF PLACENTA,720,59414, 294.50 ,,,,,,,,,,"
" 3000061,A THROMBICPUMP DAILY,360,, 41.25 ,,,,,,,,,,"
" 3000124,""CATHETER, FOLEY INSERTION IN OR"",360,51702, 137.25 ,,,,,,,,,,"
" 3040001,LAP INST,272,, 301.00 ,,,,,,,,,,"
" 3040002,ORTHO LAP INST,272,, 301.00 ,,,,,,,,,,"
" 3040003,GENERAL HIP,272,, 301.00 ,,,,,,,,,,"
" 3040004,BONE TRAY,272,, 301.00 ,,,,,,,,,,"
" 3040005,STRYKER BATTER DRIL,278,, 301.00 ,,,,,,,,,,"
" 3040006,TPS SET,272,, 301.00 ,,,,,,,,,,"
" 3040007,HAND & FOOT TRAY,272,, 301.00 ,,,,,,,,,,"
" 3040008,CANNULATED SCREW SET,278,, 301.00 ,,,,,,,,,,"
" 3040010,STEINMAN PIN SET,278,, 301.00 ,,,,,,,,,,"
" 3040011,PELVIC RECONST TRAY,272,, 301.00 ,,,,,,,,,,"
" 3040012,MINI FRAG SET,278,, 301.00 ,,,,,,,,,,"
" 3040013,SM FRAG SET,278,, 301.00 ,,,,,,,,,,"
" 3040014,LG FRAG SET,278,, 301.00 ,,,,,,,,,,"
" 3040015,CERCLAGE WIRE SET,272,, 301.00 ,,,,,,,,,,"
" 3040016,ACETABULAR REAMER SE,272,, 301.00 ,,,,,,,,,,"
" 3040017,BACK INST,272,, 301.00 ,,,,,,,,,,"
" 3040018,NECK INST,272,, 301.00 ,,,,,,,,,,"
" 3040019,SYN BONE FORCEP TRAY,272,, 301.00 ,,,,,,,,,,"
" 3040020,LAP CHOLEY INST,272,, 301.00 ,,,,,,,,,,"
" 3040021,LAPAROSCOPY INST,272,, 301.00 ,,,,,,,,,,"
" 3040022,LAPAROSCOPE SET,272,, 301.00 ,,,,,,,,,,"
" 3040023,GYN LAPAROSCOPY SET,272,, 301.00 ,,,,,,,,,,"
" 3040026,CYSTOSCOPY,360,, 965.25 ,,,,,,,,,,"
" 3040028,RESECTOSCOPE INST,272,, 301.00 ,,,,,,,,,,"
" 3040029,CAMERA/MONITOR,271,, 301.00 ,,,,,,,,,,"
" 3040030,MONOR INST,272,, 301.00 ,,,,,,,,,,"
" 3040031,APPENDIX INST,272,, 301.00 ,,,,,,,,,,"
" 3040032,ENT SOFT TISSUE SET,272,, 301.00 ,,,,,,,,,,"
" 3040033,SINUS ENDOSCOPY SET,272,, 301.00 ,,,,,,,,,,"
" 3040034,SEPTOPLASTY SET,272,, 301.00 ,,,,,,,,,,"
" 3040048,BRONCHOSCOPY,360,,"" 1,266.50 "",,,,,,,,,,"
" 3040062,AUTOTRANSFUSION PROC,272,,"" 1,499.50 "",,,,,,,,,,"
" 3040100,SINUSCOPE SET,272,, 301.00 ,,,,,,,,,,"
" 3040101,SHAVER/CAMERA,272,, 301.00 ,,,,,,,,,,"
" 3040102,BRONCHOSCOPE,272,, 301.00 ,,,,,,,,,,"
" 3040103,CRAIG NEEDLE BIO SET,272,, 301.00 ,,,,,,,,,,"
" 3040104,HYSTEROSCOPY INST,272,, 301.00 ,,,,,,,,,,"
" 3040105,ARTHROSCOPY INST,272,, 301.00 ,,,,,,,,,,"
" 3040106,ARTHROSCOPY SHAVER,272,, 301.00 ,,,,,,,,,,"
" 3040107,AML SET,272,, 301.00 ,,,,,,,,,,"
" 3040108,RICHARDS CLASSIC SET,278,, 301.00 ,,,,,,,,,,"
" 3040109,URETEROSCOPE,272,, 301.00 ,,,,,,,,,,"
" 3040110,MYRINGOTOMY SET,272,, 301.00 ,,,,,,,,,,"
" 3040111,MASTOID SET,272,, 301.00 ,,,,,,,,,,"
" 3040112,T&A INST SET,272,, 301.00 ,,,,,,,,,,"
" 3040113,RECTAL INST,272,, 301.00 ,,,,,,,,,,"
" 3040115,RECTAL PACK,272,, 75.75 ,,,,,,,,,,"
" 3040116,LOCAL PACK,272,, 75.75 ,,,,,,,,,,"
" 3040117,RT I M INST SET,272,, 301.00 ,,,,,,,,,,"
" 3040118,I M FLEX REAMER SET,272,, 301.00 ,,,,,,,,,,"
" 3040119,RUSH PIN SET,278,, 301.00 ,,,,,,,,,,"
" 3040120,IMSC INST SET,272,, 301.00 ,,,,,,,,,,"
" 3040121,DEIMATONE TRAY,272,, 301.00 ,,,,,,,,,,"
" 3040122,CASPAR RETR SET,272,, 301.00 ,,,,,,,,,,"
" 3040123,ATLANTIS SYSTEM,272,, 301.00 ,,,,,,,,,,"
" 3040124,LINK SHOULDER SET,272,, 301.00 ,,,,,,,,,,"
" 3040125,EBI,272,, 301.00 ,,,,,,,,,,"
" 3040126,HALL AIR DRILL,272,, 301.00 ,,,,,,,,,,"
" 3040127,MANUAL ARTHRO INST,272,, 301.00 ,,,,,,,,,,"
" 3040128,ARTHRO C/LIGHT CORD,272,, 301.00 ,,,,,,,,,,"
" 3040129,SYNTHES WIRE SET,272,, 301.00 ,,,,,,,,,,"
" 3040130,C-SECTION INSTR,272,, 301.00 ,,,,,,,,,,"
" 3040131,MISC INSTRUMENTS,272,, 301.00 ,,,,,,,,,,"
" 3040150,DALL MILES TRAY,272,, 301.00 ,,,,,,,,,,"
" 3040226,TOUR SYS ATS 1500,272,, 151.00 ,,,,,,,,,,"
" 3040265,CAST ROOM O R,360,, 527.50 ,,,,,,,,,,"
