Bayhealth Medical Center ,,,
Kent General Hospital,,,
,,,
Charge Code,Charge Description,Charge,**Charge is variable and based on type of drug / supply and variabe cost
71165,HC RX , $158.49 ,**
71166,HC RX , $62.90 ,**
71168,HC RX , $16.19 ,**
89325,HC RX , $386.99 ,**
92015,HC RX , $568.65 ,**
92016,HC RX , $844.94 ,**
124142,HC RX , $269.75 ,**
2580001,HC RX , $62.41 ,**
11000000,HC PRIVATE ROOM CHARGE," $1,182.00 ",
11100000,HC GYN PRIVATE ROOM CHARGE," $1,129.00 ",
11200000,HC OB PRIVATE ROOM CHARGE," $1,129.00 ",
11300000,HC PEDS PRIVATE ROOM CHARGE," $1,220.00 ",
11800000,HC REHAB ROOM CHARGE," $1,454.00 ",
12000000,HC SEMI-PRIVATE ROOM CHARGE," $1,182.00 ",
12300000,HC PEDS SEMI-PRIVATE ROOM CHARGE," $1,220.00 ",
12800000,HC REHAB SEMI-PRIVATE ROOM CHARGE," $1,454.00 ",
17100000,HC NEO-NATAL LEVEL 1, $766.00 ,
17200000,HC NEO-NATAL LEVEL 2," $1,404.00 ",
17300000,HC NEO-NATAL LEVEL 3," $1,776.00 ",
17400000,HC NEO-NATAL LEVEL 4," $2,242.00 ",
20000000,HC ICU ROOM CHARGE," $2,522.00 ",
20600000,HC IMC PRIVATE ROOM CHARGE," $1,959.00 ",
21000000,HC CV/SICU ROOM CHARGE," $3,127.00 ",
23000000,HC NURSE TRANSPORT PER HOUR, $290.00 ,
25000000,HC NICU SURFACTANT," $3,862.00 ",
25000001,HC NITRIC OXIDE-MEDICATION HRLY, $493.00 ,
26000000,HC IV INFUSION HYDRA INITIAL =< 1HR, $647.00 ,
26000001,HC IV INFUSION HYDRATION EA ADD'L HR, $284.00 ,
26000002,HC THER/PROPH/DIAG INJ SC/IM, $119.00 ,
26000003,HC APPL ON-BODY INJECTOR FOR TIMED SUBQ INJECTION, $114.00 ,
27000000,HC SUPPLY, $255.04 ,**
27000001,HC LOW FLOW OXYGEN, $114.00 ,
27000002,HC HIGH FLOW OXYGEN, $228.00 ,
27000003,HC BIPAP/CPAP CIRCUIT CHANGE, $74.00 ,
27000004,HC MECH VENT CIRCUIT CHANGE, $73.00 ,
27000005,HC ARTERIAL BLOOD GAS KIT, $2.00 ,
27000006,HC ARTIFICIAL AIRWAY CHANGE, $58.00 ,
27000007,HC FIBER OPTIC STYLET, $139.00 ,
27000008,HC CRICOTHYROTOMY TRAY, $248.00 ,
27000009,HC RETROGRADE INTUBATION TRAY, $185.00 ,
27000010,HC ENDOTRACHEAL TUBE, $29.00 ,
27000011,HC INTUBATION STYLET, $19.00 ,
27000012,HC END TIDAL CO2 DETECTOR, $100.00 ,
27100000,HC SUPPLY, $32.44 ,**
27200000,HC SUPPLY, $575.25 ,**
27200001,HC SUPPLY, $255.94 ,**
27200002,HC SUPPLY, $994.48 ,**
27200003,HC SUPPLY, $869.95 ,**
27200004,HC SUPPLY, $759.49 ,**
27200005,HC SUPPLY, $324.13 ,**
27200006,HC SUPPLY, $722.22 ,**
27200007,HC SUPPLY," $2,383.19 ",**
27200008,HC SUPPLY," $4,314.70 ",**
27200009,HC SUPPLY," $2,010.28 ",**
27200010,HC SUPPLY, $576.24 ,**
27200011,HC SUPPLY," $1,090.79 ",**
27200012,HC SUPPLY," $1,630.00 ",**
27200013,HC SUPPLY, $496.08 ,**
27200014,HC SUPPLY, $30.22 ,**
27200015,HC SUPPLY, $234.72 ,**
27200016,HC SUPPLY, $320.91 ,**
27200017,HC SUPPLY, $836.73 ,**
27200018,HC SUPPLY," $1,597.40 ",**
27200019,HC SUPPLY," $2,536.11 ",**
27200020,HC SUPPLY," $3,600.60 ",**
27200021,HC SUPPLY, $264.63 ,**
27200022,HC SUPPLY, $471.01 ,**
27200023,HC SUPPLY, $786.31 ,**
27200024,HC SUPPLY, $329.74 ,**
27200025,HC SUPPLY," $4,783.82 ",**
27200026,HC SUPPLY, $271.74 ,**
27200027,HC SUPPLY, $973.28 ,**
27200028,HC SUPPLY," $2,838.71 ",**
27200029,HC SUPPLY," $4,166.40 ",**
27200030,HC SUPPLY," $4,313.75 ",**
27200031,HC SUPPLY, $624.64 ,**
27200032,HC SUPPLY," $1,319.01 ",**
27200033,HC SUPPLY, $234.64 ,**
27200035,HC SUPPLY," $1,811.30 ",**
27200036,HC SUPPLY, $370.55 ,**
27200037,HC SPLINT FINGR LMB SPG EXT SZ B/ D, $55.00 ,
27400031,HC ELBOW ORTHO W/O JOINTS CF," $1,009.00 ",
27400032,HC E /W /H ORTHO RIGID W/O JNTS CF," $2,454.00 ",
27400033,HC E/W/H ORTHOTIC W/ JOINTS," $2,660.00 ",
27400034,HC WRST/HAN/FIN ORTHO W/JOINT(S) CF," $1,587.00 ",
27400035,HC WRIST/HAND/FING ORTH RGD W/O JNTS," $1,307.00 ",
27400036,HC WRST/HAN ORTH W/NONTORSION JNT CF," $3,467.00 ",
27400037,HC WRIST / HAND ORTHO W/O JOINTS CF," $1,539.00 ",
27400038,HC HAND / FINGER ORTHO W/O JOINTS CF, $947.00 ,
27400039,HC HAND ORTHO W/O JOINTS CF, $947.00 ,
27400040,HC HAND / FINGER ORTHO W/JOINT(S) CF," $1,124.00 ",
27400041,HC FIN ORTH PIP DIP JNT/SPRG PRE OTS, $182.00 ,
27400042,HC FG ORTH PIP DIP NO JT SPR PRE OTS, $121.00 ,
27400043,HC FINGER ORTHO W/O JOINTS CF, $747.00 ,
27400044,HC S/E/W/H ORTH CAP DSGN W/O JNTS CF," $5,874.00 ",
27400045,HC WHO COCK-UP NONMOLDE PRE OTS, $233.00 ,
27400046,"HC REPLACE STRAP, ANY ORTHOSIS", $166.00 ,
27400047,HC HFO FLEXION GLOVE PRE OTS, $406.00 ,
27400048,HC AFO MOLDED TO PATIENT PLASTI," $1,447.00 ",
27400049,HC HFO WITHOUT JOINTS PRE OTS, $250.00 ,
27500001,HC SUPPLY," $1,304.00 ",**
27500002,HC SUPPLY," $8,119.05 ",**
27500003,HC SUPPLY," $7,742.04 ",**
27500004,HC SUPPLY," $35,105.02 ",**
27500006,HC SUPPLY," $13,574.33 ",**
27600001,HC SUPPLY, $482.44 ,**
27600002,HC SUPPLY, $471.53 ,**
27800000,HC SUPPLY," $4,208.80 ",**
27800001,HC SUPPLY, $691.11 ,**
27800002,HC SUPPLY," $1,769.85 ",**
27800003,HC SUPPLY," $4,977.38 ",**
27800004,HC SUPPLY," $26,442.03 ",**
27800005,HC SUPPLY," $25,248.97 ",**
27800006,HC SUPPLY," $1,012.97 ",**
27800007,HC SUPPLY," $1,306.69 ",**
27800008,HC SUPPLY," $6,005.89 ",**
27800009,HC SUPPLY," $4,480.32 ",**
27800010,HC SUPPLY," $8,743.86 ",**
27800011,HC SUPPLY," $30,757.86 ",**
27800012,HC SUPPLY," $3,555.23 ",**
27800014,HC SUPPLY," $3,191.32 ",**
27800015,HC SUPPLY," $3,519.57 ",**
27800016,HC SUPPLY," $7,598.82 ",**
27800017,HC SUPPLY," $6,474.10 ",**
27800018,HC SUPPLY," $4,340.76 ",**
