HospitalCode,Description,Price
BBH CITIZENS,colesevelam 3.75 gram Pwpk 30 each Packet,44.99
BBH CITIZENS,hepatitis B virus vacc.rec(PF) 20 mcg/mL Susp 1 mL Vial,223.00
BBH CITIZENS,trace elements Cr-Cu-Mn-Zn 10 mcg-1 mg- 0.5 mg-5 mg/mL Soln 1 mL Vial,15.65
BBH CITIZENS,potassium chloride 2 mEq/mL Solp 20 mL Vial,156.50
BBH CITIZENS,potassium chloride 2 mEq/mL Solp 10 mL Vial,78.25
BBH CITIZENS,potassium chloride 2 mEq/mL Solp 5 mL Vial,39.13
BBH CITIZENS,magnesium sulfate 4 mEq/mL (50 %) Soln 2 mL Vial,7.83
BBH CITIZENS,potassium acetate 2 mEq/mL Soln 50 mL Vial,36.98
BBH CITIZENS,potassium acetate 2 mEq/mL Soln 20 mL Vial,103.68
BBH CITIZENS,HCS HCS ANCHOR SWIVELOCK 5.5MM,2655.00
BBH CITIZENS,HC ASSAY RBC CHOLINESTERASE,64.00
BBH CITIZENS,HC CLOT FACTOR XIII FIBRIN SCRN,128.00
BBH CITIZENS,HC LACTOFERRIN FECAL (QUAL),182.00
BBH CITIZENS,HC STREP A ASSAY W/OPTIC,132.00
BBH CITIZENS,HC RSV ASSAY W/OPTIC,161.00
BBH CITIZENS,HC INFLUENZA ASSAY W/OPTIC,169.00
BBH CITIZENS,HC INSITU HYBRIDIZATION MANUAL TC,320.00
BBH CITIZENS,HC MISC ORTHO/NEURO/HEART CHARGE,0.00
BBH CITIZENS,HC ASSAY OF PROTEIN CSF XX,194.00
BBH CITIZENS,HCX PROTEIN ELECT CSF X,0.00
BBH CITIZENS,HC DX MAMMO INCL CAD UNI,1042.00
BBH CITIZENS,HC DX MAMMO INCL CAD BI,1042.00
BBH CITIZENS,HC SCREENING MAMMOGRAPHY BIL 2-VIEW BREAST INC CAD,568.00
BBH CITIZENS,HC INSITU HYBRIDIZATION AUTO,427.00
BBH CITIZENS,HCX STOOL ELECTROLYTES,0.00
BBH CITIZENS,HCX ENCEPHALTIS EAST EQNE ANBDY X,0.00
