Description ,  Charge $   , Department 
"INJ SCIATIC NERVE, SINGLE",$42 ,Anesthesia 
ANES-OB EPIDERAL ADD 15 MIN,$70 ,Anesthesia 
ANES-OB EPI OR INTRATHECAL PLA,$702 ,Anesthesia 
ANES-OB EPI & INTRATHECAL PLAC,$864 ,Anesthesia 
TRIGGER PT 1 OR 2 GRP ANES,$54 ,Anesthesia 
TRIGGER PT 3 OR MORE ANES,$65 ,Anesthesia 
ARTHROCENTESIS INJ/MAJOR ANES,$256 ,Anesthesia 
SACROILIAC JT INJ ANES,$643 ,Anesthesia 
INTUBATION ENDOTRACHEAL CRNA,$420 ,Anesthesia 
VENIPUNCTURE < THEN AGE 3 CRNA,$46 ,Anesthesia 
VENIPUNTURE AGE 3 & OLDER CRNA,$46 ,Anesthesia 
CENTRAL LINE PLACEMENT CRNA,$829 ,Anesthesia 
ANESTHESIA GEN /15 MIN,$97 ,Anesthesia 
"MAC""MONITORED ANES CARE""PER 15",$97 ,Anesthesia 
"LUMBAR PUNCTURE, CRNA",$850 ,Anesthesia 
EPIDURAL BLOOD PATCH CRNA,$389 ,Anesthesia 
INJ EPIDURAL CERV THORAC ANES,$575 ,Anesthesia 
NEUROLYTIC INJ:EPI:/LUMB/SACRA,$652 ,Anesthesia 
INJECT SPINE C/T ANES W GUIDE,$432 ,Anesthesia 
L/S EPIDURAL CAUDAL W GUIDE,$432 ,Anesthesia 
OCCIPITAL NERVE INJ ANES,$253 ,Anesthesia 
INJ BRACHIAL PLEXUS,$140 ,Anesthesia 
"N BLOCK INJ INTERCOST,SNG",$325 ,Anesthesia 
INJ ILIOINIGAL NERVE ANES,$351 ,Anesthesia 
"INJ SCIATIC NERVE, SINGLE",$339 ,Anesthesia 
INJ LUMBER OR SACRAL/SINGLE,$432 ,Anesthesia 
INJ FACET JT W IMAGE GUIDE SIN,$191 ,Anesthesia 
INJ FACET JT W IMAGE GUID SEC,$109 ,Anesthesia 
PAIN PUMP REFILL/MANAGEMENT AN,$141 ,Anesthesia 
INITIAL INFUSION CRNA,$388 ,Anesthesia 
INFUSION ADD HOUR BY CRNA,$196 ,Anesthesia 
IV PUSH CRNA SINGLE DRUG,$108 ,Anesthesia 
EA ADD IV PUSH NEW DRUG CRNA,$76 ,Anesthesia 
IV PUSH EACH ADD CRNA,$51 ,Anesthesia 
MOD SEDATION 15 MIN >5 YEARS,$97 ,Anesthesia 
MOD SED INI 15 MIN< 5,$97 ,Anesthesia 
MOD SEDATION ADD 15 MIN,$94 ,Anesthesia 
"INJ SCIATIC NERVE, SINGLE",$267 ,Anesthesia 
PICC LINE BY ANS W/US & SUPP,"$1,276 ",Anesthesia 
PICC LINE BY ANS W/US SUPP,"$1,276 ",Anesthesia 
PICC LINE BY ANS W/US & SUPP,"$1,276 ",Anesthesia 
KING OF HEARTS MONITOR FEE SMH,$522 ,Cardiac Rehab
HOLTER MONITOR SMH ONLY,$344 ,Cardiac Rehab
PHASE 1 INPATIENT CARDIAC,$157 ,Cardiac Rehab
INTAKE EVALUATION,$196 ,Cardiac Rehab
PHASE 111 CARD REB PER HR SMH,$18 ,Cardiac Rehab
PHASE 11 CARDIAC REHAB,$196 ,Cardiac Rehab
PSYCHIATRIC DIAG EVALUATION,$42 ,Counseling
PSYCHIATRIC DIAG EVALUATION,$210 ,Counseling
PSYCHIATRIC EVAL W MED SERVICE,$250 ,Counseling
COUNSELING INDIVIDUAL PER HR,$164 ,Counseling
INDIV PSYCHOTHERAPY 75-80 MIN,$255 ,Counseling
PSYCHOTHERAPY 30 MINUTES,$88 ,Counseling
PSYCHOTHERAPY 30 MIN W E/M,$75 ,Counseling
PSYCHOTHERAPY 45 MINUTES W PT,$106 ,Counseling
