,JOHN C FREMONT HEALTHCARE DISTRICT,,,,
,FACILITY # 106220733,,,,
,Jun-18,,,,
CHARGE #,DESC,REV,CPT, PRICE ,
,LTC,,, $500.00 ,
,SWING LTC,,, $500.00 ,
,SKILLED CARE,,," $1,559.00 ",
,"ACUTE,SEMI PRIVATE,MED SURG ROOM",,," $1,929.00 ",
,PRIVATE ROOM,,," $1,929.00 ",
,ISOLATION ROOM,,," $1,947.00 ",
,TELEMETRY ROOM,,," $2,057.00 ",
,,,,,
   99014,AUTO OBSERVATION CHARGE,762,99218, $-   ,FOR COR
  600060,I & D ABSCESS SIMP SING,960,10060, $304.00 ,
  600100,TELEMETRY <48 HOURS,732,93228, $350.00 ,
  600200,COLLECT BLOOD FROM PICC,360,36592, $99.00 ,
  600201,INTRO OF NEEDLE INTRACAT,360,36000, $31.00 ,
  600471,ADMIN FEE VAC,771,90471, $117.00 ,
  600472,ADMIN FEE EACH ADD,771,90472, $-   ,TRACKING
  600473,ADMIN FEE VAC,940,90471, $117.00 ,
  600474,ADMIN FEE VAC EACH ADD,940,90472, $-   ,TRACKING
  601900,MP CLOSED TREAT  INTERPHALANGEAL,960,28660, $277.00 ,
  601950,MF ABD PARACENTESIS W/O IMAGING GUIDE,987,49082, $180.00 ,
  602400,MP DEBRIDEMENT SUBQ TISSUE,960,11042, $189.00 ,
  602401,MF DEBRIDEMENT SUBQ TISSUE,270,11042, $630.00 ,
  602554,THROMBOLYSIS DECLOT VASC,360,36593, $519.00 ,
  602555,THORACENTESIS PLEURA W/IMAGING,969,32555," $1,236.00 ",
  602600,MF MEDICAL NUTRITION THERAPY 15 MIN EA,940,97803, $83.00 ,
  602601,MF MEDICAL NUTRITION ASSESS INITIAL 15 M,940,97802, $99.00 ,
  602948,STRIP/BLOOD GLUCOSE,300,82948, $20.00 ,
  602960,MP CARDIOVERSION ELECT EL,969,92960, $381.00 ,
  602961,MF CARDIOVERSION ELECT EL,480,92960," $1,323.00 ",
  603754,MP GASTRIC INTUBATION AND ASPIRATION,750,4375426, $107.00 ,
  603755,MF GASTRIC INTUBATION AND ASPIRATION,750,43754TC, $150.00 ,
  606360,IV HYDRATION INITIAL,260,96360, $225.00 ,
  606361,IV HYDRATION EA ADD 1HR,260,96361, $81.00 ,
  606363,IV INF THERA/PROPH DX 1HR,260,96365, $438.00 ,
  606366,IV INF THERA/PROPH DX EA,260,96366, $133.00 ,
  606367,IV INF THERA ADD SEQ TO 1,260,96367, $133.00 ,
  606368,IV INF CONCURRENT,260,96368, $133.00 ,
  606372,THERAP PROPHY INJ SQ IM,260,96372, $117.00 ,
  606373,THERAP PROPHY INJ INTRA-ARTERIAL,260,96373, $120.00 ,
  606374,IV PUSH INITIAL,260,96374, $318.00 ,
  606375,IV PUSH ADD DRUG,260,96375, $133.00 ,
  606376,IV PUSH SAME DRUG,260,96376, $133.00 ,
  606430,TRANS BLOOD OR COMPONENT,391,36430, $780.00 ,
  606569,INSERT PICC CATH,361,36569," $2,550.00 ",
  607597,REM DEVITAL TIS 20 CM LESS,960,97597, $226.00 ,
  607602,WOUND(S) CARE NON SELECTIVE,960,97602, $216.00 ,
  609082,PARACENTESIS ABDOMINAL,960,49082, $222.00 ,
  609366,MF MEDICAL TEAM CONFERENCE,940,99366, $126.00 ,
  609367,MP MEDICAL TEAM CONFERENCE PHY,960,99367, $170.00 ,
  609368,MP MEDICAL TEAM CONFERENCE,960,99368, $114.00 ,
  609369,MF MEDICAL TEAM CONFERENCE,940,99367, $170.00 ,
 1101805,DIP STICK W O MICRO,307,81002, $14.00 ,
 1101852,BETA HCG QUAL URINE,307,81025, $68.00 ,
 1101923,HOME BLD GLUCOS TEST FDA,301,82962, $20.00 ,
 1101927,GLUCOSE (CLINIC ORDER),983,82948, $20.00 ,
 1101950,HEMOGLOBIN,305,85018, $32.00 ,
 1102270,OCCULT BLOOD 3 SPEC,301,82270, $28.00 ,
 1200010,EF ADMIN FEE INJ,450,90471, $117.00 ,
 1200060,EF I & D ABSCESS SIMP SING,450,10060, $375.00 ,
 1200061,EF I & D ABSCESS CYST COMP,450,10061, $375.00 ,
 1200062,EF I & D ABSCESS PERITONILLAR,450,42700, $690.00 ,
 1200064,"EF I & D DEEP ABSCESS, BURSA OR HEM",450,27301," $1,325.00 ",
 1200080,EF I&D CYST SIMPLE,450,10080, $375.00 ,
 1200081,EF INC & REM FOREIGN BODY S,450,10120, $630.00 ,
 1200085,EF ABSCESS SCROTAL WALL,450,55100," $2,178.00 ",
 1200090,EF APPLY MULTLAY COMPRES LWR LEG,450,29581, $285.00 ,
 1200092,EF CPR,450,92950, $483.00 ,
 1200118,EF INSERT PICC CATH,450,36569," $2,550.00 ",
 1200119,EF DRAINAGE EXTERNAL EAR ABSCESS OR HEMA,450,69000, $480.00 ,
 1200120,EF FRN BODY REMOVAL,450,10121," $3,366.00 ",
 1200121,EF I & D HEMATOMA,450,10140," $2,178.00 ",
 1200122,EF DEBRIDE EXTENSV ECZEMA/INFECT SKIN 10,450,11000, $630.00 ,
 1200140,EF PUNCTURE DRAINAGE LESION,450,10160, $375.00 ,
 1200150,EF REMOVAL OF CAST,450,29705, $285.00 ,
 1200152,EF MODERATE SEDATION 5YR OVE,450,99152, $198.00 ,
 1200153,EF MODERATE SEDATION EA  ADD 15 MINS,370,99153, $132.00 ,
 1200154,EF THORACENTESIS NEEDLE OR CATH ASP PLE,450,32554, $271.00 ,
 1200160,EF FOREIGN BODY REM NOSE,450,30300, $150.00 ,
 1200200,EF SC THER INF W  PUMP UP1 HR,450,96369, $438.00 ,
 1200201,EF SC THER INF W  PUMP EA HR,450,96370, $117.00 ,
 1200299,EF AMPUTATION FINGER OR THUMB PRIMARY SE,450,26952," $3,752.00 ",
 1200300,EF ADMIN FEE EACH ADD,450,90472, $-   ,TRACKING
 1200357,EF INJ TRIGGER POINT,450,20550, $549.00 ,
 1200425,EF APPL SHORT LEG WALKING CAST,450,29425, $285.00 ,
 1200461,EF INITIAL CARE NEW BORN,450,99461, $286.00 ,
 1200472,EF INJ INTERMEDIATE JOINT,450,20605, $549.00 ,
 1200480,EF CL TX TEMPOROMANDIBULAR DIS,450,21480, $321.00 ,
 1200500,EF REP LAC 2.5CM OR LESS MOUTH TONGUE,450,41250, $252.00 ,
 1200505,EF CL TREAT HUMERAL SHAFT FR W/MAN,450,24505, $402.00 ,
 1200525,EF ARTHROCENTESIS ASPIR MJT,450,20610, $549.00 ,
 1200550,EF CONTROL NASAL HEM ANTERI,450,30901, $234.00 ,
 1200552,EF CONTROL NASAL HEM SUBSEQUENT,450,30906, $234.00 ,
 1200605,EF CONTROL NASAL PACKING,450,30903, $234.00 ,
