HSP,CHARGE CODE,BILLING DESCRIPTION,HOSPITAL CHARGE,,,,,,,,,,,,,,,,,,,
LAK,0020000220,ICU GEN,"$8,832.00",,,,,,,,,,,,,,,,,,,
LAK,0020000261,CCU GEN,"$8,832.00",,,,,,,,,,,,,,,,,,,
LAK,0020000360,ICU OTHER,"$11,583.00",,,,,,,,,,,,,,,,,,,
LAK,0020000626,ICU INTERMED,"$5,340.00",,,,,,,,,,,,,,,,,,,
LAK,0020500260,CCU GEN,"$8,832.00",,,,,,,,,,,,,,,,,,,
LAK,0020500369,ICU OTHER,"$11,583.00",,,,,,,,,,,,,,,,,,,
LAK,0020500625,ICU INTERMED,"$5,340.00",,,,,,,,,,,,,,,,,,,
LAK,0021200027,SEMI-PRIVATE,"$2,986.00",,,,,,,,,,,,,,,,,,,
LAK,0021200225,ICU GEN,"$8,832.00",,,,,,,,,,,,,,,,,,,
LAK,0021200266,CCU GEN,"$8,832.00",,,,,,,,,,,,,,,,,,,
LAK,0021200621,ICU INTERMED,"$5,340.00",,,,,,,,,,,,,,,,,,,
LAK,0021500020,SEMI-PRIVATE,"$2,986.00",,,,,,,,,,,,,,,,,,,
LAK,0021500228,ICU GEN,"$8,832.00",,,,,,,,,,,,,,,,,,,
LAK,0021500624,ICU INTERMED,"$5,340.00",,,,,,,,,,,,,,,,,,,
LAK,0021600028,SEMI-PRIVATE,"$2,986.00",,,,,,,,,,,,,,,,,,,
LAK,0021600226,ICU GEN,"$8,832.00",,,,,,,,,,,,,,,,,,,
LAK,0021600622,ICU INTERMED,"$5,340.00",,,,,,,,,,,,,,,,,,,
LAK,0021700026,SEMI-PRIVATE,"$2,986.00",,,,,,,,,,,,,,,,,,,
LAK,0021700620,ICU INTERMED,"$5,340.00",,,,,,,,,,,,,,,,,,,
LAK,0021800024,SEMI-PRIVATE,"$2,986.00",,,,,,,,,,,,,,,,,,,
LAK,0021800628,ICU INTERMED,"$5,340.00",,,,,,,,,,,,,,,,,,,
LAK,0023000029,SEMI-PRIVATE,"$2,986.00",,,,,,,,,,,,,,,,,,,
LAK,0023000623,ICU INTERMED,"$5,340.00",,,,,,,,,,,,,,,,,,,
LAK,0023100027,SEMI-PRIVATE,"$2,986.00",,,,,,,,,,,,,,,,,,,
LAK,0023100621,ICU INTERMED,"$5,340.00",,,,,,,,,,,,,,,,,,,
LAK,0023200025,SEMI-PRIVATE,"$2,986.00",,,,,,,,,,,,,,,,,,,
LAK,0023200629,ICU INTERMED,"$5,340.00",,,,,,,,,,,,,,,,,,,
LAK,0023500028,SEMI-PRIVATE,"$2,986.00",,,,,,,,,,,,,,,,,,,
LAK,0023500622,ICU INTERMED,"$5,340.00",,,,,,,,,,,,,,,,,,,
LAK,0030800155,LITHOTRIPSY,"$13,585.80",,,,,,,,,,,,,,,,,,,
LAK,0030805907,LITHOTRIPSY,"$12,350.73",,,,,,,,,,,,,,,,,,,
LAK,0030830103,SP PROC W/LITHO,"$13,585.80",,,,,,,,,,,,,,,,,,,
LAK,0032102329,INJ-PLTRICHPLAS,"$1,491.78",,,,,,,,,,,,,,,,,,,
LAK,0032125858,AUD EVK PTL COM,$429.48,,,,,,,,,,,,,,,,,,,
LAK,0032133183,TEE CONT ASSESS,"$1,478.44",,,,,,,,,,,,,,,,,,,
LAK,0032135501,SURG LVI INT30,"$5,851.96",,,,,,,,,,,,,,,,,,,
LAK,0032135519,SURG LVI EA 15,"$2,873.34",,,,,,,,,,,,,,,,,,,
LAK,0032135527,SURG LVII INT30,"$6,192.25",,,,,,,,,,,,,,,,,,,
LAK,0032135535,SURG LVII EA15,"$2,888.91",,,,,,,,,,,,,,,,,,,
LAK,0032135543,SURG LVIII IN30,"$6,604.00",,,,,,,,,,,,,,,,,,,
LAK,0032135550,SURG LVIII EA15,"$3,096.12",,,,,,,,,,,,,,,,,,,
LAK,0032135568,SURG LVIV INT30,"$7,017.09",,,,,,,,,,,,,,,,,,,
LAK,0032135576,SURG LVIV EA 15,"$3,301.98",,,,,,,,,,,,,,,,,,,
LAK,0032135600,MAKO LVII INT30,"$6,631.44",,,,,,,,,,,,,,,,,,,
LAK,0032135618,MAKO LVII EA15,"$3,093.82",,,,,,,,,,,,,,,,,,,
LAK,0032135626,MAKO LVIII IN30,"$6,687.18",,,,,,,,,,,,,,,,,,,
LAK,0032135634,MAKO LVIII EA15,"$3,135.11",,,,,,,,,,,,,,,,,,,
LAK,0032135642,MAKO LVIV INT30,"$7,105.47",,,,,,,,,,,,,,,,,,,
LAK,0032135659,MAKO LVIV EA 15,"$3,343.57",,,,,,,,,,,,,,,,,,,
LAK,0032135725,DAVN LVII INT30,"$6,631.44",,,,,,,,,,,,,,,,,,,
LAK,0032135733,DAVN LVII EA15,"$3,093.82",,,,,,,,,,,,,,,,,,,
LAK,0032135741,DAVN LVIII IN30,"$6,604.00",,,,,,,,,,,,,,,,,,,
LAK,0032135758,DAVN LVIII EA15,"$3,096.12",,,,,,,,,,,,,,,,,,,
LAK,0032135766,DAVN LVIV INT30,"$7,017.09",,,,,,,,,,,,,,,,,,,
LAK,0032135774,DAVN LVIV EA 15,"$3,301.98",,,,,,,,,,,,,,,,,,,
LAK,0032158602,EMG 1 EXTREMITY,$581.76,,,,,,,,,,,,,,,,,,,
LAK,0032158610,EMG 2 EXTRMTIES,$543.25,,,,,,,,,,,,,,,,,,,
LAK,0032158651,EMG LARYNX,$543.25,,,,,,,,,,,,,,,,,,,
LAK,0032158677,EMG CRAN MUS(S),$543.25,,,,,,,,,,,,,,,,,,,
LAK,0032158685,EMG CRANIAL BI,$811.04,,,,,,,,,,,,,,,,,,,
LAK,0032158701,NEURO MUSC TEST,$392.55,,,,,,,,,,,,,,,,,,,
LAK,0032159253,SENSORY EPU/LMB,$708.21,,,,,,,,,,,,,,,,,,,
LAK,0032159261,SENSORY EPL/LMB,$708.21,,,,,,,,,,,,,,,,,,,
LAK,0032159287,CNT M EP T/C UL,$717.13,,,,,,,,,,,,,,,,,,,
LAK,0032159295,CNT M EP T/C LL,$678.08,,,,,,,,,,,,,,,,,,,
LAK,0032159303,VIS EVKD POTNL,$477.66,,,,,,,,,,,,,,,,,,,
LAK,0032159386,SOMATO UPP/LWR,"$1,906.82",,,,,,,,,,,,,,,,,,,
LAK,0032159394,EP UPP/LOWER,$827.62,,,,,,,,,,,,,,,,,,,
LAK,0032159410,IONM OR 15 MIN,$52.12,,,,,,,,,,,,,,,,,,,
LAK,0032159550,EEG SURG,$209.28,,,,,,,,,,,,,,,,,,,
LAK,0032159618,CORT/SUBCRT 1HR,$965.20,,,,,,,,,,,,,,,,,,,
LAK,0032159634,CORT/SUBCT ADDL,$965.20,,,,,,,,,,,,,,,,,,,
LAK,0032159717,PRGRM SPNL GEN,$477.66,,,,,,,,,,,,,,,,,,,
LAK,0032168916,BLD AUTOSLV,$327.97,,,,,,,,,,,,,,,,,,,
LAK,0032190225,RBC WASH AUTO,$347.78,,,,,,,,,,,,,,,,,,,
LAK,0032210007,SPEC PROC INT30,$549.10,,,,,,,,,,,,,,,,,,,
LAK,0032210155,SPEC PROC EA15M,$264.27,,,,,,,,,,,,,,,,,,,
LAK,0032229601,CARDVRT ELECTRC,"$2,174.13",,,,,,,,,,,,,,,,,,,
LAK,0032235707,RECOVERY INT 30,"$2,123.15",,,,,,,,,,,,,,,,,,,
LAK,0032235715,RECOVERY EA 15M,$810.94,,,,,,,,,,,,,,,,,,,
LAK,0033033184,TEE CONT ASSESS,"$1,478.44",,,,,,,,,,,,,,,,,,,
LAK,0033035569,OH SURG INT 30,"$8,090.45",,,,,,,,,,,,,,,,,,,
LAK,0033035577,OH SURG EA15MIN,"$3,807.07",,,,,,,,,,,,,,,,,,,
LAK,0033068917,BLD AUTO SLV,$351.23,,,,,,,,,,,,,,,,,,,
LAK,0033090226,RBC WASH AUTO,$488.74,,,,,,,,,,,,,,,,,,,
LAK,0036007607,IV HYD INT >31M,"$1,132.32",,,,,,,,,,,,,,,,,,,
LAK,0036007656,IV TX INIT 1 HR,"$1,132.32",,,,,,,,,,,,,,,,,,,
LAK,0036007664,IV INF TX ADD H,$282.43,,,,,,,,,,,,,,,,,,,
LAK,0036007748,INJ T/P/D IVP,$270.14,,,,,,,,,,,,,,,,,,,
LAK,0036007755,INJ ADD SEQ IVP,$282.43,,,,,,,,,,,,,,,,,,,
LAK,0036030005,AMB PROC 1ST 30,$727.46,,,,,,,,,,,,,,,,,,,
LAK,0036030021,AMB PROC,$26.02,,,,,,,,,,,,,,,,,,,
LAK,0036030724,INJ T/P/D SQ/IM,$282.43,,,,,,,,,,,,,,,,,,,
