Hospital Name:  ,,,,,
OSHPD Facility No: ,,,,,
Effective Date of Charges:,,,,,
,,,,,
"In response to requests from hospitals and the public, OSHPD has developed this form to assist hospitals in collecting and submitting the average charge for 25 common outpatient procedures performed by hospitals, as required by AB 1045 (Chapter 532, Statutes of 2005).  Use of the OSHPD form is voluntary, but highly encouraged, as it allows hospitals to report and the public to compare uniform information regarding common outpatient procedures.",,,,,
Evaluation & Management Services (CPT Codes 99201-99499),2018 CPT Code,Average Charge,,,
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,$363.00,,,
"Emergency Room Visit, Level 3 (moderate severity)",99283,$551.00,,,
"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,$812.00,,,
"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,"$1,064.00",,,
"Outpatient Visit, established patient, 15 minutes",99213,$133.00,,,
Laboratory & Pathology Services (CPT Codes 80047-89398),2018 CPT Code,Average Charge,,,
Basic Metabolic Panel,80048,$16.67,,,
"Blood Gas Analysis, including 02 saturation",82805,$0.00,,,
"Complete Blood Count, automated",85027,$74.00,,,
"Complete Blood Count, with differential WBC, automated",85025,$137.00,,,
Comprehensive Metabolic Panel,80053,$123.00,,,
"Creatine Kinase (CK), (CPK), Total",82550,$74.00,,,
Lipid Panel,80061,$157.00,,,
Partial Thromboplastin Time,85730,$72.00,,,
Prothrombin Time,85610,$82.00,,,
Thyroid Stimulating Hormone,84443,$195.00,,,
"Troponin, Quantitative",84484,$115.00,,,
"Urinalysis, without microscopy",81002 or 81003,$68.00,,,
"Urinalysis, with microscopy",81000 or 81001,$41.00,,,
Radiology Services  (CPT Codes 70010-79999),2018 CPT Code,Average Charge,,,
"CT Scan, Abdomen, with contrast",74160,"$2,107.00",,,
"CT Scan, Head or Brain, without contrast",70450,"$1,453.00",,,
"CT Scan, Pelvis, with contrast",72193,"$2,107.00",,,
"Mammography, Screening, Bilateral",77067,$405.00,,,
"MRI, Brain, without contrast, followed by contrast",70553,"$1,863.00",,,
"Ultrasound, Abdomen, Complete",76700,$659.00,,,
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,$699.00,,,
"X-Ray, Lower Back, minimum four views",72110,$443.00,,,
"X-Ray, Chest, two views",71046,$306.00,,,
Medicine Services  (CPT Codes 90281-99607),2018 CPT Code,Average Charge,,,
"Cardiac Catheterization, Left Heart, percutaneous ",93452,$0.00,,,
"Echocardiography, Transthoracic, complete",93307,"$2,487.00",,,
"Electrocardiogram, routine, with interpretation and report",93000,$94.00,,,
"Inhalation Treatment, pressurized or nonpressurized",94640,$88.00,,,
"Physical Therapy, Evaluation",97161-97163,$106.00,,,
"Physical Therapy, Gait Training",97116,,,,
"Physical Therapy, Therapeutic Exercise",97110,$88.00,,,
Surgery Services  (CPT Codes 10021-69990),2018 CPT Code,Average Charge,,,
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,$0.00,,,
"Arthroscopy, Shoulder, with partial acromioplasty",29826,$0.00,,,
Carpal Tunnel Surgery,64721,$0.00,,,
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,$0.00,,,
"Colonoscopy, diagnostic",45378,"$1,841.00",,,
"Colonoscopy, with biopsy",45380,"$1,937.00",,,
"Colonoscopy, with lesion removal, by snare technique",45385,"$2,282.00",,,
"Discission, secondary membranous cataract, laser surgery",66821,$0.00,,,
"Endoscopy, Upper GI, with biopsy",43239,"$1,648.00",,,
"Endoscopy, Upper GI, diagnostic",43235,"$1,339.00",,,
"Excision, Breast Lesion, without preoperative radiological marker",19120,$978.00,,,
"Hernia Repair, Inguinal, 5 years and older",49505,$0.00,,,
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,"$1,508.00",,,
"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,"$1,634.00",,,
Laparoscopic Cholecystectomy,47562,$0.00,,,
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,$0.00,,,
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,$0.00,,,
Other Common Outpatient Procedures (list as needed),2018 CPT Code,Average Charge,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Count of Reported Procedures (minimum 25 required),,50,,,
Instructions for Completing AB 1045 Common Outpatient Procedure Form,,,,,
"1. Enter Hospital Name and OSHPD Facility Number.  Revise Effective Date of Charges, if necessary.",,,,,
2. Enter Average Charge for at least 25 commonly performed outpatient procedures.  For Evaluation & Management,,,,,
"    Services, do not include related ancillary charges.  For all other procedures, include related ancillary charges.",,,,,
    NOTE:  The CPT codes are included on this form to help identify the listed procedures based on the frequencies,,,,,
   across hospital-based ambulatory surgery data.  The average charge for all related services and procedures,,,,,
"    (e.g., supplies, drugs, lab, use of operating room, etc.) should be included in the average charge for that procedure.",,,,,
"3. Do not change procedure descriptions or CPT code references.  Use ""Other Common Outpatient Procedures"" ",,,,,
    (rows 62-71) if you are unable to select procedures from list.,,,,,
"4. Submit completed form as Excel (.xls) file, along with chargemaster and percent change in gross revenue",,,,,
"    calculation, by e-mail to chargemaster@oshpd.ca.gov or by standard mail on CD.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
