MEDICAL CENTER NAVICENT HEALTH,,,
AVERAGE CHARGE PER CASE BY DRG,,,
INPATIENT DATA AT DISCHARGE,,,
 ,,,
,,,
 ,DRG,DRG Description,Avg. Charge per Case (DRG)
 ,1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,"$762,065.15"
,2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,"$552,519.55"
,3,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","$561,237.90"
,4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","$385,920.26"
,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC","$183,533.18"
,12,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC","$142,238.54"
,13,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC","$54,878.63"
,20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,"$272,674.82"
,21,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,"$193,124.83"
,22,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,"$109,091.52"
,23,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEURO,"$194,776.32"
,24,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,"$109,149.97"
,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,"$140,002.61"
,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,"$90,276.21"
,27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,"$64,766.68"
,28,SPINAL PROCEDURES W MCC,"$193,474.88"
,29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,"$94,008.42"
,30,SPINAL PROCEDURES W/O CC/MCC,"$74,654.37"
,31,VENTRICULAR SHUNT PROCEDURES W MCC,"$97,047.57"
,32,VENTRICULAR SHUNT PROCEDURES W CC,"$54,562.76"
,33,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,"$44,857.61"
,34,CAROTID ARTERY STENT PROCEDURE W MCC,"$153,952.27"
,35,CAROTID ARTERY STENT PROCEDURE W CC,"$52,777.38"
,36,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,"$33,358.47"
,37,EXTRACRANIAL PROCEDURES W MCC,"$169,807.09"
,38,EXTRACRANIAL PROCEDURES W CC,"$68,505.33"
,39,EXTRACRANIAL PROCEDURES W/O CC/MCC,"$34,242.43"
,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,"$100,451.96"
,41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,"$69,281.57"
,42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,"$61,832.16"
,52,SPINAL DISORDERS & INJURIES W CC/MCC,"$43,139.37"
,53,SPINAL DISORDERS & INJURIES W/O CC/MCC,"$36,627.94"
,54,NERVOUS SYSTEM NEOPLASMS W MCC,"$41,639.24"
,55,NERVOUS SYSTEM NEOPLASMS W/O MCC,"$33,688.82"
,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"$59,558.10"
,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$34,564.05"
,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,"$82,310.17"
,59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,"$43,852.83"
,60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,"$40,047.55"
,61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC","$91,313.69"
,62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC","$67,246.87"
,63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC","$56,756.18"
,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$68,336.75"
,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"$41,038.17"
,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"$34,082.93"
,67,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,"$43,988.77"
,68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"$30,989.90"
,69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$24,657.13"
,70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$70,062.05"
,71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"$34,807.92"
,72,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"$14,632.53"
,73,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"$42,169.88"
,74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$28,855.42"
,75,VIRAL MENINGITIS W CC/MCC,"$36,301.05"
,76,VIRAL MENINGITIS W/O CC/MCC,"$8,397.64"
,77,HYPERTENSIVE ENCEPHALOPATHY W MCC,"$76,778.45"
,78,HYPERTENSIVE ENCEPHALOPATHY W CC,"$41,739.27"
,80,NONTRAUMATIC STUPOR & COMA W MCC,"$31,255.82"
,81,NONTRAUMATIC STUPOR & COMA W/O MCC,"$18,613.43"
,82,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC","$69,336.45"
,83,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","$46,117.25"
,84,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC","$30,899.13"
