Charge Description,Charge Amount
DIRECT REFERRAL TO OBS  ,71.25
OBSERVATION HOUR        ,71.25
IMMUNIZ ADMIN EA ADDTL  ,76.5
INJECTION IM OR SQ/SD GY,77
INJECTION IM OR SQ      ,77
IMMUNIZ ADMIN SGL       ,77
NDL/INCATH VEIN         ,152
IV EACH ADD HOUR        ,152
IVP EA ADD SEQ NEW DRUG ,152
IVP EA ADD SEQ SAME DRUG,152
INJECTION INTRA-ARTERIAL,157
IV HYDRAT EA ADD HR     ,191.25
IV ADDL SEQ INF UP TO 1H,191.25
IV CONCURRENT INFUSION  ,191.25
IVP SINGLE/INITIAL DRUG ,318
IV INITIAL UP TO 1 HOUR ,369.75
IV HYDRAT INIT UP TO 1HR,379
ROOM-BOARD/PVT          ,"2,225.00"
ROOM-BOARD/EMU          ,"4,986.00"
BONE MARROW ICU         ,"5,164.00"
PACU STEPDOWN           ,"5,604.00"
NEURO STEP DOWN         ,"5,604.00"
STEPDOWN                ,"5,604.00"
RM BOARD CORONARY CARE  ,"12,307.00"
INTENSIVE CARE          ,"12,798.00"
PACU INTENSIVE CARE     ,"12,798.00"
INTENSIVE CARE TRAUMA   ,"13,292.00"
ROOM-BOAR/ISOL          ,"4,986.00"
PICU STEP-DOWN          ,"5,604.00"
PICU BURN UNIT ACUTE    ,"12,307.00"
PICU PEDS INTENSIVE CARE,"12,798.00"
LABOR ADDL 15 M         ,46.25
RECOVERY L&D 15 MIN     ,52.75
OBS PER HOUR            ,71.25
NJECTION IM OR SQ/SD GY ,75
INJECTION IM OR SQ      ,75
APP ONBODY INJECTOR     ,75.25
NDL/INCATH VEIN         ,144
IV EACH ADD HOUR        ,144
IVP EA ADD SEQ NEW DRUG ,144
IVP EA ADD SEQ SAME DRUG,144
INJECTION INTRA-ARTERIAL,149
TEST NON STRESS FETAL AC,163.75
VENIPUNCTURE            ,167.25
IV HYDRAT EA ADD HR     ,180.75
IV ADDL SEQ INF UP TO 1H,180.75
IV CONCURRENT INFUSION  ,180.75
LABOR                   ,190.75
IVP SINGLE/INITIAL DRUG ,300.75
INSERT TEMP BLADDER     ,335.25
IV INITIAL UP TO 1 HOUR ,349.5
IV HYDRAT INIT UP TO 1HR,358.5
TEST CONTRACTION STRESS ,406.75
EMER DEPT LEVEL 1       ,450.25
ANES GENERAL ADDL 30MIN ,453
OR L&D LEVEL I ADDL 15 M,476.5
AMNIOCENTESIS           ,533.75
PROCEDURE CATEGORY 1    ,588
US FETAL BIOPHYS PROF   ,589.25
PROCEDURE CATEGORY 1    ,600.75
OR L&D LEVEL II ADDL 15M,646.75
