Northeast Alabama Regional Medical Center,,
Average Charge per DRG,,
Updated Oct 2018,,
,,
,,
"** Disclaimer **
Following is a list of the DRG standard charges for inpatient services. The charges may vary by patient based on several factors to include: severity of illness, response to treatment, length of stay, and other medical conditions. The Standard DRG charge per case is based upon the charge list as of October 2018 and is subject to change. These charges do not reflect the out of pocket costs for services. Please contact your health insurer for an estimate of actual out of pocket costs for services and refer to our financial assistance policy if you do not have insurance.",,
,,
,,
Health Insurance Contacts,,
,,
Financial Assistance Information,,
,,
,,
,,
,,
DRG Code,DRG Description,Average Charge
003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","766,403.71"
004,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","516,627.10"
012,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC","64,503.57"
013,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC","39,728.03"
026,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,"79,758.60"
029,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,"53,976.69"
037,EXTRACRANIAL PROCEDURES W MCC,"137,292.18"
038,EXTRACRANIAL PROCEDURES W CC,"102,237.63"
039,EXTRACRANIAL PROCEDURES W/O CC/MCC,"53,368.85"
040,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,"163,312.48"
041,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,"94,212.58"
042,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,"42,464.67"
052,SPINAL DISORDERS & INJURIES W CC/MCC,"16,331.38"
054,NERVOUS SYSTEM NEOPLASMS W MCC,"62,440.95"
055,NERVOUS SYSTEM NEOPLASMS W/O MCC,"70,759.86"
056,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"123,409.90"
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"40,386.90"
059,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,"31,240.91"
