CDM NAME,HOSPITAL,TECHNICAL DESCRIPTION,TOTAL CHARGE
SFH,Saint Francis Hospital,PRIVATE ROOM,"$2,275.00"
SFH,Saint Francis Hospital,NEWBORN LEVEL I,"$1,167.00"
SFH,Saint Francis Hospital,NEWBORN OTHER,"$1,125.00"
SFH,Saint Francis Hospital,NEWBORN LEVEL II,"$3,531.00"
SFH,Saint Francis Hospital,PRIVATE SNF,"$2,109.00"
SFH,Saint Francis Hospital,NICU NB LVL IV,"$4,964.00"
SFH,Saint Francis Hospital,PRIVATE ONCOLOGY,"$2,498.00"
SFH,Saint Francis Hospital,INTENSIVE CARE UNIT,"$5,146.00"
SFH,Saint Francis Hospital,CORONARY CARE UNIT,"$4,725.00"
SFH,Saint Francis Hospital,INTENSIVE CARE OTHER,"$3,466.00"
SFH,Saint Francis Hospital,PRIVATE OBSTETRICS,"$2,149.00"
SFH,Saint Francis Hospital,PRIVATE PSYCHIATRIC,"$3,215.00"
SFH,Saint Francis Hospital,INTENSIVE CARE INTERMED,"$4,234.00"
SFH,Saint Francis Hospital,PRIVATE REHABILITATION,"$3,316.00"
SFH,Saint Francis Hospital,NICU NB LVL III,"$4,732.00"
SFH,Saint Francis Hospital,SEMI-PRIVATE DETOX,"$2,495.00"
SFH,Saint Francis Hospital,PRIVATE OTHER,"$3,338.00"
SFH,Saint Francis Hospital,PRIVATE DETOXIFICATION,"$2,842.00"
SFH,Saint Francis Hospital,SURGICAL SPECIMEN,$929.74
SFH,Saint Francis Hospital,MAMMARY DUCT/GALACT SNG,$405.13
SFH,Saint Francis Hospital,MAMMARY DUCT/GALACT MULT,$535.72
SFH,Saint Francis Hospital,SCRN MAMMO+CAD BILAT,$634.94
SFH,Saint Francis Hospital,DX MAMMO+CAD BILAT,$710.94
SFH,Saint Francis Hospital,DX MAMMO+CAD UNILAT,$481.29
SFH,Saint Francis Hospital,INJ GALACTO/DUCTO PROC,$138.86
SFH,Saint Francis Hospital,BX BRST NDL UNGUIDED,$772.04
SFH,Saint Francis Hospital,ASPIR BREAST CYST ADD,$100.35
SFH,Saint Francis Hospital,DEXA APPENDICULAR SKELTN,"$1,057.30"
SFH,Saint Francis Hospital,BX BRST 1ST LESION STRTC,"$5,208.36"
SFH,Saint Francis Hospital,BX BRST ADD LESION STRTC,"$5,520.86"
SFH,Saint Francis Hospital,PERC DEVC BRST 1ST MAMMO,$867.87
SFH,Saint Francis Hospital,PERC DEVC BRST ADD MAM,$738.49
SFH,Saint Francis Hospital,PERC DEVC BRST 1ST STRTC,"$4,305.80"
SFH,Saint Francis Hospital,ESW BILATERAL,"$26,814.57"
SFH,Saint Francis Hospital,ESW UNILATERAL,"$23,823.80"
SFH,Saint Francis Hospital,ESW UNILAT REPEAT,"$20,466.95"
SFH,Saint Francis Hospital,FETAL NON-STRESS TEST,$412.34
SFH,Saint Francis Hospital,IMM ADMIN SNGL/COMBO VAC,$233.67
SFH,Saint Francis Hospital,US OB LTD 1OR> FETUS,$399.68
SFH,Saint Francis Hospital,IV INF HYD INIT 31-60MIN,$293.70
SFH,Saint Francis Hospital,IV INF HYD EA ADD HR,$208.80
SFH,Saint Francis Hospital,IV INF TX INIT <=1 HR,$232.63
SFH,Saint Francis Hospital,IV INF TX EA ADD HR,$210.85
SFH,Saint Francis Hospital,IV INF SEQUENTL 1 HR,$165.38
SFH,Saint Francis Hospital,IV INF CONCURRENT,$167.03
SFH,Saint Francis Hospital,INJ TX/PRPH/DX IVP INT,$361.62
SFH,Saint Francis Hospital,INJ ADD SEQUENTL IVP,$379.70
SFH,Saint Francis Hospital,INJ T/P/D IVP SAME SUBST,$361.62
SFH,Saint Francis Hospital,INJ TX/PROPH/DX SQ/IM,$218.75
SFH,Saint Francis Hospital,L&D SPEC PROC INT 30 MIN,$904.16
SFH,Saint Francis Hospital,L&D SPEC PROC ADD 15 MIN,$427.06
SFH,Saint Francis Hospital,LABOR SIMPLE 1ST HR,$267.97
SFH,Saint Francis Hospital,LABOR SIMPLE ADD HR,$217.32
SFH,Saint Francis Hospital,LABOR INTERIM 1ST HR,$308.69
SFH,Saint Francis Hospital,LABOR INTERIM ADD HR,$246.96
SFH,Saint Francis Hospital,LABOR COMPLEX 1ST HR,$423.79
SFH,Saint Francis Hospital,LABOR COMPLEX ADD HR,$308.69
SFH,Saint Francis Hospital,DELIVERY SIMPLE,"$3,565.92"
SFH,Saint Francis Hospital,DELIVERY COMPLEX,"$4,569.56"
SFH,Saint Francis Hospital,L&D SURG LVL I INT 30 M,"$4,930.36"
SFH,Saint Francis Hospital,L&D SURG LVL I EA 15 MIN,"$2,464.55"
SFH,Saint Francis Hospital,L&D SURG LVL II INT 30 M,"$4,702.30"
SFH,Saint Francis Hospital,L&D SURG LVL II EA 15 M,"$2,350.57"
SFH,Saint Francis Hospital,L&D SURG LVL III INT 30M,"$6,033.41"
SFH,Saint Francis Hospital,L&D SURG LVL III EA 15M,"$3,017.35"
SFH,Saint Francis Hospital,L&D SURG LVL IV INT 30M,"$6,195.31"
SFH,Saint Francis Hospital,L&D SURG LVL IV EA 15M,"$3,097.08"
SFH,Saint Francis Hospital,L&D RECOVERY INT 30 MIN,"$1,707.78"
SFH,Saint Francis Hospital,L&D RECOVERY ADD 15 MIN,$850.15
SFH,Saint Francis Hospital,CIRCUMCISION,$340.35
SFH,Saint Francis Hospital,NEWBORN RESUSCITATION,$346.18
SFH,Saint Francis Hospital,INTUBATION,$470.58
SFH,Saint Francis Hospital,SURG PROC INIT 30 MIN,$642.25
SFH,Saint Francis Hospital,HEPATITIS B VACC ADMIN,$118.23
SFH,Saint Francis Hospital,IMM ADMIN SNGL/COMBO VAC,$224.40
SFH,Saint Francis Hospital,UMBILICAL ART LINE NB,$197.50
SFH,Saint Francis Hospital,UMBILICAL VEIN LINE NB,$186.32
SFH,Saint Francis Hospital,INFANT HEARING SCREEN,$63.94
SFH,Saint Francis Hospital,SURFACTANT ADMIN TUBE,$115.76
SFH,Saint Francis Hospital,OPTHAL EXAM W/ANES LTD,"$3,048.45"
SFH,Saint Francis Hospital,SURG LEVEL I INT 30MIN,"$5,130.52"
SFH,Saint Francis Hospital,SURG LEVEL I EA ADD15M,"$2,099.44"
SFH,Saint Francis Hospital,SURG LEVEL II INT 30MIN,"$6,046.93"
SFH,Saint Francis Hospital,SURG LEVEL II EA ADD 15M,"$2,449.34"
SFH,Saint Francis Hospital,SURG LEVEL III INT 30MIN,"$6,963.35"
SFH,Saint Francis Hospital,SURG LEVEL III EA ADD 15,"$2,799.25"
SFH,Saint Francis Hospital,SURG LEVEL IV INT 30 MIN,"$7,163.43"
SFH,Saint Francis Hospital,SURG LEVEL IV EA ADD 15,"$2,999.19"
SFH,Saint Francis Hospital,RBTCS MAKO LVL III INT30,"$6,330.32"
SFH,Saint Francis Hospital,RBTCS MAKO LVL III EA 15,"$2,665.95"
SFH,Saint Francis Hospital,RBTCS MAKO LVL IV INT 30,"$7,163.43"
SFH,Saint Francis Hospital,RBTCS MAKO LVL IV EA 15,"$2,999.19"
SFH,Saint Francis Hospital,RBTCS MAZR LVL II INT 30,"$5,497.22"
SFH,Saint Francis Hospital,RBTCS MAZR LVL II EA 15,"$2,332.70"
SFH,Saint Francis Hospital,RBTCS MAZR LVL III INT30,"$6,963.35"
SFH,Saint Francis Hospital,RBTCS MAZR LVL III EA 15,"$2,932.54"
SFH,Saint Francis Hospital,RBTCS DAVN LVL II INT 30,"$5,497.22"
SFH,Saint Francis Hospital,RBTCS DAVN LVL II EA 15,"$2,332.70"
SFH,Saint Francis Hospital,RBTCS DAVN LVL III INT30,"$6,520.22"
SFH,Saint Francis Hospital,RBTCS DAVN LVL III EA 15,"$2,665.95"
SFH,Saint Francis Hospital,RBTCS DAVN LVL IV INT 30,"$7,163.43"
SFH,Saint Francis Hospital,RBTCS DAVN LVL IV EA 15,"$2,999.19"
SFH,Saint Francis Hospital,EMG ONE EXTREMITY,"$3,212.51"
SFH,Saint Francis Hospital,EMG TWO EXTREMITIES,"$4,151.31"
SFH,Saint Francis Hospital,EMG THREE EXTREMITIES,"$5,229.37"
SFH,Saint Francis Hospital,EMG FOUR EXTREMITIES,"$5,981.19"
SFH,Saint Francis Hospital,EMG LARYNX,$617.01
SFH,Saint Francis Hospital,EMG CRAN MUSC(S) UNI,$603.85
SFH,Saint Francis Hospital,EMG CRAN BILATERAL,$647.86
SFH,Saint Francis Hospital,EMG NEURO MUSC JCT TEST,$316.85
SFH,Saint Francis Hospital,NEEDLE ELCTRMYGPH NONEXT,"$3,236.88"
SFH,Saint Francis Hospital,NERVE COND STUDIES 1-2,$777.53
SFH,Saint Francis Hospital,NERV COND STUDIES 3-4,"$1,814.23"
SFH,Saint Francis Hospital,NERVE COND STUDIES 5-6,"$3,563.66"
SFH,Saint Francis Hospital,NERVE COND STUDIES 7-8,"$3,887.65"
SFH,Saint Francis Hospital,NERVE COND STUDIES 9-10,"$4,924.33"
SFH,Saint Francis Hospital,NERVE COND STUDIES 11-12,"$6,259.10"
SFH,Saint Francis Hospital,NERVE COND STUDIES >13,"$7,775.26"
SFH,Saint Francis Hospital,SOMATOSENSORY EP U/LIMB,"$2,302.39"
SFH,Saint Francis Hospital,SOMATOSENSORY EP L/LIMB,"$2,518.78"
SFH,Saint Francis Hospital,CNT MTR EP T/CRAN U/L,$618.40
SFH,Saint Francis Hospital,CNT MTR EP T/CRAN L/L,$618.40
SFH,Saint Francis Hospital,VISUAL EVOKED POTENTIAL,"$2,884.49"
SFH,Saint Francis Hospital,IONM IN OR 15 MIN,$324.32
SFH,Saint Francis Hospital,IONM REMOTE PER HOUR,"$1,313.88"
SFH,Saint Francis Hospital,EEG SURG NON-INTRACRANL,"$2,034.88"
SFH,Saint Francis Hospital,SEL DEB 1ST 20CM OR LESS,$839.72
SFH,Saint Francis Hospital,SEL DEB EAADD UPTO 20CM,$476.97
SFH,Saint Francis Hospital,RBC WASHED AUTO,$565.63
SFH,Saint Francis Hospital,RECOVERY INIT 30 MIN,"$2,277.92"
SFH,Saint Francis Hospital,RECOVERY EA ADDL 15 MIN,$770.69
SFH,Saint Francis Hospital,TRANSESOPHAGEAL ECHO,"$1,836.80"
SFH,Saint Francis Hospital,OH SURG INT 30 MIN,"$7,269.26"
SFH,Saint Francis Hospital,OH SURG EA ADD 15MIN,"$3,198.97"
SFH,Saint Francis Hospital,BLD AUTOSLV INTRA/PSOP,"$1,006.41"
SFH,Saint Francis Hospital,RBC WASHED AUTO,$484.00
SFH,Saint Francis Hospital,TISSUE ACQUISITN CORNEAL,"$12,550.51"
SFH,Saint Francis Hospital,DIAB SLFMGMT IND 30 MIN,$227.89
SFH,Saint Francis Hospital,DIAB SLFMGMT GRP 30 MIN,$155.43
SFH,Saint Francis Hospital,IV INF HYD INIT 31-60MIN,$232.63
SFH,Saint Francis Hospital,IV INF HYD EA ADD HR,$165.38
SFH,Saint Francis Hospital,IV INF TX INIT <=1 HR,$290.79
SFH,Saint Francis Hospital,IV INF CONCURRENT,$165.38
SFH,Saint Francis Hospital,INJ TX/PRPH/DX IVP INT,$402.48
SFH,Saint Francis Hospital,INJ ADD SEQUENTL IVP,$383.32
SFH,Saint Francis Hospital,AMB PROC 1ST 30MIN,"$1,035.00"
SFH,Saint Francis Hospital,AMB PROC EA 15MIN,$227.85
SFH,Saint Francis Hospital,AMB PROC LASER EA 15MIN,"$2,163.67"
SFH,Saint Francis Hospital,AMB PROC LASER 1ST 30MIN,"$1,980.70"
SFH,Saint Francis Hospital,INJ TX/PROPH/DX SQ/IM,$164.27
SFH,Saint Francis Hospital,E&M-NEW PATIENT-LVL I,$225.69
SFH,Saint Francis Hospital,E&M-EST. PATIENT-LVL I,$182.37
SFH,Saint Francis Hospital,MOD SED SAME<5YRS INIT15,"$1,084.92"
SFH,Saint Francis Hospital,MOD SED SAME>5YRS INIT15,$599.81
SFH,Saint Francis Hospital,MOD SED SAME EA ADD15,$436.97
SFH,Saint Francis Hospital,MOD SED OTH<5YRS INIT15,$659.95
SFH,Saint Francis Hospital,MOD SED OTH>5YRS INIT15,$659.95
SFH,Saint Francis Hospital,MOD SED OTH EA ADD15,$617.81
SFH,Saint Francis Hospital,L&D EPIDURAL,$984.58
SFH,Saint Francis Hospital,ANESTHSIA INIT 30 MIN,"$1,835.58"
SFH,Saint Francis Hospital,ANESTHESIA EA ADD 15 MIN,$713.71
SFH,Saint Francis Hospital,MOD SED SAME>5YRS INIT15,$634.17
SFH,Saint Francis Hospital,MOD SED SAME EA ADD15,$433.68
SFH,Saint Francis Hospital,E&M-NEW PATIENT-LVL II,$215.18
SFH,Saint Francis Hospital,E&M-NEW PATIENT-LVL III,$805.27
SFH,Saint Francis Hospital,E&M-NEW PATIENT-LVL V,$363.35
SFH,Saint Francis Hospital,E&M-NEW PATIENT-LVL IV,$363.35
SFH,Saint Francis Hospital,IMM ADMIN-1 VACCINE,$289.13
SFH,Saint Francis Hospital,INJ TX/PROPH/DX SQ/IM,$191.97
SFH,Saint Francis Hospital,SURG PROC LEVEL I,$778.22
SFH,Saint Francis Hospital,E&M-EST. PATIENT-LVL I,$188.11
SFH,Saint Francis Hospital,E&M-EST. PATIENT-LVL II,$215.18
SFH,Saint Francis Hospital,E&M-EST. PATIENT-LVL III,$593.96
SFH,Saint Francis Hospital,E&M-EST. PATIENT-LVL IV,$363.35
SFH,Saint Francis Hospital,E&M-EST. PATIENT-LVL V,$709.92
SFH,Saint Francis Hospital,EKG TRACING,$840.45
SFH,Saint Francis Hospital,INFLUENZA VACC ADMIN,$113.38
SFH,Saint Francis Hospital,PNEUMOCOCCAL VACC ADMIN,$94.97
SFH,Saint Francis Hospital,DFB AMPLIA MRI DTMB1QQ,"$154,657.48"
SFH,Saint Francis Hospital,DFIB ATLAS+ HF V343,"$103,180.70"
SFH,Saint Francis Hospital,DFIB COGNIS HE N118,"$133,969.65"
SFH,Saint Francis Hospital,DFIB CONCERTO CRTD,"$136,646.11"
SFH,Saint Francis Hospital,DFIB COGNIS HE N119,"$133,969.65"
SFH,Saint Francis Hospital,DFIB CONSULTA D224TRK,"$132,103.50"
SFH,Saint Francis Hospital,DFIB CURRENT DR RF 2207,"$101,757.52"
SFH,Saint Francis Hospital,DFIB CURRENT VR RF120736,"$96,720.69"
SFH,Saint Francis Hospital,DFIB DC CONFIENT E030,"$102,149.40"
SFH,Saint Francis Hospital,DFIB DC ATLAS II+ V268,"$99,364.93"
SFH,Saint Francis Hospital,DFIB DC ATLAS+ DR V243,"$102,304.11"
SFH,Saint Francis Hospital,DFIB DC ATLAS II HFV365,"$127,622.28"
SFH,Saint Francis Hospital,DFIB DC ATLAS II HFV366,"$127,622.28"
SFH,Saint Francis Hospital,DFIB DC ENTRUST,"$115,504.63"
SFH,Saint Francis Hospital,DFIB DC EPIC+ DR V239,"$102,304.11"
SFH,Saint Francis Hospital,DFB DYNAGEN MINI VR D020,"$93,021.99"
SFH,Saint Francis Hospital,DFIB DC LUMOS DR-T,"$108,285.59"
SFH,Saint Francis Hospital,DFIB DC MARQ DR 7230B,"$89,206.71"
SFH,Saint Francis Hospital,DFIB DC PROTECTA XT DR,"$84,835.99"
SFH,Saint Francis Hospital,DFIB DC VIRTUOSO,"$116,020.29"
SFH,Saint Francis Hospital,DFIB DC VITALTY DS T125,"$103,129.14"
SFH,Saint Francis Hospital,DFIB DC VITALITY 2 T165,"$116,020.29"
SFH,Saint Francis Hospital,DFIB DC VITALTY 2 T167,"$121,176.71"
SFH,Saint Francis Hospital,DFIB DC VITALITY 2 T180,"$116,020.29"
SFH,Saint Francis Hospital,DFB ELLIPSE DR CD241136C,"$59,950.97"
SFH,Saint Francis Hospital,DFB ELLIPSE DR CD241136Q,"$59,950.97"
SFH,Saint Francis Hospital,DFIB FORTIFY DR SJ4 CONN,"$78,820.13"
SFH,Saint Francis Hospital,DFIB FORTIFY VR SJ4 CONN,"$73,565.45"
SFH,Saint Francis Hospital,DFIB FORTIFY VR DF1/IS1,"$68,752.76"
SFH,Saint Francis Hospital,DFB INCEPTA CRTD DF4N160,"$93,307.31"
SFH,Saint Francis Hospital,DFB INCEPTA CRTD DF1N161,"$88,091.93"
SFH,Saint Francis Hospital,DFIB INCEPTA DR DF4 E162,"$71,753.33"
SFH,Saint Francis Hospital,DFIB INSYNC MARQ 7277,"$119,887.61"
