Charge Code,Charge Code Description,HCPCS Code, June 2019 Prices 
1131,ROOM/BED: Med/Surg Other,," 3,811.26 "
1255,ROOM/BED: Intensive Care,," 7,760.78 "
7211,ROOM/BED: Med/Surg Private,," 3,811.26 "
17004,ROOM/BED: Obstetrics LDRP Private,," 2,629.48 "
17509,ROOM/BED: Newborn Routine,," 1,731.32 "
21253,ROOM/BED: Med/Surg Semi-Private,," 3,811.26 "
22079,ROOM/BED: Burn Care Intensive Care,," 7,760.78 "
22202,ROOM/BED: Surgical Intensive Care,," 7,760.78 "
27003,ROOM/BED: Obstetrics LDRP Semi-Private,," 2,629.48 "
27508,ROOM/BED: Newborn - Level 2,," 1,992.48 "
37507,ROOM/BED: Newborn - Level 3,," 5,160.45 "
42309,ROOM/BED: NICU - Level 4,," 7,760.78 "
51250,ROOM/BED: Pediatrics Semi-Private,," 4,331.24 "
61259,ROOM/BED: Intermediate ICU/Tele,," 5,542.57 "
91256,ROOM/BED: Isolation,," 5,790.74 "
100040,OBSRV GENERAL1/HR,G0378, 152.45 
100065,OBSRV ICU/HR,G0378, 324.99 
100115,OBSRV M/S/GYN2/HR,G0378, 159.54 
100123,OBSRV DOU/TELE 1 HR,G0378, 231.63 
100131,OBSRV M/S/GYN4/HR,G0378, 159.54 
100214,OBSRV ASMT DIRECT ADMIT1,G0379, 244.64 
100271,OBSRV M/S/GYN3/HR,G0378, 159.54 
100289,OBSRV DOU/TELE2/HR,G0378, 231.63 
100446,OBSRV ICU/DOU/TELE1/HR,G0378, 324.99 
100461,OBSRV ASMT DIRECT ADMIT2,G0379, 244.64 
100479,OBSRV ASMT DIRECT ADMIT3,G0379, 244.64 
100487,OBSRV ASMT DIRECT ADMIT4,G0379, 244.64 
100495,OBSRV ASMT DIRECT ADMIT5 01,G0379, 244.64 
100503,OBSRV ASMT DIRECT ADMIT6 01,G0379, 244.64 
200048,L&D ANES LEVEL 2 1ST HR,Z7610, 967.88 
200055,L&D ANES LEVEL 2 ADDL 30M,Z7610, 386.45 
200063,L&D ANES LEVEL 3 1ST HR,Z7610," 1,119.16 "
200071,L&D ANES LEVEL 3 ADDL 30M,Z7610, 447.91 
200089,L&D ANES LEVEL 4 1ST HR,Z7610," 1,269.24 "
200097,L&D ANES LEVEL 4 ADDL 30M,Z7610, 508.17 
200121,L&D/INTRAPARTUM LEVEL1/HR,, 257.63 
200139,L&D/INTRAPARTUM LEVEL2/HR,, 301.35 
200147,L&D/ANTEPARTUM LEVEL 3/HR,, 343.90 
200154,L&D/ANTEPARTUM LEVEL 4/HR,, 386.45 
200188,L&D PACU LEVEL 2 1ST HR,Z7512," 1,617.86 "
200196,L&D PACU LEVEL 2 ADDL 30M,Z7512, 646.44 
200204,L&D PACU LEVEL 3 1ST HR,Z7512," 1,870.76 "
200212,L&D PACU LEVEL 3 ADDL 30M,Z7512, 740.97 
200220,L&D PACU LEVEL 4 1ST HR,Z7512," 2,122.48 "
200238,L&D PACU LEVEL 4 ADDL 30M,Z7512, 848.52 
200287,L&D SURG LEVEL 2 1ST HR,Z7506," 7,531.51 "
200295,L&D SURG LEVEL 2 ADDL 30M,Z7508," 2,854.01 "
200303,L&D SURG LEVEL 3 1ST HR,Z7506," 11,296.68 "
200311,L&D SURG LEVEL 3 ADDL 30M,Z7508," 4,280.42 "
200329,L&D SURG LEVEL 4 1ST HR,Z7506," 15,061.84 "
200337,L&D SURG LEVEL 4 ADDL 30M,Z7508," 5,708.02 "
200360,LACTATION EDUC 30M,S9443, 99.28 
200378,VAGINAL DELIVERY LEVEL 1,," 2,950.93 "
200386,VAGINAL DELIVERY LEVEL 2,," 3,733.26 "
200428,FETAL NON-STRESS TEST,, 634.62 
200436,US PREG UTERUS >1ST SNGL,, 958.43 
200444,US PREG UTERUS EA ADDL,," 1,466.59 "
200451,US PREG UTERUS LTD 1+,, 623.97 
200469,US PREG UTERUS F-UP/FETUS,, 671.25 
200501,VACCINE ADMIN SNGL,, 85.10 
200519,VACCINE ADMIN EA ADDL,, 87.45 
200600,INJECTION IM/SQ,, 113.44 
200634,AUD EVOKED RESP LTD IPSCR,Z9725, 714.98 
200642,NEONATAL RESUSCITATION,," 1,232.60 "
200659,OBSRV L&D LEVEL 1/HR,G0378, 115.82 
200683,OBSRV L&D LEVEL 2/HR,G0378, 135.90 
200691,OBSRV L&D LEVEL 3/HR,G0378, 155.99 
200709,OBSRV L&D LEVEL 4/HR,G0378, 178.46 
200717,LACTATION EDUC 15M,S9443, 49.63 
200725,LACTATION EDUC 45M,S9443, 148.91 
200733,LACTATION EDUC 60M,S9443, 210.37 
200741,INJ EPIDURAL,Z7610," 1,985.40 "
200766,EXTERNAL CEPHALIC VERSION,, 778.79 
200774,CIRCADIAN RHYTHM INF/PEDS,, 853.25 
200782,AUD EVOKED RESP LTD OPSCR,Z9726, 714.98 
200790,AUD EVOKED RESP LTD RESCR,Z9727, 714.98 
200808,LACTATION COUNSEL VISIT,S9443, 128.81 
200899,DELIVERY PLACENTA,," 6,055.47 "
200931,LACTATION EDUC 120M,S9443, 400.68 
200972,L&D/ANTEPARTUM/HR MAX 12,, 323.37 
200998,IV HYDRAT THRPY INTL 31-90M,, 486.90 
201004,IV HYDRAT THRPY ADD HR,, 380.53 
201012,IV DX/TX THRPY 1ST HR,, 610.44 
201020,IV DX/TX THRPY ADD HR,, 496.36 
201038,IV DX/TX ADD SEQ MAX1,, 486.90 
201046,IV DX/TX CONCUR MAX1,, 486.90 
201053,INJ IVP SNGL/INTL,, 561.54 
201061,INJ IVP ADD SEQ NEW,, 192.63 
201095,AU OAE LTD IPSCR,Z9725, 722.35 
201111,AU OAE LTD RESCR 02,Z9727, 722.35 
201137,OBSRV ASMT DIRECT ADMIT 02,G0379," 1,162.34 "
201145,VISIT EST LEVEL 1 02,G0463, 328.06 
201152,SQ/PUMP THRPY 1ST HR 02,, 312.00 
201160,SQ/PUMP THRPY ADD HR 02,, 155.22 
201178,SQ/PUMP ADD SETUP MAX1 02,, 139.45 
201186,INJ IVP ADD SEQ SAME 02,, 192.63 
201194,BILIRUBIN TOTAL TRANSCUT 02,, 24.27 
201210,INJ EPI BLOOD/CLOT PATCH 02,," 1,565.87 "
201285,AU OAE SCREENING IP,Z9725, 425.35 
201293,CAR SEAT/BED TEST INFANT-12MO 60M,, 90.29 
201301,CAR SEAT/BED TEST INFANT-12MO ADD30,, 45.17 
201319,BLOOD TRANSFUSION <1HR,Z5200," 1,011.04 "
201327,BLOOD TRANSFUSION >8HR,Z5200," 1,011.04 "
201335,BLOOD TRANSFUSION 1-2HR,Z5200," 1,011.04 "
201343,BLOOD TRANSFUSION 2-3HR,Z5200," 1,011.04 "
201350,BLOOD TRANSFUSION 3-4HR,Z5200," 1,011.04 "
201368,BLOOD TRANSFUSION 4-5HR,Z5200," 1,011.04 "
201376,BLOOD TRANSFUSION 5-6HR,Z5200," 1,011.04 "
201384,BLOOD TRANSFUSION 6-7HR,Z5200," 1,011.04 "
201392,BLOOD TRANSFUSION 7-8HR,Z5200," 1,011.04 "
300012,HEMODIALYSIS IP SNGL EVAL,," 1,523.32 "
300020,HEMODIALYSIS OP SNGL EVAL,," 1,523.32 "
300087,HEMO OP CAPD SNGL EVAL,," 3,065.55 "
300095,HEMO OP CCPD SNGL EVAL,," 3,065.55 "
300129,CAPD OP MULT EVAL,," 4,375.98 "
300137,CAPD OP MULT EVAL,," 4,375.98 "
300160,HEMO ESRD OP UNSCHED/ER,G0257," 1,792.09 "
300178,THER PLASMA PHERESIS,," 3,847.98 "
300202,THERAPEUTIC APH RBC,," 3,847.98 "
300236,CAPD IP SNGL EVAL,," 3,065.55 "
300244,CAPD IP MULT EVAL,," 4,375.98 "
300251,CCPD IP SNGL EVAL,," 3,065.55 "
300269,CCPD IP MULT EVAL,," 4,375.98 "
400010,SURG LEVEL 1 1ST HR 04,Z7506," 3,602.07 "
400028,SURG LEVEL 1 ADDL 30M 04,Z7508," 1,364.96 "
400036,SURG LEVEL 2 1ST HR 04,Z7506," 7,204.15 "
400044,SURG LEVEL 2 ADDL 30M 04,Z7508," 2,729.93 "
400051,SURG LEVEL 3 1ST HR 04,Z7506," 14,407.14 "
400069,SURG LEVEL 3 ADDL 30M 04,Z7508," 5,459.84 "
400077,SURG LEVEL 4 1ST HR 04,Z7506," 28,814.26 "
400085,SURG LEVEL 4 ADDL 30M 04,Z7508," 10,919.69 "
400093,SURG LEVEL 5 1ST HR 04,Z7506," 42,424.18 "
400101,SURG LEVEL 5 ADDL 30M 04,Z7508," 16,378.36 "
400275,SURG LEVEL 6 1ST HR 04,Z7506," 43,430.57 "
400283,SURG LEVEL 6 ADDL 30M 04,Z7506," 21,301.67 "
450015,ADAPT/EXT LEAD 01,C1883, 913.52 
450023,AGENT HEMOSTASIS 01,Z7610, 178.46 
450072,BARRIER ADHESION,L8699," 1,301.14 "
450080,BOLT ORTHO/SPINE 0104,L8699, 358.08 
450130,BUTTON NASAL SEPTAL04,Z7610, 322.63 
450155,CABLE ORTHO/SPINE 0104,L8699, 894.62 
450163,CAGE/SPACER SPINE 01,L8699," 5,368.84 "
450205,CATH ABL NON-CARDIAC04,C1886," 5,463.38 "
450221,CATH BLN TISS DI NON-VASC 04,C1727," 1,811.68 "
450239,CATH PERC DRAINAGE,C1729, 538.89 
450247,CATH BRACHYTX SRCE ADMIN 04,C1728, 374.63 
450270,CATH EP DX<19 ELECT,C1730," 1,301.14 "
450338,CATH HEMO SHORT TERM,C1752, 654.70 
450361,CATH INTRASPINE,C1755, 584.98 
450387,CATH OCCLUSION,C2628, 704.34 
450403,CATH SPEC/OTHER 01 04,Z7610, 178.46 
450411,CATH SUPRAPUBIC/CYSTO,C2627, 329.71 
450445,CATH TRN ANG OTH 01,C1725, 150.00 
450486,BONE CEMENT/FILL/PUTTY 0104,L8699, 358.08 
450502,IMP CLIP CARDIAC/NEURO 0104,L8699, 178.46 
450601,DEVICE URI/PELV WO SL 0,C2631," 4,240.65 "
450627,DEVICE VASC CLOSURE IMPL,C1760," 4,372.61 "
450650,ADAPT/EXT LEAD 02,C1883," 2,739.38 "
450825,GEN NEUROSTM NON 01 04,C1767," 8,605.23 "
450833,GRAFT VASC ALLO/XEN 01 04,L8670, 358.08 
450858,GRAFT VASC SYN 01,L8699, 358.08 
450890,IMP BREAST PROSTH 01,L8699, 913.52 
450924,IMP BREAST PROSTH 02,L8699," 3,579.62 "
450940,IMP EAR PROSTH 01 04,L8699, 178.46 
