DRG Code,BAPTIST MEDICAL CENTER,MISSION TRAIL BAPTIST HOSPITAL,NORTH CENTRAL BAPTIST HOSPITAL,NORTHEAST BAPTIST HOSPITAL,SAINT LUKE'S HOSPITAL
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC, $- , $- , $- , $- , $- 
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC, $- , $- , $- , $- ," $284,777 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R."," $573,089 ", $- ," $617,394 "," $653,383 "," $557,527 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R."," $338,711 "," $341,327 "," $357,167 "," $544,478 "," $275,269 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT, $- , $- , $- , $- , $- 
"011 - TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W MCC", $- , $- ," $331,703 "," $109,465 ", $- 
"012 - TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W CC", $- , $- , $- , $- , $- 
"013 - TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W/O CC/M", $- , $- , $- , $- ," $62,939 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT, $- , $- , $- , $- , $- 
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC OR T-CELL IMMUNOTHERAPY, $- , $- , $- , $- , $- 
020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC, $- , $- , $- , $- ," $400,181 "
021 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC, $- , $- , $- , $- ," $377,325 "
022 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC, $- , $- , $- , $- ," $364,202 "
023 - CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CH, $- , $- ," $312,386 ", $- ," $268,316 "
024 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC, $- , $- , $- , $- ," $218,150 "
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC, $- , $- ," $172,562 ", $- ," $200,168 "
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC, $- , $- ," $172,369 "," $203,549 "," $161,197 "
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC," $77,620 "," $2,770 "," $103,103 "," $70,717 "," $146,155 "
028 - SPINAL PROCEDURES W MCC, $- , $- , $- , $- ," $330,407 "
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS," $61,103 "," $108,196 "," $149,722 ", $- ," $141,575 "
030 - SPINAL PROCEDURES W/O CC/MCC, $- , $- ," $73,579 ", $- ," $120,033 "
031 - VENTRICULAR SHUNT PROCEDURES W MCC, $- , $- ," $88,121 ", $- , $- 
032 - VENTRICULAR SHUNT PROCEDURES W CC, $- , $- ," $118,271 ", $- ," $125,124 "
033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC, $- , $- ," $135,494 ", $- ," $130,068 "
034 - CAROTID ARTERY STENT PROCEDURE W MCC, $- , $- , $- , $- ," $164,027 "
035 - CAROTID ARTERY STENT PROCEDURE W CC," $105,799 ", $- , $- ," $120,137 "," $170,283 "
036 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC," $109,086 ", $- , $- ," $95,943 "," $99,762 "
037 - EXTRACRANIAL PROCEDURES W MCC," $246,657 ", $- , $- ," $63,959 "," $335,767 "
038 - EXTRACRANIAL PROCEDURES W CC," $95,410 "," $133,831 "," $139,958 "," $91,144 "," $168,079 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC," $79,211 "," $67,924 "," $89,048 "," $69,542 "," $58,760 "
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC," $123,347 "," $82,228 ", $- ," $156,443 "," $165,785 "
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM," $123,527 ", $- ," $90,008 "," $154,123 "," $132,135 "
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC, $- , $- ," $281,433 "," $113,256 "," $138,567 "
052 - SPINAL DISORDERS & INJURIES W CC/MCC, $- , $- , $- , $- , $- 
053 - SPINAL DISORDERS & INJURIES W/O CC/MCC, $- , $- , $- , $- , $- 
054 - NERVOUS SYSTEM NEOPLASMS W MCC," $47,768 ", $- ," $89,516 "," $107,852 "," $72,531 "
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC," $64,450 ", $- , $- ," $49,816 "," $62,214 "
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC, $- ," $26,633 ", $- ," $93,310 "," $90,276 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC," $36,947 "," $59,005 "," $68,143 "," $53,246 "," $52,228 "
058 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC, $- , $- , $- , $- , $- 
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC, $- , $- , $- ," $66,906 "," $66,497 "
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC," $79,368 ", $- ," $53,316 "," $70,308 "," $48,533 "
"061 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBO"," $110,653 ", $- ," $135,009 "," $139,331 "," $167,280 "
"062 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBO"," $157,469 "," $85,947 ", $- ," $112,084 "," $105,379 "
"063 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBO"," $100,158 ", $- ," $77,120 ", $- ," $253,400 "
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC," $89,374 "," $61,455 "," $91,717 "," $105,068 "," $86,807 "
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS," $70,008 "," $65,268 "," $65,119 "," $68,109 "," $69,532 "
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC," $53,667 "," $51,893 "," $46,264 "," $48,648 "," $51,487 "
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC," $194,421 ", $- , $- , $- ," $85,933 "
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC," $82,703 ", $- ," $82,247 "," $82,848 "," $22,395 "
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC," $43,971 "," $47,601 "," $39,584 "," $49,329 "," $69,103 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC," $79,652 "," $36,267 "," $77,790 "," $20,910 "," $32,372 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC," $29,736 "," $38,695 "," $50,227 "," $42,057 "," $65,786 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC," $33,616 "," $35,629 "," $48,793 "," $43,705 "," $41,404 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC," $52,797 "," $58,971 "," $44,234 "," $41,511 "," $51,086 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC," $44,641 "," $43,880 "," $63,605 "," $54,635 "," $52,322 "
075 - VIRAL MENINGITIS W CC/MCC, $- , $- ," $24,088 "," $39,468 "," $115,562 "
076 - VIRAL MENINGITIS W/O CC/MCC," $28,650 "," $53,368 "," $25,399 "," $52,593 "," $34,136 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC," $124,364 "," $42,105 "," $66,100 "," $55,426 "," $102,499 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC," $49,179 ", $- ," $47,598 "," $51,512 "," $87,972 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC," $54,033 ", $- , $- ," $28,543 ", $- 
080 - NONTRAUMATIC STUPOR & COMA W MCC," $4,366 ", $- , $- , $- , $- 
081 - NONTRAUMATIC STUPOR & COMA W/O MCC," $42,381 ", $- , $- , $- ," $42,585 "
"082 - TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC"," $85,606 ", $- ," $54,978 ", $- ," $56,488 "
"083 - TRAUMATIC STUPOR & COMA, COMA >1 HR W CC", $- , $- ," $44,245 "," $74,142 "," $56,521 "
"084 - TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC"," $28,173 ", $- ," $37,628 ", $- ," $26,879 "
"085 - TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC"," $40,746 "," $103,039 "," $52,897 ", $- ," $67,514 "
"086 - TRAUMATIC STUPOR & COMA, COMA <1 HR W CC", $- , $- ," $49,982 ", $- ," $76,465 "
"087 - TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC", $- , $- ," $27,219 ", $- ," $35,129 "
088 - CONCUSSION W MCC," $47,562 ", $- , $- , $- , $- 
089 - CONCUSSION W CC, $- , $- , $- , $- ," $91,887 "
090 - CONCUSSION W/O CC/MCC, $- , $- ," $28,139 ", $- ," $35,515 "
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC," $41,636 "," $70,258 "," $86,820 "," $97,073 "," $70,032 "
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC," $60,245 "," $42,082 "," $35,103 "," $51,462 "," $43,147 "
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC," $32,764 "," $30,810 "," $32,863 "," $44,774 "," $51,743 "
094 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC, $- , $- ," $64,139 ", $- ," $106,252 "
095 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC, $- ," $197,255 "," $141,877 "," $109,836 "," $60,398 "
096 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC," $64,093 ", $- , $- , $- ," $81,452 "
097 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC," $147,335 "," $145,205 ", $- , $- ," $228,782 "
098 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC, $- , $- ," $80,492 ", $- ," $74,445 "
