Hospital Name:  French Medical Center,,,,,,,
OSHPD Facility No: 106400480,,,,,,,
"Effective Date of Charges: July 1, 2018",,,,,,,
,,,,,,,
"CDM
Number",Billing Description (25 char), 999 Price  (Default) ,Zero Price Indicator,,,,
0010017,OUTPT IN A BED NC        , -   ,1,,,,
0012500,NEWBORN LEVEL I          ," 4,270.00 ",,,,,
0013607,ROOM PVT OB              ," 2,890.00 ",,,,,
0013706,NEWBORN LEVEL I          ," 4,270.00 ",,,,,
0013805,NEWBORN LEVEL I          ," 4,270.00 ",,,,,
0013813,NEWBORN LEVEL I          ," 4,270.00 ",,,,,
0014407,NEWBORN LEVEL I          ," 4,270.00 ",,,,,
0022400,OUTPT IN A BED NC        , -   ,1,,,,
0023606,OUTPT IN A BED NC        , -   ,1,,,,
0024406,OUTPT IN A BED NC        , -   ,1,,,,
0031203,ROOM INTER ICU/TELE      ," 6,530.00 ",,,,,
0032409,ROOM INTER ICU/TELE      ," 6,530.00 ",,, ,, 
0032508,ROOM INTER ICU/TELE      ," 6,530.00 ",,,,,
0033605,ROOM INTER ICU/TELE      ," 6,530.00 ",,,,,
0034405,ROOM INTER ICU/TELE      ," 6,530.00 ",,,,,
0036103,ROOM INTER ICU/TELE      ," 6,530.00 ",,,,,
0041202,OUTPT IN A BED NC        , -   ,1,,,,
0042408,ROOM STERILE ENVIR       ," 10,200.00 ",,,,,
0042507,ROOM STERILE ENVIR       ," 10,200.00 ",,,,,
0043604,ROOM STER ENVIR OB       ," 10,200.00 ",,,,,
0044404,ROOM STERILE ENVIR       ," 10,200.00 ",,,,,
0046102,OUTPT IN A BED NC        , -   ,1,,,,
0051201,ROOM SEMI GENERAL        ," 2,600.00 ",,,,,
0052407,ROOM SEMI GENERAL        ," 2,600.00 ",,,,,
0052506,ROOM SEMI GENERAL        ," 2,600.00 ",,,,,
0053603,ROOM SEMI GENERAL        ," 2,600.00 ",,,,,
0053702,NEWBORN GENERAL          ," 1,200.00 ",,,,,
0053801,NEWBORN GENERAL          ," 1,200.00 ",,,,,
0053819,NEWBORN GENERAL          ," 1,200.00 ",,,,,
0054403,ROOM SEMI GENERAL        ," 2,600.00 ",,,,,
0056101,ROOM SEMI GENERAL        ," 2,600.00 ",,,,,
0061200,ROOM ICU GENERAL         ," 8,640.00 ",,,,,
0062505,ROOM ICU GENERAL         ," 8,640.00 ",,,,,
0063701,NEWBORN LVL II/PHTO      ," 8,500.00 ",,,,,
