Location,Charge Code,Description,Fee,Charge Quantity - Pharmacy
HEALTH ALLIANCE/CLINTON,11100000,HC ROOM & BOARD PRIVATE,"2,302.00",
HEALTH ALLIANCE/CLINTON,11200000,HC ROOM & BOARD PRIVATE OB,"2,302.00",
HEALTH ALLIANCE/CLINTON,11200001,HC ROOM & BOARD PRIVATE OB,"2,302.00",
HEALTH ALLIANCE/CLINTON,11300000,HC ROOM & BOARD PRIVATE PEDI,"2,302.00",
HEALTH ALLIANCE/CLINTON,12100000,HC ROOM & BOARD SEMI PRIVATE,"2,302.00",
HEALTH ALLIANCE/CLINTON,12100001,HC ROOM & BOARD PRIVATE,"2,302.00",
HEALTH ALLIANCE/CLINTON,12100002,HC ROOM & BOARD/ICU MED SURG,"2,302.00",
HEALTH ALLIANCE/CLINTON,12100003,HC INPT DNM,"2,302.00",
HEALTH ALLIANCE/CLINTON,12200000,HC ROOM & BOARD SEMI PRIVATE OB,"2,302.00",
HEALTH ALLIANCE/CLINTON,12300000,HC ROOM & BOARD SEMI PRIVATE PEDI,"2,302.00",
HEALTH ALLIANCE/CLINTON,12400000,HC ROOM & BOARD SEMI PRIVATE PSYCH,"2,326.00",
HEALTH ALLIANCE/CLINTON,13100000,HC ROOM & BOARD 3-4 BED,"1,935.00",
HEALTH ALLIANCE/CLINTON,13300000,HC ROOM & BOARD 3-4 BED PEDI,"2,460.00",
HEALTH ALLIANCE/CLINTON,17100000,HC ROOM & BOARD NEWBORN LEVEL 1,"1,586.00",
HEALTH ALLIANCE/CLINTON,17200000,HC ROOM & BOARD NEWBORN LEVEL 2,"1,900.00",
HEALTH ALLIANCE/CLINTON,20000000,HC ROOM & BOARD INTENSIVE CARE UNIT,"4,475.00",
HEALTH ALLIANCE/CLINTON,20100000,HC ROOM & BOARD/ICU CRITICAL SURG,"4,475.00",
HEALTH ALLIANCE/CLINTON,20200000,HC ROOM & BOARD/ICU CRITICAL MED,"4,475.00",
HEALTH ALLIANCE/CLINTON,25000002,DAUNORUBICIN 44 MG AND CYTARABINE 100 MG IN LIPOSOME IV SOLUTION [176966],"40,145.00",1 each
HEALTH ALLIANCE/CLINTON,25000002,DAUNORUBICIN 44 MG AND CYTARABINE 100 MG IN LIPOSOME IV SOLUTION [176966],"40,145.00",1 each
HEALTH ALLIANCE/CLINTON,25000002,ETHACRYNATE SODIUM 50 MG INTRAVENOUS SOLUTION [9979],"19,684.00",1 each
HEALTH ALLIANCE/CLINTON,25000002,ETHACRYNATE SODIUM 50 MG INTRAVENOUS SOLUTION [9979],"19,678.82",1 each
HEALTH ALLIANCE/CLINTON,25000002,DANTROLENE 250 MG INTRAVENOUS SUSPENSION [126579],"12,986.26",1 each
HEALTH ALLIANCE/CLINTON,25000002,ISOPROTERENOL 0.2 MG/ML INJECTION SOLUTION [121238],"9,272.77",1  x 5 mL AMPUL
HEALTH ALLIANCE/CLINTON,25000002,POTASSIUM PHOSPHATE 30 MMOL/500 ML IN 0.9 % SODIUM CHLORIDE IV SOLN [130485],"6,410.33",1  x 500 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,HYDROXOCOBALAMIN 5 GRAM INTRAVENOUS SOLUTION [111437],"5,215.39",1 each
HEALTH ALLIANCE/CLINTON,25000002,BUPIVACAINE LIPOSOMAL (PF) 45 ML SYRINGE [600781],"4,500.57",1  x 45 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,LEVOTHYROXINE 500 MCG INTRAVENOUS SOLUTION [113058],"3,352.23",1 each
HEALTH ALLIANCE/CLINTON,25000002,POTASSIUM PHOSPHATE 15 MMOL/250 ML IN 0.9 % SODIUM CHLORIDE IV SOLN [130060],"3,205.17",1  x 250 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,"ESMOLOL 2,000 MG/100 ML (20 MG/ML) IN SODIUM CHLORIDE (ISO-OSMOTIC) IV [35639]","3,199.77",1  x 100 mL Flex Cont
HEALTH ALLIANCE/CLINTON,25000002,BUPIVACAINE LIPOSOMAL (PF) 30 ML SYRINGE [601781],"3,000.38",1  x 30 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,BALANCED SALT SOLUTION COMBINATION NO.1 INTRAOCULAR IRRIGATION [14123],"2,803.53",1  x 500 mL Bag
