DRG,DRG Description , Average Charge 
29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS," $9,825.51 "
41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM," $27,923.50 "
55,NERVOUS SYSTEM NEOPLASMS W/O MCC," $5,163.60 "
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC," $6,167.72 "
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC," $10,199.60 "
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS," $13,573.45 "
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC," $10,466.12 "
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC," $11,110.07 "
70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC," $6,056.00 "
74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC," $11,227.10 "
86,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC"," $8,609.50 "
93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC," $10,643.25 "
100,SEIZURES W MCC," $11,598.05 "
101,SEIZURES W/O MCC," $6,968.79 "
103,HEADACHES W/O MCC," $6,827.00 "
149,DYSEQUILIBRIUM," $4,325.50 "
151,EPISTAXIS W/O MCC," $6,766.00 "
153,OTITIS MEDIA & URI W/O MCC," $7,370.91 "
155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC"," $11,788.40 "
156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC"," $5,401.00 "
159,DENTAL & ORAL DISEASES W/O CC/MCC," $11,395.50 "
165,MAJOR CHEST PROCEDURES W/O CC/MCC," $19,120.50 "
175,PULMONARY EMBOLISM W MCC," $19,191.80 "
176,PULMONARY EMBOLISM W/O MCC," $11,067.14 "
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC," $12,435.00 "
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC," $17,040.73 "
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC," $11,811.16 "
180,RESPIRATORY NEOPLASMS W MCC," $24,515.90 "
181,RESPIRATORY NEOPLASMS W CC," $21,351.83 "
186,PLEURAL EFFUSION W MCC," $20,236.30 "
187,PLEURAL EFFUSION W CC," $5,683.50 "
188,PLEURAL EFFUSION W/O CC/MCC," $5,684.00 "
189,PULMONARY EDEMA & RESPIRATORY FAILURE," $11,971.46 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC," $11,780.60 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC," $9,043.72 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC," $8,968.86 "
193,SIMPLE PNEUMONIA & PLEURISY W MCC," $19,698.56 "
194,SIMPLE PNEUMONIA & PLEURISY W CC," $11,347.77 "
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC," $9,205.88 "
200,PNEUMOTHORAX W CC," $5,983.83 "
201,PNEUMOTHORAX W/O CC/MCC," $6,654.50 "
202,BRONCHITIS & ASTHMA W CC/MCC," $13,199.20 "
203,BRONCHITIS & ASTHMA W/O CC/MCC," $4,216.91 "
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC," $2,328.50 "
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC," $8,862.33 "
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS," $37,847.00 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS," $27,848.99 "
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC," $20,565.25 "
253,OTHER VASCULAR PROCEDURES W CC," $14,896.00 "
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES," $23,121.68 "
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC"," $13,405.83 "
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC"," $13,835.50 "
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC"," $5,872.44 "
291,HEART FAILURE & SHOCK W MCC," $12,791.66 "
292,HEART FAILURE & SHOCK W CC," $10,555.68 "
293,HEART FAILURE & SHOCK W/O CC/MCC," $9,005.91 "
299,PERIPHERAL VASCULAR DISORDERS W MCC," $7,817.92 "
