OUTPATIENT SERVICES,Average Charge for each Outpatient Service
OBSERVATION HOURLY,$46.00
OR SET UP FEE,$843.50
BMOR LEVEL 1 PER ADD MIN,$63.75
BMOR LEVEL 2 PER ADD MIN,$71.25
BMOR LEVEL 3 PER ADD MIN,$78.50
BMOR LEVEL 4 PER ADD MIN,$80.50
PERFUSION FEE PER PROCEDURE,"$2,072.00"
BMOR LEVEL 5 PER ADD MIN,$92.75
BMOR LEVEL 1 1ST 15 MIN,"$1,685.75"
BMOR LEVEL 2 1ST 15 MIN,"$1,778.50"
BMOR LEVEL 3 1ST 15 MIN,"$1,853.75"
BMOR LEVEL 4 1ST 15 MIN,"$1,959.50"
BMOR LEVEL 5 1ST 15 MIN,"$2,235.50"
VEIN LEVEL 1 (1VEIN;1-20 STAB),"$6,301.25"
VEIN LEVEL 2 (2 VEINS;21+STAB),"$12,602.50"
FEE KTP LASER(GREENLIGHT,"$2,096.50"
INSTRUMENT USAGE KIT,$849.25
OH CATH LAB STANDBY CHG,$178.00
OH PTCA STANDBY,$178.00
OPEN HEART ATS SERVICES,"$1,233.25"
OPEN HEART ATS STANDBY,$473.25
OPEN HEART IABP SETP NOT INOR,$828.25
OH IABP MONITORING PER HOUR,$206.00
LAB PROF. SERVICES NON-CARDIAC,$178.00
ECMO MON HRL AFT 1ST 4 HRS,$166.75
ECMO SET-UP INDEP OF OH,"$1,371.50"
EMERGENT ASA,$107.75
PAIN PER MINUTE,$62.25
BOSC PACU PAIN PHASE 2,$8.50
BOSC OR PAIN SET UP 1ST MIN,$808.00
SDS RECOV/PHASE II CARE 1ST HR,$224.50
OBSERVATION HOURLY,$46.00
URINE PREGNANCY TEST,$130.25
SDS RECOV/PHASE II CARE ADDL30,$192.75
SDS-PHASE 2 REC LEVEL 1/MIN,$11.00
SDS-PHASE 2 REC LEVEL 2 /MIN,$12.50
SDS-PHASE 2 REC LEVEL 3 /MIN,$13.75
SDS-PHASE 2 REC LEVEL 4 /MIN,$14.25
BMGI ENDO LEVEL 1 PER ADD MIN,$55.75
BMGI ENDO LEVEL 2 PER ADD MIN,$62.25
BMGI ENDO LEVEL 3 PER ADD MIN,$67.75
MINOR PER MIN,$27.50
MODERATE SEDATION PER MIN,$20.50
TIVA  PER MIN,$20.50
BMGI ENDO SETUP LV 1 1ST MIN,$849.00
BMGI ENDO SETUP LV 2 1ST MIN,$855.25
BMGI ENDO SETUP LV 3 1ST MIN,$860.50
GENERAL PER MIN,$20.00
GENERAL/REGIONAL PER MIN,$19.50
MAC PER MIN,$18.75
SPINAL PER MIN,$19.50
PACU/PHASE I CARE 1ST HOUR,$630.75
PACU/PHASE I CARE EA ADD 30MIN,$192.75
OBSERVATION HOURLY,$46.00
ROUTINE VENIPUNCTURE,$17.50
BLOOD COLLECTION FROM LINE,$155.00
PACU-PHASE 1 REC LEVEL 1 /MIN,$19.75
PACU-PHASE 1 REC LEVEL 2/MIN,$22.25
PACU-PHASE 1 REC LEVEL 3 /MIN,$24.25
PACU-PHASE 1 REC LEVEL 4/MIN,$26.50
CPR,$961.50
LUMBAR PUNCTURE,$540.50
BEC ENDO LEVEL 1 PER MIN,$43.75
BEC ENDO LEVEL 2 PER MIN,$53.25
BEC ENDO LEVEL 3 PER MIN,$59.50
BEC PACU PHASE 2,$7.75
MODERATE SEDATION PER MIN,$20.50
TIVA  PER MIN,$20.50
BEC ENDO SETUP LV 1 1ST MIN,$791.75
BEC ENDO SETUP LV 2 1ST MIN,$796.75
BEC ENDO SETUP LV 3 1ST MIN,$808.25
URINE PREGNANCY TEST,$130.25
SET ADMINISTRATION IV FLUID,$242.00
STETHOSCOPE ESOPHAGEAL,$33.00
ANES TECH COMP LEVEL 1 PER MIN,$17.75
ANES TECH COMP LEVEL 2 PER MIN,$19.75
ANES TECH COMP LEVEL 3 PER MIN,$21.00
ANES TECH COMP LEVEL 4 PER MIN,$25.00
COMBINED SPINAL EPID PER MIN,$19.50
EPIDURAL PER MIN,$19.50
GENERAL/REGIONAL PER MIN,$19.50
GENERAL PER MIN,$20.00
MODERATE SEDATION PER MIN,$20.50
MAC/REGIONAL PER MIN,$18.75
MAC PER MIN,$18.75
REGIONAL PER MIN,$19.50
SPINAL PER MIN,$19.50
TIVA/REGIONAL PER MIN,$20.50
TIVA  PER MIN,$20.50
BMC GI SET UP FEE,$835.75
BMC GI LEVEL 1 PER MINUTE,$55.75
BMC GI LEVEL 2 PER MINUTE,$62.25
BMC GI LEVEL 3 PER MINUTE,$67.75
CIRCUMCISION TRAY,$146.75
FLUFFS,$19.25
ER CRIT CARE EA ADD 30,$771.00
M/L COCKUP SPLINT,$116.00
TRAUMA KIT,$104.00
ER OBSERVATION,$46.00
LEVEL 1 IV FLUID SET,$225.00
HUMERAL SHAFT BRACE MEDIUM,$271.00
ER FACILITY LEV4 FORENSIC EXAM,$954.00
ER FACILITY LEVEL 1,$252.00
ER FACILITY LEVEL 2,$464.00
ER FACILITY LEVEL 3,$648.00
ER FACILITY LEVEL 4,$954.00
ER FACILITY LEVEL 5,"$1,796.00"
ER FACILITY LEVEL 6 CRIT. CARE,"$2,690.00"
ER FACILITY LEVEL 7 TRAUMA/TRA,"$2,690.00"
BURN CARE SIMPLE,$249.00
BURN CARE INTERMEDIATE,$501.00
BURN CARE COMPLEX,$653.00
FB REMOVAL SUBCUTANEOUS,$447.00
I&D PILONIDAL CYST,$374.00
CERUMEN REMOVAL,$178.00
NASAL HEMORRHAGE-INITIAL POST,$329.00
NASAL HEMORRHAGE-SUBQ POST,$321.00
FINGER-ALUMINUM SPLINT OR TAPE,$228.00
GASTRIC INTUBATION,$188.00
ENDOTRACHEAL INTUBATION,$604.00
CHEST TUBE INSERTION,$827.00
CARDIOVERSION,"$1,098.00"
"PACING, EXTERNAL",$604.00
PERICARDIOCENTESIS INITIAL,"$1,965.00"
TRANSVENOUS PACING,$826.00
LUMBAR PUNCTURE,$680.00
TRACHEOSTOMY,"$1,673.00"
ADMINISTRATION OF VACCINE ONE,$21.00
CPR,$961.00
BLOOD COLLECTION FROM LINE,$155.00
INJECTION SQ/IM,$127.00
"I&D HEMA,SEROMA,FLUID",$730.00
"PUNCTURE ASP OD ABCESS,HEM",$359.00
"I&D DRAIN,COMP,POST OP WO","$1,326.00"
AVULSION NAIL PLATE; SINGLE,$210.00
"CAST,SHORT ARM",$305.00
"CAST, LONG ARM",$433.00
ARM LONG OCL,$353.00
ARM/HAND SHORT OCL,$316.00
STRAPPING OR SPLINT-SHOULDER,$193.00
"CAST, LONG LEG",$402.00
"CAST,SHORT LEG",$305.00
LEG LONG OCL,$365.00
LEG SHORT OCL,$252.00
STRAPPING OR SPLINT OF KNEE,$173.00
NASAL HEMORRHAGE SIM ANT,$397.00
NASAL HEMORRHAGE COM ANT,$341.00
FB EYE,$371.00
HEMOCCULT TEST,$49.00
INTRAOSSEOUS PROCEDURE,$224.00
PRESS PELVIC REDUCT& STAB SYST,$291.00
I&D ABSCESS CYST;SIMPLE,$377.00
APPLICATION OF SPLINT ANKLE,$141.00
DISLOCATED TMJ,$156.00
DISLOC-METACARPAL WITH MANIP,$317.00
CAR/METCRP DISLOC WITH MA,$349.00
CARP-METCRP FX WITH MANIPULAT,$288.00
DEBRIDEMENT NAILS 1 TO 5,$144.00
EVACUATION SUBUNGUAL HEMATOMA,$183.00
NAIL BED REMOVAL,$730.00
REMOVAL FOREIGN BODY NOSE,$282.00
SIMPLE BURN W/O DEBRIDEMENT,$422.00
I&D FINGER ABSCESS;SIMPLE,$401.00
I&D FINGER ABSCESS; COMPLEX,"$1,326.00"
ASP/INJECT SMALL JOINT,$223.00
ASP/INJECT INTERM JOINT,$349.00
ASP/INJECT MAJOR JOINT,$369.00
CHANGE GASTOSTOMY TUBE,$364.00
CHANGE CYSTOSTOMY TUBE,$283.00
TREATMENT OF KNEECAP DISLOCAT,$317.00
SIMPLE REPAIR 2.5 CM OR LESS,$421.00
SIMPLE REPAIR 2.6 CM TO 7.5 CM,$430.00
SIMPLE REPAIR 7.6CM TO 12.5CM,$588.00
SIMP RPR FACE 2.5CM OR LE,$430.00
SIMP RPR FACE 2.6CM TO 5.,$458.00
SIM REP FACE 5.1CM TO 7.5,$422.00
SIMP RPR FACE 7.6CM TO 12.5CM,$488.00
RABIES VACCINE FOR IM,$45.00
DISLOC SHOULDER  W/O ANEST,$730.00
DISLOC-ELBOW  W/O ANEST,$349.00
NURSEMAID ELBOW CHILD,$349.00
DISLOC-DISTAL RAD  W MANIP,$954.00
DISLOC MED MALLEL W/O MANIP,$288.00
DISLOC LAT MALLEL  W/O MANIP,$445.00
REMOVAL FB EAR,$161.00
REMOVAL FB FOOT SUB-Q,"$1,005.00"
"FB, FOOT DEEP","$1,518.00"
DISLOCATION CARPOMETACARPAL,$349.00
DISL METACARPOPHALANGEAL,$525.00
DISLOCATION FINGER OR THUMB,$500.00
CAST HAND & LOWER FOREARM,$250.00
ESOPH-RECTAL TEMP PROBE 9FR,$23.00
BLADDER IRRIGATION,$247.00
THROMBOLYTIC ADMINISTRATION,$645.00
PULSE OXIMETRY,$77.00
INS BLADDER CATH FOLEY-SIMPLE,$129.00
INS BLADDER CATH-COMPLICATED,$103.00
MJ200S CERVICAL COLLAR SHORT,$225.00
MJ300 CERVICAL COLLAR SM,$225.00
MJ400 CERVICAL COLLAR MED,$225.00
MJ500 CERVICAL COLLAR LG,$225.00
INS NON-TUN CVC; 5YRS+,"$2,626.00"
18/20 MULT LUMEN PERIP CATH,$32.00
WOUND IRRIGATION SYSTEM 450ML.,$18.00
IV INFUSION PRIM LINE 1ST,$355.00
IV INFUS PRIM LINE EA ADD,$108.00
FIRST DOSE OF EACH DIF IV,$356.00
EACH ADDL DOSE OF ANY/ALL IVP,$89.00
IV RUN SAME TIME AS PRIM,$120.00
IV THER CONTIN OR CONCURRENTLY,$120.00
IV PUSH MED 1ST DS EA DIF MED,$173.00
IV PUSH MED EA ADL NEW/DIF MED,$173.00
TRAUMA ACTIVATION,"$2,929.00"
ADDL IV PUSH SAME DRUG,$126.00
QUIKCLOT Z FOLD HEMOSTA DRE,$112.00
MJP2 CERVICAL COLLAR PEDS,$225.00
STD DBL LUMEN CENTRAL VEN CATH,$64.00
INCISION THROMBOSED HEMORRHOID,$377.00
I&D BARTH GLAND ABSCESS,$354.00
DISTAL RADIOULNAR DISLOC,$437.00
INTERPHAL DISL W/O ANESTH,$455.00
Hip disloc w/o anesth,$437.00
Post hip arth disl w/o anest,$437.00
KNEE DISLOC W/O ANESTH,$397.00
Prox tibfib discl w/o anesth,$437.00
ANKLE DISLOC W/O ANESTH,$437.00
Fracture great toe,$397.00
Fracture phalanx or phalanges,$397.00
Tarsometat disl w/o anesth,$397.00
Metatarpha disl w/o anest,$397.00
Interphal disl w/o anest,$437.00
MJP0 CERVICAL COLLAR PEDS,$176.00
REPAIR NAIL BED,$539.00
IMMUNIZATION ADM; EA ADDTL VAC,$123.00
ABD PARACENTESIS W/O IMAG GUID,"$1,100.00"
ASPIRATE PLEURA W/O IMAGING,$885.00
ASPIRATE PLEURA W/ IMAGING,$624.00
DEBRID SKN;SQ TIS OPEN FX,$656.00
DEB SKIN BONE AT FX SITE,$656.00
DEBRIDEMENT SQ TISSUE,$409.00
"DEBRIDGEMENT SQ,MUSCLE, BONE","$1,190.00"
REM SKIN TAGS;<=15 LESIONS,$140.00
EXC TR-EXT B9+MARG 0.5CM/<,$596.00
BENIGN LESION EXC FACE 0.6-1CM,$596.00
TRIM ND NAILS,$55.00
WEDGE EXC NAIL FOLD,$154.00
SREP S/N/A/G/TR/E; 12.6-20.0CM,$204.00
SREP S/N/A/G/TR/E; 20.1-30.0CM,$167.00
SREP S/N/A/G/TR/E; >30CM,$152.00
SREP F/E/N/L/MM; 12.6-20.0CM,$184.00
SREP F/E/N/L/MM; 20.1-30.0CM,$167.00
TX S WND DEHISC; SMPL,$698.00
INTMD WND REPAIR S/A/T/EXT,$540.00
INTMD WND REPAIR S/A/T/EXT,$446.00
INT WND REP S/T/E 7.6-12.5CM,$540.00
INTMD WND REPAIR S/A/T/EXT,$540.00
INTMD WND REPAIR S/A/T/EXT,$491.00
INTMD WND REP S/TR/EXT 30.0+CM,$491.00
INTMD WND REP N-HF/GEN=<2.5CM,$407.00
INTMD WND REPAIR N-HF/GENIT,$540.00
INTMD WND REPAIR N-HF/GENIT,$540.00
INTMD WND REP FACE/MM=<2.5 CM,$457.00
INT WND REP FACE/MM 2.6-5.0CM,$486.00
INT WND REP FACE/MM 5.1-7.5CM,$628.00
INT WND REP FAC/MM 7.6-12.5CM,$653.00
INT WND REP FAC/MM 12.6-20.0CM,$446.00
C REP S/A/L; 1.1-2.5 CM,$491.00
C REP S/A/L;2.6-7.5 CM,"$1,172.00"
C REP S/A/L; EA ADD 5 CM/<,$152.00
CREP F/G/H/F;1-2.5 CM,$446.00
CREP F/G/H/F;2.6-7.5 CM,$908.00
CREP H/A/G/EXTR;EA ADD 5 CM<,$446.00
CREP E/N/E/L;2.6-7.5 CM,$768.00
CREP E/N/E/L; EA ADD 5 CM/<,$491.00
ESCHAROTOMY; INIT INC,$190.00
PUNCT ASP BRST CYST-INITIAL,$799.00
REM FB MUSCLE; SIMP,$656.00
INJ SGL TENDON SHTH OR LIGAM,$324.00
INJ TRIGGER POINT 1/2 MUSC,$434.00
CL TX NASAL BONE FX WO MANIP,$345.00
CL TX CLAV FX; WO MANIP,$345.00
CL TX SCLAV DISLOC WO MANIP,$708.00
CL TX SCCLAV DISLOC W MANIP,$708.00
CL TX ACLAV DISLOC;WO MANIP,$237.00
CL TX ACLAV DISLOC;W MANIP,$779.00
CL TX PROX HUMER FX ; WO MAN,$359.00
CL TX PROX HUMER FX; W MANIP,"$1,483.00"
CL TX SHDR DISLO & FX GT;W MAN,$708.00
DEEP I&D UA/ELBOW,"$2,340.00"
INF BURSA I&D UA/ELBOW,"$1,287.00"
REM FB UP ARM OR ELBOW; SQ,$596.00
CL TX HUMER FX WO MANIP,$392.00
CL TX HUMER FX W MANIP,$261.00
CL TX SC/TC HUMER FX WO MANIP,$345.00
CL TX C HUMER FX W MANIP,$237.00
CL TX RAD HD/NECK FX;WO MAN,$261.00
CLOSD TX RAD HEAD/NECK W/MAN,$708.00
CL TX ULNR FX PROX END WO MAN,$287.00
CL TX ULNR FX PROX END W MAN,$261.00
CL TX RAD SHAFT FX W/O MAN,$287.00
CL TX RAD SHAFT FX W /MAN,$857.00
CL TX ULNAR SHAFT W/O MAN,$404.00
CL TX RAD/ULN SHAFT W/O MAN,$483.00
CL TX RAD/ULN SHAFT W/ MAN,$857.00
CL TX COLLES FX W/O MAN,$482.00
CL TX NAVICULAR FX W/O MAN,$396.00
CL TX NAVICULAR FX W/ MAN,$857.00
CL TX CARPAL FX W/O MAN,$261.00
WRIST REDUCTION,$287.00
FINGER EXT TENDON REPAIR,"$2,103.00"
CL TX MC FX SGL;WO MAN EA BONE,$431.00
CL TX PHAL SHAFT FX; WO MAN,$329.00
CL TX PHALANG SHAFT FX; W MAN,$370.00
CL TX D PHAL FX FGR/THM;W MAN,$261.00
CL TX POST HIP DISLOC WO ANES,$287.00
I&D THIGH OR KNEE,"$2,340.00"
CL TX FEM SHAFT W/O MAN,$779.00
CL TX FEM SHAFT W MAN,"$1,631.00"
CL TX FEMUR FX OR EPIPHYS SEP,$779.00
CL TX TIB PLATEAU W/O MAN,$237.00
CL TX TIBIAL SHAFT W/O MAN,$237.00
CL TX TIBIAL SHAFT W MAN,"$1,483.00"
CL TX POST ANKL FX W/MAN J,$237.00
CL TX LAT MALLEOLUS W/ MAN,$261.00
CL TX BIMAL W/O MAN,$431.00
CL TX BIMAL W MAN,$287.00
CL TX TRIMAL W/O MAN,$237.00
CL TX TRIMAL W MAN,$857.00
FB REMOV FOOT COMPL,"$1,035.00"
REPR FOOT EXTEN TENDON EA,"$2,810.00"
CL TX CALCANEUS W/O MAN,$287.00
CL TX TALUS W/O MAN,$261.00
CL TX TARSAL BONE W/O MAN,$345.00
CL TX TARS BONE W/ MAN,$237.00
CL TX METATAR W/O MAN,$329.00
CL TX METATAR W/ MAN,$237.00
CL TX GREAT TOE W/O MAN,$392.00
CL TX OTHER TOE W/O MAN,$356.00
REDUCTION FOOT,$261.00
SHOULDER SPICA CAST,$370.00
SHORT ARM SPLINT DYNAMIC,$324.00
FINGER SPLINT DYNAMIC,$117.00
HAND/FINGER STRAPPING,$106.00
REM/REV GAUNT BOOT/BODY CAST,$168.00
REM/REV LONG ARM/LEG CAST,$250.00
UNLISTED CAST/STRAP PROC,$168.00
TRACHEOSTOMY TUBE REPLACE,$218.00
DIAG LARYNGOSCOPY (INDIRECT),$152.00
LARYNGOSCOPY FLEX; DIAGN,$266.00
LARYNGOSCOPY FLEX; W REM FB,$599.00
EMERGENT CRICOTHYROTOMY,$884.00
CENTRAL LINE INSERT < 5YRS,"$1,394.00"
COLLECT BLD FROM PICC,$106.00
ABG DRAW,$64.00
THROMBSIS CERBRL BY IV INFU,$645.00
COMP REPAIR LIP VERM ONLY,$884.00
I&D VESTIBLE OF MOUTH SIMP,$309.00
FB REMOV MOUTH EMBED SIMP,$88.00
REP LAC 2.5 CM<FLR-MTH/ANT 2/3,$139.00
COPM REP POST 1/3 TOUNGE,$407.00
COMPX RE >2.5 CM TONG/FL MOUTH,$972.00
I&D DENTOALVEOLAR STRUCS,$223.00
I&D PALATE OR UVULA,$448.00
I&D TONSIL ABSCESS,$448.00
FB REMOVAL PHARYNX,$88.00
I&D PERIRECTAL ABSCES,"$2,496.00"
I&D PERIANAL ABSCESS,"$1,363.00"
SIMP LIGATION HEMMRD,$943.00
EXC EXT THROM HEMORRH,"$2,269.00"
ABD PARACENT;W/ IMAG,"$1,100.00"
INSERT BLADDER CATH,$118.00
IRRIG CORP CAVN FR/ PRIAPISM,$564.25
DRAIN SCRTL WALL ABSCESS,"$2,124.00"
I&D VULVA/PERINEUM,$381.00
DIGITAL BLOCK,"$1,136.00"
REM FB CONJUNCTIVA;EMBED,$144.00
REM COREAL FB W/O SLIT LAM,$131.00
REM FB CONEAL W SLIT LMP,$252.00
I&D EYELID ABSCESS,$412.00
I&D EAR ABSCESS SIMPL,$364.00
RHYTHM ECG 1-3 LEADS TRACING,$51.00
TOBACCO USE COUNSEL 3-10 MIN,$51.00
ID ABSC;COMP/MULT,$437.00
ID PILONID CYST; COMPL,"$1,416.00"
MONITOR INTERST FLD PRESSURE,$318.00
QUIKCLOT 4X4 HEMOSTA DRE,$46.00
REMOVE DRUG IMPLANT,$255.00
