BATON ROUGE GENERAL HOSPITAL CHARGES,,
"Federal reporting rules require hospitals to maintain a catalog of thousands of procedure codes, code descriptions and list prices in a complex accounting tool, known as the hospital chargemaster. The prices listed on the chargemaster do not reflect what patients will ultimately pay as insurance companies negotiate discounts on the list prices. In addition, co-pays, co-insurance and deductibles can also bring additional discounts before a final charge is determined.                                                                                                                                                                                               ",,
"To get an accurate estimate of what your out of pocket expenses will be, contact us at (225) 381-6276, Monday through Friday, from 8 a.m. – 4:30 p.m.",,
,,
Chg Code,Description,Chg Amt
8810268,PTA2 TRANSFUSION 3 UNITS,$808.50
22500011,HEMODIALYSIS BEDSIDE,"$1,241.63"
22500029,HEMODIALYSIS DIALYSIS ROOM,"$1,241.63"
22500037,PERITONEAL DIALYSIS,$549.45
22500045,CRRT,"$1,379.59"
23500010,OP VISIT NEW LEVEL I 10MIN,$117.65
23500028,OP VISIT NEW LEVEL II 20MIN,$138.60
23500036,OP VISIT NEW LEVEL III 30MIN,$171.20
23500044,OP VISIT NEW LEVEL IV 45MIN,$206.80
23500051,OP VISIT NEW LEVEL V 60MIN,$235.30
23500069,OP VISIT EST PT LEVEL I 5MIN,$99.00
23500077,OP VISIT EST PT LEVEL II 10MIN,$129.40
23500085,OP VISIT EST PT LEVEL III 15 MIN,$151.20
23500093,OP VISIT EST PT LEVEL IV 25 MIN,$171.35
23500101,OP VISIT EST PT LEVEL V 40MIN,$206.80
23500119,I&D SUBQ ABSCESS; SIMPLE,$304.10
23500127,I&D ABSCESS; COMPLEX,$404.45
23500135,DNG OF PILONIDAL CYST; SIMPLE,$296.40
23500143,REM. OF FB SC; SIMPLE,$272.20
23500150,DNG OF HEMATOMA/FLUID,"$1,139.60"
23500168,PUNCTURE DRAINAGE OF LESION,$195.00
23500176,DEBRIDE SKIN & SC TISSUE,$520.90
23500184,REMOVAL OF NAIL BED,$590.50
23500192,REPAIR NAILBED/CC,$425.00
23500200,SMPL RPR S/N/AX/GEN/TR 2.5CM OR LESS,$447.90
23500218,SMPL RPR S/NAX/GEN/TR 2.6CM - 7.5CM,$471.10
