Item #,Item Description,Price
 1000000,BLOOD ADMINISTRATION - MS,965.00
 1000001,PICC INSERTION W/O IMAG GUIDE >=5 MS,1813.50
 1000002,OBSERVATION PER HOUR,165.50
 1000003,OBERVATION DIRECT ADMIT,181.00
 1000004,ADMIN PNEUMO VACCINE,106.00
 1100002,BLOOD ADMINISTRATION - ICU,965.00
 1100003,PICC INSERTION W/O IMAG GUIDE >=5 ICU,1813.50
 1100004,ICU OBSERV DIRECT REFERRAL,1262.50
 1100005,ICU OBSERVATION PER HOUR,165.50
 1100006,ADMIN PNEUMO VACCINE,106.00
 1100007,TELEHEALTH FACILITY FEE-ACTIVATE ROBOT,103.00
 1200000,OXYGEN IN OB PER HR,19.00
 1200001,BLOOD ADMINISTRATION - LD,965.00
 1200002,INSERT TEMPORARY CATH FOLEY,191.00
 1200003,INJECTION IM/SQ THERAPEUTIC,85.00
 1200004,LABOR/DELIVER/RECOVER/POSTPART,1824.50
 1200005,NON STRESS TEST,477.50
 1200006,NON STRESS TEST W/ US BPP,0.00
 1200007,OB ASSESSMENT PER HOUR,99.50
 1200008,STRESS TEST,541.50
 1200009,OPOB LEVEL 1 NEW PT,233.50
 1200010,OPOB LEVEL 2 ESTABLISHED PT,254.50
 1200011,OPOB LEVEL 2 NEW PT,307.50
 1200012,OPOB LEVEL 3 ESTABLISHED PT,307.50
 1200013,OPOB LEVEL 3 NEW PT,371.50
 1200014,OPOB LEVEL 4 ESTABLISHED PT,392.50
 1200015,OPOB LEVEL 4 NEW PATIENT,541.50
 1200016,OPOB LEVEL 5 ESTABLISHED PT,541.50
 1200017,OPOB LEVEL 5 NEW PATIENT,721.50
 1200018,OPOB LEVEL1 ESTABLISHED PT,233.50
 1200019,EXTERNAL CEPHALIC VERSION,3302.50
 1200020,LD OBSERVATION PER HOUR,165.50
 1200021,OBSERVATION DIRECT,1262.50
 1200022,BILIRUBIN TOTAL TRANSCUTANEOUS,28.00
 1200023,NEWBORN HEARING SCREEN,91.00
 1200024,OXYGEN PER HOUR,18.00
 1400000,IV INFUSION  PROLONGED >8HRS,744.50
 1400001,INJECTION IM/SQ,127.00
 1400002,IV HYDRATION  EACH ADDL HR,88.50
 1400003,IV HYDRATION  INITIAL 1ST HR,242.00
 1400004,IV INFUSION  CONCURRENT,25.00
 1400005,IV INFUSION  EACH ADDL HR,88.50
 1400006,IV INFUSION  INITIAL 1ST HR,474.50
 1400007,IV INFUSION  SEQUENTIAL 1ST HR,116.00
 1400008,IV PUSH  EACH NEW DRUG,127.00
 1400009,IV PUSH  EACH SAME DRUG,25.00
 1400010,IV PUSH  INITIAL,127.00
 1400011,BLOOD TRANSFUSION,841.50
 1400012,CONTINOUS PULSE OX  OVERNIGHT,216.00
 1400013,EXTENDED RECOVERY  PER HOUR,227.50
