CDM Number,GENL-DESC,Price-1
10001,NP LEVEL I UNSCHED PROC/SVCS,253.00
10002,NP LEVEL II UNSCHED PROC/SVCS,263.00
10003,NP LEVEL III UNSCHED PROC/SVCS,278.00
10004,NP LEVEL IV UNSCHED PROC/SVCS,292.00
10005,NP LEVEL V UNSCHED PROC/SVCS,307.00
10006,EST PT LVL I UNSCHED PROC/SVCS,231.00
10007,EST PT LVL II UNSCHED PROC/SVC,242.00
10008,EST PT LVL III UNSCHED PROC/SV,253.00
10009,EST PT LVL IV UNSCHED PROC/SVC,263.00
10010,EST PT LVL V UNSCHED PROC/SVCS,278.00
10011,EST PT PREVENT MED 18-39YRS,73.00
10012,EST PT PREVENT MED 40-64YRS,73.00
10013,EST PT PREVENT MED >=65YRS,73.00
10030,NEW PT PREVENT MED <1YR,73.00
10031,NEW PT PREVENT MED 1-4YRS,73.00
10032,NEW PT PREVENT MED 5-11YRS,73.00
10033,NEW PT PREVENT MED 12-17YRS,73.00
10090,ER LEVEL I,375.00
10091,ER LEVEL II,474.00
10092,ER LEVEL III,754.00
10093,ER LEVEL IV,"1,232.00"
10094,ER LEVEL V,"1,710.00"
10095,CRITICAL CARE 1ST 30-74 MIN,"1,895.00"
10104,NEW PT PREVENT MED 18-39YRS,73.00
10105,NEW PT PREVENT MED 40-64YRS,73.00
10106,NEW PT PREVENT MED >=65YRS,73.00
10107,EST PT PREVENT MED <1YR,73.00
10108,EST PT PREVENT MED 1-4YRS,73.00
10109,EST PT PREVENT MED 5-11YRS,73.00
10110,EST PT PREVENT MED 12-17YRS,73.00
10411,NEW PT LEVEL IV,292.00
10412,NEW PT LEVEL III,278.00
10413,NEW PT LEVEL II,263.00
10414,NEW PT LEVEL I,253.00
10415,ESTAB PT LEVEL V,278.00
10416,ESTAB PT LEVEL IV,263.00
10417,ESTAB PT LEVEL III,253.00
10418,ESTAB PT LEVEL II,242.00
10419,ESTAB PT LEVEL I,231.00
10421,NEW PT LEVEL V,307.00
14433,CRITICAL CARE EA ADL 30MINS,128.00
80001,VACCINE ADMIN SINGLE,54.00
80002,VACCINE ADMIN EACH ADDNAL,46.00
80003,IV HYDRTN INTL 31 MIN UPTO 1HR,291.00
80004,IV HYDRTN EA ADDL HR,190.00
80005,IV INF THERAPEUTIC INITAL HR,263.00
80006,IV INF THERAPEUTIC ADDNL HR,172.00
80007,"IV INF,ADD SEQ,NEW DRUG TO 1HR",146.00
80008,"IV INFUSN,CONCURRENT",126.00
80009,INJECTION SC/IM,191.00
80010,IV PUSH SINGL/INITIAL DRUG,229.00
80011,IV PUSH EA ADDNL NEW DRUG,216.00
