Washington Hospital Healthcare System - 106010987,,"Price 1 = Inpatient, Emergency and Surgery patients",,
Charge Master,,Price 2 = Outpatients (Non ER and Non Surgery),,
Service Code,Procedure Name,Price_1,Price_2,Explanation
930101,PR ELECTROCARDIOGRAM REPORT, 57.87 , 57.87 ,
930181,"PR CARDIAC STRESS TST,INTERP/REPT ONLY", 259.28 , 259.28 ,
930421,"PR RHYTHM ECG, REPORT", 29.33 , 29.33 ,
932271,PR HOLTER REVIEW & INTERPRETATION, 302.23 , 302.23 ,
933031,"PR ECHO XTHORACIC,CONG ANOM,COMPLETE", 751.56 , 751.56 ,
933041,"PR ECHO XTHORACIC,CONG ANOM,LIMITED", 459.95 , 459.95 ,
933061,"PR ECHO HEART XTHORACIC,COMPLETE W DOPPLER", 751.56 , 751.56 ,
933071,"PR ECHO HEART XTHORACIC,COMPLETE, W/O DOPPLER", 459.95 , 459.95 ,
933081,"PR ECHO HEART XTHORACIC,LIMITED", 293.07 , 293.07 ,
933251,PR DOPPLER COLOR FLOW VELOCITY MAP, 293.07 , 293.07 ,
933501,"PR ECHO HEART XTHORACIC, STRESS/REST", 495.14 , 495.14 ,
938861,PR TRANSCRAN DOPPLER INTRACRAN ART, 380.80 , 380.80 ,
938881,"PR TRANSCRAN DOPPLER INTRACRAN,LIMITED", 190.43 , 190.43 ,
939221,PR NON-INVAS PHYSIOLOGIC STD EXTREMITY ART 1-2 LEVEL, 488.00 , 488.00 ,
939231,PR NON-INVASIVE PHYSIOLOGIC STUDY EXTREMITY 3 LEVELS, 752.00 , 752.00 ,
939651,"PR NONINVASV EXTREM VENOUS,BILAT", 556.00 , 556.00 ,
940101,PR BREATHING CAPACITY TEST, 75.78 , 75.78 ,
940601,PR EVAL OF BRONCHOSPASM, 113.69 , 113.69 ,
944501,PR HYPOXIA RESPONSE CURVE, 128.58 , 128.58 ,
946201,"PR PULMONARY STRESS TESTING,SIMPLE", 75.78 , 75.78 ,
946211,"PR PULMONARY STRESS TESTING,COMPLEX", 463.80 , 463.80 ,
946901,PR EXHALED AIR ANALYSIS, 120.55 , 120.55 ,
947601,PR NONINVASV OXYGEN SATUR;SINGLE, 11.00 , 11.00 ,
958191,"PR EEG,W/AWAKE & ASLEEP RECORD", 152.32 , 152.32 ,
958221,"PR EEG,COMA/SLEEP RECORD ONLY", 152.32 , 152.32 ,
958241,PR EEG EVAL CEREBRAL DEATH, 140.43 , 140.43 ,
958291,PR SURGERY ELECTROCORTICOGRAM, 380.80 , 380.80 ,
958601,"PR EMG, NEEDLE, ONE LIMB", 190.43 , 190.43 ,
958611,"PR EMG, NEEDLE, TWO LIMBS", 285.69 , 285.69 ,
958631,"PR EMG, NEEDLE, 3 LIMBS", 380.80 , 380.80 ,
958641,"PR EMG, NEEDLE, 4 LIMBS", 476.04 , 476.04 ,
959001,"PR NERVE CONDUCTION TEST,MOTOR", 76.18 , 76.18 ,
959031,"PR MOTOR NERVE CONDUCT TEST, W F-WAVE", 76.18 , 76.18 ,
959041,"PR NERVE CONDUCTION,EA NERVE,MOTOR,SENSORY", 76.18 , 76.18 ,
959301,PR VISUAL EVOKED POTENTIAL TEST, 152.32 , 152.32 ,
992011,PR OFFICE OUTPATIENT NEW 10 MINUTES, 99.00 , 99.00 ,
992021,PR OFFICE OUTPATIENT NEW 20 MINUTES, 187.00 , 187.00 ,
992031,PR OFFICE OUTPATIENT NEW 30 MINUTES, 283.00 , 283.00 ,
