NewYork-Presbyterian Standard Hospital Charges 2019,,
,,
Category,Charge Description,Price
CARDIAC CATH ADULT,CARDIAC CATH LAB INITIAL 30 MINUTES,"$11,795.00"
CARDIAC CATH ADULT,CARDIAC CATH LAB EACH ADDL 30 MINUTES,"$2,530.00"
CARDIAC ELECTROPHY LAB,CARDIAC EP  SUITE INITIAL 30 MINUTES,"$17,545.00"
CARDIAC ELECTROPHY LAB,CARDIAC EP SUITE EACH ADDL 30 MINUTES,"$3,025.00"
CARDIAC ELECTROPHY LAB,CARDIAC PROCEDURE ROOM INITIAL 30 MINUTES,"$3,872.00"
CARDIAC ELECTROPHY LAB,CARDIAC PROCEDURE ROOM EACH ADDL 30 MINUTES,"$1,480.00"
CARDIOLOGY,ECG (12 LEAD),$406.00
CARDIOLOGY,ECG CONT TAPE,$745.00
CARDIOLOGY,MICROPROCESSER ANALYSIS W/RPT,"$1,121.00"
CLINIC,MCD CHILD VAC (HEP-A     2 DOSE),$21.00
CLINIC,MCD CHILD VAC (HEP-A     3 DOSE),$21.00
CLINIC,MCD CHILD VAC (PRM-OMP    3 DOSE),$21.00
CLINIC,MCD CHILD VAC (PRP-T     4 DOSE),$21.00
CLINIC,MCD CHILD VAC (HPV     3 DOSE),$21.00
CLINIC,MCD CHILD VAC (HPV     9 VAL IM),$21.00
CLINIC,MCD CHILD VAC (FLU-NP< 3 YRS),$21.00
CLINIC,MCD CHILD VAC (FLU-NP> 3 YRS),$21.00
CLINIC,MCD CHILD VAC (FLU < 3 YRS),$21.00
CLINIC,MCD CHILD VAC (FLU > 3 YRS),$21.00
CLINIC,MCD CHILD VAC (PNEUMO<5YRS),$21.00
CLINIC,MCD CHILD VAC (PREVNAR 13),$21.00
CLINIC,MCD CHILD VAC (ROTAVIRUS     3DO),$21.00
CLINIC,MCD CHILD VAC (ROTAVIRUS     2DO),$21.00
CLINIC,MCD CHILD VAC (FLU NP 4VAL <3),$21.00
CLINIC,MCD CHILD VAC (FLU NP 4VAL >3),$21.00
CLINIC,MCD CHILD VAC (DTAP-IPV),$21.00
CLINIC,MCD CHILD VAC (DTAP-HIB-IPV),$21.00
CLINIC,MCD CHILD VAC (DTAP),$21.00
CLINIC,MCD CHILD VAC (M-M-R),$21.00
CLINIC,MCD CHILD VAC (M-M-R-V),$21.00
CLINIC,MCD CHILD VAC (POLIO-IPV),$21.00
CLINIC,MCD CHILD VAC (TD > 7YRS),$21.00
CLINIC,MCD CHILD VAC (TDAP > 7YRS),$21.00
CLINIC,MCD CHILD VAC (CHICKEN POX),$21.00
CLINIC,MCD CHILD VAC (DTAP-HIB),$21.00
CLINIC,MCD CHILD VAC (DTAP-HEPB-IPV),$21.00
CLINIC,MCD CHILD VAC (PNEUMO>2YRS),$21.00
CLINIC,MCD CHILD VAC (MENINGOC) SC,$21.00
CLINIC,MCD CHILD VAC (MENINGOC) IM,$21.00
CLINIC,MCD CHILD VAC (HEP-B     3 DOSE),$21.00
CLINIC,MCD CHILD VAC (HEPB-HIB),$21.00
CLINIC,GROUP PSYCHOTHERAPY,$163.00
CLINIC,PSYCH TX IND AND/OR FAM 30MIN,$221.00
CLINIC,PSYCH IND TX + EVAL&MGT 30MIN,$221.00
CLINIC,PSYCH IND TX 30MIN + MED E&M,$221.00
CLINIC,PSYCH TX IND AND/OR FAM 30MIN,$221.00
CLINIC,INSERT DRUG DELIVERY IMPLANT,$223.00
CLINIC,NUTRITION WEIGHT LOSS PROGRAM,$267.00
CLINIC,PSYCH TX IND AND/OR FAM 45MIN,$295.00
CLINIC,PSYCH IND TX + EVAL&MGT 45MIN,$295.00
CLINIC,PSYCH IND TX 45MIN + MED E&M,$295.00
CLINIC,PSYCH TX IND AND/OR FAM 45MIN,$295.00
CLINIC,PSYCH TX IND AND/OR FAM 60MIN,$369.00
CLINIC,PSYCH DIAG EVAL W/O MED SVC,$405.00
CLINIC,O/P VISIT NEW  PATIENT,$442.00
CLINIC,PSYCH DIAG EVAL W/MED SVC,$479.00
CLINIC,LEVONORGESTREL 3YR IMPLANT,$578.00
CLINIC,LEVONORGESTREL 5YR IMPLANT,$578.00
CLINIC,SKYLA INTRAUTERINE DEVICE,$750.00
CLINIC,DESTRUCTION RECTAL TUMOR,"$4,094.00"
CLINIC,HYSTEROSCOPY DIAGNOSTIC,"$4,320.00"
DELIVERY ROOM,US PREGNANCY >14WKS SNGL FETUS,$464.00
DELIVERY ROOM,FBP W NON-STRESS TEST,$507.00
DELIVERY ROOM,OB US>/=14WKS     ADDL FETUS,$532.00
DELIVERY ROOM,OXYTOCIN TREATMENT,"$1,441.00"
DELIVERY ROOM,L&D RECOVERY ROOM,"$2,152.00"
DELIVERY ROOM,ANTEPARTUM MANIPULATION,"$2,943.00"
DELIVERY ROOM,DELIVERY ROOM,"$3,752.00"
DELIVERY ROOM,TUBAL LIGATION,"$4,342.00"
DELIVERY ROOM,DELIVERY MULTIPLE BIRTHS,"$5,766.00"
DELIVERY ROOM,DELIVERY ROOM C/S,"$6,379.00"
DELIVERY ROOM,DELIVERY C/S W TUBAL LIGATION,"$7,443.00"
DELIVERY ROOM,OB AMBULATORY PROCEDURE,"$7,879.00"
DELIVERY ROOM,DELIVERY C/S MULTIPLE BIRTHS,"$8,771.00"
DENTAL  CLINIC,CT CONE BEAM CPT/INT LIMITED,$254.00
DENTAL  CLINIC,CT CONE BEAM CPT/INT MANDIBLE,$254.00
DENTAL  CLINIC,CT CONE BEAM IMAGE CPT MAND,$254.00
DENTAL  CLINIC,EXTRACTION ERUPTED TOOTH,$541.00
DENTAL  CLINIC,MOBILIZE ERUPTED/MALPOS TOOT,$386.00
DENTAL  CLINIC,ORAL EVAL PT<3YRS AGE,$194.00
DENTAL  CLINIC,SURG ACCESS-UNERUPTED TOOTH,$695.00
DENTAL  CLINIC,ADDITIONAL PERIAPICAL X-RAY,$32.00
DENTAL  CLINIC,PEROAPICAL X-RAY 1ST FILM,$55.00
DENTAL  CLINIC,INTRAORAL OCCLUSAL FILM,$55.00
DENTAL  CLINIC,BITE WINGS SINGLE FILM,$55.00
DENTAL  CLINIC,BITEWINGS 2 FILMS,$78.00
DENTAL  CLINIC,BITEWINGS 3 FILMS,$94.00
DENTAL  CLINIC,TOPICAL APP OF FLUORIDE,$109.00
DENTAL  CLINIC,BITEWINGS 4 FILMS,$117.00
DENTAL  CLINIC,SEALANT PER TOOTH,$117.00
DENTAL  CLINIC,THERAP TOPICAL FLUORIDE APPLI,$155.00
DENTAL  CLINIC,PROPHYLAXIS DENTAL/CHILD,$171.00
DENTAL  CLINIC,ANES IV CONSC ADD .25H,$194.00
DENTAL  CLINIC,ORAL/FACIAL PHOTO IMAGES,$195.00
DENTAL  CLINIC,RECEMENT CROWN,$201.00
DENTAL  CLINIC,OBSERVATION VISIT,$207.00
DENTAL  CLINIC,FULL MOUTH X-RAYS,$232.00
DENTAL  CLINIC,DIAGNOSTIC CASTS,$232.00
DENTAL  CLINIC,PROPHYLAXIS DENTAL/ADULT,$232.00
DENTAL  CLINIC,AMALGAM-1 SURF PRIM/PERM,$232.00
DENTAL  CLINIC,SEDATIVE FILLING,$232.00
DENTAL  CLINIC,DRESSING CHANGE NON-TREAT DENT,$232.00
DENTAL  CLINIC,ADJ COMPLETE DENTURE MAXILLARY,$232.00
DENTAL  CLINIC,ADJ COMPL DENTURE MANDIBULAR,$232.00
DENTAL  CLINIC,ADJ PARTIAL DENTURE MAXILLARY,$232.00
DENTAL  CLINIC,ADJ PART DENTURE MANDIBULAR,$232.00
DENTAL  CLINIC,DENT APPL DESENSITIZING MED,$232.00
DENTAL  CLINIC,LIMITED OCCLUSAL ADJUSTMENT,$232.00
DENTAL  CLINIC,PANORAMIC FILM,$271.00
DENTAL  CLINIC,PERIODIC ORAL EVAL,$286.00
DENTAL  CLINIC,LIMIT ORAL EVAL PROB FOCUSED,$286.00
DENTAL  CLINIC,COMPREHEN EVALUATION NEW,$286.00
DENTAL  CLINIC,EXT ORAL EVAL PROB FOCUSED,$286.00
DENTAL  CLINIC,TMJ ARTHROGRAM,$286.00
DENTAL  CLINIC,DENTAL CONSULTATION,$286.00
DENTAL  CLINIC,AMALGAM-2 SURF PRIM/PERM,$309.00
DENTAL  CLINIC,RESIN 1 SURF ANTERIOR,$309.00
DENTAL  CLINIC,PERIODONTAL MAINTENANCE,$309.00
DENTAL  CLINIC,PALLIATIVE TX,$309.00
DENTAL  CLINIC,FIXED PARTIAL DENTURE SECTIONI,$309.00
DENTAL  CLINIC,CEPHALOMETRIC FILM,$348.00
DENTAL  CLINIC,AMALGAM-3 SURF PRIM/PERM,$348.00
DENTAL  CLINIC,DEEP SEDATION/GA EACH ADD 15MI,$385.00
DENTAL  CLINIC,SPACE MAINT FIXED UNILATERAL,$386.00
DENTAL  CLINIC,RESIN 2 SURF ANTERIOR,$386.00
DENTAL  CLINIC,RESIN 1 SURF POSTERIOR/PERM,$386.00
DENTAL  CLINIC,BIOLOGIC MATRL TISSUE,$386.00
DENTAL  CLINIC,UNSPECIFIED DIAGNOSTIC PROC,$406.00
DENTAL  CLINIC,RESTORATIVE PROC UNSPECIFIED,$406.00
DENTAL  CLINIC,FIXED PROSTHODONTIC PROCEDURE,$406.00
DENTAL  CLINIC,FULL MOUTH DEBRIDEMENT,$426.00
DENTAL  CLINIC,BIOPSY OF ORAL TISSUE SOFT,$426.00
DENTAL  CLINIC,BONE REPLACEMENT GRAFT RIDGE,$426.00
DENTAL  CLINIC,NIGHT GUARD,$449.00
DENTAL  CLINIC,RESIN 3 SURF ANTERIOR,$464.00
DENTAL  CLINIC,SSC PRIMARY,$464.00
DENTAL  CLINIC,THERAPEUTIC PULPOTOMY,$464.00
DENTAL  CLINIC,SCALE & ROOT PLANNING 4+ TEETH,$464.00
DENTAL  CLINIC,SCALE & ROOT PLANNING 1-3TEETH,$464.00
DENTAL  CLINIC,REPAIR BRKN COMPL DENTURE BASE,$464.00
DENTAL  CLINIC,REPLACE TOOTH COMPL DENTURE,$464.00
DENTAL  CLINIC,REPAIR/REPLACE BROKEN CLASP,$464.00
DENTAL  CLINIC,REPLACE BRKN TEETH PER TOOTH,$464.00
DENTAL  CLINIC,ADD TOOTH EXISTING PART DENT,$464.00
DENTAL  CLINIC,TISSUE CONDITIONING MAX,$464.00
DENTAL  CLINIC,TISSUE CONDITIONING MAND,$464.00
DENTAL  CLINIC,IMPACT TOOTH REMOV PART BONY,$487.00
DENTAL  CLINIC,ENDODONTIC PROCED     UNSPECIFIED,$487.00
DENTAL  CLINIC,RESIN 2 SURF POSTERIOR/PERM,$503.00
DENTAL  CLINIC,ALVEOLOPLASTY W/EXTRACTION,$503.00
DENTAL  CLINIC,RESIN 4 SURF ANT/INCISAL ANGLE,$541.00
DENTAL  CLINIC,PREFAB POST CORE IN ADD TO CRO,$541.00
DENTAL  CLINIC,GINGIVECTOMY/PLASTY 1-3 TEETH,$541.00
DENTAL  CLINIC,PERIODONTAL PROC UNSPECIFIED,$541.00
DENTAL  CLINIC,REPL SEMI/PRECISION ATTACH,$541.00
DENTAL  CLINIC,EXTRACT CORNL REMN DECID TOOTH,$541.00
DENTAL  CLINIC,BIOPSY OF ORAL TISSUE HARD,$541.00
DENTAL  CLINIC,ALVEOPLASTY W/EXTRACTION,$541.00
DENTAL  CLINIC,UNSPECIFIED IMPLANT PROCEDURE,$568.00
DENTAL  CLINIC,RESIN 3 SURF POSTERIOR/PERM,$580.00
DENTAL  CLINIC,PROVISIONAL CROWN,$618.00
DENTAL  CLINIC,SSC PERMANENT,$618.00
DENTAL  CLINIC,POST & CORE CAST,$618.00
DENTAL  CLINIC,TEMPORARY CROWN FX TOOTH,$618.00
DENTAL  CLINIC,ANA CROWN EXP 1-3 PER QUAD,$618.00
DENTAL  CLINIC,IMPLANT MAINTENANCE,$618.00
DENTAL  CLINIC,RESIN 4 SURF POSTERIOR/PERM,$657.00
DENTAL  CLINIC,SIALOGRAPHY,$695.00
DENTAL  CLINIC,BONE REPLACEMENT GRAFT INITIAL,$695.00
DENTAL  CLINIC,REGEN TISS RESORB,$695.00
DENTAL  CLINIC,RELINE COMPL MAX DENT CHAIRED,$695.00
DENTAL  CLINIC,RELINE COMPL MAND DENT CHAIRED,$695.00
DENTAL  CLINIC,RELINE MAX PART DENT CHAIRED,$695.00
DENTAL  CLINIC,RELINE MAND PART DENT CHAIRED,$695.00
DENTAL  CLINIC,I&D ABSC INTRAORAL SOFT TISSUE,$695.00
DENTAL  CLINIC,CORE BUILD UP,$772.00
DENTAL  CLINIC,PULPAL THERAPY 10 ANT,$772.00
DENTAL  CLINIC,REPAIR RESIN DENTURE BASE,$772.00
DENTAL  CLINIC,GINGIVECTOMY/PLASTY PER QUAD,$850.00
DENTAL  CLINIC,REBASE COMPL MAXILLARY DENTURE,$850.00
DENTAL  CLINIC,REBASE MANDIBULAR PART DENT,$850.00
DENTAL  CLINIC,RELINE COMPL MAX DENT LAB,$850.00
DENTAL  CLINIC,IMPACT TOOTH REMOVE SOFT TISSU,$850.00
DENTAL  CLINIC,TOOTH ROOT REMOVAL,$850.00
DENTAL  CLINIC,ALVEOPLASTY W/O EXTRACTION,$850.00
DENTAL  CLINIC,REM ODONTOGENIC CYST <1.25CM,$850.00
DENTAL  CLINIC,FRENULECTOMY-SEP PROC,$850.00
DENTAL  CLINIC,RESIN COMP CROWN-ANTERIOR,$927.00
DENTAL  CLINIC,PULPAL THERAPY 10 POST,$927.00
DENTAL  CLINIC,CLNC CROWN LENGTH/HARD TISSUE,$927.00
DENTAL  CLINIC,PONTIC PROVISIONAL,$927.00
DENTAL  CLINIC,REMOVE IMPLANT BY REPORT,$974.00
DENTAL  CLINIC,RETAINER CAST METAL BND BRGE,"$1,004.00"
DENTAL  CLINIC,BRIDGE REPAIR,"$1,004.00"
DENTAL  CLINIC,REM IMP TOOTH WITH MUCOPER,"$1,004.00"
DENTAL  CLINIC,IMPACT TOOTH REMOV PART BONY,"$1,004.00"
DENTAL  CLINIC,RAD EXC LESION UP TO 1.25 CM,"$1,004.00"
DENTAL  CLINIC,ANES IV CONCIOUS SEDT 1ST .5H,"$1,004.00"
DENTAL  CLINIC,DEEP SEDATION/GA 1ST 30 MINS,"$1,101.00"
DENTAL  CLINIC,INTERIM PART DENT MAXILLARY,"$1,158.00"
DENTAL  CLINIC,INTERIM PART DENT MANDIBULAR,"$1,158.00"
DENTAL  CLINIC,PRECISION ATTACHMENT,"$1,158.00"
DENTAL  CLINIC,IMPACT TOOTH REMOV COMP BONY,"$1,158.00"
DENTAL  CLINIC,REM LATERAL EXOSTOSIS,"$1,158.00"
DENTAL  CLINIC,IMPACT TOOTH REM BONY W/COMP,"$1,353.00"
DENTAL  CLINIC,ENDODONTIC THERAPY/ANT,"$1,390.00"
DENTAL  CLINIC,DENT IMPLNT SUPPRTD CONNCT BAR,"$1,544.00"
DENTAL  CLINIC,PREFAB ABTMNT INCL PLACMNT,"$1,544.00"
