CDM_NBR [corp],HOSP,DEPT_DESC [corp],CDM_DESC [corp],CURR_PRICE
1025000,SHARON HOSPITAL,MED SURG,M/S ROOM & BOARD,"$2,943.00 "
1025010,SHARON HOSPITAL,MED SURG,M/S OBSERVATION HOURS,$123.00 
1365000,SHARON HOSPITAL,OB/GYN,OB/GYN ROOM & BOARD,"$1,873.00 "
1365010,SHARON HOSPITAL,OB/GYN,OB/GYN OBSERVATION HOURS,$78.00 
1385000,SHARON HOSPITAL,NURSERY,NURSERY ROOM & BOARD,"$1,427.00 "
1425000,SHARON HOSPITAL,ICU,ICU ROOM & BOARD,"$3,585.00 "
1425010,SHARON HOSPITAL,ICU,ICU OBSERVATION HOURS,$149.00 
1425030,SHARON HOSPITAL,ICU,ICU MED SURG,"$2,943.00 "
1455000,SHARON HOSPITAL,MATERNAL CHILD HEALTH,DELIVERY LEVEL I,$907.00 
1455001,SHARON HOSPITAL,MATERNAL CHILD HEALTH,DELIVERY LEVEL II,"$2,977.00 "
1455002,SHARON HOSPITAL,MATERNAL CHILD HEALTH,DELIVERY LEVEL III,"$4,391.00 "
1455003,SHARON HOSPITAL,MATERNAL CHILD HEALTH,TRIAGE LEVEL I,$406.00 
1455004,SHARON HOSPITAL,MATERNAL CHILD HEALTH,TRIAGE LEVEL II,$824.00 
1455005,SHARON HOSPITAL,MATERNAL CHILD HEALTH,TRIAGE LEVEL III,"$1,158.00 "
1455006,SHARON HOSPITAL,MATERNAL CHILD HEALTH,TRIAGE LEVEL IV,"$1,898.00 "
1455007,SHARON HOSPITAL,MATERNAL CHILD HEALTH,TRIAGE LEVEL V,"$3,526.00 "
1455008,SHARON HOSPITAL,MATERNAL CHILD HEALTH,EXTERNAL CEPHALIC VERSION,"$8,518.00 "
1455009,SHARON HOSPITAL,MATERNAL CHILD HEALTH,FETAL NON-STRESS TEST,$447.00 
1455010,SHARON HOSPITAL,MATERNAL CHILD HEALTH,FETAL STRESS TEST,$543.00 
1455012,SHARON HOSPITAL,MATERNAL CHILD HEALTH,OB US LIMITED FETUS,$392.00 
1455020,SHARON HOSPITAL,MATERNAL CHILD HEALTH,INSERT CEREVICAL DILATOR,$348.00 
1455027,SHARON HOSPITAL,MATERNAL CHILD HEALTH,DELIVERED OUT OF HOSP,$200.00 
1455031,SHARON HOSPITAL,MATERNAL CHILD HEALTH,REMOVE CERCLAGE SUTURE,"$8,518.00 "
1505000,SHARON HOSPITAL,MENTAL HEALTH(REED4),MH ROOM & BOARD,"$2,943.00 "
1505010,SHARON HOSPITAL,MENTAL HEALTH(REED4),MH OBSERVATION HOURS,$123.00 
1565000,SHARON HOSPITAL,OVERFLOW AREA NDH/SHARON,OVRFLW ROOM & BOARD,"$2,943.00 "
1565010,SHARON HOSPITAL,OVERFLOW AREA NDH/SHARON,OVRFLW OBSERVATION HOURS,$123.00 
2045000,SHARON HOSPITAL,INFUSION NDH-PHC,VENIPUNCTURE,$12.00 
2045011,SHARON HOSPITAL,INFUSION NDH-PHC,ADMIN INFLUENZA VIRUS VAC,$147.00 
2045012,SHARON HOSPITAL,INFUSION NDH-PHC,IMMUNIZATION ADMIN,$147.00 
2045014,SHARON HOSPITAL,INFUSION NDH-PHC,HYDRATION INFUS 1ST HOUR,$350.00 
2045015,SHARON HOSPITAL,INFUSION NDH-PHC,HYDRATION INFUS EA ADD HR,$69.00 
2045016,SHARON HOSPITAL,INFUSION NDH-PHC,IV MED INFUSION 1ST HR,$350.00 
2045018,SHARON HOSPITAL,INFUSION NDH-PHC,IV MED INFUSION EA ADD HR,$111.00 
2045020,SHARON HOSPITAL,INFUSION NDH-PHC,TX/PROPH/DG ADD SEQ IVINF,$141.00 
2045021,SHARON HOSPITAL,INFUSION NDH-PHC,THER/DIAG CONCURRENT INF,$141.00 
2045022,SHARON HOSPITAL,INFUSION NDH-PHC,"THER/PROPH/DIAG INJ,SC/IM",$141.00 
2045023,SHARON HOSPITAL,INFUSION NDH-PHC,IV PUSH DRUG INITIAL,$246.00 
2045024,SHARON HOSPITAL,INFUSION NDH-PHC,IV MED PUSH DIFF DRUG SEQ,$141.00 
2045025,SHARON HOSPITAL,INFUSION NDH-PHC,IV MED SAME DRUG>31 MIN,$141.00 
2045026,SHARON HOSPITAL,INFUSION NDH-PHC,CHEMO ADM-SQ/IM NONHORMON,$268.00 
2045027,SHARON HOSPITAL,INFUSION NDH-PHC,CHEMO ADM-SQ/IM HORMONAL,$293.00 
2045028,SHARON HOSPITAL,INFUSION NDH-PHC,CHEMO INJ IV PUSH INITIAL,$261.00 
2045029,SHARON HOSPITAL,INFUSION NDH-PHC,CHEMO INJ IVPUSH ADD DRUG,$129.00 
2045030,SHARON HOSPITAL,INFUSION NDH-PHC,CHEMO-INFUSION 1ST HR,$400.00 
2045031,SHARON HOSPITAL,INFUSION NDH-PHC,CHEMO-INFUSION EA ADD HR,$111.00 
2045032,SHARON HOSPITAL,INFUSION NDH-PHC,INIT CHEM PROLG/INFW/PUMP,$410.00 
2045033,SHARON HOSPITAL,INFUSION NDH-PHC,CHEMO INFUS EACH ADDL SEQ,$164.00 
2045034,SHARON HOSPITAL,INFUSION NDH-PHC,CHEMO-CNS W/SPINAL PUNCT,$407.00 
2045035,SHARON HOSPITAL,INFUSION NDH-PHC,REFILL/MAINT PORTBLE PUMP,$261.00 
2045037,SHARON HOSPITAL,INFUSION NDH-PHC,VAD BLOOD DRAW PART IMPT,$258.00 
2045038,SHARON HOSPITAL,INFUSION NDH-PHC,"PHLEBOTOMY, THERAPEUTIC",$143.00 
2045039,SHARON HOSPITAL,INFUSION NDH-PHC,EST EVAL VISIT LEVEL 1,$142.00 
2045040,SHARON HOSPITAL,INFUSION NDH-PHC,EST EVAL VISIT LEVEL 2,$165.00 
2045041,SHARON HOSPITAL,INFUSION NDH-PHC,EST EVAL VISIT LEVEL 3,$182.00 
2045042,SHARON HOSPITAL,INFUSION NDH-PHC,EST EVAL VISIT LEVEL 4,$197.00 
2045043,SHARON HOSPITAL,INFUSION NDH-PHC,EST EVAL VISIT LEVEL 5,$240.00 
2045044,SHARON HOSPITAL,INFUSION NDH-PHC,LUMBAR PUNCTURE,"$1,000.00 "
2045051,SHARON HOSPITAL,INFUSION NDH-PHC,IRRIG DRUG DELIVRY DEVICE,$142.00 
2045052,SHARON HOSPITAL,INFUSION NDH-PHC,IMMUNIZATION ADMIN EACH ADD,$147.00 
2045053,SHARON HOSPITAL,INFUSION NDH-PHC,REAGENT STRIP BLD GLUCOSE,$39.00 
