Charge Description Master, Charge 
17 ALPHAHYDROXYPROGEST 250MG, 170.00 
17 ALPHAHYDROXYPROGESTERONE CAP, 26.00 
3D RADIOTHERAPY PLAN W/ DOSE VOLUME HISTOGRAMS," 6,419.00 "
3D RENDERING POST-PROCESSING W/ INDEPENDENT WORKSTATION COMPUTERIZED TOMOGRAPHY (CT SCAN), 580.00 
3D RENDERING POST-PROCESSING W/ INDEPENDENT WORKSTATION DIAGNOSTIC RADIOLOGY, 580.00 
3D RENDERING POST-PROCESSING W/ INDEPENDENT WORKSTATION MAGNETIC RESONANCE IMAGING (MRI), 580.00 
3D RENDERING POST-PROCESSING W/ INDEPENDENT WORKSTATION ULTRASOUND, 580.00 
3D RENDERING POST-PROCESSING W/O INDEPENDENT WORKSTATION COMPUTERIZED TOMOGRAPHY (CT SCAN), 386.00 
3D RENDERING POST-PROCESSING W/O INDEPENDENT WORKSTATION DIAGNOSTIC RADOLOGY, 386.00 
3D RENDERING POST-PROCESSING W/O INDEPENDENT WORKSTATION MAGNETIC RESONANCE IMAGING (MRI), 386.00 
3D RENDERING POST-PROCESSING W/O INDEPENDENT WORKSTATION ULTRASOUND, 386.00 
4F SINGLE LUMEN MAX BARRIER MIDLINE KIT, 267.84 
5F SINGLE LUMEN MAX BARRIER MIDLINE KIT, 267.84 
AAA CONTRALATERAL/IPSILATERAL LEG," 10,254.00 "
AAA CONVERTER PRIMARY," 6,858.00 "
AAA CONVERTER SECONDARY," 19,542.00 "
AAA MAIN BODY EXTENSION PRIMARY," 5,829.00 "
AAA MAIN BODY EXTENSION SECONDARY," 16,337.00 "
AAA MAIN BODY GRAFT PRIMARY," 25,374.00 "
AAA MAIN BODY GRAFT W/ IPSILATERAL LEG," 26,640.00 "
ABDOMEN/PERITONEUM/OMENTUM PROCEDURE UNLISTED," 4,408.00 "
ABDOMINAL PARACENTESIS W/ IMAGING GUIDANCE," 2,314.00 "
ABDOMINAL PARACENTESIS W/O IMAGING GUIDANCE," 2,299.00 "
ABIOMED VENTRICLE," 139,208.00 "
ABLATION ATRIA EXTENSIVE DURING CARDIAC PROCEDURE W/ BYPASS," 2,148.00 "
ABLATION ATRIA EXTENSIVE DURING CARDIAC PROCEDURE W/O BYPASS," 1,674.00 "
ABLATION ATRIA EXTENSIVE ENDOSCOPIC W/O BYPASS," 19,751.00 "
ABLATION ATRIA LIMITED DURING CARDIAC PROCEDURE," 1,483.00 "
ABLATION ATRIAL FIBRILLATION BY PULMONARY VEIN ISOLATION W/ HIS RECORDING ATRIAL & RIGHT VENTRICULAR PACING & RECORDING," 40,042.00 "
ABLATION ATRIAL VENTRICULAR NODE W/ OR W/O TEMPORARY PACEMAKER," 8,099.00 "
ABLATION LESION FLOOR OF MOUTH BY LASER," 3,600.00 "
