HOSPITAL NAME:   FOOTHILLS REGIONAL MEDICAL CENTER,,,,
OSHPD ID:   106301357,,,,
EFFECTIVE DATE OF SERVICE:   06-01-2018,,,,
,,,,
,,,,
Fac,Charge #,Description,Price,GL Key
513,40101016, LEVEL I - BRIEF                ,878,4010
513,40101024, LEVEL II - LIMITED             ,1347,4010
513,40101032, LEVEL III - INTERMEDIATE       ,1819,4010
513,40101040, LEVEL IV - EXTENDED            ,2356,4010
513,40101057, LEVEL V - COMPREHENSIVE        ,2876,4010
513,40101065, CRITICAL CARE 1ST 30-74MIN.    ,2750,4010
513,40101073, CRITICAL CARE ADD'L EA 30 MIN  ,1100,4010
513,40101081, PROC SIMPLE/MINOR              ,712,4010
513,40101099, PROC MULTI/INTERMEDIATE        ,1094,4010
513,40101107, PROC EXTENSIVE/COMPLEX         ,1456,4010
513,40101164, SPLINT - SHORT LEG             ,169,4470
513,40101222, TRAY - GASTRIC LAVAGE          ,213,4470
513,40101438, TRAY - CHEST                   ,198,4470
513,40101461, LWOBS/TRIAGE                   ,0,4010
513,40101487, CATH FOR SPEC COLLECTION       ,201,4010
513,40102006, SUTURE RECHECK/REMOVAL         ,248,4010
513,40102014, IVI W/MED 1ST HR (16-90)       ,385,4010
513,40102022, IVP 1ST 15MIN                  ,629,4010
513,40102030, IVI HYDRATION (31-90)          ,385,4010
513,40102048, IVI W/MED ADD HR SAME BAG      ,220,4010
513,40102055, IVI SUB B/DIF MED (16-90)      ,220,4010
513,40102063, IVI DIF MED SAME TL 1STHR      ,220,4010
513,40102071, IVP EA ADD MED (15MIN)         ,193,4010
513,40102089, IVP SAME MED 30MIN APART       ,220,4010
513,40102097, IVI FLUIDS EA ADD HR           ,193,4010
513,40102105, INJECTION SQ OR IM             ,88,4010
513,40102113, DTP VACC OR SINGLE/COMBO ADM   ,186,4010
513,40102121, BLOOD ADMIN                    ,748,4010
513,40102139, BLADDER CATH INSERTION         ,220,4010
513,40102147, TD VACC NO PRESV 7 YRS+ IM     ,71,4010
513,40102154, ADMIN INFLUENZA VIRUS VAC      ,110,4010
513,40102162, ADMIN PNENOCOCCAL VAC          ,110,4010
513,40102170, ADMIN HEPATITS B VAC           ,150,4010
513,40102188, BEHAV CHNG SMOKING 3-10 MIN    ,150,4010
513,40102196, BEHAV CHNG SMOKING>10 MIN      ,150,4010
513,40370017, DERMABOND                      ,168,4470
513,40504417, SUCTION IRRIGATOR ORTHOPAEDIC  ,98,4470
513,40506131, BELT RIB UNIVERSL              ,53,4470
513,40509903, FLUFFS  (PER BAG)              ,41,4470
513,40511453, PACK CUSTOM MINOR/OR           ,226,4470
513,40515058, LAPARASCOPY PACK CS 08         ,296,4470
513,40515140, CATH CHOLANG 30CM              ,62,4470
513,40525024, DRESS-ADAPTIC 3X3              ,3,4470
513,40525909, DRESS-TELFA 3X4                ,2,4470
513,40525917, DRESS TELFA 8X3                ,2,4470
513,40527145, BOVIE PEN                      ,83,4470
513,40528994, VAGINAL SPECULUM               ,44,4470
513,40540221, BAG  ENEMA-BARIUM FILLED       ,153,4470
513,40540304, CAST - ALL SIZES ARM & LEG     ,208,4470
513,40540544, PASSEY MUIR VALVE  (R.T.)      ,256,4470
513,40540775, VENTI-COMP BAG/IPPB (R.T.)     ,13,4470
513,40540866, IPPB CIRCUIT (R.T.)            ,58,4470
513,40541013, PULSE OXI PROBE-PEDI (R.T.)    ,62,4470
513,40541062, NOSE CLIP (R.T.)               ,13,4470
513,40541724, PACK  CDS-CYSTO                ,223,4470
513,40541732, PACK  CDS-C-SECTION            ,640,4470
513,40541765, PACK CDS-LAPAROSCOPY           ,800,4470
513,40541773, PACK CDS-PERI/GYN              ,219,4470
513,40541849, PACK CDS MINOR                 ,1174,4470
513,40542060, Y-TYPE TRANSFUSION BLOOD SET   ,238,4470
513,40542185, SURGICEL 2X3                   ,44,4470
513,40550022, PACING ELECTRODES              ,1574,4470
513,40550196, PCK-LAPAROTMY SHEET            ,35,4470
513,40550238, PACK-NEURO                     ,106,4470
513,40564189, SOL-IRRIGT NS 1L               ,22,4470
513,40565541, SPLINT WRIST                   ,50,4470
513,40568024, STOCKING THIGH HI              ,99,4470
513,40570061, SAC/LUM SUPPORT                ,185,4470
513,40575003, TRACH ENDO SLICK STYLET        ,66,4470
513,40577330, TRAY-IRRIGATION                ,39,4470
513,40577603, TRAY SUTURE REMOVAL            ,53,4470
513,40577611, TRAY SPINAL ANEST              ,99,4470
513,40619355, URIN-ROUTINE UA                ,77,4500
513,41801101, INCNT SPIRO SETUP              ,90,4720
513,41801200, IPPB CIRCUIT                   ,50,4720
513,42300111, OBSERVATION 1-HR               ,150,4230
513,42302760, OBSERVATION  DIRECT ADMIT      ,2876,4230
513,44000008, DELIVERY ROOM                  ,2750,4400
513,44000016, EMERGENCY ROOM                 ,415,4400
513,44000024, FETAL MONITOR EXTERNAL         ,385,4400
513,44000040, FETAL OCT STRESS               ,880,4400
513,44000057, FETAL NON-STRESS               ,550,4400
513,44000081, LABOR ROOM                     ,2310,4400
513,44000099, B S T                          ,609,4400
513,44000115, OB - OP EVAL (1ST 4HRS)        ,1210,4400
513,44000123, OB - OP EVAL (ADD'L 2HRS)      ,413,4400
513,44000131, FETAL MONITOR - INTERNAL       ,534,4400
513,44000255, BOA DELIVERY                   ,769,4400
513,44000313, ISOLETTE DAILY                 ,116,4400
513,44000370, OB - OP EVAL (24 HRS)          ,2695,4400
513,44230027, MAJOR SURGERY (UP TO 1ST HOUR) ,8775,4420
513,44230035, MAJOR SURG (EA ADDL 15 MIN)    ,1953,4420
513,44230043, MINOR SURGERY (UP TO 1ST HOUR) ,5265,4420
513,44230050, MINOR SURG (EA ADDL 15MIN)     ,1826,4420
513,44230134, REC ROOM  (UP TO 1ST HOUR)     ,1375,4420
513,44230159, REC ROOM (EA ADDL 15MIN)       ,344,4420
513,44230407, LIGHT SOURCE-OR                ,268,4420
513,44231348, SURGERY MAJOR EA ADD MIN       ,151,4420
513,44231355, SURGERY 1/2 HOUR MINOR         ,2613,4420
513,44231363, SURGERY MINOR EA ADD MIN       ,86,4420
513,44231389, RECOVERY RM 1/2 HOUR           ,688,4420
513,44231397, SURGERY 1/2 HOUR MAJOR         ,4538,4420
513,44231405, MINOR GI PROCEDURE 30 MINS     ,4900,4420
513,44231413, MINOR GI PROCEDURE ADD 15 MINS ,2450,4420
513,44231421, MAJOR GI PROCEDURE 30 MINS     ,4900,4420
513,44231439, MAJOR GI PROCEDURE ADD 15 MINS ,2450,4420
513,44231447, O/P E&M NEW PATIENT LVL1       ,192,4420
513,44231454, O/P E&M EST PATIENT LVL 1      ,192,4420
513,44290005, 3D HEAD - SYNTHES              ,3749,4420
513,44290013, 3-HEAD - SN                    ,5380,4420
513,44290021, 4.5 / 30-40 SCREW - SN         ,112,4420
513,44290039, ACL DISPOSEABLE KIT            ,1892,4420
513,44290047, ARTICULAR INSERT - SN          ,8957,4420
513,44290054, ATLANTIS PLATE - MEDTRO        ,5972,4420
513,44290062, BACTISEAL EVD CATHETER SET     ,2602,4420
513,44290070, BACTISEAL SHUNT SYSTEM VENT AC ,2826,4420
513,44290088, BECKER EDMS                    ,904,4420
513,44290096, BONE BIOPSY DEVICE             ,769,4420
513,44290104, BONE CEMENT                    ,592,4420
513,44290112, CANULATED SCREW - SN           ,1342,4420
513,44290120, CATHETER PASSER                ,485,4420
513,44290138, CHANNEL NEUROENSCOPE           ,8278,4420
513,44290146, CHPV IN-LINE VALVE W/SIPHON -C ,7764,4420
513,44290153, CHS PLATE - SN                 ,2330,4420
513,44290161, CLICK SCREW                    ,3358,4420
513,44290179, COMPRESSION SCREW - SN         ,195,4420
513,44290187, CONTOURED REAMER               ,6373,4420
513,44290195, CORNING REAMER                 ,1212,4420
513,44290203, CRANIAL ACCESS KIT             ,1414,4420
513,44290211, CRANIOPLASTIC /REPL BONE - CDM ,3908,4420
513,44290229, CROSSLINK - MEDTRO             ,4417,4420
513,44290237, CROSSLINK SYNTHES              ,5759,4420
513,44290245, CRUCIATE SELF DRILLING -TAP SC ,224,4420
513,44290252, DOUBLE CABLE                   ,2691,4420
513,44290260, DRILL BIT                      ,828,4420
513,44290278, DUREPAIR                       ,3477,4420
513,44290286, EDS 3 - EXT DRAINAGE SYSTEM    ,857,4420
513,44290294, EDS COLLECTION BAG             ,869,4420
513,44290302, ENDOBUTTON - MITEK             ,941,4420
513,44290310, ENDOBUTTON ACCESS KIT - MITEK  ,1620,4420
513,44290328, EVD TROCAR                     ,887,4420
513,44290336, FEMORAL COMPONENT - SN         ,11529,4420
513,44290344, FIBER WIRE / SUTURE - ARTHREX  ,1100,4420
513,44290351, GRID                           ,2673,4420
513,44290369, GUIDE PIN                      ,201,4420
513,44290377, HELICAL BLADE                  ,1715,4420
513,44290385, HIP SCREW SLEVE - SN           ,1224,4420
513,44290393, HOLE COVER  BUR                ,816,4420
513,44290401, IMH NAIL - SN                  ,5457,4420
513,44290419, INFUSE BONE GRAFT              ,11802,4420
513,44290427, ISOCOOL BIPOLAR TIP/ FORCEP    ,1756,4420
513,44290435, KYPHON /1ST FRACTURE TRAY      ,8403,4420
513,44290443, KYPHON ADDITIONAL TRAY         ,5506,4420
513,44290450, KYPHON BONE CEMENT MIXER PK    ,1035,4420
513,44290468, LAG SCREW - SN                 ,1443,4420
513,44290476, LATTITUDE CURLETTE             ,1153,4420
513,44290484, LCP DHHS COMPRESSION SCREW     ,278,4420
513,44290492, LCP DHHS SIDE PLATE            ,2779,4420
513,44290500, LCP IMPACTOR CAP               ,692,4420
513,44290518, LINER - SN                     ,8661,4420
513,44290526, LOCKING CAPS                   ,1384,4420
513,44290534, LOCKING SCREW - SYNTHES        ,657,4420
513,44290542, L-POD RESTRICTOR - THEKEN      ,7391,4420
513,44290559, LPS ELECTRODE                  ,1147,4420
513,44290567, MODULAR DRIVER                 ,2323,4420
513,44290575, METrX SET                      ,4434,4420
513,44290583, VENTICULAR CATHETER            ,650,4420
513,44290591, PERITONEAL CATHETER            ,751,4420
513,44290609, PERITONEAL CATHETER - CDMN     ,645,4420
513,44290617, PIN SET                        ,976,4420
513,44290625, PATELLAR COMPONENT - SN        ,4991,4420
513,44290633, PYRAMESH - MEDTRO              ,11802,4420
513,44290641, QUADRIVE SCREWDRIVER           ,2353,4420
513,44290658, RABEA TI CAGE - SIGNUS         ,10483,4420
513,44290666, ROD - MEDTRO                   ,1531,4420
513,44290674, SCREW - MITEK                  ,568,4420
513,44290682, SCREWS - MEDTRO                ,4481,4420
513,44290690, SELF DRILLING CRUCIATE BLADE   ,810,4420
513,44290708, SET SCREW                      ,697,4420
513,44290716, SHELL - SN                     ,10513,4420
513,44290732, STAB/GRAB SCREWDRIVER          ,1999,4420
513,44290740, STAR SLEEVE                    ,592,4420
513,44290757, STEM - SN                      ,32578,4420
513,44290765, STRAIGHT PLATE                 ,532,4420
513,44290773, STRAIGHT ROD                   ,1277,4420
513,44290781, THREADED GUIDEWIRE SPADE PT    ,219,4420
513,44290799, TIBIA TENDON TISSUE - ALLSSOUR ,10347,4420
513,44290807, TIBIAL COMPONENT -SN           ,5700,4420
513,44290815, TUBE DISPOSEABLE               ,1608,4420
513,44290823, TWIST DRILL                    ,231,4420
513,44290831, VENTICULOSTOMY KIT             ,904,4420
513,44290849, VERSBON CEMENT - SN            ,739,4420
513,44290856, 1 LT CAGE LUMBAR               ,8670,4420
513,44290864, 17MM WASHER                    ,1112,4420
513,44290872, 6.5 X30MM WASHER               ,2868,4420
513,44290880, PERIMETER MED AND ON (PEEK-RIN ,9933,4420
513,44290898, DISTAL POST CENTERALIZER       ,799,4420
513,44290906, TOTAL HIP PREP KIT             ,1337,4420
513,44290914, HEWSON SUTURE RETRIVER         ,343,4420
513,44290922, SAWLADE                        ,1596,4420
513,44290930, FEMORAL HEAD                   ,6244,4420
513,44290948, FEMORAL COMPONENT - STEM       ,32578,4420
513,44290955, BIPOLAR SHELL/LINER            ,7834,4420
513,44290963, FEMOR                          ,10761,4420
513,44290971, TIBIA                          ,11678,4420
513,44290989, CEMENT MIX                     ,650,4420
513,44290997, HOLDING PINS                   ,710,4420
513,44291003, FEMOR                          ,5660,4420
513,44291011, TIBIAL TRAY                    ,9313,4420
513,44291029, PATELLA                        ,5203,4420
513,44291037, TIBIAL INSERT                  ,4919,4420
513,44291086, STEM CENTRALIZER               ,562,4420
513,44291094, CEMENT WITH GENTA              ,2188,4420
513,44291102, CEMENT WITH GENTA SYSTEM GUM   ,3104,4420
513,44291110, CEMENT PREP KIT                ,1538,4420
513,44291128, 6.5 MM BONE SCREW              ,828,4420
513,44291136, FEMUR IMPLANT                  ,9756,4420
513,44291144, TIBIAL IMPLANT                 ,7479,4420
513,44291151, TIBIAL INSERT                  ,2512,4420
513,44291169, PATELLA                        ,2572,4420
513,44291177, TIBIAL NAIL                    ,6948,4420
513,44291193, GUIDE WIRE BALL TIP            ,916,4420
513,44291201, DRILL                          ,857,4420
513,44291219, T-2 END CAP                    ,828,4420
513,44291227, GUIDED PIN THREADED            ,662,4420
513,44291276, Atrial Read                    ,4139,4420
513,44291284, VENTICULAR HEAD                ,4139,4420
513,44291292, PACER                          ,35445,4420
513,44291300, INTRODUCER                     ,384,4420
513,44291318, Cable                          ,443,4420
513,44291326, CEMENT RX KIT CEMENT           ,710,4420
513,44291334, CEMENT WITHOUT GENTA           ,2957,4420
513,44291342, SYSTEM GUN CEMENT              ,609,4420
513,44291359, SURGICAL SIMPLEX               ,627,4420
513,44291367, DRILL BITS                     ,1224,4420
513,44291409, HIP CENTRALIZER                ,757,4420
513,44291417, TUBULAR                        ,769,4420
513,44291425, SEMI-TUBULAR                   ,822,4420
513,44291441, 6.5 MM                         ,828,4420
513,44291466, MALLLEOLAR                     ,142,4420
513,44291474, CANNULATED SCREWS              ,834,4420
513,44291557, DBM GEL / PUTTY                ,4139,4420
513,44291565, BIPOLAR COMPONENT              ,7214,4420
513,44291573, STEM EXTENSION                 ,6563,4420
513,44291581, TIBIAL CLIP                    ,2365,4420
513,44291599, PS Femur                       ,8372,4470
513,44291607, CR FEMUR                       ,7876,4470
513,44291615, NON MOD FEMUR                  ,34884,4470
513,44291623, FINNED TIBIAL TRAY             ,5464,4470
513,44291631, TRAPEZOID TIBIAL TRAY          ,6196,4470
513,44291656, NON MOD CONSTRAINED TIBIAL INS ,10790,4470
513,44291664, BLADDER SLING                  ,5617,4470
