Description, Total Price 
FAM PHOTREXA (RIBOFLAVIN 5'-PHOSPHATE), $600.00 
FAM PHOTREXA VISCOUS (RIBOFLAVIN 5'-PHOSPHATE IN 20% DEXTRAN OPHTHALMIC SOLUTION)," $1,185.00 "
FAM RADIESSE PER 0.1 ML INJ/MEDICAL USE, $41.00 
FAM SCULPTRA 0.5 MG INJ/MEDICAL USE, $14.00 
HB 02 UPTAKE EXPIR GAS REST/EXER DIRECT W/CO2 OUTPT, $195.00 
HB 1 HOUR MASSAGE PACKAGE - 3 VISITS  (PT PAY), $215.00 
HB 1 HOUR MASSAGE PACKAGE - 6 VISITS (PT PAY), $380.00 
"HB 1 X 8 TRIAL LEAD, VECTRIS"," $2,400.00 "
HB 1/2 PAYMENT FOR FULL PROGRAM, $900.00 
"HB 1000 ML .9  NACL WITH 45,000 U HEPARIN", $44.00 
HB 1000 ML .9 NACL, $3.00 
HB 1000 ML ANTICOAGULANT CITRATE-DEXTROSE (ACD), $28.00 
HB 10FR FLEXIFLO LAP J KIT, $564.00 
HB 10FX 20CM DILATOR .038 DILATOR, $22.00 
HB 10G 15MM IVAS BALLON KIT (STRYKER)," $3,400.00 "
HB 10G CURETTE (STRYKER)," $1,350.00 "
HB 10G IVAS BONE BIOPSY KIT, $234.00 
HB 10G IVAS DIAMOND INTRO NEEDLE, $175.00 
HB 11 GA X 5 IN INTRODUCER NEEDLE, $182.00 
HB 11 VOLT LI-ION BACKUP BATTERY #106128," $1,500.00 "
HB 11G 10MM IVAS BALLON KIT (STRYKER)," $11,400.00 "
HB 11G CEMENT CANNULA BONE FILLER (STRYKER) VERA PORTE, $627.00 
HB 11G IVAS DIAMOND INTRO NEEDLE, $175.00 
HB 12 FRX 20CM STAND DILATOR .038 IN GUIDEWIRE, $17.00 
"HB 12FR X 16CM,TRIPLE LUMEN CURVED TRAY CATH XTN", $274.00 
HB 13G DIAMOND INTRO NEEDLE, $148.00 
HB 150 ML ANGIOMAT ILLUMENA SYRINGE, $18.00 
HB 17 GA X 6.8CM CO-AXIAL INTRO NEEDLE, $42.00 
HB 17 GUAGE X 13.8CM COAXIAL NEEDLES, $40.00 
HB 17 GUAGE X 17.8CM COAXIAL NEEDLES, $40.00 
HB 17 GUAGE X 7.8 COAXIAL NEEDLE, $40.00 
HB 17FR X 45CM AFX INTRODUCER SHEATH SINGLE LUMEN DILATOR," $1,005.00 "
HB 18 FR 54 CM JEJUNAL 7-10 BALLOON, $662.00 
HB 18 G X 25CM SKINNY NEEDLE WITH CHIBA TIP, $41.00 
HB 18 GA X 7CM THINWALL NEEDLE, $11.00 
HB 18 GUAGE X 10CM 22MM BX INSTRUMENT, $79.00 
HB 18 GUAGEX20CM 22MM PENN BX INSTRUMENT, $79.00 
HB 18GA X 15 CM CHIBA BX FINE ASP NEEDLE, $182.00 
HB 19 GUAGE X 13.8CM COAXIAL NEEDLES, $40.00 
HB 19 GUAGE X 17.8CM COAXIAL NEEDLES, $40.00 
HB 19 GUAGE X 7.8 COAXIAL NEEDLE, $40.00 
HB 1ST PSYCHIATRIC COLLAB CARE MGMT 1ST 70 MINS, $175.00 
HB 1ST SIBLING CLASS, $10.00 
