Charge Code,Charge Description, Charge Amount ,Comments
25000001,10 ML OVERFILL IN 100 ML IV BAG [500078],,"Place holder,static, order communication, zero charge item or charge panel"
25000001,20 ML OVERFILL IN 150 ML IV BAG [500079],,"Place holder,static, order communication, zero charge item or charge panel"
25000001,20 ML OVERFILL IN 250 ML IV BAG [500080],,"Place holder,static, order communication, zero charge item or charge panel"
25000001,30 ML OVERFILL IN 250 ML ADD-VANTAGE BAG [500083],,"Place holder,static, order communication, zero charge item or charge panel"
25000001,40 ML OVERFILL IN 1000 ML IV BAG [500082],,"Place holder,static, order communication, zero charge item or charge panel"
25000001,40 ML OVERFILL IN 500 ML IV BAG [500081],,"Place holder,static, order communication, zero charge item or charge panel"
25000001,5 ML OVERFILL IN 25 ML IV BAG [500907],,"Place holder,static, order communication, zero charge item or charge panel"
25000001,5 ML OVERFILL IN 50 ML IV BAG [500077],,"Place holder,static, order communication, zero charge item or charge panel"
25000001,ABACAVIR 20 MG/ML ORAL SOLUTION [24439], $26.60 ,
25000001,ABACAVIR 300 MG TABLET [24438], $150.90 ,
25000001,ABACAVIR 600 MG-DOLUTEGRAVIR 50 MG-LAMIVUDINE 300 MG TABLET [164468]," $1,514.90 ",
63600002,ABATACEPT (WITH MALTOSE) 250 MG INTRAVENOUS SOLUTION [70287]," $16,949.30 ",
63600002,ABCIXIMAB 10 MG/5 ML INTRAVENOUS SOLUTION [14369]," $21,840.60 ",
25000001,ACARBOSE 25 MG TABLET [22148], $12.30 ,
25000001,ACEBUTOLOL 200 MG CAPSULE [8939], $13.60 ,
63600002,ACETAMINOPHEN  10 MG/ML IV SOLN < 1000 MG [40841248], $650.70 ,
63600002,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION [108021]", $650.70 ,
25000001,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY [103], $8.00 ,
25000001,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION [160905], $20.10 ,
25000001,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLUTION [116259], $26.60 ,
25000001,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SUSPENSION [8947], $26.60 ,
25000001,ACETAMINOPHEN 150 MG-CODEINE 15 MG PARTIAL TABLET [40840188], $2.30 ,
25000001,ACETAMINOPHEN 150 MG-CODEINE 7.5 MG PARTIAL TABLET [40840189], $2.10 ,
25000001,ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [8943], $7.40 ,
25000001,ACETAMINOPHEN 160 MG/5 ML ORAL SUSPENSION [93073], $3.50 ,
25000001,ACETAMINOPHEN 250 MG PARTIAL TABLET [40841670], $0.50 ,
25000001,ACETAMINOPHEN 300 MG-CODEINE 15 MG TABLET [19474], $4.20 ,
25000001,ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET [14087], $4.40 ,
25000001,ACETAMINOPHEN 300 MG-CODEINE 30 MG/12.5 ML (12.5 ML) ORAL SOLUTION [160932], $9.70 ,
25000001,ACETAMINOPHEN 300 MG-CODEINE 60 MG TABLET [8950], $8.70 ,
25000001,ACETAMINOPHEN 32 MG/ML ORAL SYRINGE  (FOR ORAL USE ONLY) [166003], $20.80 ,
25000001,ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY [104], $8.90 ,
25000001,ACETAMINOPHEN 325 MG TABLET [101], $0.90 ,
