Procedure Description, Charge Amount 
CRITICAL CARE UNIT,"$2,950.00 "
ISOLATION,"$1,235.00 "
PEDIATRICS-S/PVT,"$1,169.00 "
SEMI-PRIVATE M/S 2ND FLOOR,"$1,169.00 "
SWING BED,"$1,169.00 "
NF-LATUDA TAB 80MG,$30.00 
NF-SIMPONI ARIA IV SOLN 50MG/4ML,$925.18 
SHORT STAY ROOM BASE RATE,$354.00 
S/S ROOM PER HOUR,$35.00 
IV INFUSION HYDRATION 31 MIN TO 1 HOUR,$196.50 
HYDRATION >90 MINUTES,$180.00 
IV INFUSION THRP/DX 1 HOUR,$196.50 
IV INFUSION THRP/DX ADDTL HR,$146.00 
IV INFUSION TX/DX ADD SEQU 1 HR,$188.00 
IV INFUSION TX/DX CONCURRENT,$127.50 
INJECTION SC/IM,$90.00 
INJECTION IV PUSH SINGLE,$257.00 
INJECTION IV PUSH ADDTL SEQUENTIAL,$77.00 
INJECTION IV PUSH ADDTL SAME DRUG,$77.00 
CARDIOVERSION,$750.00 
ICD/INTERROGATION/REP DUAL CHMBR,$211.50 
HEMO TREATMENT,$300.00 
BLADDER SCAN,$113.00 
SURG LEVEL I BASE RATE (20 MIN),"$4,018.50 "
SURG LEVEL I ADDTL MIN (10 MIN),$97.00 
SURG LEVEL I ADDTL PROCEDURE,"$2,009.00 "
SURGICEL 2X3,$125.98 
SURG LEVEL II BASE RATE (20 MIN),"$7,712.50 "
SURG LEVEL II ADDTL MIN (10 MIN),$115.00 
SURG LEVEL II ADDTL PROCEDURE,"$3,857.00 "
SURG LEVEL III BASE RATE (20 MIN),"$9,320.00 "
SURG LEVEL III ADDTL MIN (10 MIN),$145.50 
SURG LEVEL IV BASE RATE (20 MIN),"$11,329.50 "
SURG LEVEL IV ADDTL MIN (10 MIN),$161.50 
ENDOSCOPY LEVEL II BASE RATE,"$2,149.00 "
ENDOSCOPY LEVEL I&II ADDTL MIN (10 MIN),$97.50 
ENDOSCOPY LEVEL II ADDTL PROCEDURE,"$1,628.50 "
PHACO PROCEDURE BASE RATE,"$6,418.00 "
PHACO PROCEDURE ADDTL MIN (10 MIN),$97.50 
TRANSESOPHAGEAL PROCEDURE,$942.50 
EYE LASER PROCEDURE,$703.50 
EYE LASER PROCEDURE BILATERAL,"$1,005.00 "
SUTURE FIBER WIRE,$58.00 
WECK CEL SPONGE/SPEARS PKG/6,$4.50 
TUBE VENT ARMSTRONG BEVELED,$67.00 
TUBE EAR RICHARDS,$90.50 
MESH 60CMX13.7 PRESHAPED,$435.50 
FILTER MILLEX,$8.00 
SURGICAL PATTIES 1X3 CODMAN,$32.00 
NEEDLE FASCIA,$12.00 
NEEDLE HERNIA,$4.00 
SPONGE NEURO 1/2X1/2 STERILE,$9.50 
STIRRUP STRAPS DISPOSABLE,$10.50 
TOOTH GUARD GAR DENT,$22.50 
KUGEL 6.4X6.4 MED CIRCLE W/ STRAP,"$1,494.00 "
SURGIFOAM 8CM X 12.5CM X 10MM,$99.65 
KUGEL CIRCLE LG 3.2X3.2 W/STRAP,"$1,209.25 "
EYE SHIELD GARTER,$5.00 
FACIAL BAND UNIVERSAL,$50.00 
FLUID COLLECTION JUHN TYM-TAP,$46.50 
