"YTD Average MS-DRG Charges
12/31/2018 10:01:19 AM",,
,,
DRG NUMBER,DRG,Average Charges
MS003,"MS003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","362,642.91"
MS004,"MS004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","242,947.85"
MS023,MS023 - CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,"126,908.56"
MS025,MS025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,"111,924.07"
MS028,MS028 - SPINAL PROCEDURES W MCC,"128,387.54"
MS029,MS029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,"120,250.43"
MS030,MS030 - SPINAL PROCEDURES W/O CC/MCC,"39,655.92"
MS031,MS031 - VENTRICULAR SHUNT PROCEDURES W MCC,"73,344.12"
MS032,MS032 - VENTRICULAR SHUNT PROCEDURES W CC,"58,390.80"
MS033,MS033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,"64,145.94"
MS035,MS035 - CAROTID ARTERY STENT PROCEDURE W CC,"61,861.07"
MS036,MS036 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,"31,755.36"
MS037,MS037 - EXTRACRANIAL PROCEDURES W MCC,"68,313.16"
MS038,MS038 - EXTRACRANIAL PROCEDURES W CC,"57,405.30"
MS039,MS039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,"39,862.78"
MS040,MS040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,"57,822.81"
MS041,MS041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,"87,164.70"
MS052,MS052 - SPINAL DISORDERS & INJURIES W CC/MCC,"19,639.91"
MS054,MS054 - NERVOUS SYSTEM NEOPLASMS W MCC,"23,302.04"
MS055,MS055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,"21,435.21"
MS056,MS056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"34,354.19"
MS057,MS057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"30,134.48"
MS058,MS058 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,"32,640.23"
MS059,MS059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,"19,895.43"
MS060,MS060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,"18,845.85"
MS061,"MS061 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC","59,530.37"
MS062,"MS062 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC","56,705.67"
MS063,"MS063 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC","67,117.61"
MS064,MS064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"33,917.62"
MS065,MS065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"26,342.01"
MS066,MS066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"23,198.66"
MS068,MS068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"21,924.61"
MS069,MS069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"22,653.77"
MS070,MS070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"30,300.68"
MS071,MS071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"26,986.23"
MS072,MS072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"19,731.12"
MS073,MS073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"23,436.73"
MS074,MS074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"23,935.35"
MS075,MS075 - VIRAL MENINGITIS W CC/MCC,"13,464.95"
MS076,MS076 - VIRAL MENINGITIS W/O CC/MCC,"29,147.78"
MS077,MS077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,"23,429.96"
MS079,MS079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,"20,356.07"
MS080,MS080 - NONTRAUMATIC STUPOR & COMA W MCC,"30,939.69"
MS082,"MS082 - TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC","40,948.26"
MS083,"MS083 - TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","27,918.28"
MS084,"MS084 - TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC","15,255.89"
MS085,"MS085 - TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC","30,094.25"
MS086,"MS086 - TRAUMATIC STUPOR & COMA, COMA <1 HR W CC","32,269.06"
MS087,"MS087 - TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC","19,391.90"
MS089,MS089 - CONCUSSION W CC,"38,004.14"
MS091,MS091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"45,593.87"
MS092,MS092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,"27,383.16"
MS095,MS095 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,"27,044.04"
MS096,MS096 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,"86,669.56"
MS097,MS097 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,"40,969.75"
MS098,MS098 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,"57,072.97"
MS099,MS099 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,"18,804.37"
MS100,MS100 - SEIZURES W MCC,"26,251.98"
MS101,MS101 - SEIZURES W/O MCC,"17,928.70"
MS102,MS102 - HEADACHES W MCC,"46,247.94"
MS103,MS103 - HEADACHES W/O MCC,"28,061.10"
MS115,MS115 - EXTRAOCULAR PROCEDURES EXCEPT ORBIT,"30,855.34"
MS123,MS123 - NEUROLOGICAL EYE DISORDERS,"26,832.24"
MS125,MS125 - OTHER DISORDERS OF THE EYE W/O MCC,"22,689.66"
MS130,MS130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,"15,777.46"
MS133,"MS133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC","24,744.83"
MS137,MS137 - MOUTH PROCEDURES W CC/MCC,"36,600.08"
MS139,MS139 - SALIVARY GLAND PROCEDURES,"34,398.50"
MS146,"MS146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC","9,193.72"
MS147,"MS147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC","9,542.67"
MS149,MS149 - DYSEQUILIBRIUM,"27,752.34"
MS151,MS151 - EPISTAXIS W/O MCC,"21,164.95"
MS152,MS152 - OTITIS MEDIA & URI W MCC,"32,279.67"
MS153,MS153 - OTITIS MEDIA & URI W/O MCC,"14,409.37"
MS154,"MS154 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC","24,299.72"
MS155,"MS155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC","16,314.97"
MS156,"MS156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC","15,160.20"
MS157,MS157 - DENTAL & ORAL DISEASES W MCC,"41,794.47"
