CPT,MOD,DESCRIPTION, AMOUNT 
,,IOP PER DIEM, $750.00 
,,INPATIENT PER DIEM ALL DIAGNOSIS," $2,000.00 "
,,SKILLED PER DIEM ALL DIAGNOSIS," $2,000.00 "
99201,,NEW PATIENT LEVEL 1, $25.00 
99202,,NEW PATIENT LEVEL 2, $70.00 
99203,,NEW PATIENT LEVEL 3, $100.00 
99204,,NEW PATIENT LEVEL 4, $150.00 
99205,,NEW PATIENT LEVEL 5, $200.00 
99211,,EST PATIENT LEVEL 1, $25.00 
99212,,EST PATIENT LEVEL 2, $50.00 
99213,,EST PATIENT LEVEL 3, $75.00 
99214,,EST PATIENT LEVEL 4, $100.00 
99215,,EST PATIENT LEVEL 5, $150.00 
99203,,PAIN CLINIC NEW PATIENT LEVEL 3, $120.00 
99204,,PAIN CLINIC NEW PATIENT LEVEL 4, $120.00 
99205,,PAIN CLINIC NEW PATIENT LEVEL 5, $120.00 
99213,,PAIN CLINIC EST PATIENT LEVEL 3, $120.00 
99214,,PAIN CLINIC EST PATIENT LEVEL 4, $120.00 
99215,,PAIN CLINIC EST PATIENT LEVEL 5, $120.00 
99281,,EMERGENCY DEPT LEVEL ONE, $200.00 
99282,,EMERGENCY DEPT LEVEL TWO, $200.00 
99283,,EMERGENCY DEPT LEVEL THREE, $200.00 
99284,,EMERGENCY DEPT LEVEL FOUR, $200.00 
99285,,EMERGENCY DEPT LEVEL FIVE, $200.00 
99381,,NEW PREVENTATIVE <1 YEAR OLD, $65.00 
99382,,NEW PREVENTATIVE 1-4 YEARS OLD, $70.00 
99383,,NEW PREVENTATIVE 5-11 YEARS OLD, $70.00 
99384,,NEW PREVENTATIVE 12-17 YEARS OLD, $80.00 
99385,,NEW PREVENTATIVE 18-39 YEARS OLD, $80.00 
99386,,NEW PREVENTATIVE 40-64 YEARS OLD, $100.00 
99387,,NEW PREVENTATIVE 65 YEARS AND OLDER, $107.00 
99391,,EST PREVENTATIVE <1 YEAR OLD, $55.00 
99392,,EST PREVENTATIVE 1-4 YEARS OLD, $65.00 
99393,,EST PREVENTATIVE 5-11 YEARS OLD, $65.00 
99394,,EST PREVENTATIVE 12-17 YEARS OLD, $75.00 
99395,,EST PREVENTATIVE 18-39 YEARS OLD, $75.00 
99396,,EST PREVENTATIVE 40-64 YEARS OLD, $80.00 
