Mnemonic,Name, Std Price 
310088389,MYOSIN 2/1 DBLE STAIN (IMMUNO),$507.00 
1110001020,GEN MED 3 PRIVATE ROOM,$725.00 
1110001021,GEN MED 3 ROOM W/ ADDL RESOURC,$975.00 
1110001023,JFW PRIVATE ROOM,$725.00 
1110001024,JFW PRIVATE W/ ADDL RESOURCES,$975.00 
1110001025,CARDIOLOGY PRIVATE ROOM,$725.00 
1110001026,CARDIOLOGY ROOM W/ ADDL RESOUR,$975.00 
1110001027,SURGICAL PRIVATE ROOM,$725.00 
1110001028,SURGICAL ROOM W/ ADDL RESOURCE,$975.00 
1110001029,GEN MED 8 PRIVATE ROOM,$725.00 
1110001030,GEN MED 8 W/ ADDL RESOURCES,$975.00 
1110001031,ORTHO PRIVATE ROOM,$725.00 
1110001032,ORTHO ROOM W/ ADDL RESOURCES,$975.00 
1110001033,NORTH MEDICAL PRIVATE ROOM,$725.00 
1110001034,NORTH MEDICAL ROOM W/ ADDL RES,$975.00 
1110001035,NORTH SURGICAL PRIVATE ROOM,$725.00 
1110001036,NORTH SURGICAL RM W/ ADDL RES,$975.00 
1110001037,UNIT BED OVERFLOW REG RM RATE,$725.00 
1110001038,EC OVERFLOW BED,$725.00 
1110001039,7T PRIVATE ROOM,$725.00 
1110001040,7T PRIVATE W/ ADDL RESOURCES,$975.00 
1110001041,PACU REGULAR RM OVERFLOW,$670.00 
1120001100,OB PRIVATE ROOM,$725.00 
1120001101,OB PRIVATE ROOM W/ ADDL RESOUR,$975.00 
1120001102,OB PRIVATE ANTEPARTUM,$725.00 
1120001103,OB PRIVATE ANTEPARTUM W/ ADDL,$975.00 
1120001104,L&D OB PRIVATE ROOM,$725.00 
1130001200,PEDS PRIVATE ROOM,$725.00 
1130001201,PEDS PRIVATE W/ ADDL RESOURCES,$975.00 
1140001130,PSYCH 3E PRIVATE,"$1,500.00 "
1140001131,PSYCH 4E PRIVATE,"$1,600.00 "
1140001132,PSYCH 3E ISOLATION,"$1,600.00 "
1140001133,PSYCH 4E ISOLATION,"$1,750.00 "
1170001300,ONCOLOGY PRIVATE ROOM,$725.00 
1170001301,ONCOLOGY ROOM W/ ADDL RESOURCE,$975.00 
1180001180,REHAB PRIVATE,"$1,500.00 "
1180001181,REHAB/ISOLATION,"$1,650.00 "
1210001210,SEMI PRIVATE BED,$725.00 
1210001211,SEMI PRIVATE W/ ADDL RESOURCES,$975.00 
1210001212,JFW SEMI PRIVATE ROOM,$725.00 
1210001213,JFW SEMI ROOM W/ ADDL RESOURCE,$975.00 
1210001214,CARDIOLOGY SEMI PRIVATE ROOM,$725.00 
1210001215,CARDIOLOGY SEMI W/ ADDL RESOUR,$975.00 
1210001216,SURGICAL SEMI PRIVATE ROOM,$725.00 
1210001217,SURGICAL SEMI W/ ADDL RESOURCE,$975.00 
1210001218,GEN MED 8 SEMI PRIVATE ROOM,$725.00 
1210001219,GEN MED 8 SEMI W/ ADDL RESOURC,$975.00 
1210001220,7T SEMI PRIVATE ROOM,$725.00 
1210001221,7T SEMI PRIVATE W/ ADDL RESOUR,$975.00 
1220001260,SEMI/PRIVATE OB,$725.00 
1220001261,SEMI PRIVATE OB W/ ADDL RESOUR,$975.00 
1220001262,SEMI/PRIVATE OB ANTEPARTUM,$725.00 
1220001263,SEMI/PRI OB ANTEPARTUM W/ ADDL,$975.00 
1220001264,L&D OB SEMI PRIVATE ROOM,$725.00 
1230001290,SEMI/PVT PEDS,$725.00 
1230001291,SEMI PRIV PEDS W/ ADDL RESOURC,$975.00 
1240001320,PSYCH 3E SEMI PRIVATE,"$1,400.00 "
1240001321,PSYCH 4E SEMI PRIVATE,"$1,500.00 "
1240001322,PSYCH 3E SEMI ISOLATION,"$1,500.00 "
1240001323,PSYCH 4E SEMI ISOLATION,"$1,650.00 "
1270001350,SEMI/PVT ONCOLOGY,$725.00 
1270001351,SEMI PRIV ONC W/ ADDL RESOURC,$975.00 
1290001370,PVT SWING BED,$500.00 
1290001372,PVT SWING BED W/ ADDL RESOURCE,$750.00 
1290001373,SEMI SWING BED W/ ADDL RESOURC,$750.00 
1710001570,NURSERY LEVEL I,$450.00 
1710001571,NURSERY LEVEL I W/ADDL RESOURC,$700.00 
1710001572,INTENSIVE CARE NUR TRIAGE ONLY,$450.00 
1720001580,NURSERY LEVEL 2 STEP DOWN,$650.00 
1730001590,INTERMED NURSERY LEVEL 3,$900.00 
1730001591,INTERMED NURSERY W/THERAPEUTIC,"$1,150.00 "
1730001592,INTERMED NURSERY W/GIRAFFE,"$1,700.00 "
1740001600,INTENSIVE CARE NURSERY,"$1,950.00 "
1740001601,INTENSIVE CARE NURSERY W/THERA,"$2,200.00 "
1740001602,INTENSIVE CARE NURSERY W/GIR,"$2,950.00 "
2000001700,CCU ROOM,"$2,050.00 "
2000001701,CCU ROOM W/ ADDL RESOURCES,"$2,300.00 "
2000001702,NORTH CCU ROOM,"$2,050.00 "
2000001703,NORTH CCU ROOM W/ ADDL RESOURC,"$2,300.00 "
2000001704,ICU/BONE MARROW,"$1,600.00 "
2000001705,ICU/BONE MARROW W/ ADDL RESOUR,"$1,850.00 "
2000001706,ICU ROOM WITH ROTOPRONE,"$3,850.00 "
2010001800,SICU ROOM,"$2,050.00 "
2010001801,SICU ROOM W/ ADDL RESOURCES,"$2,300.00 "
2020001900,MICU ROOM,"$2,050.00 "
2020001901,MICU ROOM W/ ADDL RESOURCES,"$2,300.00 "
2020001902,ICU OVERFLOW BED,"$1,845.00 "
2020001903,PACU ICU OVERFLOW,"$1,845.00 "
2600025000,HYDRATION IV INIT 1ST HR MOD,$409.00 
2600025001,HYDRATION IV INF INIT 1ST HR,$409.00 
2600025002,HYDRATE IV INFUSION ADD-ON,$252.00 
2600025003,THER/PROPH/DIAG IV INIT MOD,$660.00 
2600025004,THER/PROPH/DIAG IV INF INIT,$660.00 
2600025005,THER/PROPH/DIAG IV INF ADDON,$252.00 
2600025006,TX/PROPH/DG ADDL SEQ IV INF,$660.00 
2600025007,THER/DIAG CONCURRENT INF,$660.00 
2600025008,THER/PROPH/DIAG INJ SC/IM,$192.00 
2600025009,THER/PROPH/DIAG INJ IV PUSH,$264.00 
2600025010,TX/PRO/DX INJ NEW DRUG ADDON,$264.00 
2600025011,TX/PRO/DX INJ SAME DRUG ADDON,$264.00 
2600025022,PROLONGED IV INF REQ PUMP,$495.00 
2600025023,APPLICATON ON-BODY INJECTOR,$128.00 
3000070619,HLA I TYPING 1 LOCUS LR COMP,"$1,284.00 "
3000070631,ASSAY OF METANEPHRINES,$128.00 
3000070639,DNASE B AB,$45.00 
3000070644,HIV CONFIRMATION,$122.00 
3000070651,M.TUBERCULO DNA DIR PROBE,$90.00 
3000070656,PSA SCREEN,$104.00 
3000070658,H1N1 SENDOUT,$342.00 
3000070686,LYME DISEASE RFX WB W/ BANDS,$153.00 
3000070692,HIVP24CHG,$47.00 
3000070693,COLL FEE FOR OBSERV DR SCR,$45.00 
3000070694,IDP OFF SITE,$39.00 
3000070695,NIDA - FEDERAL DRUG SCR,$68.00 
3000070696,VENIPUNCTURE,$27.00 
3000070697,HEALTH FAIR CHARGE,$22.00 
3000070698,PLACENTAL ALPA MICROGLOBULIN-1,$211.00 
3000070699,HEPATITIS B SURG AB,$185.00 
3010007538,SUBSTANCE P,$186.00 
