HospitalCode,Description,Price
BBH PRINCETON,HCS ZIM COMP TUBE PLATE,1039.00
BBH PRINCETON,HCS ZIM COMP TUBE PLATE 8 HOLE,1704.00
BBH PRINCETON,HCS ZIM FEMORAL CANAL TAMPON,199.00
BBH PRINCETON,HCS IB II PSCR TIB TRAY,4645.00
BBH PRINCETON,HCS ZIM I/B MKS FEM FLUTED ROD,1754.00
BBH PRINCETON,HCS ZIM KNEE PRESSURIZER,103.00
BBH PRINCETON,HCS ZIM MG PRECOAT TIB PLATE STEM,7929.00
BBH PRINCETON,HCS ZIM RUSH RODS ALL,386.00
BBH PRINCETON,HCS INORTH HEAD 12/14 TAPER CO,3399.00
BBH PRINCETON,HCS INORTH TIB INSERT WITH SCR,6021.00
BBH PRINCETON,HCS 7CM SHOULDER CANULA,102.00
BBH PRINCETON,HCS NEX GEN POROUS STEMMED TIB,8065.00
BBH PRINCETON,HCS KNEE AUGMENT BLOCK (REVISION),3100.00
BBH PRINCETON,HCS DRAIN SURETRANS,524.00
BBH PRINCETON,HCS CATH SHTH INTRO KIT,756.00
BBH PRINCETON,HCS STYLET WIRES .013 AND .015,68.00
BBH PRINCETON,HCS PHOTOTHERAPY/DAY,511.00
BBH PRINCETON,HCS ANES. EXTENSION SETS,63.00
BBH PRINCETON,HCS IV WARM BLNK/TUBE,215.00
BBH PRINCETON,HCS BRONCHIAL SWIVEL ADAPT DISP,111.00
BBH PRINCETON,HCS XYLOCAINE LTA KIT,395.00
BBH PRINCETON,HCS I.V. CATHETERS,9.00
BBH PRINCETON,HCS AEROSOL CONTINUOUS,135.00
BBH PRINCETON,HCS VOL.VENT.DISPOSABLE,218.00
BBH PRINCETON,HCS AEROSOL TUBING DISPOSABLE,90.00
BBH PRINCETON,HCS VOL.VENT.H2O,83.00
BBH PRINCETON,HCS OPEN HEART CELL SAVER,619.00
BBH PRINCETON,HCS CP BYPASS (SUPPLIES),8507.00
BBH PRINCETON,HCS CANNULA ARTERIAL,117.00
BBH PRINCETON,HCS CANNULA VENOUS,139.00
BBH PRINCETON,HCS CANNULA LV VENT,131.00
BBH PRINCETON,HCS CANNULA PA VENT,75.00
BBH PRINCETON,HCS CANNULA PERICARDIAL SUMP,75.00
BBH PRINCETON,HCS CANNULA ANTEGRADE CPS,144.00
BBH PRINCETON,HCS CANNULA CORONARY PERFUS,96.00
BBH PRINCETON,HCS CANNULA RETROGRADE CPS,343.00
BBH PRINCETON,HCS SWITCH ANTI/RETRO,165.00
BBH PRINCETON,HCS CANNULA FEMORAL KIT,1858.00
BBH PRINCETON,HCS CANNULA FEMORAL AORTIC KIT,988.00
BBH PRINCETON,HCS CANNULA FEMORAL VENOUS KIT,1096.00
BBH PRINCETON,HCS HEMOCONCENTRATOR,607.00
BBH PRINCETON,HCS TEMPORARY PACER,217.00
BBH PRINCETON,HCS CENTRIFUGAL PUMP,791.00
BBH PRINCETON,HCS VENT VALUES,71.00
BBH PRINCETON,HCS BENT TRIC RING VALVE,5590.00
BBH PRINCETON,HCS BENT MTRL RING VALVE,5311.00
BBH PRINCETON,HCS BENT AORT XENO VALVE,14241.00
BBH PRINCETON,HCS BENT MTRL XENO VALVE,14241.00
BBH PRINCETON,HCS STJD AORT MECH VALVE,17958.00
BBH PRINCETON,HCS STJD MTRL MECH VALVE,22353.00
BBH PRINCETON,HCS DURAN MTRL RING VALVE,6218.00
BBH PRINCETON,HCS HANCOCK AORTIC VALVE,18454.00
BBH PRINCETON,HCS HANCOCK MITRAL VALVE,19349.00
BBH PRINCETON,HCS EMERGENCY SHUNT KIT,316.00
BBH PRINCETON,HCS MULTIPLE PERFUSION SET,162.00
BBH PRINCETON,HCS ST. JUDE AORT TORONTO VALVE(H),20030.00
BBH PRINCETON,HCS OP CAB VESSEL CANNULA,68.00
BBH PRINCETON,HCS OP CAB INTRAVASCULAR SHUNT,346.00
BBH PRINCETON,HCS EXT. DEFIB PADS,210.00
BBH PRINCETON,HCS DOPPLER NEEDLE,419.00
BBH PRINCETON,HCS EXTERNAL PACEMAKER PADS,249.00
BBH PRINCETON,HCS DIAGNOSTIC CATHETERS,176.00
BBH PRINCETON,HCS CORONARY CATH PACK,306.00
BBH PRINCETON,HCS FEMORAL HOLDING DEVICE,232.00
BBH PRINCETON,HCS PERICARDIOCENTESIS KIT,670.00
BBH PRINCETON,HCS LOCKING STYLET,1048.00
BBH PRINCETON,HCS PIN VISE,232.00
BBH PRINCETON,HCS SAFE SHEATH,194.00
BBH PRINCETON,HCS MICROVENA SNARE,1116.00
BBH PRINCETON,HCS FLOWABLE HEMOSTAT,405.00
BBH PRINCETON,HCS CORONARY TRAY,1423.00
BBH PRINCETON,HCS EXCHANGE DEVICE,478.00
BBH PRINCETON,HCS BOVIE,319.00
BBH PRINCETON,HCS DISP THRESHOLD CABLES,59.00
BBH PRINCETON,HCS GROUNDING PADS,162.00
BBH PRINCETON,HCS IABP CATHETER,3131.00
BBH PRINCETON,HCS INDEFLATOR,185.00
BBH PRINCETON,HCS THERMO SET,95.00
BBH PRINCETON,HCS TRANSEPTAL SHEATH,444.00
BBH PRINCETON,HCS 40 CM CSG/WORLEY 9 FR SHEATH,1518.00
BBH PRINCETON,HCS E P TRAY,1220.00
BBH PRINCETON,HCS OUTBACK PERIPHERAL CATHETER,8127.00
BBH PRINCETON,HCS AIGISRX PM ENVELOPE,1833.00
BBH PRINCETON,HCS AIGISRX ICD ENVELOPE,2362.00
BBH PRINCETON,HCS ESSENTIALS KIT PTCA,100.00
BBH PRINCETON,HCS CO-PILOT BLEED-BACK VALVE,86.00
BBH PRINCETON,HCS IMPELLA 2.5 PUMP SET(CATHETER),56287.00
BBH PRINCETON,HCS INJECTION JUVENTUS,94.00
BBH PRINCETON,HCS OT SPLINT SUPPLIES PER UNIT,14.00
BBH PRINCETON,HCS OT ELASTOMER - 2 OZ,37.00
BBH PRINCETON,HCS OT STATIC BASED HAND SPLINT,175.00
BBH PRINCETON,HCS OT STATIC FOREARM BASED SPLINT,259.00
BBH PRINCETON,HCS OT DYNAMIC FOREARM BASE SPLINT,429.00
BBH PRINCETON,HCS OT PREFAB HAND SPLINT,123.00
BBH PRINCETON,HCS OT STATIC FINGER SPLINT,135.00
BBH PRINCETON,HCS OT STAX SPLINT,56.00
BBH PRINCETON,HCS OT DYNAMIC HAND BASED SPLINT,228.00
BBH PRINCETON,HCS OT ORTH ELBW TENNIS,60.00
BBH PRINCETON,HCS CAPD DIALYSIS SUPPLIES,302.00
BBH PRINCETON,HCS CCPD DIALYSIS SUPPLIES,381.00
BBH PRINCETON,HCS NJ FEEDING TUBE,726.00
BBH PRINCETON,HCS BIOPSY/CYTO BRUSH,117.00
BBH PRINCETON,HCS BASKET RETRIEVER,782.00
BBH PRINCETON,HCS PEJ TUBE ONLY,281.00
BBH PRINCETON,HCS SCLEROTHERAPY NEEDLE,233.00
BBH PRINCETON,HCS TATTOOING CATHETER,281.00
BBH PRINCETON,HCS LUNG BIOPSY NEEDLE,264.00
BBH PRINCETON,HCS SNARE,1214.00
BBH PRINCETON,HCS HOT BIOPSY FORCEP,242.00
BBH PRINCETON,HCS GUIDEWIRE-SPECIALTY,1178.00
BBH PRINCETON,HCS VENTILATOR ADAPTER,36.00
BBH PRINCETON,HCS BALLOON DILATOR,889.00
BBH PRINCETON,HCS STERILE SPECIMEN CONTAINER,35.00
BBH PRINCETON,HCS POLYP RETRIEVER NET,433.00
BBH PRINCETON,HCS SCOOP I,447.00
BBH PRINCETON,HCS SCOOP CLEANING KIT,420.00
BBH PRINCETON,HCS ALLIANCE BALLOON KIT,215.00
BBH PRINCETON,HCS CLEANING BRUSH,57.00
BBH PRINCETON,HCS MICRO BRUSH,215.00
BBH PRINCETON,HCS BANDING DEVICE,854.00
BBH PRINCETON,HCS BARRX ABLATION CATHETER,3377.00
BBH PRINCETON,HCS BARRX SIZING BALLOON,968.00
BBH PRINCETON,HCS RAT TOOTH RETRIEVAL FORCEP,254.00
BBH PRINCETON,HCS CRE BALLOON,1255.00
BBH PRINCETON,HCS ARGON PROBE,772.00
BBH PRINCETON,HCS ENDO CLIP,320.00
BBH PRINCETON,HCS OXYGEN INITIAL,696.00
BBH PRINCETON,HCS PICC LINE,831.00
BBH PRINCETON,HCS BREASTMILK BAGS/BOX,83.00
BBH PRINCETON,HCS PHOTOTHERAPY/DAY,837.00
BBH PRINCETON,HCS RADIANT WARMER,206.00
BBH PRINCETON,HCS AEROSOL RX,310.00
BBH PRINCETON,HCS US BIOPSY NEEDLE,117.00
BBH PRINCETON,HCS CT BIOPSY NEEDLE,117.00
BBH PRINCETON,HCS CT DRAINAGE KIT DISPOSABLE,435.00
BBH PRINCETON,"HCS CHROMIC 770,790,798 4.0-6.0",199.00
BBH PRINCETON,HCS ETHIBOND 0-3.0,663.00
BBH PRINCETON,HCS UMBILICAL TAPE 18,45.00
BBH PRINCETON,HCS POLYSORB 0-4-0 15,111.00
BBH PRINCETON,HCS DEXON II 0-5-0 ALL MULTIPAKS,78.00
BBH PRINCETON,HCS ETHIBOND EX 0 - 2-0 CT1 CS2 SH,63.00
BBH PRINCETON,HCS DISSECTING TOOL #9AC60,234.00
BBH PRINCETON,HCS OPTIFLOW 25 GA,160.00
BBH PRINCETON,HCS CONE TIP CATHETER,25.00
BBH PRINCETON,HCS TOTAL JOINT TABLE COVER,96.00
BBH PRINCETON,HCS BARD GRAFT 3X6 REF .0112680,94.00
BBH PRINCETON,HCS CLIP 14/11.5/9 LIGA AUTOMATIC,650.00
BBH PRINCETON,HCS CURRTTE ENDOMETRIAL BX,63.00
BBH PRINCETON,"HCS ECS STELTH 21,25,29,33",2664.00
BBH PRINCETON,HCS ELECTRODE KNIFE ELECTRODE/BALL,231.00
BBH PRINCETON,HCS ENDO LOOP,109.00
BBH PRINCETON,HCS ENDOCATCH (AUTOSUTURE),2723.00
BBH PRINCETON,HCS ENDOCURVED SCISSORS,839.00
BBH PRINCETON,HCS ENDOKNOT SUTURE KP-10,83.00
BBH PRINCETON,HCS ENDOPATH ERU 35 RELOADS,964.00
BBH PRINCETON,HCS FALOPE RING,330.00
BBH PRINCETON,HCS HARMONIC COAGULATONG SHEERS,3204.00
BBH PRINCETON,HCS HARMONIC SCAPEL HOOK,1629.00
BBH PRINCETON,HCS LIGA CLIPS S/M/L,46.00
BBH PRINCETON,HCS MANIPULATOR,457.00
BBH PRINCETON,HCS PROXIMATE 2.6RELOADS TVR 55,707.00
BBH PRINCETON,HCS PROXIMATE 3.5 RELOADS TR 30,594.00
BBH PRINCETON,HCS PROXIMATE 3.8 RELOADS TCR 75,864.00
BBH PRINCETON,HCS PROXIMATE 3.8 TLC75,1636.00
BBH PRINCETON,HCS PROXIMATE 4.8 RELOADS TRH 30,1860.00
BBH PRINCETON,HCS PROXIMATE RELOADS 4.8 TRT 75,2161.00
BBH PRINCETON,HCS PROXIMATE RELOADS TR 90,522.00
BBH PRINCETON,HCS PROXIMATE TL 60,995.00
BBH PRINCETON,HCS PROXIMATE TL90,1064.00
BBH PRINCETON,HCS SKIN GUN REG,135.00
BBH PRINCETON,HCS SKIN STAPLE VISTA 3-M,111.00
BBH PRINCETON,HCS TROCAR 5MM,662.00
BBH PRINCETON,HCS TROCAR BLUNT,585.00
BBH PRINCETON,HCS REDDICK-SAYE SCREW,617.00
BBH PRINCETON,HCS SEPRA/FILM,880.00
BBH PRINCETON,HCS 5MM THREADED TROCAR,302.00
BBH PRINCETON,HCS PERI-STRIPS (STAPLELINE),1038.00
BBH PRINCETON,HCS BX FORCEP RADIAL JAW 3 1550,46.00
BBH PRINCETON,HCS BX FORCEP RADIAL JAW W/NEEDLE,151.00
BBH PRINCETON,HCS TRAP,19.00
BBH PRINCETON,HCS STAPLER RLU XR60B & G,292.00
BBH PRINCETON,HCS HEMOLOCK CLIP MLX,111.00
BBH PRINCETON,HCS REAMING ROD 2.5MM,401.00
BBH PRINCETON,HCS LCP PLATE 4HOLE 4.5MM/83MM,1301.00
BBH PRINCETON,HCS EXCLUDER (PXC121000),11201.00
BBH PRINCETON,HCS CROSSLINK PLATE,3752.00
BBH PRINCETON,HCS LAPAROSCOPIC HAND ASSIST DEVIC,1257.00
BBH PRINCETON,HCS NIM DILATOR,573.00
BBH PRINCETON,HCS HOLDING PIN,252.00
BBH PRINCETON,HCS BRACHY BALLOON BS3000,72.00
BBH PRINCETON,HCS BONE MILL KIT,532.00
BBH PRINCETON,HCS STENT GRAFT BALLOON CATH,1216.00
BBH PRINCETON,HCS ADJUST GASTRIC BANDING SYSTEM,8725.00
BBH PRINCETON,HCS CHEST TUBES 16FR 8416,14.00
BBH PRINCETON,HCS DRAIN BLAKE,159.00
BBH PRINCETON,HCS TUBE GASTROSTOMY MIC,430.00
BBH PRINCETON,HCS TUBE JEJONOSTOMY (MIC),1572.00
BBH PRINCETON,HCS TUBE JEJUNOSTOMY BAKER,1402.00
BBH PRINCETON,HCS TLS DRAIN,206.00
BBH PRINCETON,HCS GROSHONG DOULE LUMEN,2931.00
BBH PRINCETON,HCS ABRAMSON SUMP,216.00
BBH PRINCETON,HCS BX NEEDLE ANCHOR,135.00
BBH PRINCETON,HCS BX NEEDLE MONOPTY,253.00
BBH PRINCETON,HCS BASIN SET ODS,135.00
BBH PRINCETON,HCS NEEDLE,3.00
BBH PRINCETON,HCS SOLUTIONS 500 NACL,198.00
BBH PRINCETON,HCS CAUTERY BLADE,72.00
BBH PRINCETON,HCS LINEN REUSABLE HAMPER BAG,3.00
BBH PRINCETON,HCS ARTERIAL LINE TUB,1203.00
BBH PRINCETON,HCS MUCOUS TRAP LUKI,78.00
BBH PRINCETON,HCS EAR SYRINGE #572,31.00
BBH PRINCETON,HCS TRACH TUBE LGT,663.00
BBH PRINCETON,HCS COBAN STERILE,83.00
BBH PRINCETON,HCS ENDOCUTTER 45MM/ATB 45,1024.00
BBH PRINCETON,HCS LINEAR CUTTER 3.5X55/TCR55,213.00
BBH PRINCETON,HCS ANGIO TRAY,117.00
BBH PRINCETON,HCS WOUND VAC LARGE DRESSING,102.00
BBH PRINCETON,HCS LIGATING HORIZON CLIP,282.00
BBH PRINCETON,HCS SYN TIB NAIL T25 STAR DR 5.0,3332.00
BBH PRINCETON,HCS SYN PLATE 3.5 LCP 3HOLE,594.00
BBH PRINCETON,HCS ASPIRATOR STRAIGHT,194.00
BBH PRINCETON,HCS BIO BEARING TIBIAL VANGARD,2859.00
BBH PRINCETON,HCS EXTRACTOR RETRIEVAL BALLOON,492.00
BBH PRINCETON,HCS BIO FIX CRUCIATE TIB PLAT 71MM,4257.00
BBH PRINCETON,HCS TALENT ABD CONTRALATERAL LIMB,15382.00
BBH PRINCETON,HCS SYN LARGE COMBINATION CLAMP,2467.00
BBH PRINCETON,HCS GORE EXCLUDER (PXT261414),30104.00
BBH PRINCETON,HCS CUPS ULTEM KOH 3.5,372.00
BBH PRINCETON,HCS CAGE LUMBAR TAP FUS DEVIC 23MM,13526.00
BBH PRINCETON,HCS KYPHX LATITUDE II CURETTE 8.0M,756.00
BBH PRINCETON,HCS KYPHX BONE BIOPSY KIT,4837.00
BBH PRINCETON,HCS SYN TAPERED DRILL BIT 11.0MMX9,1679.00
BBH PRINCETON,HCS SCREW 6.5 X 50MM SEXTANT,6839.00
BBH PRINCETON,HCS SPINAL GRT PUTTY PROGENIX 10CC,3831.00
BBH PRINCETON,HCS NEEDLES HUBER 90MM REALIZE,39.00
BBH PRINCETON,HCS CARPAL TUNNEL SYNDROME REL KIT,504.00
BBH PRINCETON,HCS BIO VANG SSK TIB BRG 18X71/75,6336.00
BBH PRINCETON,HCS BIO VANG DIS FEM AUG 75X5LL/RM,3248.00
BBH PRINCETON,HCS GORE EXCLUDER (PXC121200),13263.00
BBH PRINCETON,HCS ALLOGRAFT 5CC TRINITY CYROPRES,7036.00
BBH PRINCETON,HCS MEDTRON INTERFIX CAGE 16X20MM,11959.00
BBH PRINCETON,HCS MARKER VISICOIL NEEDLE 1.10M,669.00
BBH PRINCETON,HCS ALAMO TISSUE PATELLA TENDON FF,10906.00
BBH PRINCETON,HCS PREVENA INC MAN SYS PRE1005US,1742.00
BBH PRINCETON,HCS KIT PAIN MANAGEMENT ON Q,651.00
BBH PRINCETON,HCS GUIDE DEPLOYMENT FRONTAL,1228.00
BBH PRINCETON,HCS FOLLOWER HEYMAN COUDE,759.00
BBH PRINCETON,HCS RETRIEVER STONE HELICAL BARD,1124.00
BBH PRINCETON,HCS BASKET STONE 0 TIP 390-100,1267.00
BBH PRINCETON,HCS SPLINT DOYLE,231.00
BBH PRINCETON,HCS SYN MFX SCREW 1.5,216.00
BBH PRINCETON,HCS ETHILON 8.0,231.00
BBH PRINCETON,HCS IV TUBING,3.00
BBH PRINCETON,HCS BLADE DERMATONE REESE BD,111.00
BBH PRINCETON,HCS DERMACARRIER II ZIMMER,199.00
BBH PRINCETON,HCS DERMASTRIP,231.00
BBH PRINCETON,HCS TUBING LIPECTOMY ASPIRATION,231.00
BBH PRINCETON,HCS AUGMENTATION BRA,167.00
BBH PRINCETON,HCS MAM PRO PMT TISSUE EXPANDER,8869.00
BBH PRINCETON,"HCS CASSETTE 10,000 ALCON (P)",206.00
BBH PRINCETON,HCS BLADE BEAVER 660,122.00
BBH PRINCETON,HCS CYSTOME IRRIGATORS SOLOS,63.00
BBH PRINCETON,HCS INSRTUMENT WIPES SOLOS,19.00
BBH PRINCETON,HCS KNIFE MICROSURGICAL 15/30 WECK,71.00
BBH PRINCETON,HCS ETHIBOND 4.0-5.0,283.00
BBH PRINCETON,"HCS PROLENE 87,88,89 7.0-8.0",77.00
BBH PRINCETON,HCS STERNAL WIRE #7,268.00
BBH PRINCETON,HCS TEFLON PLEDGETS,137.00
BBH PRINCETON,HCS IRRIGATION SYSTEM,206.00
BBH PRINCETON,HCS CANNULA VESSEL,63.00
BBH PRINCETON,HCS CATH BALLOON DILATOR,8236.00
BBH PRINCETON,HCS TUBES CHEST 32 ANGLE,90.00
BBH PRINCETON,HCS INFLATOR LEEVEN WP GAUGE,885.00
BBH PRINCETON,HCS RECTAL PROBE,63.00
BBH PRINCETON,HCS PACE TEMPORARY PACING WIRE,109.00
BBH PRINCETON,HCS TUOHY-BORST ADAPTER SIDEPOR,45.00
BBH PRINCETON,HCS ENCORE 26 INFLATION DEVICE,480.00
BBH PRINCETON,HCS GUIDEWIRE SMALL VESSEL ANGLE,429.00
BBH PRINCETON,HCS GRAFT SIZER SET,66.00
BBH PRINCETON,HCS GOLASKI KNIT STRAIGHT,1264.00
BBH PRINCETON,HCS MEADOX BIFURCATED WOVEN,4503.00
BBH PRINCETON,HCS PA/SETTER ATRIAL SCREW-IN LEAD,4636.00
BBH PRINCETON,HCS TRICUSPID RING #4500 T26-T36,8422.00
BBH PRINCETON,HCS CRANIOBLADE DISP,330.00
BBH PRINCETON,HCS GIGLI SAW,198.00
BBH PRINCETON,HCS PINS SKULL DISP,139.00
BBH PRINCETON,HCS CATHETER PASSER,283.00
BBH PRINCETON,HCS COLLECTION BAG,707.00
BBH PRINCETON,HCS KIT MONITOR BASIC,1818.00
BBH PRINCETON,HCS KIT VENTRICULOSTOMY,1930.00
BBH PRINCETON,HCS SPONGE 3/4*3/4,71.00
BBH PRINCETON,HCS KIT CRANIAL ACCESS,1194.00
BBH PRINCETON,HCS BONE PLATE HOWMED SHERMAN,3903.00
BBH PRINCETON,HCS CATH PERITONEAL REFLUX,743.00
BBH PRINCETON,HCS CATH VENTRICULAR,264.00
BBH PRINCETON,HCS SHUNT CFS UNITIZED HIGH,3205.00
BBH PRINCETON,HCS SHUNT DELTA,4596.00
BBH PRINCETON,HCS SYNTHES CERVICAL LOCK PLATE,4137.00
BBH PRINCETON,HCS VALVE CSF FLOW CONTROL,2114.00
BBH PRINCETON,HCS DURA-GEN GRAFT MATRIX 7.57.5CM,2400.00
BBH PRINCETON,HCS DURAGUARD 6CM X 8CM,1591.00
BBH PRINCETON,HCS MIDAS BIT G6-130,707.00
BBH PRINCETON,HCS RAPID FLAP 12MM-20MM,720.00
BBH PRINCETON,HCS ATLANTIS SCREW S/T4.0 10MM-18M,1287.00
BBH PRINCETON,HCS ATLANTIS PLATES 50MM-62.5MM,6071.00
BBH PRINCETON,HCS DBX PUTTY 10CC 38100,3183.00
BBH PRINCETON,HCS CD HORIZON SCREW 6.5X45 (X2),5714.00
BBH PRINCETON,HCS CD HORIZON SCREW 6.5X50 (X2),5714.00
BBH PRINCETON,HCS LOCK SCREWS (X4),718.00
BBH PRINCETON,HCS ACUFX SURETAC CANNULA,122.00
BBH PRINCETON,HCS CNCPT SAW BLADE,528.00
BBH PRINCETON,HCS CD BLOCKERS,931.00
BBH PRINCETON,HCS HOW HOFMAN TUBE XFX,743.00
BBH PRINCETON,HCS PIN COVERS,19.00
BBH PRINCETON,HCS SYN DCP NARROW PLT,516.00
BBH PRINCETON,HCS SYN DRILL BIT,669.00
BBH PRINCETON,HCS SYN GUIDEWIRE 1.6 THRD UTN,198.00
BBH PRINCETON,HCS SYN SEMI-TUBULAR PLT,645.00
BBH PRINCETON,HCS SYN WASHER/WIRE,231.00
BBH PRINCETON,HCS ZIM M/G TIBIAL ART SURF LIP RE,3339.00
BBH PRINCETON,"HCS CDH SCREW MAS 869-8540,55",3913.00
BBH PRINCETON,HCS ANCHOR HEALIX PEEK (222209),1015.00
BBH PRINCETON,"Ganciclovir sodium injection, 500 MG",1332.39
BBH PRINCETON,"heparin sodium, per 1000 units, inj",142.14
BBH PRINCETON,"heparin sodium, per 1000 units, inj",142.14
BBH PRINCETON,"heparin sodium, per 1000 units, inj",142.14
BBH PRINCETON,"heparin sodium, per 1000 units, inj",142.14
BBH PRINCETON,"heparin sodium, per 1000 units, inj",142.14
BBH PRINCETON,"heparin sodium, per 1000 units, inj",142.14
BBH PRINCETON,"heparin sodium, per 1000 units, inj",142.14
BBH PRINCETON,"heparin sodium, per 1000 units, inj",280.18
BBH PRINCETON,"heparin sodium, per 1000 units, inj",280.18
BBH PRINCETON,"heparin sodium, per 1000 units, inj",73.12
BBH PRINCETON,"heparin sodium, per 1000 units, inj",73.12
BBH PRINCETON,"heparin sodium, per 1000 units, inj",73.12
BBH PRINCETON,"heparin sodium, per 1000 units, inj",73.12
BBH PRINCETON,"heparin sodium, per 1000 units, inj",73.12
BBH PRINCETON,"heparin sodium, per 1000 units, inj",73.12
BBH PRINCETON,"Hyaluronidase injection, 150 UNITS",106.61
BBH PRINCETON,"Interferon alfa-2b inj, 1 MIL UNITS",1196.39
BBH PRINCETON,"heparin sodium, per 10 units, inj",11.76
BBH PRINCETON,"heparin sodium, per 10 units, inj",11.76
BBH PRINCETON,"heparin sodium, per 10 units, inj",11.76
BBH PRINCETON,"heparin sodium, per 10 units, inj",11.76
BBH PRINCETON,"heparin sodium, per 10 units, inj",11.76
BBH PRINCETON,"heparin sodium, per 10 units, inj",11.76
BBH PRINCETON,"Denosumab injection, 1 MG",3221.05
BBH PRINCETON,"mepivacaine HCL, 10 mL, inj",92.03
BBH PRINCETON,"Docetaxel injection, 1 MG",1844.69
BBH PRINCETON,"Docetaxel injection, 1 MG",1844.69
BBH PRINCETON,"Docetaxel injection, 1 MG",1844.69
BBH PRINCETON,"Penicillin g benzathine inj, 100,000 UNITS",64.42
BBH PRINCETON,"Penicillin g benzathine inj, 100,000 UNITS",64.42
BBH PRINCETON,"Pentazocine injection, 30 MG",54.71
BBH PRINCETON,"Cefepime hcl, injection, 500 mg",117.60
BBH PRINCETON,"Pneumococcal polysaccharide vaccine, 23-valent, adult or immunosuppressed patient dosage, when administered to individuals 2 years or older, for subcutaneous or imtramuscular use",116.57
BBH PRINCETON,"Linezolid injection, 200 MG",465.78
BBH PRINCETON,"Linezolid injection, 200 MG",465.78
BBH PRINCETON,"Linezolid injection, 200 MG",465.78
BBH PRINCETON,"Penicillin g benzathine inj, 100,000 UNITS",257.68
BBH PRINCETON,"Penicillin g benzathine inj, 100,000 UNITS",257.68
BBH PRINCETON,"Penicillin g benzathine inj, 100,000 UNITS",128.84
BBH PRINCETON,"Penicillin g benzathine inj, 100,000 UNITS",128.84
BBH PRINCETON,"Acetazolamid sodium injectio, 500 MG",157.48
BBH PRINCETON,"Acetazolamid sodium injectio, 500 MG",157.48
BBH PRINCETON,"Acetazolamid sodium injectio, 500 MG",157.48
BBH PRINCETON,"heparin sodium, per 10 units, inj",80.78
BBH PRINCETON,"heparin sodium, per 10 units, inj",80.78
BBH PRINCETON,"heparin sodium, per 10 units, inj",80.78
BBH PRINCETON,"heparin sodium, per 10 units, inj",19.43
