HospitalCode,Description,Price
BBH WALKER,metOLazone 2.5 MG Tab 1 each BLIST PACK,19.56
BBH WALKER,metOLazone 2.5 MG Tab 100 each Bottle,19.56
BBH WALKER,metOLazone 5 MG Tab 100 each Bottle,19.56
BBH WALKER,metOLazone 5 MG Tab 1 each BLIST PACK,19.56
BBH WALKER,donepezil 23 mg Tab 30 each Bottle,33.26
BBH WALKER,metoprolol ta-hydrochlorothiaz 50-25 mg Tab 100 each Bottle,13.69
BBH WALKER,metroNIDAZOLE 0.75 % Gel 70 g Tube,254.30
BBH WALKER,mexiletine 150 MG Cap 100 each Bottle,19.56
BBH WALKER,mexiletine 250 MG Cap 100 each Bottle,19.56
BBH WALKER,miconazole 2 % Powd 43 g Jar,29.34
BBH WALKER,miconazole 100 mg Supp 7 each Box,309.07
BBH WALKER,microfibrillar collagen Powd 1 g Jar,1668.60
BBH WALKER,midodrine 2.5 MG Tab 100 each Bottle,19.56
BBH WALKER,midodrine 2.5 MG Tab 100 each Bottle,19.56
BBH WALKER,midodrine 2.5 MG Tab 100 each BLIST PACK,19.56
BBH WALKER,midodrine 2.5 MG Tab 50 each BLIST PACK,19.56
BBH WALKER,midodrine 5 MG Tab 100 each BLIST PACK,15.65
BBH WALKER,midodrine 5 MG Tab 1 each BLIST PACK,15.65
BBH WALKER,midodrine 5 MG Tab 100 each Bottle,15.65
BBH WALKER,midodrine 5 MG Tab 1 each BLIST PACK,15.65
BBH WALKER,midodrine 5 MG Tab 100 each BLIST PACK,15.65
BBH WALKER,miSOPROStol 100 MCG Tab 60 each Bottle,19.56
BBH WALKER,miSOPROStol 100 MCG Tab 120 each Bottle,19.56
BBH WALKER,miSOPROStol 100 MCG Tab 60 each Bottle,19.56
BBH WALKER,miSOPROStol 100 MCG Tab 1 each BLIST PACK,19.56
BBH WALKER,miSOPROStol 100 MCG Tab 100 each BLIST PACK,19.56
BBH WALKER,miSOPROStol 100 MCG Tab 60 each Bottle,19.56
BBH WALKER,miSOPROStol 100 MCG Tab 120 each Bottle,19.56
BBH WALKER,miSOPROStol 200 MCG Tab 60 each Bottle,19.56
BBH WALKER,miSOPROStol 200 MCG Tab 100 each Bottle,19.56
BBH WALKER,miSOPROStol 200 MCG Tab 1 each BLIST PACK,19.56
BBH WALKER,miSOPROStol 200 MCG Tab 100 each BLIST PACK,19.56
BBH WALKER,mometasone 0.1 % Crea 15 g Tube,125.19
BBH WALKER,mometasone 0.1 % Crea 15 g Tube,125.19
BBH WALKER,mometasone 0.1 % Crea 15 g Tube,125.19
BBH WALKER,mometasone 0.1 % Oint 15 g Tube,93.90
BBH WALKER,dabigatran 75 mg Cap 60 each Bottle,15.65
BBH WALKER,dabigatran 75 mg Cap 60 each BLIST PACK,15.65
BBH WALKER,mupirocin 2 % Oint 22 g Tube,303.20
BBH WALKER,mupirocin 2 % Oint 22 g Tube,303.20
BBH WALKER,mupirocin 2 % Oint 22 g Tube,303.20
BBH WALKER,mupirocin 2 % Oint 22 g Tube,303.20
BBH WALKER,nabumetone 500 MG Tab 100 each Bottle,19.56
BBH WALKER,nabumetone 500 MG Tab 100 each Bottle,19.56
BBH WALKER,nabumetone 500 MG Tab 100 each Bottle,19.56
BBH WALKER,nabumetone 500 MG Tab 1 each BLIST PACK,19.56
BBH WALKER,nabumetone 750 MG Tab 100 each Bottle,19.56
BBH WALKER,nadolol-bendroflumethiazide 80-5 mg Tab 100 each Bottle,15.65
BBH WALKER,naltrexone 50 mg Tab 30 each Bottle,50.86
BBH WALKER,naltrexone 50 mg Tab 1 each BLIST PACK,50.86
BBH WALKER,"neomycin-polymyxin-hydrocortisone 3.5-10,000-0.5 mg/g-unit/g-% Crea 7.5 g Tube",76.29
BBH WALKER,NIFEdipine 30 MG Tbsr 100 each Bottle,35.21
BBH WALKER,NIFEdipine 30 MG Tbsr 100 each Bottle,35.21
BBH WALKER,niMODipine 30 MG Cap 30 each BLIST PACK,66.51
BBH WALKER,niMODipine 30 MG Cap 1 each BLIST PACK,66.51
BBH WALKER,nitrofurantoin (macrocrystal-monohydrate) 100 MG Cap 100 each Bottle,19.56
BBH WALKER,nitrofurantoin (macrocrystal-monohydrate) 100 MG Cap 1 each BLIST PACK,19.56
BBH WALKER,nitrofurantoin (macrocrystal-monohydrate) 100 MG Cap 100 each BLIST PACK,19.56
BBH WALKER,nitrofurantoin (macrocrystal-monohydrate) 100 MG Cap 100 each Bottle,19.56
BBH WALKER,norethindrone 5 mg Tab 50 each Bottle,19.56
BBH WALKER,lurasidone 40 mg Tab 30 each Bottle,70.42
BBH WALKER,lurasidone 80 mg Tab 30 each Bottle,70.42
BBH WALKER,dextromethorphan-quinidine 20-10 mg Cap 60 each Bottle,45.67
BBH WALKER,bisacodyl 5 mg Tbec 100 each BLIST PACK,19.56
BBH WALKER,bisacodyl 5 mg Tbec 100 each Bottle,19.56
BBH WALKER,bisacodyl 10 mg Supp 1 each Box,19.56
BBH WALKER,bisacodyl 10 mg Supp 100 each Box,19.56
BBH WALKER,bisacodyl 10 mg Supp 50 each Box,19.56
BBH WALKER,bisacodyl 10 mg Supp 100 each Box,19.56
BBH WALKER,bisacodyl 10 mg Supp 12 each Box,19.56
BBH WALKER,bisacodyl 10 mg Supp 12 each Box,19.56
BBH WALKER,oxandrolone 2.5 MG Tab 100 each Bottle,19.56
BBH WALKER,neomycin-colist-HC-thonzonium 3.3-3-10-0.5 mg/mL Drps 5 mL DROP BTL,133.02
BBH WALKER,neomycin-colist-HC-thonzonium 3.3-3-10-0.5 mg/mL Drps 10 mL DROP BTL,258.21
BBH WALKER,neomycin-colist-HC-thonzonium 3.3-3-10-0.5 mg/mL Drps 10 mL DROP BTL,258.21
BBH WALKER,oxyCODONE 5 mg/5 mL Soln 5 mL Cup,25.43
