Standard Charge Description,Charge Description Master,Charge as of 1.1.19
0.9% SOD CHLORIDE FOR IRR 1L,41322459,32.13
1.5% DEXTROSE PERITONEAL 2500ML,41327879,35.95
1/2 NORMAL SALINE IV SL 250ML,41323605,109.78
1/2 NS + KCL 20MEQ/L,41325319,110.22
1/2 NS 50ML,41324476,110.25
1/2 NS ADD-VANTAGE 250ML IV BAG,41325169,110.25
1/2 SODIUM ACETATE BAG 100ML,41327102,69.35
1/2NS 1000ML-BICARB 100 MEQ,41327798,203.00
1/2NS+HEPARIN 50 UNITS/100ML,41327103,110.25
1/4 NA ACET+ HEPARIN 0.5 U/ML 50M,41328245,207.64
1/4 NS W/HEP 1/2U/ML 100ML-MED,41325166,140.00
1/4 SODIUM ACETATE IV BAG 100ML,41327101,69.89
"1/4NS + HEPARIN 0.5UNITS/ML, 30ML",41328244,211.30
2.5% DEX PERITONEAL DIALYIS 5L,41328012,110.25
4.25% DEX INTRAPERITONEAL 2500ML,41327886,110.25
5% DEXTROSE/NORMAL SALINE (500 ML = 1 UNIT),41321348,110.25
5% DEXTROSE/WATER (500 ML = 1 UNIT),41321291,109.78
AA 3% IN ST WATER W/HEPARIN 100ML,41326049,203.00
ABBOTT EXTEN.FILTER 1.2MICRON,41324096,35.95
ACETAMINOPHEN 10MG/ML SYRINGE 60M,41326942,171.57
ACETIC ACID 1/4% SOLN 1000ML,41323175,135.00
"ACETYLCYSTEINE, INHALATION SOLUTION, FDA-APPROVED FINAL PRODUCT, NON-COMPOUNDED, ADMINISTERED THROUGH DME, UNIT DOSE FORM, PER GRAM",41327149,80.41
ACTHIB 0.5ML INJ,41325094,258.30
ACTIDOSE-AQUA 50GM/240ML,41321575,108.00
ACYCLOVIR 1000MG/20ML INJ VIAL,41327194,294.07
ADMINISTRATION OF 1 VACCINE,41326949,70.00
ADMINISTRATION OF INFLUENZA VIRUS VACCINE,41325955,84.90
ADMINISTRATION OF PNEUMOCOCCAL VACCINE,41325956,85.05
ADULT PARENTERAL NUTRITION 1000ML,41325738,"1,334.64"
ADULT SPECIAL IV ORDER,41324850,5.47
ADVAIR HFA 45/21MCG AEROSOL 12GM,41326092,234.00
AK-FLUOR OPTH 10% INJ 5ML,41325774,109.20
ALBUTEROL HFA 90MCG INH 18GM,41326184,60.90
ALUM 1% IRRIGATION-3000ML NS,41324332,360.00
ALVIMOPAN 12MG CAPSULE,41326398,"1,019.00"
AMANTADINE 100MG TABLET,41326829,17.90
AMANTADINE 10MG/ML ORAL SYRINGE,41323024,16.86
AMIDATE 20MG/10ML INJ,41321621,307.72
AMMONIA INHALANT AMPULE,41321641,6.13
AMPICILLIN 30MG/ML IV SYRINGE,41326288,34.54
ANTILIRIUM 1MG/ML INJ 2ML,41321952,67.38
"ANTITHROMBIN III (HUMAN), PER I.U.",41327903,30.78
"APREPITANT, ORAL, 5 MG",41325937,49.85
"AQUASOL A 50,000U/ML-SYRINGE",41322936,117.64
ATIVAN LIQ 2MG/ML (DOSE CHG),41323924,12.20
ATIVAN MED SYRINGE 0.5MG/0.5ML,41327009,55.97
ATROPINE SULFATE 0.4MG/ML INJ 2ML,41326989,34.73
AZACTAM 2GM INJ VIAL,41322011,664.70
"AZATHIOPRINE, ORAL, 50 MG",41322558,28.50
"BACITRACIN 50,000 UNITS INJ",41321684,271.01
BETADINE 10% SOLUTION 15ML,41321198,6.69
BEVACIZUMAB 1.25MG/0.05ML PF INJ,41327380,477.50
BEXSERO VACCINE 0.5ML PRE-FILLED,41327998,"1,302.10"
BREVIBLOC 100MG/10ML VIAL,41321722,240.10
BREVIBLOC PREMIX 2500MG/250ML NS,41325320,"2,430.41"
BREXPIPRAZOLE 2MG TABLET,41327942,277.00
BROVANA INHAL 15MCG/2ML,41326055,173.76
BSS OPTH SOLUTION 15ML,41321193,127.14
BUMETANIDE 0.125MG/ML IV SYRINGE,41326461,159.29
BUMETANIDE 0.1MG/ML SYRINGE 35ML,41326100,519.75
BUMETANIDE 0.25MG/ML INJ 10ML,41326842,34.03
BUMETANIDE 0.25MG/ML INJ 4ML,41323641,110.48
BUMEX 0.25MG/ML INJ 2ML,41324857,27.38
BUPIVACAINE 0.5% SOLN 100ML,41327174,931.50
"BUPRENORPHINE, ORAL, 1 MG",41326951,55.90
"BUPRENORPHINE/NALOXONE, ORAL, GREATER THAN 10 MG BUPRENORPHINE",41327623,140.70
CAL + H20 MIXED 1-1 IN SYRINGE,41322747,25.90
CALCIUM CHLORIDE 10% SYR 10ML,41321833,286.30
"CAPECITABINE, ORAL, 500 MG",41326538,351.15
CARBAMAZEPINE PO SUSP 200MG/10ML,41327010,14.20
CARDENE IV 40MG/200ML 0.83% NACL,41326855,"1,817.80"
CARDIZEM 5MG/ML 10ML INJ,41323169,189.91
CEFTAZIDIME INTRAVITREAL INJ 2ML,41324314,185.05
CEFTRIAXONE 40MG/ML IV SYRINGE,41326009,9.07
CERVIDIL 10MG VAG INSERT,41323664,"2,483.03"
CETACAINE TOPICAL SPRAY 14GM,41327953,579.20
"CINACALCET, ORAL, 1 MG, (FOR ESRD ON DIALYSIS)",41325575,7.94
CISATRACURIUM 200MG/NS 200ML,41327136,"1,012.98"
CLEOCIN 15MG/ML**SYRINGE PREP,41324013,24.12
CLEOCIN 300MG/NS 100ML,41325642,118.42
CLINDAMYCIN 600MG-NS 100ML,41325359,309.75
COCAINE 4% SOLN 4ML,41322000,"1,431.00"
COLD INDUCTION CARDIOPLEGIA-BTL,41323616,382.00
COPPER CHLORIDE 400MCG/ML 10ML,41324891,10.84
COPPER SULFATE IV ADDITIVE,41322957,7.19
CUROSURF INTRATRACHEAL SUSP 1.5ML,41326081,"2,826.30"
CUROSURF INTRATRACHEAL SUSP 3ML,41326082,"6,181.95"
"CYCLOPHOSPHAMIDE, 100 MG",41520208,79.50
"CYCLOSPORINE, ORAL, 100 MG",41328119,67.50
"CYCLOSPORINE, ORAL, 25 MG",41323954,21.50
CYKLOKAPRON 100MG/ML 10ML,41324458,534.62
D10 1/4NS 500ML,41324997,110.25
D5 1/2 NS-KCL 10MEQ 1000ML,41324335,110.25
D5 1/4 NS 1000ML WITH KCL 4OMEQ,41324540,110.25
D5 1/4NS 250ML BAG,41322978,109.59
D5 1/4NS-KCL 10MEQ 1L,41325140,110.25
D5 1/4NS-KCL 20MEQ 1000ML,41324336,225.13
D5.45NS 1000ML WITH KCL,41324539,110.25
D5NS-KCL 20MEQ/1000ML,41324362,110.25
D5NS-KCL 40MEQ/L,41324363,110.25
D5W 1000ML WITH KCL 20ME,41324541,110.25
D5W-KCL 40MEQ/1000ML PRE MIX,41324453,110.25
DAKIN'S SOLN FS 480ML,41325189,64.20
DAKIN'S SOLN HALF STR 480ML,41325190,63.30
DANTROLENE (RYANODEX) 250MG INJ,41328079,"18,251.20"
DEPACON 500MG/50ML**SYR PREP,41324009,8.04
DEPACON 500MG-NS 100ML,41325830,306.31
DEPACON*VALPROATE NA INJECTION,41323943,130.48
DESMOPRESSIN 1MCG/1ML SUBCUT SYR,41327979,56.00
DEXMEDETOMIDINE 200MCG/2ML INJ,41328198,331.30
DEXMEDETOMIDINE 400MCG-NS 100ML,41328202,900.00
DEXTROSE 5% 1/2NS-KCL 20MEQ 1L,41321372,110.18
DI-DAK-SOL 0.0125% SOLN 473ML,41325582,118.80
DILAUDID 4MG-NS 100ML,41327110,135.00
DILTIAZEM 100MG-NS 100ML,41325342,187.00
DIPHENHYDRAMINE 50MG/ML PREFILLED,41327354,36.51
DOBUTAMINE 2000MCG/ML SYR 35ML,41325885,495.69
DOBUTAMINE/D5W 2000MCG/ML SYR35ML,41328062,519.75
DOPAMINE 1600MCG/ML D5W SYR 35ML,41327531,519.75
