Charge code,Service/Charge Description,CPT/HCPCS Code,Price
6362008,Ramucirumab 10 mg/mL 10 mL SDV, J9308,CALL
12001002,Daily Service MS Acuity 3, ,"$2,652.00 "
12001004,Daily Service OB Acuity 1, ,"$1,819.50 "
12001005,Daily Service OB Acuity 2, ,"$2,160.25 "
12001006,Daily Service OB Acuity 3, ,"$2,808.00 "
12001007,Daily Service Isolation OB, ,"$3,593.25 "
12001150,Daily Service MS Acuity 4, ,"$3,266.25 "
12001151,Daily Service MS Acuity 5, ,"$3,743.00 "
12001158,Daily Service DetoxMS Acuity 4, ,"$3,266.25 "
12001159,Daily Service DetoxMS Acuity 5, ,"$3,743.00 "
12001416,Daily Service DetoxMH Acuity 4, ,"$3,266.25 "
12001417,Daily Service DetoxMH Acuity 5, ,"$3,743.00 "
12001534,Daily Service OB Acuity 4, ,"$3,192.00 "
12010000,Daily Service RRC Rehab, ,$937.50 
12099999,Acuity Level per LOA, ,$572.00 
12401408,Daily Service MHU Acuity 3, ,"$3,000.50 "
17001010,Daily Service NB Acuity 1, ,"$1,034.75 "
17001011,Daily Service NB Acuity 2, ,"$1,812.25 "
17001013,Daily Service Readm NUR Acu 1, ,"$1,511.25 "
17001014,Daily Service Readm NUR Acu 2, ,"$1,895.25 "
17001015,Daily Service Readm NUR Acu 3, ,"$2,517.50 "
17501012,Daily Service NB Acuity 4/Scn, ,"$4,227.75 "
17501620,Daily Service NB Acuity 3, ,"$2,598.75 "
19400001,Subacute Care Level 1 (Awd), ,$733.25 
20001364,Daily Service Isolation CCU, ,"$5,036.75 "
20001365,Daily Service CCU Level 3, ,"$4,797.00 "
20001366,Daily Service Telemetry CCU, ,"$4,797.00 "
20001367,Daily Service DetoxCCU Acuity4, ,"$3,266.25 "
20001368,Daily Service DetoxCCU Acuity5, ,"$3,743.00 "
20401009,Daily Service MHU Acuity 4, ,"$3,841.25 "
20401411,Daily Service MHU Acuity 5, ,"$4,413.25 "
24008748,Walker Folding, E0144,$49.00 
24009519,Tube Gastric 34FR, ,$151.75 
25002077,Saline Lock 10 mL Syringe, A4216,CALL
25003010,IR NS 3000mL Fluid, ,CALL
25003013,Dextrose 5% 100 mL Adv Bag, ,CALL
25003017,Dextrose 5% 1/4 NS 1000 mL Bag, ,CALL
25003019,Dextrose 5% LR 1000 mL Bag, J7121,CALL
