Charge Code,Charge Code Description,Price,**Price Data is effective as of 11/1/2018,
30100208,HB LDH ENZYME,$110.00,,
30100294,"HB PROTEIN ELECTROPHORESIS, SERUM",$179.28,,
30101239,HC  CATHEPSIN-D,$44.58,,
27202737,HC  MEDTRONIC CATH THOR TRCR ARGY 8FRX9IN,$105.53,,
27201646,"HC ""TEP""ADHESIVES PROVOX",$888.48,,
27201649,"HC ""TEP""BRUSH PROVOX",$263.72,,
27201645,"HC ""TEP""HME CASSETTES PROVOX",$536.79,,
27201652,"HC ""TEP""JAW PADS THERABITE",$108.08,,
27201651,"HC ""TEP""JAW THERABITE SYSTEM","$1,864.94",,
27201650,"HC ""TEP""LARYCLIPS PROVOX",$721.89,,
27201648,"HC ""TEP""PLUG PROVOX",$249.84,,
27201647,"HC ""TEP""SKIN-TAC/SKIN-PREP WIPE",$177.56,,
27100028,HC #THERA,$7.00,,
30000352,"HC (LABCORP/QUEST/CPL) VENIPUNCTURE,COLLECTION OF BLOOD",$28.80,,
94000011,HC (NURSE/TECH ADMIN) THER/PHOPH/DIAG INJECTION SC/IM,$181.50,,
27201340,HC 0.9 CLIRCROSS RX-80 110-004,"$8,482.00",,
41000020,HC 02 TRANSPORT,$186.26,,
27201341,HC 1.4 COS CLIRCROSS 114-009,"$4,203.00",,
27201717,HC 10 FR LONG PTA SHEATH,$149.00,,
27801415,HC 1056T/86 QUICKSITE LV LEAD,"$8,503.00",,
27400135,HC 11 VOLT LI-ION POCKET CONTROLLER BATTERY,"$2,695.00",,
34100089,HC 123 I MIBG IMAGING,"$6,061.95",,
30100200,HC 17 HYDROXYCORTICOSTEROIDS,$195.94,,
30101256,HC 17 KETOSTEROIDS FRACTIONATION,$219.99,,
30000048,"HC 17 KETOSTEROIDS, TOTAL",$151.68,,
30100362,HC 17-D HYDROXYPROGESTERONE,$224.34,,
30100280,HC 17-HYDROXYPREGNENOLONE,$175.00,,
27201342,HC 2.3 XTREM OTW CLIRPATH223-001,"$8,106.00",,
27201864,HC 20F LOW-PROFILE GASTROSTOMY TUBE,$568.01,,
27201546,HC 21 GAUGE X 4CM ENTRY NEEDLE,$29.34,,
27201682,HC 3 MM J GUIDEWARIE 80 CM,$80.00,,
40300004,HC 3D BREAST TOMO SCREEN BILATERAL,$181.16,,
