IVNUM,IVDESC,IVCPTCD,IVPRICE1
   99999,CONVERSION BALANCE ADJUSTMENT,,0
  100001,IV PUSH SINGLE OR INITIAL,96374,278.64
  100002,ADDT'L INJ SAME DRUG,96376,100.93
  100003,EA ADD SEQUENTIAL IV PUSH,96375,178.04
  100004,INF HYD INITIAL TO 1HR,96360,458.15
  100005,INF HYD ADD HR,96361,148.56
  100006,IN INF INITIAL TO 1HR,96365,485.91
  100007,IN INF ADD HR,96366,185.98
  100008,IN INF ADD SEQ TO 1HR,96367,266.49
  100009,IV INF CONCURRENT,96368,255.68
  100010,SUBQ INF FOR THERAPY <1HR,96369,892.46
  100011,SUBQ INF THRPY EA >1HR,96370,107.73
  100012,SUBQ IV ADD PUMP SETUP,96371,370.82
  100013,THERAPEUTIC INJECTION,96372,102.06
  100014,INJ INTRA-ARTERIAL,96373,91.8
  100015,INCISION AND DRAINAGE OF ABSCESS,10060,496.43
  100016,INHALATION TREATMENT,94640,244.12
  100017,INITIAL NB EM PER DAY,99461,335.88
  100018,SBSQ NB PER DAY HOSP,99462,298.08
  300001,INITIAL 4 HRS ACUTE OBSERVATION,,361.26
  300002,OBSERVATION ACUTE HRS,G0378,68.04
  400001,PHYS INITIAL NURSING FAC CARE,99304,407.11
  400002,PHYS INITIAL NURS CARE MODERAT,99305,569.27
  400003,PHYS INITIAL NURS CARE HIGH,99306,690.61
  400004,SUBS NURSING FAC CARE LOW,99307,229.07
  400005,SUBS NURS FAC CARE MODERA,99308,309.59
  400006,SUBS NURS CARE FAC COMPLI,99309,447.93
  400007,NURSING FAC DISC <30 MIN,99315,422.99
  400008,NURSING FAC DISC >30 MIN,99316,528.45
  999001,MISC ITEM ACUTE,,0
  999002,MISC ITEM SWING BED,,0
  999003,MISC OBSERVATION,,0
  999004,MISC ITEM LTC,,0
  999010,MISC ITEM EMERGENCY DEPT,,0
  999012,MISC ITEM OP TX,,0
  999022,MISC ITEM IMAGING,,0
  999030,MISC ITEM LAB,,0
  999032,MISC ITEM BLOOD BANK,,0
  999040,MISC ITEM PHARMACY,,0
  999042,MISC ITEM RETAIL PHARM,,0
  999050,MISC ITEM RT,,0
  999060,MISC ITEM PT,,0
  999061,MISC ITEM OT,,0
  999062,MISC ITEM ST,,0
  999070,MISC ITEM CENTRAL SUPPLY,,0
  999080,MISC ITEM CLINIC,,0
  999090,MISC ITEM DIETARY,,0
  999100,MISC ITEM NURSING ADMIN,,0
  999105,MISC ITEM ADMIN,,0
  999110,MISC ITEM MEDICAL RECORDS,,0
