NANTUCKET COTTAGE HOSPITAL DRG CHARGES,,
Charges Effective:,Oct-2018,
Charges below reflect Medicare DRG median charges from 10/1/17 - 9/30/18,,
DRG Code,Description,Median Charge
MS060,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,"$7,448 "
MS064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$27,440 "
MS065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"$21,413 "
MS066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"$25,925 "
MS069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$18,216 "
MS074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$10,765 "
MS092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$13,564 "
MS101,SEIZURES W/O MCC,"$13,655 "
MS155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC","$14,610 "
MS159,DENTAL & ORAL DISEASES W/O CC/MCC,"$6,318 "
MS176,PULMONARY EMBOLISM W/O MCC,"$18,918 "
MS177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$15,076 "
MS178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"$25,212 "
MS181,RESPIRATORY NEOPLASMS W CC,"$19,126 "
MS184,MAJOR CHEST TRAUMA W CC,"$23,826 "
MS189,PULMONARY EDEMA & RESPIRATORY FAILURE,"$18,125 "
MS190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$10,855 "
MS191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$7,157 "
MS193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$20,559 "
MS194,SIMPLE PNEUMONIA & PLEURISY W CC,"$17,121 "
MS195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$12,317 "
MS199,PNEUMOTHORAX W MCC,"$34,174 "
MS200,PNEUMOTHORAX W CC,"$17,223 "
MS202,BRONCHITIS & ASTHMA W CC/MCC,"$16,472 "
MS204,RESPIRATORY SIGNS & SYMPTOMS,"$11,499 "
MS206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"$26,418 "
MS280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$13,819 "
MS281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","$17,754 "
MS291,HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"$17,316 "
MS292,HEART FAILURE & SHOCK W CC,"$17,693 "
MS293,HEART FAILURE & SHOCK W/O CC/MCC,"$11,510 "
MS300,PERIPHERAL VASCULAR DISORDERS W CC,"$14,178 "
MS309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$8,929 "
MS310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"$15,264 "
MS312,SYNCOPE & COLLAPSE,"$20,365 "
MS330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"$46,301 "
MS338,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,"$78,751 "
MS342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,"$38,155 "
MS351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,"$33,772 "
MS372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"$13,646 "
MS375,DIGESTIVE MALIGNANCY W CC,"$31,774 "
MS378,G.I. HEMORRHAGE W CC,"$12,723 "
MS381,COMPLICATED PEPTIC ULCER W CC,"$12,776 "
MS386,INFLAMMATORY BOWEL DISEASE W CC,"$42,705 "
MS390,G.I. OBSTRUCTION W/O CC/MCC,"$10,388 "
MS392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$12,744 "
MS393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$31,574 "
MS417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"$60,730 "
MS418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$47,793 "
