"Ketchikan, AK",,
PeaceHealth:  Ketchikan Medical Center,,
Hospital department charges for Services and Supplies,,
,,
,,
Charge Code,Short Description,Charge Each
128393,ROOM MED SURG,"3,086"
221867,ROOM MED SURG LTC ICF,"1,641"
197996,ROOM MED SURG SWING,"1,461"
128399,ROOM MENTAL HEALTH NONEXEMPT,"2,161"
231255,ROOM DETOX CHARGES,"3,375"
231258,ROOM OTHER/ADMIN,"3,086"
128403,ROOM NEWBORN CARE,"2,644"
197997,ROOM NEWBORN SCN,"2,750"
128411,ROOM ICU,"4,334"
135892,DIRECT REF FOR HOSP OBV,547
135890,HOSP OBV PER HR,141
134922,ER VISIT LEVEL 1,206
134924,ER VISIT LEVEL 2,212
134926,ER VISIT LEVEL 3,579
134928,ER VISIT LEVEL 4,"1,029"
134930,ER VISIT LEVEL 5,"2,010"
129119,INTERNAL ACTIVATED TRAUMA,"4,593"
134932,CRITICAL CARE FIRST 30-74 MIN,"4,294"
222615,INTERNAL ACTIVATED TRAUMA W/ CRITICAL CARE,"8,532"
134934,CRITICAL CARE EA ADDL 30 MIN,"2,149"
129115,FIELD ACTIVATED FULL TRAUMA,"3,561"
129117,FIELD ACTIVATED MODIFIED TRAUMA,"2,373"
135782,TRAUMA RESPONSE W/ CRITICAL CARE,"3,153"
129047,OR BASE LEVEL 1,"1,259"
129049,OR BASE LEVEL 2,"3,177"
129051,OR BASE LEVEL 3,"5,296"
129053,OR BASE LEVEL 4,"7,944"
129035,OR LEVEL 1,41
129037,OR LEVEL 2,74
129039,OR LEVEL 3,105
129041,OR LEVEL 4,133
129043,OR LEVEL 5,161
133578,ANESTHESIA EPIDURAL,18
182994,ANESTHESIA GENERAL,21
129061,ANESTHESIA MAC,8
129063,ANESTHESIA REGIONAL,13
228672,MOD SED SAME PHYS/QHP <5 YRS,308
228674,MOD SED SAME PHYS/QHP 5/>YRS,323
228676,MOD SED SAME PHYS/QHP EA,323
228678,MOD SED OTH PHYS/QHP <5 YRS,323
228680,MOD SED OTH PHYS/QHP 5/>YRS,323
228682,MOD SED OTHER PHYS/QHP EA,323
207937,BRONCHOSCOPY,"4,896"
