Charge / Procedure Number,Billing Description,CDM Price
10021,FNA W/O IMAGE,984.75
10040,ACNE SURGERY,533.42
10060,DRAINAGE OF SKIN ABSCESS,738.58
10061,DRAINAGE OF SKIN ABSCESS,"1,477.14"
10080,DRAINAGE OF PILONIDAL CYST,"1,145.25"
10110180,"U/S,OPHTH BIOM A-SCAN;IOL CALC",699.38
10110370,US OPHTH DX;CONTACT B-SCAN-LT,699.38
10110371,US OPHTH DX;CONTACT B-SCAN-RT,699.38
10110372,US OPHTH DX;CONTACT B-SCAN-50,"1,398.74"
10120,REMOVE FOREIGN BODY,999.19
10121,REMOVE FOREIGN BODY,"2,283.87"
10140,DRAINAGE OF HEMATOMA/FLUID,"1,237.09"
10160,PUNCTURE DRAINAGE OF LESION,856.44
11000,DEBRIDE INFECTED SKIN,721.72
11010,DEBRIDE SKIN AT FX SITE,"4,267.50"
11042,DEB SUBQ TISSUE 20 SQ CM/<,"1,263.02"
11045,DEB SUBQ TISSUE ADD-ON,364.78
11055,TRIM SKIN LESION,414.47
11056,TRIM SKIN LESIONS 2 TO 4,621.70
11057,TRIM SKIN LESIONS OVER 4,725.33
11100,BIOPSY SKIN LESION,474.03
11101,BIOPSY SKIN ADD-ON,249.49
11200,REMOVAL OF SKIN TAGS <W/15,704.74
11300,SHAVE SKIN LESION 0.5 CM/<,617.36
11301,SHAVE SKIN LESION 0.6-1.0 CM,759.88
11302,SHAVE SKIN LESION 1.1-2.0 CM,780.29
11305,SHAVE SKIN LESION 0.5 CM/<,664.84
11306,SHAVE SKIN LESION 0.6-1.0 CM,807.30
11307,SHAVE SKIN LESION 1.1-2.0 CM,949.77
11310,SHAVE SKIN LESION 0.5 CM/<,230.22
11400,EXC TR-EXT B9+MARG 0.5 CM<,682.69
11401,EXC TR-EXT B9+MARG 0.6-1 CM,812.73
11402,EXC TR-EXT B9+MARG 1.1-2 CM,"1,040.30"
11403,EXC TR-EXT B9+MARG 2.1-3CM,"1,332.89"
11406,EXC TR-EXT B9+MARG >4.0 CM,"2,478.02"
11420,EXC H-F-NK-SP B9+MARG 0.5/<,682.69
11422,EXC H-F-NK-SP B9+MARG 1.1-2,"1,105.30"
11423,EXC H-F-NK-SP B9+MARG 2.1-3,"1,625.46"
11426,EXC H-F-NK-SP B9+MARG >4 CM,"2,600.75"
11440,EXC FACE-MM B9+MARG 0.5 CM/<,712.54
11442,EXC FACE-MM B9+MARG 1.1-2 CM,"1,493.61"
11601,EXC TR-EXT MAL+MARG 0.6-1 CM,"1,456.79"
11641,EXC F/E/E/N/L MAL+MRG 0.6-1,"2,001.96"
11719,TRIM NAIL(S) ANY NUMBER,220.44
11720,DEBRIDE NAIL 1-5,244.10
11721,DEBRIDE NAIL 6 OR MORE,366.15
11730,REMOVAL OF NAIL PLATE,881.50
11732,REMOVE NAIL PLATE ADD-ON,440.75
11740,DRAIN BLOOD FROM UNDER NAIL,406.85
11750,REMOVAL OF NAIL BED,"1,830.82"
11760,REPAIR OF NAIL BED,"1,806.40"
11765,EXCISION OF NAIL FOLD TOE,"1,260.60"
11900,INJECT SKIN LESIONS </W 7,546.08
11976,REMOVE CONTRACEPTIVE CAPSULE,823.75
11980,IMPLANT HORMONE PELLET(S),903.61
11981,INSERT DRUG IMPLANT DEVICE,"1,223.86"
11982,REMOVE DRUG IMPLANT DEVICE,"1,028.94"
11983,REMOVE/INSERT DRUG IMPLANT,"1,334.88"
12000001,THERAPEUTIC PHLEBETOMY,345.96
12000002,HEELSTICKS/CAPILLARY PUNCT,65.38
12000003,ARTERIAL PUNCTURE,359.48
12001,RPR S/N/AX/GEN/TRNK 2.5CM/<,920.12
12002,RPR S/N/AX/GEN/TRNK2.6-7.5CM,"1,111.82"
12003025,VENIPUNCTURE,68.82
12003120,"SEMEN ANAL, STRICT CRITERIA",242.23
12003125,RETROGRADE EJACULATION ANAL,306.26
12004,RPR S/N/AX/GEN/TRK7.6-12.5CM,"1,380.18"
12005,RPR S/N/A/GEN/TRK12.6-20.0CM,"1,456.84"
12011,RPR F/E/E/N/L/M 2.5 CM/<,"1,111.82"
12013,RPR F/E/E/N/L/M 2.6-5.0 CM,"1,303.50"
